Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,sirna,tissue,cell type,chip antibody
SRR18054548,190609615,9721090365,51,2992,SRX14206583,GSM5904809,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP360229,PRJNA807729,36856111,"",SRS12028678,SAMN26000268,simple,9606,Homo sapiens,GSM5904809,"Bioinformatics & Comp Biology, UT MD Anderson Cancer Center",SRA1374251,03,2023,Zheng,Breast invasive carcinoma,MCF7 RPF R2,Breast invasive carcinoma,MCF7,,,,
SRR18054547,176680836,9010722636,51,2767,SRX14206584,GSM5904810,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP360229,PRJNA807729,36856111,"",SRS12028679,SAMN26000267,simple,9606,Homo sapiens,GSM5904810,"Bioinformatics & Comp Biology, UT MD Anderson Cancer Center",SRA1374251,03,2023,Zheng,Breast invasive carcinoma,MCF7 RPF R3,Breast invasive carcinoma,MCF7,,,,
SRR21772610,19412088,1475318688,76,496,SRX17767564,GSM6612216,ChIP-Seq,ChIP,GENOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP360229,PRJNA807729,36856111,"",SRS15294844,SAMN31111522,simple,9606,Homo sapiens,GSM6612216,"Bioinformatics & Comp Biology, UT MD Anderson Cancer Center",SRA1510778,03,2023,Zheng,breast,MCF7-Flag-GT3-INCP IP1,breast,MCF7,,breast,Breast invasive carcinoma,anti-Flag M2(Sigma)
SRR21772609,25388508,1929526608,76,650,SRX17767565,GSM6612217,ChIP-Seq,ChIP,GENOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP360229,PRJNA807729,36856111,"",SRS15294846,SAMN31111521,simple,9606,Homo sapiens,GSM6612217,"Bioinformatics & Comp Biology, UT MD Anderson Cancer Center",SRA1510778,03,2023,Zheng,breast,MCF7-Flag-GT3-INCP IP2,breast,MCF7,,breast,Breast invasive carcinoma,anti-Flag M2(Sigma)
SRR21772608,36360892,2763427792,76,922,SRX17767566,GSM6612218,ChIP-Seq,ChIP,GENOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP360229,PRJNA807729,36856111,"",SRS15294845,SAMN31111520,simple,9606,Homo sapiens,GSM6612218,"Bioinformatics & Comp Biology, UT MD Anderson Cancer Center",SRA1510778,03,2023,Zheng,breast,MCF7-MCF7-GT3-INCP Input1,breast,MCF7,,breast,Breast invasive carcinoma,none (input)
SRR21772607,40538333,3080913308,76,1034,SRX17767567,GSM6612219,ChIP-Seq,ChIP,GENOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP360229,PRJNA807729,36856111,"",SRS15294847,SAMN31111519,simple,9606,Homo sapiens,GSM6612219,"Bioinformatics & Comp Biology, UT MD Anderson Cancer Center",SRA1510778,03,2023,Zheng,breast,MCF7-MCF7-GT3-INCP Input2,breast,MCF7,,breast,Breast invasive carcinoma,none (input)
SRR21772606,34858491,2649245316,76,939,SRX17767568,GSM6612220,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP360229,PRJNA807729,36856111,"",SRS15294848,SAMN31111518,simple,9606,Homo sapiens,GSM6612220,"Bioinformatics & Comp Biology, UT MD Anderson Cancer Center",SRA1510778,03,2023,Zheng,breast,MCF7-sgNCR1,breast,MCF7,,breast,Breast invasive carcinoma,
SRR21772605,32984840,2506847840,76,890,SRX17767569,GSM6612221,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP360229,PRJNA807729,36856111,"",SRS15294849,SAMN31111517,simple,9606,Homo sapiens,GSM6612221,"Bioinformatics & Comp Biology, UT MD Anderson Cancer Center",SRA1510778,03,2023,Zheng,breast,MCF7-sgNCR2,breast,MCF7,,breast,Breast invasive carcinoma,
SRR21772604,34984102,2658791752,76,940,SRX17767570,GSM6612222,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP360229,PRJNA807729,36856111,"",SRS15294850,SAMN31111516,simple,9606,Homo sapiens,GSM6612222,"Bioinformatics & Comp Biology, UT MD Anderson Cancer Center",SRA1510778,03,2023,Zheng,breast,MCF7-sgNCR3,breast,MCF7,,breast,Breast invasive carcinoma,
SRR21772603,37172933,2825142908,76,1003,SRX17767571,GSM6612223,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP360229,PRJNA807729,36856111,"",SRS15294851,SAMN31111515,simple,9606,Homo sapiens,GSM6612223,"Bioinformatics & Comp Biology, UT MD Anderson Cancer Center",SRA1510778,03,2023,Zheng,breast,MCF7-sgGT3-INCPR1,breast,MCF7,,breast,Breast invasive carcinoma,
SRR21772602,39175061,2977304636,76,1056,SRX17767572,GSM6612224,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP360229,PRJNA807729,36856111,"",SRS15294852,SAMN31111514,simple,9606,Homo sapiens,GSM6612224,"Bioinformatics & Comp Biology, UT MD Anderson Cancer Center",SRA1510778,03,2023,Zheng,breast,MCF7-sgGT3-INCPR2,breast,MCF7,,breast,Breast invasive carcinoma,
SRR21772601,35652258,2709571608,76,957,SRX17767573,GSM6612225,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP360229,PRJNA807729,36856111,"",SRS15294853,SAMN31111513,simple,9606,Homo sapiens,GSM6612225,"Bioinformatics & Comp Biology, UT MD Anderson Cancer Center",SRA1510778,03,2023,Zheng,breast,MCF7-sgGT3-INCPR3,breast,MCF7,,breast,Breast invasive carcinoma,
