Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell type,passages,origin,genotype,stress,GEO Accession
SRR8494669,33753592,1694821552,50,613,SRX5299235,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP182641,PRJNA517401,31292544,"",SRS4298238,SAMN10829893,simple,10090,Mus musculus,GSM3580977,GEO,SRA840135,07,2019,Ries,WT_RNA_seq_heatShock,WT_RNA_seq_heatShock-2,WT_RNA_seq_heatShock,mouse embryonic stem cells,24-28,E6.5 mouse,wild type,heatShock,GSM3580977
SRR8494670,27927253,702083150,25,310,SRX5299236,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP182641,PRJNA517401,31292544,"",SRS4298239,SAMN10829892,simple,10090,Mus musculus,GSM3580978,GEO,SRA840135,07,2019,Ries,WT_ribo_seq_heatShock,WT_ribo_seq_heatShock-2,WT_ribo_seq_heatShock,mouse embryonic stem cells,24-28,E6.5 mouse,wild type,heatShock,GSM3580978
SRR8494671,35782210,1794714345,50,653,SRX5299237,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP182641,PRJNA517401,31292544,"",SRS4298240,SAMN10829891,simple,10090,Mus musculus,GSM3580979,GEO,SRA840135,07,2019,Ries,WT_RNA_seq_heatShock,WT_RNA_seq_heatShock-3,WT_RNA_seq_heatShock,mouse embryonic stem cells,24-28,E6.5 mouse,wild type,heatShock,GSM3580979
SRR8494672,35306820,626889385,17,358,SRX5299238,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP182641,PRJNA517401,31292544,"",SRS4298241,SAMN10829890,simple,10090,Mus musculus,GSM3580980,GEO,SRA840135,07,2019,Ries,WT_ribo_seq_heatShock,WT_ribo_seq_heatShock-3,WT_ribo_seq_heatShock,mouse embryonic stem cells,24-28,E6.5 mouse,wild type,heatShock,GSM3580980
SRR8494673,34309873,1721091599,50,625,SRX5299239,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP182641,PRJNA517401,31292544,"",SRS4298242,SAMN10829889,simple,10090,Mus musculus,GSM3580981,GEO,SRA840135,07,2019,Ries,WT_RNA_seq_heatShock,WT_RNA_seq_heatShock-4,WT_RNA_seq_heatShock,mouse embryonic stem cells,24-28,E6.5 mouse,wild type,heatShock,GSM3580981
SRR8494674,40168596,562049253,13,347,SRX5299240,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP182641,PRJNA517401,31292544,"",SRS4298243,SAMN10829888,simple,10090,Mus musculus,GSM3580982,GEO,SRA840135,07,2019,Ries,WT_ribo_seq_heatShock,WT_ribo_seq_heatShock-4,WT_ribo_seq_heatShock,mouse embryonic stem cells,24-28,E6.5 mouse,wild type,heatShock,GSM3580982
SRR8494675,34458662,1729464979,50,628,SRX5299241,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP182641,PRJNA517401,31292544,"",SRS4298244,SAMN10829887,simple,10090,Mus musculus,GSM3580983,GEO,SRA840135,07,2019,Ries,WT_RNA_seq_1hRecovery,WT_RNA_seq_1hRecovery-1,WT_RNA_seq_1hRecovery,mouse embryonic stem cells,24-28,E6.5 mouse,wild type,1hRecovery,GSM3580983
SRR8494676,32225169,809727673,25,357,SRX5299242,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP182641,PRJNA517401,31292544,"",SRS4298245,SAMN10829885,simple,10090,Mus musculus,GSM3580984,GEO,SRA840135,07,2019,Ries,WT_ribo_seq_1hRecovery,WT_ribo_seq_1hRecovery-1,WT_ribo_seq_1hRecovery,mouse embryonic stem cells,24-28,E6.5 mouse,wild type,1hRecovery,GSM3580984
SRR8494677,35408370,1777641553,50,642,SRX5299243,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP182641,PRJNA517401,31292544,"",SRS4298246,SAMN10829884,simple,10090,Mus musculus,GSM3580985,GEO,SRA840135,07,2019,Ries,WT_RNA_seq_1hRecovery,WT_RNA_seq_1hRecovery-2,WT_RNA_seq_1hRecovery,mouse embryonic stem cells,24-28,E6.5 mouse,wild type,1hRecovery,GSM3580985
SRR8494678,18450628,411793329,22,189,SRX5299244,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP182641,PRJNA517401,31292544,"",SRS4298247,SAMN10829883,simple,10090,Mus musculus,GSM3580986,GEO,SRA840135,07,2019,Ries,WT_ribo_seq_1hRecovery,WT_ribo_seq_1hRecovery-2,WT_ribo_seq_1hRecovery,mouse embryonic stem cells,24-28,E6.5 mouse,wild type,1hRecovery,GSM3580986
SRR8494679,32478056,1630511600,50,590,SRX5299245,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP182641,PRJNA517401,31292544,"",SRS4298248,SAMN10829882,simple,10090,Mus musculus,GSM3580987,GEO,SRA840135,07,2019,Ries,WT_RNA_seq_1hRecovery,WT_RNA_seq_1hRecovery-3,WT_RNA_seq_1hRecovery,mouse embryonic stem cells,24-28,E6.5 mouse,wild type,1hRecovery,GSM3580987
SRR8494680,38999804,945283411,24,480,SRX5299246,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP182641,PRJNA517401,31292544,"",SRS4298249,SAMN10829881,simple,10090,Mus musculus,GSM3580988,GEO,SRA840135,07,2019,Ries,WT_ribo_seq_1hRecovery,WT_ribo_seq_1hRecovery-3,WT_ribo_seq_1hRecovery,mouse embryonic stem cells,24-28,E6.5 mouse,wild type,1hRecovery,GSM3580988
SRR8494681,32608010,1638081260,50,590,SRX5299247,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP182641,PRJNA517401,31292544,"",SRS4298250,SAMN10829869,simple,10090,Mus musculus,GSM3580989,GEO,SRA840135,07,2019,Ries,WT_RNA_seq_1hRecovery,WT_RNA_seq_1hRecovery-4,WT_RNA_seq_1hRecovery,mouse embryonic stem cells,24-28,E6.5 mouse,wild type,1hRecovery,GSM3580989
SRR8494682,35639133,708415534,19,387,SRX5299248,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP182641,PRJNA517401,31292544,"",SRS4298251,SAMN10829867,simple,10090,Mus musculus,GSM3580990,GEO,SRA840135,07,2019,Ries,WT_ribo_seq_1hRecovery,WT_ribo_seq_1hRecovery-4,WT_ribo_seq_1hRecovery,mouse embryonic stem cells,24-28,E6.5 mouse,wild type,1hRecovery,GSM3580990
SRR8494683,31225740,1567372064,50,569,SRX5299249,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP182641,PRJNA517401,31292544,"",SRS4298252,SAMN10829866,simple,10090,Mus musculus,GSM3580991,GEO,SRA840135,07,2019,Ries,Mettl14KO_RNA_seq_noStress,Mettl14KO_RNA_seq_noStress-1,Mettl14KO_RNA_seq_noStress,mouse embryonic stem cells,24-28,E6.5 mouse,Mettl14 -/-,noStress,GSM3580991
SRR8494684,35515818,824917486,23,374,SRX5299250,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP182641,PRJNA517401,31292544,"",SRS4298253,SAMN10829865,simple,10090,Mus musculus,GSM3580992,GEO,SRA840135,07,2019,Ries,Mettl14KO_ribo_seq_noStress,Mettl14KO_ribo_seq_noStress-1,Mettl14KO_ribo_seq_noStress,mouse embryonic stem cells,24-28,E6.5 mouse,Mettl14 -/-,noStress,GSM3580992
SRR8494685,32636967,1638923916,50,591,SRX5299251,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP182641,PRJNA517401,31292544,"",SRS4298254,SAMN10829864,simple,10090,Mus musculus,GSM3580993,GEO,SRA840135,07,2019,Ries,Mettl14KO_RNA_seq_noStress,Mettl14KO_RNA_seq_noStress-2,Mettl14KO_RNA_seq_noStress,mouse embryonic stem cells,24-28,E6.5 mouse,Mettl14 -/-,noStress,GSM3580993
SRR8494686,25838783,605159143,23,273,SRX5299252,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP182641,PRJNA517401,31292544,"",SRS4298255,SAMN10829863,simple,10090,Mus musculus,GSM3580994,GEO,SRA840135,07,2019,Ries,Mettl14KO_ribo_seq_noStress,Mettl14KO_ribo_seq_noStress-2,Mettl14KO_ribo_seq_noStress,mouse embryonic stem cells,24-28,E6.5 mouse,Mettl14 -/-,noStress,GSM3580994
SRR8494687,33440632,1677920887,50,608,SRX5299253,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP182641,PRJNA517401,31292544,"",SRS4298256,SAMN10829862,simple,10090,Mus musculus,GSM3580995,GEO,SRA840135,07,2019,Ries,Mettl14KO_RNA_seq_noStress,Mettl14KO_RNA_seq_noStress-3,Mettl14KO_RNA_seq_noStress,mouse embryonic stem cells,24-28,E6.5 mouse,Mettl14 -/-,noStress,GSM3580995
SRR8494688,42051348,713381387,16,410,SRX5299254,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP182641,PRJNA517401,31292544,"",SRS4298257,SAMN10829861,simple,10090,Mus musculus,GSM3580996,GEO,SRA840135,07,2019,Ries,Mettl14KO_ribo_seq_noStress,Mettl14KO_ribo_seq_noStress-3,Mettl14KO_ribo_seq_noStress,mouse embryonic stem cells,24-28,E6.5 mouse,Mettl14 -/-,noStress,GSM3580996
SRR8494689,32290585,1621138972,50,590,SRX5299255,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP182641,PRJNA517401,31292544,"",SRS4298258,SAMN10829860,simple,10090,Mus musculus,GSM3580997,GEO,SRA840135,07,2019,Ries,Mettl14KO_RNA_seq_noStress,Mettl14KO_RNA_seq_noStress-4,Mettl14KO_RNA_seq_noStress,mouse embryonic stem cells,24-28,E6.5 mouse,Mettl14 -/-,noStress,GSM3580997
SRR8494690,38815431,767330789,19,420,SRX5299256,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP182641,PRJNA517401,31292544,"",SRS4298259,SAMN10829859,simple,10090,Mus musculus,GSM3580998,GEO,SRA840135,07,2019,Ries,Mettl14KO_ribo_seq_noStress,Mettl14KO_ribo_seq_noStress-4,Mettl14KO_ribo_seq_noStress,mouse embryonic stem cells,24-28,E6.5 mouse,Mettl14 -/-,noStress,GSM3580998
SRR8494691,32462917,1630246916,50,589,SRX5299257,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP182641,PRJNA517401,31292544,"",SRS4298260,SAMN10829858,simple,10090,Mus musculus,GSM3580999,GEO,SRA840135,07,2019,Ries,Mettl14KO_RNA_seq_heatShock,Mettl14KO_RNA_seq_heatShock-1,Mettl14KO_RNA_seq_heatShock,mouse embryonic stem cells,24-28,E6.5 mouse,Mettl14 -/-,heatShock,GSM3580999
SRR8494692,42081424,959060421,22,437,SRX5299258,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP182641,PRJNA517401,31292544,"",SRS4298261,SAMN10829857,simple,10090,Mus musculus,GSM3581000,GEO,SRA840135,07,2019,Ries,Mettl14KO_ribo_seq_heatShock,Mettl14KO_ribo_seq_heatShock-1,Mettl14KO_ribo_seq_heatShock,mouse embryonic stem cells,24-28,E6.5 mouse,Mettl14 -/-,heatShock,GSM3581000
SRR8494693,32693603,1642498695,50,592,SRX5299259,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP182641,PRJNA517401,31292544,"",SRS4298262,SAMN10829856,simple,10090,Mus musculus,GSM3581001,GEO,SRA840135,07,2019,Ries,Mettl14KO_RNA_seq_heatShock,Mettl14KO_RNA_seq_heatShock-2,Mettl14KO_RNA_seq_heatShock,mouse embryonic stem cells,24-28,E6.5 mouse,Mettl14 -/-,heatShock,GSM3581001
SRR8494694,17412979,392408668,22,178,SRX5299260,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP182641,PRJNA517401,31292544,"",SRS4298263,SAMN10829855,simple,10090,Mus musculus,GSM3581002,GEO,SRA840135,07,2019,Ries,Mettl14KO_ribo_seq_heatShock,Mettl14KO_ribo_seq_heatShock-2,Mettl14KO_ribo_seq_heatShock,mouse embryonic stem cells,24-28,E6.5 mouse,Mettl14 -/-,heatShock,GSM3581002
SRR8494695,33028932,1658891908,50,599,SRX5299261,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP182641,PRJNA517401,31292544,"",SRS4298264,SAMN10829843,simple,10090,Mus musculus,GSM3581003,GEO,SRA840135,07,2019,Ries,Mettl14KO_RNA_seq_heatShock,Mettl14KO_RNA_seq_heatShock-3,Mettl14KO_RNA_seq_heatShock,mouse embryonic stem cells,24-28,E6.5 mouse,Mettl14 -/-,heatShock,GSM3581003
SRR8494696,39117525,795559881,20,429,SRX5299262,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP182641,PRJNA517401,31292544,"",SRS4298265,SAMN10829880,simple,10090,Mus musculus,GSM3581004,GEO,SRA840135,07,2019,Ries,Mettl14KO_ribo_seq_heatShock,Mettl14KO_ribo_seq_heatShock-3,Mettl14KO_ribo_seq_heatShock,mouse embryonic stem cells,24-28,E6.5 mouse,Mettl14 -/-,heatShock,GSM3581004
SRR8494697,33257444,1667186727,50,608,SRX5299263,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP182641,PRJNA517401,31292544,"",SRS4298266,SAMN10829879,simple,10090,Mus musculus,GSM3581005,GEO,SRA840135,07,2019,Ries,Mettl14KO_RNA_seq_heatShock,Mettl14KO_RNA_seq_heatShock-4,Mettl14KO_RNA_seq_heatShock,mouse embryonic stem cells,24-28,E6.5 mouse,Mettl14 -/-,heatShock,GSM3581005
SRR8494698,39204346,798273883,20,430,SRX5299264,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP182641,PRJNA517401,31292544,"",SRS4298267,SAMN10829878,simple,10090,Mus musculus,GSM3581006,GEO,SRA840135,07,2019,Ries,Mettl14KO_ribo_seq_heatShock,Mettl14KO_ribo_seq_heatShock-4,Mettl14KO_ribo_seq_heatShock,mouse embryonic stem cells,24-28,E6.5 mouse,Mettl14 -/-,heatShock,GSM3581006
SRR8494699,32447446,1629269132,50,588,SRX5299265,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP182641,PRJNA517401,31292544,"",SRS4298268,SAMN10829877,simple,10090,Mus musculus,GSM3581007,GEO,SRA840135,07,2019,Ries,Mettl14KO_RNA_seq_1hRecovery,Mettl14KO_RNA_seq_1hRecovery-1,Mettl14KO_RNA_seq_1hRecovery,mouse embryonic stem cells,24-28,E6.5 mouse,Mettl14 -/-,1hRecovery,GSM3581007
SRR8494700,48163416,1113928310,23,509,SRX5299266,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP182641,PRJNA517401,31292544,"",SRS4298269,SAMN10829876,simple,10090,Mus musculus,GSM3581008,GEO,SRA840135,07,2019,Ries,Mettl14KO_ribo_seq_1hRecovery,Mettl14KO_ribo_seq_1hRecovery-1,Mettl14KO_ribo_seq_1hRecovery,mouse embryonic stem cells,24-28,E6.5 mouse,Mettl14 -/-,1hRecovery,GSM3581008
SRR8494701,32821331,1647862240,50,593,SRX5299267,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP182641,PRJNA517401,31292544,"",SRS4298270,SAMN10829875,simple,10090,Mus musculus,GSM3581009,GEO,SRA840135,07,2019,Ries,Mettl14KO_RNA_seq_1hRecovery,Mettl14KO_RNA_seq_1hRecovery-2,Mettl14KO_RNA_seq_1hRecovery,mouse embryonic stem cells,24-28,E6.5 mouse,Mettl14 -/-,1hRecovery,GSM3581009
SRR8494702,32151946,721700206,22,335,SRX5299268,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP182641,PRJNA517401,31292544,"",SRS4298271,SAMN10829874,simple,10090,Mus musculus,GSM3581010,GEO,SRA840135,07,2019,Ries,Mettl14KO_ribo_seq_1hRecovery,Mettl14KO_ribo_seq_1hRecovery-2,Mettl14KO_ribo_seq_1hRecovery,mouse embryonic stem cells,24-28,E6.5 mouse,Mettl14 -/-,1hRecovery,GSM3581010
SRR8494703,28895109,1443132140,49,532,SRX5299269,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP182641,PRJNA517401,31292544,"",SRS4298272,SAMN10829873,simple,10090,Mus musculus,GSM3581011,GEO,SRA840135,07,2019,Ries,Mettl14KO_RNA_seq_1hRecovery,Mettl14KO_RNA_seq_1hRecovery-3,Mettl14KO_RNA_seq_1hRecovery,mouse embryonic stem cells,24-28,E6.5 mouse,Mettl14 -/-,1hRecovery,GSM3581011
SRR8494704,35767216,885515524,24,452,SRX5299270,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP182641,PRJNA517401,31292544,"",SRS4298273,SAMN10829872,simple,10090,Mus musculus,GSM3581012,GEO,SRA840135,07,2019,Ries,Mettl14KO_ribo_seq_1hRecovery,Mettl14KO_ribo_seq_1hRecovery-3,Mettl14KO_ribo_seq_1hRecovery,mouse embryonic stem cells,24-28,E6.5 mouse,Mettl14 -/-,1hRecovery,GSM3581012
SRR8494705,31355000,1568865263,50,577,SRX5299271,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP182641,PRJNA517401,31292544,"",SRS4298274,SAMN10829871,simple,10090,Mus musculus,GSM3581013,GEO,SRA840135,07,2019,Ries,Mettl14KO_RNA_seq_1hRecovery,Mettl14KO_RNA_seq_1hRecovery-4,Mettl14KO_RNA_seq_1hRecovery,mouse embryonic stem cells,24-28,E6.5 mouse,Mettl14 -/-,1hRecovery,GSM3581013
SRR8494706,28814895,597506544,20,326,SRX5299272,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP182641,PRJNA517401,31292544,"",SRS4298275,SAMN10829870,simple,10090,Mus musculus,GSM3581014,GEO,SRA840135,07,2019,Ries,Mettl14KO_ribo_seq_1hRecovery,Mettl14KO_ribo_seq_1hRecovery-4,Mettl14KO_ribo_seq_1hRecovery,mouse embryonic stem cells,24-28,E6.5 mouse,Mettl14 -/-,1hRecovery,GSM3581014
