Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,age,gender,genotype,GEO Accession
SRR11798139,21415017,2141501700,50,961,SRX8349784,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP261873,PRJNA633124,26768662,"",SRS6666405,SAMN14933603,simple,10090,Mus musculus,GSM4555955,GEO,SRA1075965,07,2020,Belle,Lin-cKit+Sca1+CD150+ bone marrow cells,CD150POS_P3_Mysm1-KO_Puma-KO,Lin-cKit+Sca1+CD150+ bone marrow cells,C57BL/6,Mice were 8-12 weeks of age.,pooled male and female,Mysm1-/- Puma-/-,GSM4555955
SRR11798140,30515342,3051534200,50,1354,SRX8349785,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP261873,PRJNA633124,26768662,"",SRS6666403,SAMN14933602,simple,10090,Mus musculus,GSM4555957,GEO,SRA1075965,07,2020,Belle,Lin-cKit+Sca1+CD150+ bone marrow cells,CD150POS_C1-4_Mysm1-WT_Puma-KO,Lin-cKit+Sca1+CD150+ bone marrow cells,C57BL/6,Mice were 8-12 weeks of age.,pooled male and female,Mysm1+/+ Puma-/-,GSM4555957
SRR11798141,28143145,2814314500,50,1247,SRX8349786,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP261873,PRJNA633124,26768662,"",SRS6666404,SAMN14933601,simple,10090,Mus musculus,GSM4555959,GEO,SRA1075965,07,2020,Belle,Lin-cKit+Sca1+CD150+ bone marrow cells,CD150POS_C2-5_Mysm1-WT_Puma-KO,Lin-cKit+Sca1+CD150+ bone marrow cells,C57BL/6,Mice were 8-12 weeks of age.,pooled male and female,Mysm1+/+ Puma-/-,GSM4555959
SRR11798142,24958178,2495817800,50,1070,SRX8349787,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP261873,PRJNA633124,26768662,"",SRS6666406,SAMN14933600,simple,10090,Mus musculus,GSM4555962,GEO,SRA1075965,07,2020,Belle,Lin-cKit+Sca1+CD150+ bone marrow cells,CD150POS_D1_Mysm1-WT_Puma-WT,Lin-cKit+Sca1+CD150+ bone marrow cells,C57BL/6,Mice were 8-12 weeks of age.,pooled male and female,Mysm1+/+ Puma+/+,GSM4555962
SRR11798143,28580160,2858016000,50,1225,SRX8349788,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP261873,PRJNA633124,26768662,"",SRS6666407,SAMN14933599,simple,10090,Mus musculus,GSM4555965,GEO,SRA1075965,07,2020,Belle,Lin-cKit+Sca1+CD150+ bone marrow cells,CD150POS_D2_Mysm1-WT_Puma-WT,Lin-cKit+Sca1+CD150+ bone marrow cells,C57BL/6,Mice were 8-12 weeks of age.,pooled male and female,Mysm1+/+ Puma+/+,GSM4555965
SRR11798144,33223156,3322315600,50,1435,SRX8349789,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP261873,PRJNA633124,26768662,"",SRS6666408,SAMN14933598,simple,10090,Mus musculus,GSM4555967,GEO,SRA1075965,07,2020,Belle,Lin-cKit+Sca1+CD150+ bone marrow cells,CD150POS_D3-4_Mysm1-WT_Puma-WT,Lin-cKit+Sca1+CD150+ bone marrow cells,C57BL/6,Mice were 8-12 weeks of age.,pooled male and female,Mysm1+/+ Puma+/+,GSM4555967
SRR11798145,27037338,2703733800,50,1216,SRX8349790,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP261873,PRJNA633124,26768662,"",SRS6666409,SAMN14933583,simple,10090,Mus musculus,GSM4555969,GEO,SRA1075965,07,2020,Belle,Lin-cKit+Sca1+CD150+ bone marrow cells,CD150POS_W1_Mysm1-WT_Puma-WT,Lin-cKit+Sca1+CD150+ bone marrow cells,C57BL/6,Mice were 8-12 weeks of age.,pooled male and female,Mysm1+/+ Puma+/+,GSM4555969
SRR11798146,35388126,3538812600,50,1447,SRX8349791,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP261873,PRJNA633124,26768662,"",SRS6666410,SAMN14933582,simple,10090,Mus musculus,GSM4555970,GEO,SRA1075965,07,2020,Belle,Lin-cKit+Sca1+CD150- bone marrow cells,CD150NEG_A1_Mysm1-KO_Puma-HET,Lin-cKit+Sca1+CD150- bone marrow cells,C57BL/6,Mice were 8-12 weeks of age.,pooled male and female,Mysm1-/- Puma+/-,GSM4555970
SRR11798147,34094927,3409492700,50,1397,SRX8349792,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP261873,PRJNA633124,26768662,"",SRS6666411,SAMN14933581,simple,10090,Mus musculus,GSM4555971,GEO,SRA1075965,07,2020,Belle,Lin-cKit+Sca1+CD150- bone marrow cells,CD150NEG_A2_Mysm1-KO_Puma-HET,Lin-cKit+Sca1+CD150- bone marrow cells,C57BL/6,Mice were 8-12 weeks of age.,pooled male and female,Mysm1-/- Puma+/-,GSM4555971
SRR11798148,29631848,2963184800,50,1210,SRX8349793,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP261873,PRJNA633124,26768662,"",SRS6666412,SAMN14933580,simple,10090,Mus musculus,GSM4555972,GEO,SRA1075965,07,2020,Belle,Lin-cKit+Sca1+CD150- bone marrow cells,CD150NEG_A3_Mysm1-KO_Puma-HET,Lin-cKit+Sca1+CD150- bone marrow cells,C57BL/6,Mice were 8-12 weeks of age.,pooled male and female,Mysm1-/- Puma+/-,GSM4555972
SRR11798149,48757523,4875752300,50,1996,SRX8349794,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP261873,PRJNA633124,26768662,"",SRS6666413,SAMN14933579,simple,10090,Mus musculus,GSM4555973,GEO,SRA1075965,07,2020,Belle,Lin-cKit+Sca1+CD150- bone marrow cells,CD150NEG_B1_Mysm1-KO_Puma-KO,Lin-cKit+Sca1+CD150- bone marrow cells,C57BL/6,Mice were 8-12 weeks of age.,pooled male and female,Mysm1-/- Puma-/-,GSM4555973
SRR11798150,39067013,3906701300,50,1595,SRX8349795,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP261873,PRJNA633124,26768662,"",SRS6666416,SAMN14933578,simple,10090,Mus musculus,GSM4555974,GEO,SRA1075965,07,2020,Belle,Lin-cKit+Sca1+CD150- bone marrow cells,CD150NEG_B3_Mysm1-KO_Puma-KO,Lin-cKit+Sca1+CD150- bone marrow cells,C57BL/6,Mice were 8-12 weeks of age.,pooled male and female,Mysm1-/- Puma-/-,GSM4555974
SRR11798151,35489046,3548904600,50,1449,SRX8349796,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP261873,PRJNA633124,26768662,"",SRS6666414,SAMN14933577,simple,10090,Mus musculus,GSM4555975,GEO,SRA1075965,07,2020,Belle,Lin-cKit+Sca1+CD150- bone marrow cells,CD150NEG_B5_Mysm1-KO_Puma-KO,Lin-cKit+Sca1+CD150- bone marrow cells,C57BL/6,Mice were 8-12 weeks of age.,pooled male and female,Mysm1-/- Puma-/-,GSM4555975
SRR11798152,38980726,3898072600,50,1613,SRX8349797,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP261873,PRJNA633124,26768662,"",SRS6666415,SAMN14933576,simple,10090,Mus musculus,GSM4555976,GEO,SRA1075965,07,2020,Belle,Lin-cKit+Sca1+CD150- bone marrow cells,CD150NEG_C2_Mysm1-WT_Puma-KO,Lin-cKit+Sca1+CD150- bone marrow cells,C57BL/6,Mice were 8-12 weeks of age.,pooled male and female,Mysm1+/+ Puma-/-,GSM4555976
SRR11798153,41527340,4152734000,50,1715,SRX8349798,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP261873,PRJNA633124,26768662,"",SRS6666417,SAMN14933575,simple,10090,Mus musculus,GSM4555977,GEO,SRA1075965,07,2020,Belle,Lin-cKit+Sca1+CD150- bone marrow cells,CD150NEG_C3_Mysm1-WT_Puma-KO,Lin-cKit+Sca1+CD150- bone marrow cells,C57BL/6,Mice were 8-12 weeks of age.,pooled male and female,Mysm1+/+ Puma-/-,GSM4555977
SRR11798154,34874036,3487403600,50,1438,SRX8349799,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP261873,PRJNA633124,26768662,"",SRS6666418,SAMN14933574,simple,10090,Mus musculus,GSM4555978,GEO,SRA1075965,07,2020,Belle,Lin-cKit+Sca1+CD150- bone marrow cells,CD150NEG_C5_Mysm1-WT_Puma-KO,Lin-cKit+Sca1+CD150- bone marrow cells,C57BL/6,Mice were 8-12 weeks of age.,pooled male and female,Mysm1+/+ Puma-/-,GSM4555978
SRR11798155,26973317,2697331700,50,1108,SRX8349800,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP261873,PRJNA633124,26768662,"",SRS6666419,SAMN14933573,simple,10090,Mus musculus,GSM4555979,GEO,SRA1075965,07,2020,Belle,Lin-cKit+Sca1+CD150- bone marrow cells,CD150NEG_D2_Mysm1-WT_Puma-WT,Lin-cKit+Sca1+CD150- bone marrow cells,C57BL/6,Mice were 8-12 weeks of age.,pooled male and female,Mysm1+/+ Puma+/+,GSM4555979
SRR11798156,43199798,4319979800,50,1783,SRX8349801,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP261873,PRJNA633124,26768662,"",SRS6666420,SAMN14933572,simple,10090,Mus musculus,GSM4555980,GEO,SRA1075965,07,2020,Belle,Lin-cKit+Sca1+CD150- bone marrow cells,CD150NEG_D3_Mysm1-WT_Puma-WT,Lin-cKit+Sca1+CD150- bone marrow cells,C57BL/6,Mice were 8-12 weeks of age.,pooled male and female,Mysm1+/+ Puma+/+,GSM4555980
SRR11798157,40011305,4001130500,50,1657,SRX8349802,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP261873,PRJNA633124,26768662,"",SRS6666421,SAMN14933571,simple,10090,Mus musculus,GSM4555981,GEO,SRA1075965,07,2020,Belle,Lin-cKit+Sca1+CD150- bone marrow cells,CD150NEG_D4_Mysm1-WT_Puma-WT,Lin-cKit+Sca1+CD150- bone marrow cells,C57BL/6,Mice were 8-12 weeks of age.,pooled male and female,Mysm1+/+ Puma+/+,GSM4555981
