Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,developmental stage,batch,strain,rna subtype,GEO Accession
SRR914338,59233837,2961691850,50,1997,SRX311784,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP026198,PRJNA208993,24098135,"",SRS449536,SAMN02209118,simple,6239,Caenorhabditis elegans,GSM1169553,GEO,SRA091389,06,2013,Stadler,population-whole animal,Celeg-2-FED-RPF,population-whole animal,L1 fed 3 hours,2,N2,ribosome protected fragments,GSM1169553
SRR914339,20213950,727702200,36,426,SRX311785,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP026198,PRJNA208993,24098135,"",SRS449537,SAMN02209117,simple,6239,Caenorhabditis elegans,GSM1169554,GEO,SRA091389,07,2015,Stadler,population-whole animal,Celeg-3-FED-RPF,population-whole animal,L1 fed 3 hours,3,N2,ribosome protected fragments,GSM1169554
SRR914340,17158769,857938450,50,577,SRX311786,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP026198,PRJNA208993,24098135,"",SRS449538,SAMN02209119,simple,6238,Caenorhabditis briggsae,GSM1169555,GEO,SRA091389,06,2013,Stadler,population-whole animal,Cbrigg-1-ST-mRNA,population-whole animal,L1 diapause,1,AF16,total mRNA,GSM1169555
SRR914341,20359873,1017993650,50,688,SRX311787,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP026198,PRJNA208993,24098135,"",SRS449539,SAMN02209120,simple,6238,Caenorhabditis briggsae,GSM1169556,GEO,SRA091389,06,2013,Stadler,population-whole animal,Cbrigg-2-ST-mRNA,population-whole animal,L1 diapause,2,AF16,total mRNA,GSM1169556
SRR914342,25051625,1252581250,50,835,SRX311788,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP026198,PRJNA208993,24098135,"",SRS449540,SAMN02209121,simple,6238,Caenorhabditis briggsae,GSM1169557,GEO,SRA091389,06,2013,Stadler,population-whole animal,Cbrigg-3-ST-mRNA,population-whole animal,L1 diapause,3,AF16,total mRNA,GSM1169557
SRR914343,12085872,604293600,50,410,SRX311789,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP026198,PRJNA208993,24098135,"",SRS449541,SAMN02209122,simple,6238,Caenorhabditis briggsae,GSM1169558,GEO,SRA091389,06,2013,Stadler,population-whole animal,Cbrigg-1-FED-mRNA,population-whole animal,L1 fed 3 hours,1,AF16,total mRNA,GSM1169558
SRR914344,24088058,1204402900,50,798,SRX311790,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP026198,PRJNA208993,24098135,"",SRS449542,SAMN02209123,simple,6238,Caenorhabditis briggsae,GSM1169559,GEO,SRA091389,06,2013,Stadler,population-whole animal,Cbrigg-2-FED-mRNA,population-whole animal,L1 fed 3 hours,2,AF16,total mRNA,GSM1169559
SRR914345,20793569,1039678450,50,694,SRX311791,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP026198,PRJNA208993,24098135,"",SRS449543,SAMN02209124,simple,6238,Caenorhabditis briggsae,GSM1169560,GEO,SRA091389,06,2013,Stadler,population-whole animal,Cbrigg-3-FED-mRNA,population-whole animal,L1 fed 3 hours,3,AF16,total mRNA,GSM1169560
SRR914346,32278756,1613937800,50,1066,SRX311792,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP026198,PRJNA208993,24098135,"",SRS449544,SAMN02209125,simple,6238,Caenorhabditis briggsae,GSM1169561,GEO,SRA091389,06,2013,Stadler,population-whole animal,Cbrigg-1-ST-RPF,population-whole animal,L1 diapause,1,AF16,ribosome protected fragments,GSM1169561
SRR914347,22138948,797002128,36,437,SRX311793,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP026198,PRJNA208993,24098135,"",SRS449545,SAMN02209126,simple,6238,Caenorhabditis briggsae,GSM1169562,GEO,SRA091389,07,2015,Stadler,population-whole animal,Cbrigg-2-ST-RPF,population-whole animal,L1 diapause,2,AF16,ribosome protected fragments,GSM1169562
SRR914348,46448757,2322437850,50,1576,SRX311794,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP026198,PRJNA208993,24098135,"",SRS449546,SAMN02209127,simple,6238,Caenorhabditis briggsae,GSM1169563,GEO,SRA091389,06,2013,Stadler,population-whole animal,Cbrigg-3-ST-RPF,population-whole animal,L1 diapause,3,AF16,ribosome protected fragments,GSM1169563
SRR914349,14966563,538796268,36,292,SRX311795,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP026198,PRJNA208993,24098135,"",SRS449547,SAMN02209129,simple,6238,Caenorhabditis briggsae,GSM1169564,GEO,SRA091389,07,2015,Stadler,population-whole animal,Cbrigg-1-FED-RPF,population-whole animal,L1 fed 3 hours,1,AF16,ribosome protected fragments,GSM1169564
SRR914350,29502767,1475138350,50,990,SRX311796,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP026198,PRJNA208993,24098135,"",SRS449548,SAMN02209136,simple,6238,Caenorhabditis briggsae,GSM1169565,GEO,SRA091389,06,2013,Stadler,population-whole animal,Cbrigg-2-FED-RPF,population-whole animal,L1 fed 3 hours,2,AF16,ribosome protected fragments,GSM1169565
SRR914351,40297575,2014878750,50,1339,SRX311797,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP026198,PRJNA208993,24098135,"",SRS449549,SAMN02209132,simple,6238,Caenorhabditis briggsae,GSM1169566,GEO,SRA091389,06,2013,Stadler,population-whole animal,Cbrigg-3-FED-RPF,population-whole animal,L1 fed 3 hours,3,AF16,ribosome protected fragments,GSM1169566
SRR914352,19209991,960499550,50,644,SRX311798,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP026198,PRJNA208993,24098135,"",SRS449550,SAMN02209130,simple,31234,Caenorhabditis remanei,GSM1169567,GEO,SRA091389,06,2013,Stadler,population-whole animal,Crem-1-ST-mRNA,population-whole animal,L1 diapause,1,PB4641,total mRNA,GSM1169567
SRR914353,15451270,772563500,50,527,SRX311799,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP026198,PRJNA208993,24098135,"",SRS449551,SAMN02209138,simple,31234,Caenorhabditis remanei,GSM1169568,GEO,SRA091389,06,2013,Stadler,population-whole animal,Crem-2-ST-mRNA,population-whole animal,L1 diapause,2,PB4641,total mRNA,GSM1169568
SRR914354,27382382,1369119100,50,908,SRX311800,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP026198,PRJNA208993,24098135,"",SRS449552,SAMN02209133,simple,31234,Caenorhabditis remanei,GSM1169569,GEO,SRA091389,06,2013,Stadler,population-whole animal,Crem-3-ST-mRNA,population-whole animal,L1 diapause,3,PB4641,total mRNA,GSM1169569
SRR914355,22214486,1110724300,50,746,SRX311801,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP026198,PRJNA208993,24098135,"",SRS449553,SAMN02209131,simple,31234,Caenorhabditis remanei,GSM1169570,GEO,SRA091389,06,2013,Stadler,population-whole animal,Crem-1-FED-mRNA,population-whole animal,L1 fed 3 hours,1,PB4641,total mRNA,GSM1169570
SRR914356,26251965,1968897375,75,1116,SRX311802,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP026198,PRJNA208993,24098135,"",SRS449554,SAMN02209137,simple,31234,Caenorhabditis remanei,GSM1169571,GEO,SRA091389,06,2013,Stadler,population-whole animal,Crem-2-FED-mRNA,population-whole animal,L1 fed 3 hours,2,PB4641,total mRNA,GSM1169571
SRR914357,23074471,1153723550,50,770,SRX311803,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP026198,PRJNA208993,24098135,"",SRS449555,SAMN02209135,simple,31234,Caenorhabditis remanei,GSM1169572,GEO,SRA091389,06,2013,Stadler,population-whole animal,Crem-3-FED-mRNA,population-whole animal,L1 fed 3 hours,3,PB4641,total mRNA,GSM1169572
SRR914358,30171907,1508595350,50,1000,SRX311804,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP026198,PRJNA208993,24098135,"",SRS449556,SAMN02209134,simple,31234,Caenorhabditis remanei,GSM1169573,GEO,SRA091389,06,2013,Stadler,population-whole animal,Crem-1-ST-RPF,population-whole animal,L1 diapause,1,PB4641,ribosome protected fragments,GSM1169573
SRR914359,19031000,685116000,36,383,SRX311805,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP026198,PRJNA208993,24098135,"",SRS449557,SAMN02209139,simple,31234,Caenorhabditis remanei,GSM1169574,GEO,SRA091389,07,2015,Stadler,population-whole animal,Crem-2-ST-RPF,population-whole animal,L1 diapause,2,PB4641,ribosome protected fragments,GSM1169574
SRR914360,34005616,1700280800,50,1127,SRX311806,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP026198,PRJNA208993,24098135,"",SRS449558,SAMN02209140,simple,31234,Caenorhabditis remanei,GSM1169575,GEO,SRA091389,06,2013,Stadler,population-whole animal,Crem-3-ST-RPF,population-whole animal,L1 diapause,3,PB4641,ribosome protected fragments,GSM1169575
SRR914361,20407402,734666472,36,417,SRX311807,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP026198,PRJNA208993,24098135,"",SRS449559,SAMN02209141,simple,31234,Caenorhabditis remanei,GSM1169576,GEO,SRA091389,07,2015,Stadler,population-whole animal,Crem-1-FED-RPF,population-whole animal,L1 fed 3 hours,1,PB4641,ribosome protected fragments,GSM1169576
SRR914362,59376273,2968813650,50,1996,SRX311808,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP026198,PRJNA208993,24098135,"",SRS449560,SAMN02209146,simple,31234,Caenorhabditis remanei,GSM1169577,GEO,SRA091389,06,2013,Stadler,population-whole animal,Crem-2-FED-RPF,population-whole animal,L1 fed 3 hours,2,PB4641,ribosome protected fragments,GSM1169577
SRR914363,46699245,3502443375,75,2016,SRX311809,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP026198,PRJNA208993,24098135,"",SRS449561,SAMN02209142,simple,31234,Caenorhabditis remanei,GSM1169578,GEO,SRA091389,06,2013,Stadler,population-whole animal,Crem-3-FED-RPF,population-whole animal,L1 fed 3 hours,3,PB4641,ribosome protected fragments,GSM1169578
SRR914364,21678970,1083948500,50,726,SRX311810,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP026198,PRJNA208993,24098135,"",SRS449562,SAMN02209144,simple,135651,Caenorhabditis brenneri,GSM1169579,GEO,SRA091389,06,2013,Stadler,population-whole animal,Cbrenn-1-ST-mRNA,population-whole animal,L1 diapause,1,PB2801,total mRNA,GSM1169579
SRR914365,22790837,1139541850,50,747,SRX311811,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP026198,PRJNA208993,24098135,"",SRS449563,SAMN02209147,simple,135651,Caenorhabditis brenneri,GSM1169580,GEO,SRA091389,06,2013,Stadler,population-whole animal,Cbrenn-2-ST-mRNA,population-whole animal,L1 diapause,2,PB2801,total mRNA,GSM1169580
SRR914366,33380233,2503517475,75,1417,SRX311812,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP026198,PRJNA208993,24098135,"",SRS449564,SAMN02209143,simple,135651,Caenorhabditis brenneri,GSM1169581,GEO,SRA091389,06,2013,Stadler,population-whole animal,Cbrenn-3-ST-mRNA,population-whole animal,L1 diapause,3,PB2801,total mRNA,GSM1169581
SRR914367,27746822,1387341100,50,919,SRX311813,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP026198,PRJNA208993,24098135,"",SRS449565,SAMN02209145,simple,135651,Caenorhabditis brenneri,GSM1169582,GEO,SRA091389,06,2013,Stadler,population-whole animal,Cbrenn-1-FED-mRNA,population-whole animal,L1 fed 3 hours,1,PB2801,total mRNA,GSM1169582
SRR914368,20537991,1026899550,50,700,SRX311814,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP026198,PRJNA208993,24098135,"",SRS449566,SAMN02209150,simple,135651,Caenorhabditis brenneri,GSM1169583,GEO,SRA091389,06,2013,Stadler,population-whole animal,Cbrenn-2-FED-mRNA,population-whole animal,L1 fed 3 hours,2,PB2801,total mRNA,GSM1169583
SRR914369,37634506,2822587950,75,1596,SRX311815,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP026198,PRJNA208993,24098135,"",SRS449567,SAMN02209148,simple,135651,Caenorhabditis brenneri,GSM1169584,GEO,SRA091389,06,2013,Stadler,population-whole animal,Cbrenn-3-FED-mRNA,population-whole animal,L1 fed 3 hours,3,PB2801,total mRNA,GSM1169584
SRR914370,31461064,1573053200,50,1063,SRX311816,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP026198,PRJNA208993,24098135,"",SRS449568,SAMN02209149,simple,135651,Caenorhabditis brenneri,GSM1169585,GEO,SRA091389,06,2013,Stadler,population-whole animal,Cbrenn-1-ST-RPF,population-whole animal,L1 diapause,1,PB2801,ribosome protected fragments,GSM1169585
SRR914371,51975404,2598770200,50,1740,SRX311817,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP026198,PRJNA208993,24098135,"",SRS449569,SAMN02209151,simple,135651,Caenorhabditis brenneri,GSM1169586,GEO,SRA091389,06,2013,Stadler,population-whole animal,Cbrenn-2-ST-RPF,population-whole animal,L1 diapause,2,PB2801,ribosome protected fragments,GSM1169586
SRR914372,47932299,3594922425,75,2080,SRX311818,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP026198,PRJNA208993,24098135,"",SRS449570,SAMN02209153,simple,135651,Caenorhabditis brenneri,GSM1169587,GEO,SRA091389,06,2013,Stadler,population-whole animal,Cbrenn-3-ST-RPF,population-whole animal,L1 diapause,3,PB2801,ribosome protected fragments,GSM1169587
SRR914373,41937377,2096868850,50,1421,SRX311819,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP026198,PRJNA208993,24098135,"",SRS449571,SAMN02209152,simple,135651,Caenorhabditis brenneri,GSM1169588,GEO,SRA091389,06,2013,Stadler,population-whole animal,Cbrenn-1-FED-RPF,population-whole animal,L1 fed 3 hours,1,PB2801,ribosome protected fragments,GSM1169588
SRR914374,43271007,2163550350,50,1452,SRX311820,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP026198,PRJNA208993,24098135,"",SRS449572,SAMN02209154,simple,135651,Caenorhabditis brenneri,GSM1169589,GEO,SRA091389,06,2013,Stadler,population-whole animal,Cbrenn-2-FED-RPF,population-whole animal,L1 fed 3 hours,2,PB2801,ribosome protected fragments,GSM1169589
SRR914375,23285884,1746441300,75,967,SRX311821,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP026198,PRJNA208993,24098135,"",SRS449573,SAMN02209155,simple,135651,Caenorhabditis brenneri,GSM1169590,GEO,SRA091389,06,2013,Stadler,population-whole animal,Cbrenn-3-FED-RPF,population-whole animal,L1 fed 3 hours,3,PB2801,ribosome protected fragments,GSM1169590
