Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,tissue,host,isolation_source,collection_date,geo_loc_name,lat_lon,treatment,BioSampleModel,GEO Accession
SRR11186592,43246815,3286757940,76,1218,SRX7806876,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP250834,PRJNA608916,32641826,"",SRS6219911,SAMN14213178,simple,10090,Mus musculus,GSM4340766,GEO,SRA1048443,03,2020,Muller,Immunoprecipitated ribosome-bound mRNA from the celiac superior mesenteric ganglion of germ free Snap25:RiboTag mice,CGSMG_Snap25_ip_GF_3,Immunoprecipitated ribosome-bound mRNA from the celiac superior mesenteric ganglion of germ free Snap25:RiboTag mice,Snap25:RiboTag,Celiac superior mesenteric ganglion,,,,,,,,GSM4340766
SRR11186593,30090446,2286873896,76,826,SRX7806877,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP250834,PRJNA608916,32641826,"",SRS6219912,SAMN14213177,simple,10090,Mus musculus,GSM4340767,GEO,SRA1048443,03,2020,Muller,Immunoprecipitated ribosome-bound mRNA from the left and right nodose ganglion of SNS:RiboTag mice,SNS_NG_ip_1,Immunoprecipitated ribosome-bound mRNA from the left and right nodose ganglion of SNS:RiboTag mice,SNS:RiboTag,Left and right nodose ganglion,,,,,,,,GSM4340767
SRR11186594,30691947,2332587972,76,851,SRX7806878,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP250834,PRJNA608916,32641826,"",SRS6219913,SAMN14213176,simple,10090,Mus musculus,GSM4340768,GEO,SRA1048443,03,2020,Muller,Immunoprecipitated ribosome-bound mRNA from the left and right nodose ganglion of SNS:RiboTag mice,SNS_NG_ip_2,Immunoprecipitated ribosome-bound mRNA from the left and right nodose ganglion of SNS:RiboTag mice,SNS:RiboTag,Left and right nodose ganglion,,,,,,,,GSM4340768
SRR11186595,24988711,1899142036,76,694,SRX7806879,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP250834,PRJNA608916,32641826,"",SRS6219914,SAMN14213175,simple,10090,Mus musculus,GSM4340769,GEO,SRA1048443,03,2020,Muller,Immunoprecipitated ribosome-bound mRNA from the left and right nodose ganglion of SNS:RiboTag mice,SNS_NG_ip_3,Immunoprecipitated ribosome-bound mRNA from the left and right nodose ganglion of SNS:RiboTag mice,SNS:RiboTag,Left and right nodose ganglion,,,,,,,,GSM4340769
SRR11186596,31253977,2375302252,76,856,SRX7806880,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP250834,PRJNA608916,32641826,"",SRS6219915,SAMN14213174,simple,10090,Mus musculus,GSM4340770,GEO,SRA1048443,03,2020,Muller,Immunoprecipitated ribosome-bound mRNA from the left and right nodose ganglion of SNS:RiboTag mice,SNS_NG_ip_4,Immunoprecipitated ribosome-bound mRNA from the left and right nodose ganglion of SNS:RiboTag mice,SNS:RiboTag,Left and right nodose ganglion,,,,,,,,GSM4340770
SRR11186597,30240458,2298274808,76,831,SRX7806881,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP250834,PRJNA608916,32641826,"",SRS6219916,SAMN14213173,simple,10090,Mus musculus,GSM4340771,GEO,SRA1048443,03,2020,Muller,Immunoprecipitated ribosome-bound mRNA from the left and right nodose ganglion of Nav1.8:RiboTag mice,Nav1.8_NG_ip_1,Immunoprecipitated ribosome-bound mRNA from the left and right nodose ganglion of Nav1.8:RiboTag mice,Nav1.8:RiboTag,Left and right nodose ganglion,,,,,,,,GSM4340771
SRR11186598,32911958,2501308808,76,906,SRX7806882,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP250834,PRJNA608916,32641826,"",SRS6219917,SAMN14213172,simple,10090,Mus musculus,GSM4340772,GEO,SRA1048443,03,2020,Muller,Immunoprecipitated ribosome-bound mRNA from the left and right nodose ganglion of Nav1.8:RiboTag mice,Nav1.8_NG_ip_2,Immunoprecipitated ribosome-bound mRNA from the left and right nodose ganglion of Nav1.8:RiboTag mice,Nav1.8:RiboTag,Left and right nodose ganglion,,,,,,,,GSM4340772
SRR11186599,33732275,2563652900,76,934,SRX7806883,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP250834,PRJNA608916,32641826,"",SRS6219918,SAMN14213171,simple,10090,Mus musculus,GSM4340773,GEO,SRA1048443,03,2020,Muller,Immunoprecipitated ribosome-bound mRNA from the left and right nodose ganglion of Advillin:RiboTag mice,Advillin_NG_ip_1,Immunoprecipitated ribosome-bound mRNA from the left and right nodose ganglion of Advillin:RiboTag mice,Advillin:RiboTag,Left and right nodose ganglion,,,,,,,,GSM4340773
SRR11186600,25595032,1945222432,76,715,SRX7806884,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP250834,PRJNA608916,32641826,"",SRS6219919,SAMN14213170,simple,10090,Mus musculus,GSM4340774,GEO,SRA1048443,03,2020,Muller,Immunoprecipitated ribosome-bound mRNA from the left and right nodose ganglion of Advillin:RiboTag mice,Advillin_NG_ip_2,Immunoprecipitated ribosome-bound mRNA from the left and right nodose ganglion of Advillin:RiboTag mice,Advillin:RiboTag,Left and right nodose ganglion,,,,,,,,GSM4340774
SRR11351182,224082,112041000,250,78,SRX7953030,Strep_24hrs_B6_Cecal_1,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP250834,PRJNA608916,32641826,"",SRS6339331,SAMN14402295,simple,410661,mouse gut metagenome,Strep_24hrs_B6_Cecal_1,The Rockefeller university,SRA1056600,03,2020,Muller,"","",,,,Mus musculus,C57BL/6J Cecal Feces,2018-08-28,USA: New York,40.76250000 N 73.95555556 W,Streptomycin_1,Metagenome or environmental,GSM4340751
SRR11351181,185483,92741500,250,63,SRX7953031,Strep_24hrs_B6_Cecal_2,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP250834,PRJNA608916,32641826,"",SRS6339332,SAMN14402296,simple,410661,mouse gut metagenome,Strep_24hrs_B6_Cecal_2,The Rockefeller university,SRA1056600,03,2020,Muller,"","",,,,Mus musculus,C57BL/6J Cecal Feces,2018-08-28,USA: New York,40.76250000 N 73.95555556 W,Streptomycin_2,Metagenome or environmental,GSM4340752
SRR11351180,238484,119242000,250,82,SRX7953032,Strep_24hrs_B6_Cecal_3,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP250834,PRJNA608916,32641826,"",SRS6339333,SAMN14402297,simple,410661,mouse gut metagenome,Strep_24hrs_B6_Cecal_3,The Rockefeller university,SRA1056600,03,2020,Muller,"","",,,,Mus musculus,C57BL/6J Cecal Feces,2018-08-28,USA: New York,40.76250000 N 73.95555556 W,Streptomycin_3,Metagenome or environmental,GSM4340753
SRR11351179,307734,153867000,250,106,SRX7953033,Strep_24hrs_B6_Cecal_4,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP250834,PRJNA608916,32641826,"",SRS6339334,SAMN14402298,simple,410661,mouse gut metagenome,Strep_24hrs_B6_Cecal_4,The Rockefeller university,SRA1056600,03,2020,Muller,"","",,,,Mus musculus,C57BL/6J Cecal Feces,2018-08-28,USA: New York,40.76250000 N 73.95555556 W,Streptomycin_4,Metagenome or environmental,GSM4340754
SRR11351178,180569,90284500,250,61,SRX7953034,Strep_24hrs_B6_Cecal_5,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP250834,PRJNA608916,32641826,"",SRS6339335,SAMN14402299,simple,410661,mouse gut metagenome,Strep_24hrs_B6_Cecal_5,The Rockefeller university,SRA1056600,03,2020,Muller,"","",,,,Mus musculus,C57BL/6J Cecal Feces,2018-08-28,USA: New York,40.76250000 N 73.95555556 W,Streptomycin_5,Metagenome or environmental,GSM4340755
SRR11351177,193218,96609000,250,63,SRX7953035,PBS_24hrs_B6_Cecal_1,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP250834,PRJNA608916,32641826,"",SRS6339336,SAMN14402300,simple,410661,mouse gut metagenome,PBS_24hrs_B6_Cecal_1,The Rockefeller university,SRA1056600,03,2020,Muller,"","",,,,Mus musculus,C57BL/6J Cecal Feces,2018-08-28,USA: New York,40.76250000 N 73.95555556 W,PBS_1,Metagenome or environmental,GSM4340756
SRR11351176,137818,68909000,250,45,SRX7953036,PBS_24hrs_B6_Cecal_2,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP250834,PRJNA608916,32641826,"",SRS6339337,SAMN14402301,simple,410661,mouse gut metagenome,PBS_24hrs_B6_Cecal_2,The Rockefeller university,SRA1056600,03,2020,Muller,"","",,,,Mus musculus,C57BL/6J Cecal Feces,2018-08-28,USA: New York,40.76250000 N 73.95555556 W,PBS_2,Metagenome or environmental,GSM4340757
SRR11351175,226021,113010500,250,76,SRX7953037,PBS_24hrs_B6_Cecal_3,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP250834,PRJNA608916,32641826,"",SRS6339338,SAMN14402302,simple,410661,mouse gut metagenome,PBS_24hrs_B6_Cecal_3,The Rockefeller university,SRA1056600,03,2020,Muller,"","",,,,Mus musculus,C57BL/6J Cecal Feces,2018-08-28,USA: New York,40.76250000 N 73.95555556 W,PBS_3,Metagenome or environmental,GSM4340758
SRR11351174,191210,95605000,250,63,SRX7953038,PBS_24hrs_B6_Cecal_4,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP250834,PRJNA608916,32641826,"",SRS6339339,SAMN14402303,simple,410661,mouse gut metagenome,PBS_24hrs_B6_Cecal_4,The Rockefeller university,SRA1056600,03,2020,Muller,"","",,,,Mus musculus,C57BL/6J Cecal Feces,2018-08-28,USA: New York,40.76250000 N 73.95555556 W,PBS_4,Metagenome or environmental,GSM4340759
SRR11351173,242084,121042000,250,81,SRX7953039,PBS_24hrs_B6_Cecal_5,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP250834,PRJNA608916,32641826,"",SRS6339340,SAMN14402304,simple,410661,mouse gut metagenome,PBS_24hrs_B6_Cecal_5,The Rockefeller university,SRA1056600,03,2020,Muller,"","",,,,Mus musculus,C57BL/6J Cecal Feces,2018-08-28,USA: New York,40.76250000 N 73.95555556 W,PBS_5,Metagenome or environmental,GSM4340760
