Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,treatment,genetic background,cell line,treatment,GEO Accession
SRR315603,19226418,769056720,40,380,SRX084816,"GSM765293: ES cell feeder-free, w/ LIF 60 s emetine ribo_mesc_emet Illumina GAII",RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP007567,PRJNA144149,22056041,"",SRS242020,SAMN00672691,simple,10090,Mus musculus,GSM765293,GEO,SRA043500,11,2011,Ingolia,ES cell,"ES cell feeder-free, w/ LIF 60 s emetine ribo_mesc_emet Illumina GAII",ES cell,"ES cell feeder-free, w/ LIF 90 s HRT (1 ug/ml) then 60 s CYH (100 ug/ul)",129/Ola,E14,,GSM765297
SRR315604,16889537,675581480,40,395,SRX084817,"GSM765294: ES cell feeder-free, w/ LIF 120 s HRT (1 ug/ml) then 60 s CYH (100 ug/ml) ribo_mesc_harr120s Illumina GAII",RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP007567,PRJNA144149,22056041,"",SRS242021,SAMN00672692,simple,10090,Mus musculus,GSM765294,GEO,SRA043500,11,2011,Ingolia,ES cell,"ES cell feeder-free, w/ LIF 120 s HRT (1 ug/ml) then 60 s CYH (100 ug/ml) ribo_mesc_harr120s Illumina GAII",ES cell,"ES cell feeder-free, w/ LIF",129/Ola,E14,,GSM765298
SRR315605,16714382,668575280,40,451,SRX084817,"GSM765294: ES cell feeder-free, w/ LIF 120 s HRT (1 ug/ml) then 60 s CYH (100 ug/ml) ribo_mesc_harr120s Illumina GAII",RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP007567,PRJNA144149,22056041,"",SRS242021,SAMN00672692,simple,10090,Mus musculus,GSM765294,GEO,SRA043500,11,2011,Ingolia,ES cell,"ES cell feeder-free, w/ LIF 120 s HRT (1 ug/ml) then 60 s CYH (100 ug/ml) ribo_mesc_harr120s Illumina GAII",ES cell,ES cell 36 hours in low-adhesion dishes w/o LIF 60 s CYH (100 ug/ml),129/Ola,E14,,GSM765299
SRR315606,16775797,671031880,40,453,SRX084817,"GSM765294: ES cell feeder-free, w/ LIF 120 s HRT (1 ug/ml) then 60 s CYH (100 ug/ml) ribo_mesc_harr120s Illumina GAII",RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP007567,PRJNA144149,22056041,"",SRS242021,SAMN00672692,simple,10090,Mus musculus,GSM765294,GEO,SRA043500,11,2011,Ingolia,ES cell,"ES cell feeder-free, w/ LIF 120 s HRT (1 ug/ml) then 60 s CYH (100 ug/ml) ribo_mesc_harr120s Illumina GAII",ES cell,ES cell 36 hours in low-adhesion dishes w/o LIF 60 s CYH (100 ug/ml),129/Ola,E14,,GSM765300
SRR315607,17086206,683448240,40,390,SRX084818,"GSM765295: ES cell feeder-free, w/ LIF 150 s HRT (1 ug/ml) then 60 s CYH (100 ug/ml) ribo_mesc_harr150s Illumina GAII",RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP007567,PRJNA144149,22056041,"",SRS242022,SAMN00672693,simple,10090,Mus musculus,GSM765295,GEO,SRA043500,11,2011,Ingolia,ES cell,"ES cell feeder-free, w/ LIF 150 s HRT (1 ug/ml) then 60 s CYH (100 ug/ml) ribo_mesc_harr150s Illumina GAII",ES cell,"ES cell feeder-free, w/ LIF 60 s CYH (100 ug/ml)",129/Ola,E14,,GSM765301
SRR315608,20544504,821780160,40,483,SRX084818,"GSM765295: ES cell feeder-free, w/ LIF 150 s HRT (1 ug/ml) then 60 s CYH (100 ug/ml) ribo_mesc_harr150s Illumina GAII",RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP007567,PRJNA144149,22056041,"",SRS242022,SAMN00672693,simple,10090,Mus musculus,GSM765295,GEO,SRA043500,11,2011,Ingolia,ES cell,"ES cell feeder-free, w/ LIF 150 s HRT (1 ug/ml) then 60 s CYH (100 ug/ml) ribo_mesc_harr150s Illumina GAII",ES cell,"ES cell feeder-free, w/ LIF 60 s CYH (100 ug/ml)",129/Ola,E14,,GSM765302
SRR315609,17103202,684128080,40,452,SRX084818,"GSM765295: ES cell feeder-free, w/ LIF 150 s HRT (1 ug/ml) then 60 s CYH (100 ug/ml) ribo_mesc_harr150s Illumina GAII",RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP007567,PRJNA144149,22056041,"",SRS242022,SAMN00672693,simple,10090,Mus musculus,GSM765295,GEO,SRA043500,11,2011,Ingolia,ES cell,"ES cell feeder-free, w/ LIF 150 s HRT (1 ug/ml) then 60 s CYH (100 ug/ml) ribo_mesc_harr150s Illumina GAII",embryoid body,embryoid body 8d in low-adhesion dishes w/o LIF 60 s CYH (100 ug/ml),129/Ola,E14,,GSM765285
SRR315610,14364423,574576920,40,393,SRX084819,"GSM765296: ES cell feeder-free, w/ LIF 180 s HRT (0.5 ug/ml) then 60 s CYH (100 ug/ml) ribo_mesc_harr180s Illumina GAII",RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP007567,PRJNA144149,22056041,"",SRS242023,SAMN00672694,simple,10090,Mus musculus,GSM765296,GEO,SRA043500,11,2011,Ingolia,ES cell,"ES cell feeder-free, w/ LIF 180 s HRT (0.5 ug/ml) then 60 s CYH (100 ug/ml) ribo_mesc_harr180s Illumina GAII",embryoid body,embryoid body 8d in low-adhesion dishes w/o LIF 60 s CYH (100 ug/ml),129/Ola,E14,,GSM765286
SRR315611,14423793,576951720,40,394,SRX084819,"GSM765296: ES cell feeder-free, w/ LIF 180 s HRT (0.5 ug/ml) then 60 s CYH (100 ug/ml) ribo_mesc_harr180s Illumina GAII",RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP007567,PRJNA144149,22056041,"",SRS242023,SAMN00672694,simple,10090,Mus musculus,GSM765296,GEO,SRA043500,11,2011,Ingolia,ES cell,"ES cell feeder-free, w/ LIF 180 s HRT (0.5 ug/ml) then 60 s CYH (100 ug/ml) ribo_mesc_harr180s Illumina GAII",ES cell,ES cell 36 hours in low-adhesion dishes w/o LIF 60 s CYH (100 ug/ml),129/Ola,E14,,GSM765287
SRR315612,15697206,627888240,40,366,SRX084820,"GSM765297: ES cell feeder-free, w/ LIF 90 s HRT (1 ug/ml) then 60 s CYH (100 ug/ul) ribo_mesc_harr90s Illumina GAII",RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP007567,PRJNA144149,22056041,"",SRS242024,SAMN00672695,simple,10090,Mus musculus,GSM765297,GEO,SRA043500,11,2011,Ingolia,ES cell,"ES cell feeder-free, w/ LIF 90 s HRT (1 ug/ml) then 60 s CYH (100 ug/ul) ribo_mesc_harr90s Illumina GAII",ES cell,ES cell 36 hours in low-adhesion dishes w/o LIF 60 s CYH (100 ug/ml),129/Ola,E14,,GSM765288
SRR315613,19877909,795116360,,455,SRX084820,"GSM765297: ES cell feeder-free, w/ LIF 90 s HRT (1 ug/ml) then 60 s CYH (100 ug/ul) ribo_mesc_harr90s Illumina GAII",RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP007567,PRJNA144149,22056041,"",SRS242024,SAMN00672695,simple,10090,Mus musculus,GSM765297,GEO,SRA043500,11,2011,Ingolia,ES cell,"ES cell feeder-free, w/ LIF 90 s HRT (1 ug/ml) then 60 s CYH (100 ug/ul) ribo_mesc_harr90s Illumina GAII",ES cell,"ES cell feeder-free, w/ LIF 60 s CYH (100 ug/ml)",129/Ola,E14,,GSM765289
SRR315614,22292861,891714440,40,544,SRX084820,"GSM765297: ES cell feeder-free, w/ LIF 90 s HRT (1 ug/ml) then 60 s CYH (100 ug/ul) ribo_mesc_harr90s Illumina GAII",RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP007567,PRJNA144149,22056041,"",SRS242024,SAMN00672695,simple,10090,Mus musculus,GSM765297,GEO,SRA043500,11,2011,Ingolia,ES cell,"ES cell feeder-free, w/ LIF 90 s HRT (1 ug/ml) then 60 s CYH (100 ug/ul) ribo_mesc_harr90s Illumina GAII",embryoid body,embryoid body 8d in low-adhesion dishes w/o LIF 60 s CYH (100 ug/ml),129/Ola,E14,,GSM765290
SRR315615,16391233,655649320,40,435,SRX084820,"GSM765297: ES cell feeder-free, w/ LIF 90 s HRT (1 ug/ml) then 60 s CYH (100 ug/ul) ribo_mesc_harr90s Illumina GAII",RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP007567,PRJNA144149,22056041,"",SRS242024,SAMN00672695,simple,10090,Mus musculus,GSM765297,GEO,SRA043500,11,2011,Ingolia,ES cell,"ES cell feeder-free, w/ LIF 90 s HRT (1 ug/ml) then 60 s CYH (100 ug/ul) ribo_mesc_harr90s Illumina GAII",embryoid body,embryoid body 8d in low-adhesion dishes w/o LIF 60 s CYH (100 ug/ml),129/Ola,E14,,GSM765291
SRR315616,19449857,777994280,40,380,SRX084821,"GSM765298: ES cell feeder-free, w/ LIF none ribo_mesc_nochx Illumina GAII",RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP007567,PRJNA144149,22056041,"",SRS242025,SAMN00672696,simple,10090,Mus musculus,GSM765298,GEO,SRA043500,11,2011,Ingolia,ES cell,"ES cell feeder-free, w/ LIF none ribo_mesc_nochx Illumina GAII",ES cell,"ES cell feeder-free, w/ LIF 60 s CYH (100 ug/ml)",129/Ola,E14,,GSM765292
SRR315617,24822364,992894560,40,641,SRX084821,"GSM765298: ES cell feeder-free, w/ LIF none ribo_mesc_nochx Illumina GAII",RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP007567,PRJNA144149,22056041,"",SRS242025,SAMN00672696,simple,10090,Mus musculus,GSM765298,GEO,SRA043500,11,2011,Ingolia,ES cell,"ES cell feeder-free, w/ LIF none ribo_mesc_nochx Illumina GAII",ES cell,"ES cell feeder-free, w/ LIF 60 s emetine",129/Ola,E14,"ES cell feeder-free, w/ LIF 120 s HRT (1 ug/ml) then 60 s CYH (100 ug/ml)",GSM765293
SRR315618,25726565,1029062600,40,669,SRX084821,"GSM765298: ES cell feeder-free, w/ LIF none ribo_mesc_nochx Illumina GAII",RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP007567,PRJNA144149,22056041,"",SRS242025,SAMN00672696,simple,10090,Mus musculus,GSM765298,GEO,SRA043500,11,2011,Ingolia,ES cell,"ES cell feeder-free, w/ LIF none ribo_mesc_nochx Illumina GAII",ES cell,,129/Ola,E14,,GSM765294
SRR315619,25600179,1024007160,40,669,SRX084821,"GSM765298: ES cell feeder-free, w/ LIF none ribo_mesc_nochx Illumina GAII",RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP007567,PRJNA144149,22056041,"",SRS242025,SAMN00672696,simple,10090,Mus musculus,GSM765298,GEO,SRA043500,11,2011,Ingolia,ES cell,"ES cell feeder-free, w/ LIF none ribo_mesc_nochx Illumina GAII",ES cell,"ES cell feeder-free, w/ LIF 150 s HRT (1 ug/ml) then 60 s CYH (100 ug/ml)",129/Ola,E14,,GSM765295
SRR315620,11418377,456735080,40,319,SRX084822,GSM765299: ES cell 36 hours in low-adhesion dishes w/o LIF 60 s CYH (100 ug/ml) ribo_mesc_nolif Illumina GAII,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP007567,PRJNA144149,22056041,"",SRS242026,SAMN00672697,simple,10090,Mus musculus,GSM765299,GEO,SRA043500,11,2011,Ingolia,ES cell,ES cell 36 hours in low-adhesion dishes w/o LIF 60 s CYH (100 ug/ml) ribo_mesc_nolif Illumina GAII,ES cell,"ES cell feeder-free, w/ LIF 180 s HRT (0.5 ug/ml) then 60 s CYH (100 ug/ml)",129/Ola,E14,,GSM765296
SRR315621,19727446,789097840,40,362,SRX084822,GSM765299: ES cell 36 hours in low-adhesion dishes w/o LIF 60 s CYH (100 ug/ml) ribo_mesc_nolif Illumina GAII,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP007567,PRJNA144149,22056041,"",SRS242026,SAMN00672697,simple,10090,Mus musculus,GSM765299,GEO,SRA043500,11,2011,Ingolia,ES cell,ES cell 36 hours in low-adhesion dishes w/o LIF 60 s CYH (100 ug/ml) ribo_mesc_nolif Illumina GAII,ES cell,"ES cell feeder-free, w/ LIF 90 s HRT (1 ug/ml) then 60 s CYH (100 ug/ul)",129/Ola,E14,,GSM765297
SRR315622,19029625,761185000,40,355,SRX084822,GSM765299: ES cell 36 hours in low-adhesion dishes w/o LIF 60 s CYH (100 ug/ml) ribo_mesc_nolif Illumina GAII,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP007567,PRJNA144149,22056041,"",SRS242026,SAMN00672697,simple,10090,Mus musculus,GSM765299,GEO,SRA043500,11,2011,Ingolia,ES cell,ES cell 36 hours in low-adhesion dishes w/o LIF 60 s CYH (100 ug/ml) ribo_mesc_nolif Illumina GAII,ES cell,"ES cell feeder-free, w/ LIF",129/Ola,E14,,GSM765298
SRR315623,77904761,3895238050,50,2569,SRX084823,GSM765300: ES cell 36 hours in low-adhesion dishes w/o LIF 60 s CYH (100 ug/ml) ribo_mesc_nolif Illumina HiSeq,RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP007567,PRJNA144149,22056041,"",SRS242027,SAMN00672698,simple,10090,Mus musculus,GSM765300,GEO,SRA043500,11,2011,Ingolia,ES cell,ES cell 36 hours in low-adhesion dishes w/o LIF 60 s CYH (100 ug/ml) ribo_mesc_nolif Illumina HiSeq,ES cell,ES cell 36 hours in low-adhesion dishes w/o LIF 60 s CYH (100 ug/ml),129/Ola,E14,,GSM765299
SRR315624,11036184,441447360,40,310,SRX084824,"GSM765301: ES cell feeder-free, w/ LIF 60 s CYH (100 ug/ml) ribo_mesc_yeslif Illumina GAII",RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP007567,PRJNA144149,22056041,"",SRS242028,SAMN00672699,simple,10090,Mus musculus,GSM765301,GEO,SRA043500,11,2011,Ingolia,ES cell,"ES cell feeder-free, w/ LIF 60 s CYH (100 ug/ml) ribo_mesc_yeslif Illumina GAII",ES cell,ES cell 36 hours in low-adhesion dishes w/o LIF 60 s CYH (100 ug/ml),129/Ola,E14,,GSM765300
SRR315625,17257062,603997170,35,281,SRX084824,"GSM765301: ES cell feeder-free, w/ LIF 60 s CYH (100 ug/ml) ribo_mesc_yeslif Illumina GAII",RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP007567,PRJNA144149,22056041,"",SRS242028,SAMN00672699,simple,10090,Mus musculus,GSM765301,GEO,SRA043500,11,2011,Ingolia,ES cell,"ES cell feeder-free, w/ LIF 60 s CYH (100 ug/ml) ribo_mesc_yeslif Illumina GAII",ES cell,"ES cell feeder-free, w/ LIF 60 s CYH (100 ug/ml)",129/Ola,E14,,GSM765301
SRR315626,17326228,693049120,40,317,SRX084824,"GSM765301: ES cell feeder-free, w/ LIF 60 s CYH (100 ug/ml) ribo_mesc_yeslif Illumina GAII",RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP007567,PRJNA144149,22056041,"",SRS242028,SAMN00672699,simple,10090,Mus musculus,GSM765301,GEO,SRA043500,11,2011,Ingolia,ES cell,"ES cell feeder-free, w/ LIF 60 s CYH (100 ug/ml) ribo_mesc_yeslif Illumina GAII",ES cell,"ES cell feeder-free, w/ LIF 60 s CYH (100 ug/ml)",129/Ola,E14,,GSM765302
SRR315627,76656433,3602852351,47,2390,SRX084825,"GSM765302: ES cell feeder-free, w/ LIF 60 s CYH (100 ug/ml) ribo_mesc_yeslif Illumina HiSeq",RNA-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP007567,PRJNA144149,22056041,"",SRS242029,SAMN00672700,simple,10090,Mus musculus,GSM765302,GEO,SRA043500,11,2011,Ingolia,ES cell,"ES cell feeder-free, w/ LIF 60 s CYH (100 ug/ml) ribo_mesc_yeslif Illumina HiSeq",embryoid body,embryoid body 8d in low-adhesion dishes w/o LIF 60 s CYH (100 ug/ml),129/Ola,E14,,GSM765285
