Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,growth time,GEO Accession
SRR10811665,52192138,1227615185,23,670,SRX7485160,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP239234,PRJNA598453,1,"",SRS5927368,SAMN13705604,simple,679895,Escherichia coli BW25113,GSM4240569,GEO,SRA1018613,08,2022,Makar,Culture grown in M9 minimal medium,ΔRsfS_18h_Ribo-seq_rep1_dataset1,Culture grown in M9 minimal medium,BW25113_<delta>RsfS,18h,GSM4240569
SRR10811666,76605619,1685259325,22,926,SRX7485161,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP239234,PRJNA598453,1,"",SRS5927369,SAMN13705603,simple,679895,Escherichia coli BW25113,GSM4240570,GEO,SRA1018613,08,2022,Makar,Culture grown in M9 minimal medium,ΔRsfS_18h_Ribo-seq_rep2,Culture grown in M9 minimal medium,BW25113_<delta>RsfS,18h,GSM4240570
SRR10811667,75269497,1945250284,25,1024,SRX7485162,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP239234,PRJNA598453,1,"",SRS5927370,SAMN13705602,simple,679895,Escherichia coli BW25113,GSM4240571,GEO,SRA1018613,08,2022,Makar,Culture grown in M9 minimal medium,ΔRsfS_28h_Ribo-seq_rep1,Culture grown in M9 minimal medium,BW25113_<delta>RsfS,28h,GSM4240571
SRR10811668,135045025,3543241210,26,1796,SRX7485163,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP239234,PRJNA598453,1,"",SRS5927371,SAMN13705601,simple,679895,Escherichia coli BW25113,GSM4240572,GEO,SRA1018613,08,2022,Makar,Culture grown in M9 minimal medium,ΔRsfS_28h_Ribo-seq_rep2,Culture grown in M9 minimal medium,BW25113_<delta>RsfS,28h,GSM4240572
SRR10811669,30953910,905036343,29,364,SRX7485164,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP239234,PRJNA598453,1,"",SRS5927372,SAMN13705600,simple,679895,Escherichia coli BW25113,GSM4240573,GEO,SRA1018613,08,2022,Makar,Culture grown in M9 minimal medium,BW25113_3h_Ribo-seq_rep1_dataset2,Culture grown in M9 minimal medium,BW25113,3h,GSM4240573
SRR10811670,18075926,508277745,28,225,SRX7485165,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP239234,PRJNA598453,1,"",SRS5927373,SAMN13705599,simple,679895,Escherichia coli BW25113,GSM4240574,GEO,SRA1018613,08,2022,Makar,Culture grown in M9 minimal medium,BW25113_3h_Ribo-seq_rep2_dataset2,Culture grown in M9 minimal medium,BW25113,3h,GSM4240574
SRR10811671,19366214,545992689,28,207,SRX7485166,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP239234,PRJNA598453,1,"",SRS5927374,SAMN13705598,simple,679895,Escherichia coli BW25113,GSM4240575,GEO,SRA1018613,08,2022,Makar,Culture grown in M9 minimal medium,ΔRsfS_3h_Ribo-seq_rep1_dataset2,Culture grown in M9 minimal medium,BW25113_<delta>RsfS,3h,GSM4240575
SRR10811672,26462984,789555731,29,309,SRX7485167,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP239234,PRJNA598453,1,"",SRS5927375,SAMN13705597,simple,679895,Escherichia coli BW25113,GSM4240576,GEO,SRA1018613,08,2022,Makar,Culture grown in M9 minimal medium,ΔRsfS_3h_Ribo-seq_rep2_dataset2,Culture grown in M9 minimal medium,BW25113_<delta>RsfS,3h,GSM4240576
SRR10811673,28500608,859324320,30,360,SRX7485168,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP239234,PRJNA598453,1,"",SRS5927376,SAMN13705596,simple,679895,Escherichia coli BW25113,GSM4240577,GEO,SRA1018613,08,2022,Makar,Culture grown in M9 minimal medium,ΔRsfS_12h_Ribo-seq_rep2_dataset2,Culture grown in M9 minimal medium,BW25113_<delta>RsfS,12h,GSM4240577
SRR10811674,19136272,539648042,28,221,SRX7485169,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,HiSeq X Ten,SRP239234,PRJNA598453,1,"",SRS5927377,SAMN13705595,simple,679895,Escherichia coli BW25113,GSM4240578,GEO,SRA1018613,08,2022,Makar,Culture grown in M9 minimal medium,ΔRsfS_18h_Ribo-seq_rep1_dataset2,Culture grown in M9 minimal medium,BW25113_<delta>RsfS,18h,GSM4240578
