Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tag,tissue,agent,GEO Accession
SRR15175567,42820647,2141032305,50,685,SRX11482825,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP328685,PRJNA747247,36171426,"",SRS9522723,SAMN20283135,simple,9606,Homo sapiens,GSM5456565,GEO,SRA1260171,08,2022,Duffy,Cultured Neurons,Ribo_6h_KCl_rep2,Cultured Neurons,hESC-derived neurons,,,GSM5456565
SRR15175568,103281831,4639347041,44,1558,SRX11482826,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP328685,PRJNA747247,36171426,"",SRS9522724,SAMN20283134,simple,9606,Homo sapiens,GSM5456566,GEO,SRA1260171,08,2022,Duffy,Cultured Neurons,Ribo_6h_KCl_rep3,Cultured Neurons,hESC-derived neurons,,,GSM5456566
SRR19165059,19831218,1477794841,74,674,SRX15231415,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP328685,PRJNA747247,36171426,"",SRS12964870,SAMN28188676,simple,9606,Homo sapiens,GSM6131552,GEO,SRA1260171,08,2022,Duffy,hESC-derived neurons,RNA_6h_KCl_DMSO_rep1,hESC-derived neurons,,Cultured Neurons,KCl_DMSO,GSM6131552
SRR19165060,16112714,1195103398,74,549,SRX15231416,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP328685,PRJNA747247,36171426,"",SRS12964871,SAMN28188677,simple,9606,Homo sapiens,GSM6131553,GEO,SRA1260171,08,2022,Duffy,hESC-derived neurons,RNA_6h_KCl_DMSO_rep2,hESC-derived neurons,,Cultured Neurons,KCl_DMSO,GSM6131553
SRR19165061,23443536,1726453694,73,797,SRX15231417,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP328685,PRJNA747247,36171426,"",SRS12964872,SAMN28188678,simple,9606,Homo sapiens,GSM6131554,GEO,SRA1260171,08,2022,Duffy,hESC-derived neurons,RNA_6h_KCl_DMSO_rep3,hESC-derived neurons,,Cultured Neurons,KCl_DMSO,GSM6131554
SRR19165062,22933108,1690149198,73,780,SRX15231418,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP328685,PRJNA747247,36171426,"",SRS12964873,SAMN28188679,simple,9606,Homo sapiens,GSM6131555,GEO,SRA1260171,08,2022,Duffy,hESC-derived neurons,RNA_6h_KCl_Harringtonin_rep1,hESC-derived neurons,,Cultured Neurons,KCl_Harringtonin,GSM6131555
SRR19165063,22563613,1667424565,73,767,SRX15231419,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP328685,PRJNA747247,36171426,"",SRS12964874,SAMN28188680,simple,9606,Homo sapiens,GSM6131556,GEO,SRA1260171,08,2022,Duffy,hESC-derived neurons,RNA_6h_KCl_Harringtonin_rep2,hESC-derived neurons,,Cultured Neurons,KCl_Harringtonin,GSM6131556
SRR19165064,21989382,1630955467,74,748,SRX15231420,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP328685,PRJNA747247,36171426,"",SRS12964875,SAMN28188681,simple,9606,Homo sapiens,GSM6131557,GEO,SRA1260171,08,2022,Duffy,hESC-derived neurons,RNA_6h_KCl_Harringtonin_rep3,hESC-derived neurons,,Cultured Neurons,KCl_Harringtonin,GSM6131557
SRR19165065,157992735,7899636750,50,2356,SRX15231421,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP328685,PRJNA747247,36171426,"",SRS12964876,SAMN28188682,simple,9606,Homo sapiens,GSM6131558,GEO,SRA1260171,08,2022,Duffy,hESC-derived neurons,Ribo_6h_KCl_DMSO_rep1,hESC-derived neurons,,Cultured Neurons,KCl_DMSO,GSM6131558
SRR19165066,155278944,7763947200,50,2324,SRX15231422,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP328685,PRJNA747247,36171426,"",SRS12964877,SAMN28188683,simple,9606,Homo sapiens,GSM6131559,GEO,SRA1260171,08,2022,Duffy,hESC-derived neurons,Ribo_6h_KCl_DMSO_rep2,hESC-derived neurons,,Cultured Neurons,KCl_DMSO,GSM6131559
SRR19165067,253228986,12661449300,50,3755,SRX15231423,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP328685,PRJNA747247,36171426,"",SRS12964878,SAMN28188684,simple,9606,Homo sapiens,GSM6131560,GEO,SRA1260171,08,2022,Duffy,hESC-derived neurons,Ribo_6h_KCl_DMSO_rep3,hESC-derived neurons,,Cultured Neurons,KCl_DMSO,GSM6131560
SRR19165068,180871550,9043577500,50,2659,SRX15231424,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP328685,PRJNA747247,36171426,"",SRS12964879,SAMN28188685,simple,9606,Homo sapiens,GSM6131561,GEO,SRA1260171,08,2022,Duffy,hESC-derived neurons,Ribo_6h_KCl_Harringtonin_rep1,hESC-derived neurons,,Cultured Neurons,KCl_Harringtonin,GSM6131561
SRR19165069,258306115,12915305750,50,3903,SRX15231425,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP328685,PRJNA747247,36171426,"",SRS12964880,SAMN28188686,simple,9606,Homo sapiens,GSM6131562,GEO,SRA1260171,08,2022,Duffy,hESC-derived neurons,Ribo_6h_KCl_Harringtonin_rep2,hESC-derived neurons,,Cultured Neurons,KCl_Harringtonin,GSM6131562
SRR19165070,142007814,7100390700,50,2135,SRX15231426,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP328685,PRJNA747247,36171426,"",SRS12964881,SAMN28188687,simple,9606,Homo sapiens,GSM6131563,GEO,SRA1260171,08,2022,Duffy,hESC-derived neurons,Ribo_6h_KCl_Harringtonin_rep3,hESC-derived neurons,,Cultured Neurons,KCl_Harringtonin,GSM6131563
