Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,batch,genotype,GEO Accession
SRR16200880,2813705,213545830,75,74,SRX12485368,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP339974,PRJNA768456,34900236,"",SRS10448917,SAMN22045108,simple,4932,Saccharomyces cerevisiae,GSM5610133,GEO,SRA1305758,10,2021,Egorov,yeast cell,rna_pub1_2_b3_s2,yeast cell,pub1delta,3,MATalpha his3delta1 leu2delta0 lys2delta0 ura3delta0 pub1::KanMX,GSM5610133
SRR16200881,3325832,252405651,75,89,SRX12485369,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP339974,PRJNA768456,34900236,"",SRS10448918,SAMN22045109,simple,4932,Saccharomyces cerevisiae,GSM5610134,GEO,SRA1305758,10,2021,Egorov,yeast cell,rna_pub1_3_b3_s2,yeast cell,pub1delta,3,MATalpha his3delta1 leu2delta0 lys2delta0 ura3delta0 pub1::KanMX,GSM5610134
SRR16200882,3111007,236058846,75,82,SRX12485370,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP339974,PRJNA768456,34900236,"",SRS10448919,SAMN22045110,simple,4932,Saccharomyces cerevisiae,GSM5610135,GEO,SRA1305758,10,2021,Egorov,yeast cell,rna_pub1_4_b4_s2,yeast cell,pub1delta,4,MATalpha his3delta1 leu2delta0 lys2delta0 ura3delta0 pub1::KanMX,GSM5610135
SRR16200883,3310345,250595610,75,106,SRX12485371,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP339974,PRJNA768456,34900236,"",SRS10448920,SAMN22045111,simple,4932,Saccharomyces cerevisiae,GSM5610136,GEO,SRA1305758,10,2021,Egorov,yeast cell,rna_pub1_5_b1_s2,yeast cell,pub1delta,1,MATalpha his3delta1 leu2delta0 lys2delta0 ura3delta0 pub1::KanMX,GSM5610136
SRR16200884,35160397,2672190172,76,1093,SRX12485372,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP339974,PRJNA768456,34900236,"",SRS10448921,SAMN22045112,simple,4932,Saccharomyces cerevisiae,GSM5610137,GEO,SRA1305758,10,2021,Egorov,yeast cell,ribo_wt_1_b1_s2,yeast cell,wt,1,MATalpha his3delta1 leu2delta0 lys2delta0 ura3delta0,GSM5610137
SRR16200885,25490966,1937313416,76,791,SRX12485373,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP339974,PRJNA768456,34900236,"",SRS10448922,SAMN22045113,simple,4932,Saccharomyces cerevisiae,GSM5610138,GEO,SRA1305758,10,2021,Egorov,yeast cell,ribo_wt_2_b4_s2,yeast cell,wt,4,MATalpha his3delta1 leu2delta0 lys2delta0 ura3delta0,GSM5610138
SRR16200886,39665445,3014573820,76,1236,SRX12485374,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP339974,PRJNA768456,34900236,"",SRS10448923,SAMN22045114,simple,4932,Saccharomyces cerevisiae,GSM5610139,GEO,SRA1305758,10,2021,Egorov,yeast cell,ribo_wt_3_b4_s2,yeast cell,wt,4,MATalpha his3delta1 leu2delta0 lys2delta0 ura3delta0,GSM5610139
SRR16200887,35240630,2678287880,76,1097,SRX12485375,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP339974,PRJNA768456,34900236,"",SRS10448924,SAMN22045115,simple,4932,Saccharomyces cerevisiae,GSM5610140,GEO,SRA1305758,10,2021,Egorov,yeast cell,ribo_wt_4_b1_s2,yeast cell,wt,1,MATalpha his3delta1 leu2delta0 lys2delta0 ura3delta0,GSM5610140
SRR16200888,32085723,2438514948,76,995,SRX12485376,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP339974,PRJNA768456,34900236,"",SRS10448925,SAMN22045116,simple,4932,Saccharomyces cerevisiae,GSM5610141,GEO,SRA1305758,10,2021,Egorov,yeast cell,ribo_gir2_1_b2_s2,yeast cell,gir2delta,2,MATalpha his3delta1 leu2delta0 lys2delta0 ura3delta0 gir2::KanMX,GSM5610141
SRR16200889,26268383,1996397108,76,818,SRX12485377,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP339974,PRJNA768456,34900236,"",SRS10448926,SAMN22045117,simple,4932,Saccharomyces cerevisiae,GSM5610142,GEO,SRA1305758,10,2021,Egorov,yeast cell,ribo_gir2_2_b2_s2,yeast cell,gir2delta,2,MATalpha his3delta1 leu2delta0 lys2delta0 ura3delta0 gir2::KanMX,GSM5610142
SRR16200890,33221409,2524827084,76,1043,SRX12485378,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP339974,PRJNA768456,34900236,"",SRS10448927,SAMN22045118,simple,4932,Saccharomyces cerevisiae,GSM5610143,GEO,SRA1305758,10,2021,Egorov,yeast cell,ribo_gir2_3_b2_s2,yeast cell,gir2delta,2,MATalpha his3delta1 leu2delta0 lys2delta0 ura3delta0 gir2::KanMX,GSM5610143
SRR16200891,19284241,1465602316,76,604,SRX12485379,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP339974,PRJNA768456,34900236,"",SRS10448928,SAMN22045119,simple,4932,Saccharomyces cerevisiae,GSM5610144,GEO,SRA1305758,10,2021,Egorov,yeast cell,ribo_gir2_4_b1_s2,yeast cell,gir2delta,1,MATalpha his3delta1 leu2delta0 lys2delta0 ura3delta0 gir2::KanMX,GSM5610144
SRR16200892,19236771,1461994596,76,599,SRX12485380,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP339974,PRJNA768456,34900236,"",SRS10448929,SAMN22045120,simple,4932,Saccharomyces cerevisiae,GSM5610145,GEO,SRA1305758,10,2021,Egorov,yeast cell,ribo_pub1_1_b3_s2,yeast cell,pub1delta,3,MATalpha his3delta1 leu2delta0 lys2delta0 ura3delta0 pub1::KanMX,GSM5610145
SRR16200893,28051396,2131906096,76,884,SRX12485381,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP339974,PRJNA768456,34900236,"",SRS10448930,SAMN22045121,simple,4932,Saccharomyces cerevisiae,GSM5610146,GEO,SRA1305758,10,2021,Egorov,yeast cell,ribo_pub1_2_b3_s2,yeast cell,pub1delta,3,MATalpha his3delta1 leu2delta0 lys2delta0 ura3delta0 pub1::KanMX,GSM5610146
SRR16200894,11776096,894983296,76,367,SRX12485382,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP339974,PRJNA768456,34900236,"",SRS10448931,SAMN22045122,simple,4932,Saccharomyces cerevisiae,GSM5610147,GEO,SRA1305758,10,2021,Egorov,yeast cell,ribo_pub1_3_b3_s2,yeast cell,pub1delta,3,MATalpha his3delta1 leu2delta0 lys2delta0 ura3delta0 pub1::KanMX,GSM5610147
SRR16200895,35019807,2661505332,76,1093,SRX12485383,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 550,SRP339974,PRJNA768456,34900236,"",SRS10448932,SAMN22045123,simple,4932,Saccharomyces cerevisiae,GSM5610148,GEO,SRA1305758,10,2021,Egorov,yeast cell,ribo_pub1_4_b1_s2,yeast cell,pub1delta,1,MATalpha his3delta1 leu2delta0 lys2delta0 ura3delta0 pub1::KanMX,GSM5610148
