Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,host strain,reporter expressed in host strain,tissue,molecule,GEO Accession
SRR13919667,8299640,451417487,29,285,SRX10299140,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,DNBSEQ,DNBSEQ-G400,SRP310013,PRJNA708348,34417614,"",SRS8421048,SAMN18234674,simple,5141,Neurospora crassa,GSM5150317,GEO,SRA1204606,08,2021,Lyu,mycelia,Ribo-WT-3opt_2,mycelia,WT,3хOPT-EDP,mycelia,ribosome protected fragments,GSM5150315
SRR13919668,3617634,101169501,27,48,SRX10299141,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP310013,PRJNA708348,34417614,"",SRS8421056,SAMN18234696,simple,5141,Neurospora crassa,GSM5150318,GEO,SRA1204606,08,2021,Lyu,mycelia,Ribo-WT-3opt_3,mycelia,WT,3хOPT-EDP,mycelia,ribosome protected fragments,GSM5150318
SRR13919669,9583019,560620510,32,349,SRX10299142,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,DNBSEQ,DNBSEQ-G400,SRP310013,PRJNA708348,34417614,"",SRS8421050,SAMN18234695,simple,5141,Neurospora crassa,GSM5150319,GEO,SRA1204606,08,2021,Lyu,mycelia,Ribo-CPC3-1wt_1,mycelia,Δcpc-3,1хWT-EDP,mycelia,ribosome protected fragments,GSM5150309
SRR13919670,2770455,165218925,33,107,SRX10299143,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,DNBSEQ,DNBSEQ-G400,SRP310013,PRJNA708348,34417614,"",SRS8421051,SAMN18234694,simple,5141,Neurospora crassa,GSM5150320,GEO,SRA1204606,08,2021,Lyu,mycelia,Ribo-CPC3-1wt_2,mycelia,Δcpc-3,1хWT-EDP,mycelia,ribosome protected fragments,GSM5150312
SRR13919671,1935279,115848303,34,76,SRX10299144,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,DNBSEQ,DNBSEQ-G400,SRP310013,PRJNA708348,34417614,"",SRS8421053,SAMN18234693,simple,5141,Neurospora crassa,GSM5150321,GEO,SRA1204606,08,2021,Lyu,mycelia,Ribo-CPC3-1wt_3,mycelia,Δcpc-3,1хWT-EDP,mycelia,ribosome protected fragments,GSM5150315
SRR13919672,7349121,235531077,32,255,SRX10299145,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,DNBSEQ,DNBSEQ-G400,SRP310013,PRJNA708348,34417614,"",SRS8421054,SAMN18234692,simple,5141,Neurospora crassa,GSM5150322,GEO,SRA1204606,08,2021,Lyu,mycelia,Ribo-CPC3-1wt_4,mycelia,Δcpc-3,1хWT-EDP,mycelia,ribosome protected fragments,GSM5150318
SRR13919673,7610950,246430512,32,267,SRX10299146,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,DNBSEQ,DNBSEQ-G400,SRP310013,PRJNA708348,34417614,"",SRS8421055,SAMN18234691,simple,5141,Neurospora crassa,GSM5150323,GEO,SRA1204606,08,2021,Lyu,mycelia,Ribo-CPC3-3wt_1,mycelia,Δcpc-3,3хWT-EDP,mycelia,ribosome protected fragments,GSM5150309
SRR13919674,5383771,303162408,31,192,SRX10299147,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,DNBSEQ,DNBSEQ-G400,SRP310013,PRJNA708348,34417614,"",SRS8421063,SAMN18234690,simple,5141,Neurospora crassa,GSM5150324,GEO,SRA1204606,08,2021,Lyu,mycelia,Ribo-CPC3-3wt_2,mycelia,Δcpc-3,3хWT-EDP,mycelia,ribosome protected fragments,GSM5150312
SRR13919675,2579713,143229157,32,96,SRX10299148,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,DNBSEQ,DNBSEQ-G400,SRP310013,PRJNA708348,34417614,"",SRS8421057,SAMN18234689,simple,5141,Neurospora crassa,GSM5150325,GEO,SRA1204606,08,2021,Lyu,mycelia,Ribo-CPC3-3wt_3,mycelia,Δcpc-3,3хWT-EDP,mycelia,ribosome protected fragments,GSM5150315
SRR13919676,16787554,548843789,32,608,SRX10299149,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,DNBSEQ,DNBSEQ-G400,SRP310013,PRJNA708348,34417614,"",SRS8421058,SAMN18234688,simple,5141,Neurospora crassa,GSM5150326,GEO,SRA1204606,08,2021,Lyu,mycelia,Ribo-CPC3-1opt_1,mycelia,Δcpc-3,1хOPT-EDP,mycelia,ribosome protected fragments,GSM5150318
SRR13919677,9940185,553146321,32,363,SRX10299150,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,DNBSEQ,DNBSEQ-G400,SRP310013,PRJNA708348,34417614,"",SRS8421059,SAMN18234687,simple,5141,Neurospora crassa,GSM5150327,GEO,SRA1204606,08,2021,Lyu,mycelia,Ribo-CPC3-1opt_2,mycelia,Δcpc-3,1хOPT-EDP,mycelia,ribosome protected fragments,GSM5150309
SRR13919678,3075737,170445999,33,116,SRX10299151,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,DNBSEQ,DNBSEQ-G400,SRP310013,PRJNA708348,34417614,"",SRS8421060,SAMN18234686,simple,5141,Neurospora crassa,GSM5150328,GEO,SRA1204606,08,2021,Lyu,mycelia,Ribo-CPC3-1opt_3,mycelia,Δcpc-3,1хOPT-EDP,mycelia,ribosome protected fragments,GSM5150312
SRR13919679,8358879,271827311,32,294,SRX10299152,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,DNBSEQ,DNBSEQ-G400,SRP310013,PRJNA708348,34417614,"",SRS8421065,SAMN18234714,simple,5141,Neurospora crassa,GSM5150329,GEO,SRA1204606,08,2021,Lyu,mycelia,Ribo-CPC3-3opt_1,mycelia,Δcpc-3,3хOPT-EDP,mycelia,ribosome protected fragments,GSM5150315
SRR13919680,5038462,287365518,32,183,SRX10299153,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,DNBSEQ,DNBSEQ-G400,SRP310013,PRJNA708348,34417614,"",SRS8421061,SAMN18234713,simple,5141,Neurospora crassa,GSM5150330,GEO,SRA1204606,08,2021,Lyu,mycelia,Ribo-CPC3-3opt_2,mycelia,Δcpc-3,3хOPT-EDP,mycelia,ribosome protected fragments,GSM5150318
SRR13919681,1627125,94447533,33,62,SRX10299154,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,DNBSEQ,DNBSEQ-G400,SRP310013,PRJNA708348,34417614,"",SRS8421062,SAMN18234712,simple,5141,Neurospora crassa,GSM5150331,GEO,SRA1204606,08,2021,Lyu,mycelia,Ribo-CPC3-3opt_3,mycelia,Δcpc-3,3хOPT-EDP,mycelia,ribosome protected fragments,GSM5150309
SRR13919682,5664077,330666194,35,222,SRX10299155,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,DNBSEQ,DNBSEQ-G400,SRP310013,PRJNA708348,34417614,"",SRS8421064,SAMN18234711,simple,5141,Neurospora crassa,GSM5150332,GEO,SRA1204606,08,2021,Lyu,mycelia,RNA-WT-1wt,mycelia,WT,1хWT-EDP,mycelia,mRNA,GSM5150312
SRR13919683,4751916,266817470,33,180,SRX10299156,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,DNBSEQ,DNBSEQ-G400,SRP310013,PRJNA708348,34417614,"",SRS8421066,SAMN18235565,simple,5141,Neurospora crassa,GSM5150333,GEO,SRA1204606,08,2021,Lyu,mycelia,RNA-WT-3wt,mycelia,WT,3хWT-EDP,mycelia,mRNA,GSM5150315
SRR13919684,5887154,360778225,37,240,SRX10299157,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,DNBSEQ,DNBSEQ-G400,SRP310013,PRJNA708348,34417614,"",SRS8421067,SAMN18235564,simple,5141,Neurospora crassa,GSM5150334,GEO,SRA1204606,08,2021,Lyu,mycelia,RNA-WT-1opt,mycelia,WT,1хOPT-EDP,mycelia,mRNA,GSM5150318
SRR13919685,5236117,303616814,35,205,SRX10299158,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,DNBSEQ,DNBSEQ-G400,SRP310013,PRJNA708348,34417614,"",SRS8421068,SAMN18235563,simple,5141,Neurospora crassa,GSM5150335,GEO,SRA1204606,08,2021,Lyu,mycelia,RNA-WT-3opt,mycelia,WT,3хOPT-EDP,mycelia,mRNA,GSM5150309
SRR13919686,44641664,2159110211,41,1382,SRX10299159,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,DNBSEQ,DNBSEQ-G400,SRP310013,PRJNA708348,34417614,"",SRS8421069,SAMN18235584,simple,5141,Neurospora crassa,GSM5150336,GEO,SRA1204606,08,2021,Lyu,mycelia,RNA-GCN-1wt,mycelia,Δcpc-3,1хWT-EDP,mycelia,mRNA,GSM5150312
SRR13919687,12435801,698983790,39,481,SRX10299160,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,DNBSEQ,DNBSEQ-G400,SRP310013,PRJNA708348,34417614,"",SRS8421071,SAMN18235583,simple,5141,Neurospora crassa,GSM5150337,GEO,SRA1204606,08,2021,Lyu,mycelia,RNA-GCN-3wt,mycelia,Δcpc-3,3хWT-EDP,mycelia,mRNA,GSM5150315
SRR13919688,7510925,492627672,40,332,SRX10299161,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,DNBSEQ,DNBSEQ-G400,SRP310013,PRJNA708348,34417614,"",SRS8421072,SAMN18235582,simple,5141,Neurospora crassa,GSM5150338,GEO,SRA1204606,08,2021,Lyu,mycelia,RNA-GCN-1opt,mycelia,Δcpc-3,1хOPT-EDP,mycelia,mRNA,GSM5150318
SRR13919689,7457027,495767600,40,329,SRX10299162,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,DNBSEQ,DNBSEQ-G400,SRP310013,PRJNA708348,34417614,"",SRS8421070,SAMN18235581,simple,5141,Neurospora crassa,GSM5150339,GEO,SRA1204606,08,2021,Lyu,mycelia,RNA-GCN-3opt,mycelia,Δcpc-3,3хOPT-EDP,mycelia,mRNA,GSM5150309
