Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell type,treatment,compartment,analysis,replicate,GEO Accession
SRR2060684,4063729,207250179,51,141,SRX1056759,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP059390,PRJNA286792,27161320,"",SRS959367,SAMN03770667,simple,10090,Mus musculus,GSM1709022,GEO,SRA272681,10,2015,Reid,"Mouse embryonic fibroblasts, GADD34-/-",Cytosol Ribosome profiling Untreated 1,"Mouse embryonic fibroblasts, GADD34-/-",embryonic fibroblast,Untreated,Cytosol,Ribosome profiling,1,GSM1709022
SRR2060685,29053643,1481735793,51,960,SRX1056760,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP059390,PRJNA286792,27161320,"",SRS959366,SAMN03770668,simple,10090,Mus musculus,GSM1709023,GEO,SRA272681,10,2015,Reid,"Mouse embryonic fibroblasts, GADD34-/-",Cytosol Ribosome profiling 0.5 h Tg 1,"Mouse embryonic fibroblasts, GADD34-/-",embryonic fibroblast,0.5 h Tg,Cytosol,Ribosome profiling,1,GSM1709023
SRR2060686,64964205,3313174455,51,2156,SRX1056761,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP059390,PRJNA286792,27161320,"",SRS959365,SAMN03770669,simple,10090,Mus musculus,GSM1709024,GEO,SRA272681,10,2015,Reid,"Mouse embryonic fibroblasts, GADD34-/-",Cytosol Ribosome profiling 1 h Tg 1,"Mouse embryonic fibroblasts, GADD34-/-",embryonic fibroblast,1 h Tg,Cytosol,Ribosome profiling,1,GSM1709024
SRR2060687,21767084,1110121284,51,708,SRX1056762,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP059390,PRJNA286792,27161320,"",SRS959364,SAMN03770670,simple,10090,Mus musculus,GSM1709025,GEO,SRA272681,10,2015,Reid,"Mouse embryonic fibroblasts, GADD34-/-",Cytosol Ribosome profiling 2 h Tg 1,"Mouse embryonic fibroblasts, GADD34-/-",embryonic fibroblast,2 h Tg,Cytosol,Ribosome profiling,1,GSM1709025
SRR2060688,24180440,1233202440,51,802,SRX1056763,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP059390,PRJNA286792,27161320,"",SRS959363,SAMN03770671,simple,10090,Mus musculus,GSM1709026,GEO,SRA272681,10,2015,Reid,"Mouse embryonic fibroblasts, GADD34-/-",Cytosol Ribosome profiling 4 h Tg 1,"Mouse embryonic fibroblasts, GADD34-/-",embryonic fibroblast,4 h Tg,Cytosol,Ribosome profiling,1,GSM1709026
SRR2060689,10236103,522041253,51,360,SRX1056764,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP059390,PRJNA286792,27161320,"",SRS959362,SAMN03770672,simple,10090,Mus musculus,GSM1709027,GEO,SRA272681,10,2015,Reid,"Mouse embryonic fibroblasts, GADD34-/-",Cytosol Ribosome profiling Untreated 2,"Mouse embryonic fibroblasts, GADD34-/-",embryonic fibroblast,Untreated,Cytosol,Ribosome profiling,2,GSM1709027
SRR2060690,16977612,865858212,51,598,SRX1056765,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP059390,PRJNA286792,27161320,"",SRS959361,SAMN03770673,simple,10090,Mus musculus,GSM1709028,GEO,SRA272681,10,2015,Reid,"Mouse embryonic fibroblasts, GADD34-/-",Cytosol Ribosome profiling 0.5 h Tg 2,"Mouse embryonic fibroblasts, GADD34-/-",embryonic fibroblast,0.5 h Tg,Cytosol,Ribosome profiling,2,GSM1709028
SRR2060691,19996790,1019836290,51,692,SRX1056766,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP059390,PRJNA286792,27161320,"",SRS959360,SAMN03770674,simple,10090,Mus musculus,GSM1709029,GEO,SRA272681,10,2015,Reid,"Mouse embryonic fibroblasts, GADD34-/-",Cytosol Ribosome profiling 1 h Tg 2,"Mouse embryonic fibroblasts, GADD34-/-",embryonic fibroblast,1 h Tg,Cytosol,Ribosome profiling,2,GSM1709029
SRR2060692,10192777,519831627,51,356,SRX1056767,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP059390,PRJNA286792,27161320,"",SRS959359,SAMN03770675,simple,10090,Mus musculus,GSM1709030,GEO,SRA272681,10,2015,Reid,"Mouse embryonic fibroblasts, GADD34-/-",Cytosol Ribosome profiling 2 h Tg 2,"Mouse embryonic fibroblasts, GADD34-/-",embryonic fibroblast,2 h Tg,Cytosol,Ribosome profiling,2,GSM1709030
SRR2060693,24131402,1230701502,51,833,SRX1056768,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP059390,PRJNA286792,27161320,"",SRS959358,SAMN03770676,simple,10090,Mus musculus,GSM1709031,GEO,SRA272681,10,2015,Reid,"Mouse embryonic fibroblasts, GADD34-/-",Cytosol Ribosome profiling 4 h Tg 2,"Mouse embryonic fibroblasts, GADD34-/-",embryonic fibroblast,4 h Tg,Cytosol,Ribosome profiling,2,GSM1709031
SRR2060694,42589924,2172086124,51,1161,SRX1056769,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP059390,PRJNA286792,27161320,"",SRS959357,SAMN03770677,simple,10090,Mus musculus,GSM1709032,GEO,SRA272681,10,2015,Reid,"Mouse embryonic fibroblasts, GADD34-/-",ER mRNA-seq Untreated 1,"Mouse embryonic fibroblasts, GADD34-/-",embryonic fibroblast,Untreated,ER,mRNA-seq,1,GSM1709032
SRR2060695,21549602,1099029702,51,588,SRX1056770,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP059390,PRJNA286792,27161320,"",SRS959356,SAMN03770678,simple,10090,Mus musculus,GSM1709033,GEO,SRA272681,10,2015,Reid,"Mouse embryonic fibroblasts, GADD34-/-",ER mRNA-seq 0.5 h Tg 1,"Mouse embryonic fibroblasts, GADD34-/-",embryonic fibroblast,0.5 h Tg,ER,mRNA-seq,1,GSM1709033
SRR2060696,27302713,1392438363,51,742,SRX1056771,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP059390,PRJNA286792,27161320,"",SRS959355,SAMN03770679,simple,10090,Mus musculus,GSM1709034,GEO,SRA272681,10,2015,Reid,"Mouse embryonic fibroblasts, GADD34-/-",ER mRNA-seq 1 h Tg 1,"Mouse embryonic fibroblasts, GADD34-/-",embryonic fibroblast,1 h Tg,ER,mRNA-seq,1,GSM1709034
SRR2060697,23767465,1212140715,51,645,SRX1056772,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP059390,PRJNA286792,27161320,"",SRS959354,SAMN03770680,simple,10090,Mus musculus,GSM1709035,GEO,SRA272681,10,2015,Reid,"Mouse embryonic fibroblasts, GADD34-/-",ER mRNA-seq 2 h Tg 1,"Mouse embryonic fibroblasts, GADD34-/-",embryonic fibroblast,2 h Tg,ER,mRNA-seq,1,GSM1709035
SRR2060698,22791179,1162350129,51,621,SRX1056773,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP059390,PRJNA286792,27161320,"",SRS959353,SAMN03770681,simple,10090,Mus musculus,GSM1709036,GEO,SRA272681,10,2015,Reid,"Mouse embryonic fibroblasts, GADD34-/-",ER mRNA-seq 4 h Tg 1,"Mouse embryonic fibroblasts, GADD34-/-",embryonic fibroblast,4 h Tg,ER,mRNA-seq,1,GSM1709036
SRR2060699,15088392,769507992,51,487,SRX1056774,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP059390,PRJNA286792,27161320,"",SRS959352,SAMN03770682,simple,10090,Mus musculus,GSM1709037,GEO,SRA272681,10,2015,Reid,"Mouse embryonic fibroblasts, GADD34-/-",ER mRNA-seq Untreated 2,"Mouse embryonic fibroblasts, GADD34-/-",embryonic fibroblast,Untreated,ER,mRNA-seq,2,GSM1709037
SRR2060700,365838,18657738,51,11,SRX1056775,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP059390,PRJNA286792,27161320,"",SRS959351,SAMN03770655,simple,10090,Mus musculus,GSM1709038,GEO,SRA272681,10,2015,Reid,"Mouse embryonic fibroblasts, GADD34-/-",ER mRNA-seq 0.5 h Tg 2,"Mouse embryonic fibroblasts, GADD34-/-",embryonic fibroblast,0.5 h Tg,ER,mRNA-seq,2,GSM1709038
SRR2060701,12576634,641408334,51,409,SRX1056776,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP059390,PRJNA286792,27161320,"",SRS959350,SAMN03770656,simple,10090,Mus musculus,GSM1709039,GEO,SRA272681,10,2015,Reid,"Mouse embryonic fibroblasts, GADD34-/-",ER mRNA-seq 1 h Tg 2,"Mouse embryonic fibroblasts, GADD34-/-",embryonic fibroblast,1 h Tg,ER,mRNA-seq,2,GSM1709039
SRR2060702,13450867,685994217,51,438,SRX1056777,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP059390,PRJNA286792,27161320,"",SRS959349,SAMN03770643,simple,10090,Mus musculus,GSM1709040,GEO,SRA272681,10,2015,Reid,"Mouse embryonic fibroblasts, GADD34-/-",ER mRNA-seq 2 h Tg 2,"Mouse embryonic fibroblasts, GADD34-/-",embryonic fibroblast,2 h Tg,ER,mRNA-seq,2,GSM1709040
SRR2060703,7367217,375728067,51,239,SRX1056778,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP059390,PRJNA286792,27161320,"",SRS959348,SAMN03770644,simple,10090,Mus musculus,GSM1709041,GEO,SRA272681,10,2015,Reid,"Mouse embryonic fibroblasts, GADD34-/-",ER mRNA-seq 4 h Tg 2,"Mouse embryonic fibroblasts, GADD34-/-",embryonic fibroblast,4 h Tg,ER,mRNA-seq,2,GSM1709041
SRR2060704,39579737,2018566587,51,1084,SRX1056779,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP059390,PRJNA286792,27161320,"",SRS959347,SAMN03770645,simple,10090,Mus musculus,GSM1709042,GEO,SRA272681,10,2015,Reid,"Mouse embryonic fibroblasts, GADD34-/-",Cytosol mRNA-seq Untreated 1,"Mouse embryonic fibroblasts, GADD34-/-",embryonic fibroblast,Untreated,Cytosol,mRNA-seq,1,GSM1709042
SRR2060705,37477682,1911361782,51,1033,SRX1056780,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP059390,PRJNA286792,27161320,"",SRS959346,SAMN03770646,simple,10090,Mus musculus,GSM1709043,GEO,SRA272681,10,2015,Reid,"Mouse embryonic fibroblasts, GADD34-/-",Cytosol mRNA-seq 0.5 h Tg 1,"Mouse embryonic fibroblasts, GADD34-/-",embryonic fibroblast,0.5 h Tg,Cytosol,mRNA-seq,1,GSM1709043
SRR2060706,40405237,2060667087,,1102,SRX1056781,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP059390,PRJNA286792,27161320,"",SRS959384,SAMN03770647,simple,10090,Mus musculus,GSM1709044,GEO,SRA272681,10,2015,Reid,"Mouse embryonic fibroblasts, GADD34-/-",Cytosol mRNA-seq 1 h Tg 1,"Mouse embryonic fibroblasts, GADD34-/-",embryonic fibroblast,1 h Tg,Cytosol,mRNA-seq,1,GSM1709044
SRR2060707,38259372,1951227972,51,1044,SRX1056782,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP059390,PRJNA286792,27161320,"",SRS959383,SAMN03770648,simple,10090,Mus musculus,GSM1709045,GEO,SRA272681,10,2015,Reid,"Mouse embryonic fibroblasts, GADD34-/-",Cytosol mRNA-seq 2 h Tg 1,"Mouse embryonic fibroblasts, GADD34-/-",embryonic fibroblast,2 h Tg,Cytosol,mRNA-seq,1,GSM1709045
SRR2060708,37213294,1897877994,51,1019,SRX1056783,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP059390,PRJNA286792,27161320,"",SRS959382,SAMN03770649,simple,10090,Mus musculus,GSM1709046,GEO,SRA272681,10,2015,Reid,"Mouse embryonic fibroblasts, GADD34-/-",Cytosol mRNA-seq 4 h Tg 1,"Mouse embryonic fibroblasts, GADD34-/-",embryonic fibroblast,4 h Tg,Cytosol,mRNA-seq,1,GSM1709046
SRR2060709,4653837,237345687,51,151,SRX1056784,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP059390,PRJNA286792,27161320,"",SRS959381,SAMN03770650,simple,10090,Mus musculus,GSM1709047,GEO,SRA272681,10,2015,Reid,"Mouse embryonic fibroblasts, GADD34-/-",Cytosol mRNA-seq Untreated 2,"Mouse embryonic fibroblasts, GADD34-/-",embryonic fibroblast,Untreated,Cytosol,mRNA-seq,2,GSM1709047
SRR2060710,22907683,1168291833,51,743,SRX1056785,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP059390,PRJNA286792,27161320,"",SRS959380,SAMN03770651,simple,10090,Mus musculus,GSM1709048,GEO,SRA272681,10,2015,Reid,"Mouse embryonic fibroblasts, GADD34-/-",Cytosol mRNA-seq 0.5 h Tg 2,"Mouse embryonic fibroblasts, GADD34-/-",embryonic fibroblast,0.5 h Tg,Cytosol,mRNA-seq,2,GSM1709048
SRR2060711,17777094,906631794,51,576,SRX1056786,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP059390,PRJNA286792,27161320,"",SRS959379,SAMN03770652,simple,10090,Mus musculus,GSM1709049,GEO,SRA272681,10,2015,Reid,"Mouse embryonic fibroblasts, GADD34-/-",Cytosol mRNA-seq 1 h Tg 2,"Mouse embryonic fibroblasts, GADD34-/-",embryonic fibroblast,1 h Tg,Cytosol,mRNA-seq,2,GSM1709049
SRR2060712,29464294,1502678994,51,949,SRX1056787,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP059390,PRJNA286792,27161320,"",SRS959378,SAMN03770653,simple,10090,Mus musculus,GSM1709050,GEO,SRA272681,10,2015,Reid,"Mouse embryonic fibroblasts, GADD34-/-",Cytosol mRNA-seq 2 h Tg 2,"Mouse embryonic fibroblasts, GADD34-/-",embryonic fibroblast,2 h Tg,Cytosol,mRNA-seq,2,GSM1709050
SRR2060713,29196230,1489007730,51,943,SRX1056788,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP059390,PRJNA286792,27161320,"",SRS959377,SAMN03770654,simple,10090,Mus musculus,GSM1709051,GEO,SRA272681,10,2015,Reid,"Mouse embryonic fibroblasts, GADD34-/-",Cytosol mRNA-seq 4 h Tg 2,"Mouse embryonic fibroblasts, GADD34-/-",embryonic fibroblast,4 h Tg,Cytosol,mRNA-seq,2,GSM1709051
