Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,tissue,age,genotype,tamoxifen treatment,metformin treatment,insulin treatment,rna fraction,GEO Accession
SRR12539940,19424800,990664800,51,312,SRX9029586,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP279200,PRJNA659995,32912901,"",SRS7280867,SAMN15931724,simple,10090,Mus musculus,GSM4751671,GEO,SRA1118376,08,2023,Van,Primary Hepatocytes,Ampk InsMet input rep1,Primary Hepatocytes,C57BL/6 (F3 generation),primary hepatocytes,8-16 weeks old,wild type,Tamoxifen treatment 3x 14-17 days prior to hepatocyte isolation,2mM Metformin for 2h serum-starved,Untreated,polysome fractionated samples,GSM4751674
SRR12539941,15712445,801334695,51,330,SRX9029587,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP279200,PRJNA659995,32912901,"",SRS7280869,SAMN15931723,simple,10090,Mus musculus,GSM4751672,GEO,SRA1118376,08,2023,Van,Primary Hepatocytes,Ampk InsMet input rep2,Primary Hepatocytes,C57BL/6 (F3 generation),primary hepatocytes,8-16 weeks old,wild type,Tamoxifen treatment 3x 14-17 days prior to hepatocyte isolation,untreated - serum starved,15 minute pre-treatment with 1nM Insulin,polysome fractionated samples,GSM4751675
SRR12539942,24088979,1228537929,51,401,SRX9029588,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP279200,PRJNA659995,32912901,"",SRS7280870,SAMN15931722,simple,10090,Mus musculus,GSM4751673,GEO,SRA1118376,08,2023,Van,Primary Hepatocytes,WT UT poly,Primary Hepatocytes,C57BL/6 (F3 generation),primary hepatocytes,8-16 weeks old,wild type,Tamoxifen treatment 3x 14-17 days prior to hepatocyte isolation,untreated - serum starved,15 minute pre-treatment with 1nM Insulin,polysome fractionated samples,GSM4751676
SRR12539943,23151223,1180712373,51,385,SRX9029589,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP279200,PRJNA659995,32912901,"",SRS7280871,SAMN15931721,simple,10090,Mus musculus,GSM4751674,GEO,SRA1118376,08,2023,Van,Primary Hepatocytes,WT Met poly,Primary Hepatocytes,C57BL/6 (F3 generation),primary hepatocytes,8-16 weeks old,wild type,Tamoxifen treatment 3x 14-17 days prior to hepatocyte isolation,2mM Metformin for 2h serum-starved,15 minute pre-treatment with 1nM Insulin,polysome fractionated samples,GSM4751677
SRR12539944,13420835,684462585,51,195,SRX9029590,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP279200,PRJNA659995,32912901,"",SRS7280872,SAMN15931720,simple,10090,Mus musculus,GSM4751675,GEO,SRA1118376,08,2023,Van,Primary Hepatocytes,WT Ins poly rep1,Primary Hepatocytes,C57BL/6 (F3 generation),primary hepatocytes,8-16 weeks old,wild type,Tamoxifen treatment 3x 14-17 days prior to hepatocyte isolation,2mM Metformin for 2h serum-starved,15 minute pre-treatment with 1nM Insulin,polysome fractionated samples,GSM4751678
SRR12539945,28454007,1422700350,50,449,SRX9029590,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP279200,PRJNA659995,32912901,"",SRS7280872,SAMN15931720,simple,10090,Mus musculus,GSM4751675,GEO,SRA1118376,08,2023,Van,Primary Hepatocytes,WT Ins poly rep1,Primary Hepatocytes,C57BL/6 (F3 generation),primary hepatocytes,8-16 weeks old,wild type,Tamoxifen treatment 3x 14-17 days prior to hepatocyte isolation,0.1uM INK-128 for 2h serum-starved,Untreated,polysome fractionated samples,GSM4751679
SRR12539946,23437908,1195333308,51,391,SRX9029591,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP279200,PRJNA659995,32912901,"",SRS7280873,SAMN15931719,simple,10090,Mus musculus,GSM4751676,GEO,SRA1118376,08,2023,Van,Primary Hepatocytes,WT Ins poly rep2,Primary Hepatocytes,C57BL/6 (F3 generation),primary hepatocytes,8-16 weeks old,wild type,Tamoxifen treatment 3x 14-17 days prior to hepatocyte isolation,0.1uM INK-128 for 2h serum-starved,15 minute pre-treatment with 1nM Insulin,polysome fractionated samples,GSM4751680
SRR12539947,20121382,1026190482,51,297,SRX9029592,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP279200,PRJNA659995,32912901,"",SRS7280874,SAMN15931718,simple,10090,Mus musculus,GSM4751677,GEO,SRA1118376,08,2023,Van,Primary Hepatocytes,WT InsMet poly rep1,Primary Hepatocytes,C57BL/6 (F3 generation),primary hepatocytes,8-16 weeks old,wild type,Tamoxifen treatment 3x 14-17 days prior to hepatocyte isolation,0.1uM INK-128 for 2h serum-starved,15 minute pre-treatment with 1nM Insulin,polysome fractionated samples,GSM4751681
SRR12539948,40082656,2004132800,50,636,SRX9029592,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP279200,PRJNA659995,32912901,"",SRS7280874,SAMN15931718,simple,10090,Mus musculus,GSM4751677,GEO,SRA1118376,08,2023,Van,Primary Hepatocytes,WT InsMet poly rep1,Primary Hepatocytes,C57BL/6 (F3 generation),primary hepatocytes,8-16 weeks old,Raptor - S722A; S792A,Tamoxifen treatment 3x 14-17 days prior to hepatocyte isolation,untreated - serum starved,Untreated,polysome fractionated samples,GSM4751682
SRR12539949,27330744,1393867944,51,456,SRX9029593,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP279200,PRJNA659995,32912901,"",SRS7280875,SAMN15931717,simple,10090,Mus musculus,GSM4751678,GEO,SRA1118376,08,2023,Van,Primary Hepatocytes,WT InsMet poly rep2,Primary Hepatocytes,C57BL/6 (F3 generation),primary hepatocytes,8-16 weeks old,Raptor - S722A; S792A,Tamoxifen treatment 3x 14-17 days prior to hepatocyte isolation,2mM Metformin for 2h serum-starved,Untreated,polysome fractionated samples,GSM4751683
SRR12539950,25362292,1293476892,51,419,SRX9029594,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP279200,PRJNA659995,32912901,"",SRS7280876,SAMN15931716,simple,10090,Mus musculus,GSM4751679,GEO,SRA1118376,08,2023,Van,Primary Hepatocytes,WT Ink poly,Primary Hepatocytes,C57BL/6 (F3 generation),primary hepatocytes,8-16 weeks old,Raptor - S722A; S792A,Tamoxifen treatment 3x 14-17 days prior to hepatocyte isolation,untreated - serum starved,15 minute pre-treatment with 1nM Insulin,polysome fractionated samples,GSM4751684
SRR12539951,2954078,150657978,51,64,SRX9029595,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP279200,PRJNA659995,32912901,"",SRS7280877,SAMN15931715,simple,10090,Mus musculus,GSM4751680,GEO,SRA1118376,08,2023,Van,Primary Hepatocytes,WT InsInk poly rep1,Primary Hepatocytes,C57BL/6 (F3 generation),primary hepatocytes,8-16 weeks old,Raptor - S722A; S792A,Tamoxifen treatment 3x 14-17 days prior to hepatocyte isolation,untreated - serum starved,15 minute pre-treatment with 1nM Insulin,polysome fractionated samples,GSM4751685
SRR12539952,23945617,1197280850,50,378,SRX9029595,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP279200,PRJNA659995,32912901,"",SRS7280877,SAMN15931715,simple,10090,Mus musculus,GSM4751680,GEO,SRA1118376,08,2023,Van,Primary Hepatocytes,WT InsInk poly rep1,Primary Hepatocytes,C57BL/6 (F3 generation),primary hepatocytes,8-16 weeks old,Raptor - S722A; S792A,Tamoxifen treatment 3x 14-17 days prior to hepatocyte isolation,2mM Metformin for 2h serum-starved,15 minute pre-treatment with 1nM Insulin,polysome fractionated samples,GSM4751686
SRR12539953,24931393,1271501043,51,411,SRX9029596,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP279200,PRJNA659995,32912901,"",SRS7280878,SAMN15931714,simple,10090,Mus musculus,GSM4751681,GEO,SRA1118376,08,2023,Van,Primary Hepatocytes,WT InsInk poly rep2,Primary Hepatocytes,C57BL/6 (F3 generation),primary hepatocytes,8-16 weeks old,Raptor - S722A; S792A,Tamoxifen treatment 3x 14-17 days prior to hepatocyte isolation,2mM Metformin for 2h serum-starved,15 minute pre-treatment with 1nM Insulin,polysome fractionated samples,GSM4751687
SRR12539954,27272335,1390889085,51,452,SRX9029597,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP279200,PRJNA659995,32912901,"",SRS7280879,SAMN15931713,simple,10090,Mus musculus,GSM4751682,GEO,SRA1118376,08,2023,Van,Primary Hepatocytes,AA UT poly,Primary Hepatocytes,C57BL/6 (F3 generation),primary hepatocytes,8-16 weeks old,Tsc2 fl/fl; AlbCreEr,Tamoxifen treatment 3x 14-17 days prior to hepatocyte isolation,untreated - serum starved,Untreated,polysome fractionated samples,GSM4751688
SRR12539955,26883842,1371075942,51,450,SRX9029598,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP279200,PRJNA659995,32912901,"",SRS7280880,SAMN15931712,simple,10090,Mus musculus,GSM4751683,GEO,SRA1118376,08,2023,Van,Primary Hepatocytes,AA Met poly,Primary Hepatocytes,C57BL/6 (F3 generation),primary hepatocytes,8-16 weeks old,Tsc2 fl/fl; AlbCreEr,Tamoxifen treatment 3x 14-17 days prior to hepatocyte isolation,2mM Metformin for 2h serum-starved,Untreated,polysome fractionated samples,GSM4751689
SRR12539956,10161308,518226708,51,148,SRX9029599,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP279200,PRJNA659995,32912901,"",SRS7280882,SAMN15931711,simple,10090,Mus musculus,GSM4751684,GEO,SRA1118376,08,2023,Van,Primary Hepatocytes,AA Ins poly rep1,Primary Hepatocytes,C57BL/6 (F3 generation),primary hepatocytes,8-16 weeks old,Tsc2 fl/fl; AlbCreEr,Tamoxifen treatment 3x 14-17 days prior to hepatocyte isolation,untreated - serum starved,15 minute pre-treatment with 1nM Insulin,polysome fractionated samples,GSM4751690
SRR12539957,22035874,1101793700,50,345,SRX9029599,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP279200,PRJNA659995,32912901,"",SRS7280882,SAMN15931711,simple,10090,Mus musculus,GSM4751684,GEO,SRA1118376,08,2023,Van,Primary Hepatocytes,AA Ins poly rep1,Primary Hepatocytes,C57BL/6 (F3 generation),primary hepatocytes,8-16 weeks old,wild type,Tamoxifen treatment 3x 14-17 days prior to hepatocyte isolation,untreated - serum starved,15 minute pre-treatment with 1nM Insulin,polyA RNA,GSM4751643
SRR12539958,24464407,1247684757,51,408,SRX9029600,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP279200,PRJNA659995,32912901,"",SRS7280881,SAMN15931710,simple,10090,Mus musculus,GSM4751685,GEO,SRA1118376,08,2023,Van,Primary Hepatocytes,AA Ins poly rep2,Primary Hepatocytes,C57BL/6 (F3 generation),primary hepatocytes,8-16 weeks old,wild type,Tamoxifen treatment 3x 14-17 days prior to hepatocyte isolation,2mM Metformin for 2h serum-starved,15 minute pre-treatment with 1nM Insulin,polyA RNA,GSM4751644
SRR12539959,9869265,503332515,51,143,SRX9029601,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP279200,PRJNA659995,32912901,"",SRS7280883,SAMN15931709,simple,10090,Mus musculus,GSM4751686,GEO,SRA1118376,08,2023,Van,Primary Hepatocytes,AA InsMet poly rep1,Primary Hepatocytes,C57BL/6 (F3 generation),primary hepatocytes,8-16 weeks old,wild type,Tamoxifen treatment 3x 14-17 days prior to hepatocyte isolation,2mM Metformin for 2h serum-starved,15 minute pre-treatment with 1nM Insulin,polyA RNA,GSM4751645
SRR12539960,21115646,1055782300,50,330,SRX9029601,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP279200,PRJNA659995,32912901,"",SRS7280883,SAMN15931709,simple,10090,Mus musculus,GSM4751686,GEO,SRA1118376,08,2023,Van,Primary Hepatocytes,AA InsMet poly rep1,Primary Hepatocytes,C57BL/6 (F3 generation),primary hepatocytes,8-16 weeks old,wild type,Tamoxifen treatment 3x 14-17 days prior to hepatocyte isolation,0.1uM INK-128 for 2h serum-starved,Untreated,polyA RNA,GSM4751646
SRR12539961,25682088,1309786488,51,429,SRX9029602,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP279200,PRJNA659995,32912901,"",SRS7280884,SAMN15931704,simple,10090,Mus musculus,GSM4751687,GEO,SRA1118376,08,2023,Van,Primary Hepatocytes,AA InsMet poly rep2,Primary Hepatocytes,C57BL/6 (F3 generation),primary hepatocytes,8-16 weeks old,wild type,Tamoxifen treatment 3x 14-17 days prior to hepatocyte isolation,0.1uM INK-128 for 2h serum-starved,15 minute pre-treatment with 1nM Insulin,polyA RNA,GSM4751647
SRR12539962,25132386,1281751686,51,415,SRX9029603,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP279200,PRJNA659995,32912901,"",SRS7280885,SAMN15931708,simple,10090,Mus musculus,GSM4751688,GEO,SRA1118376,08,2023,Van,Primary Hepatocytes,Tsc UT poly,Primary Hepatocytes,C57BL/6 (F3 generation),primary hepatocytes,8-16 weeks old,wild type,Tamoxifen treatment 3x 14-17 days prior to hepatocyte isolation,0.1uM INK-128 for 2h serum-starved,15 minute pre-treatment with 1nM Insulin,polyA RNA,GSM4751648
SRR12539963,23813166,1214471466,51,391,SRX9029604,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP279200,PRJNA659995,32912901,"",SRS7280886,SAMN15931707,simple,10090,Mus musculus,GSM4751689,GEO,SRA1118376,08,2023,Van,Primary Hepatocytes,Tsc Met Poly,Primary Hepatocytes,C57BL/6 (F3 generation),primary hepatocytes,8-16 weeks old,Raptor - S722A; S792A,Tamoxifen treatment 3x 14-17 days prior to hepatocyte isolation,untreated - serum starved,Untreated,polyA RNA,GSM4751649
SRR12539964,9543282,486707382,51,138,SRX9029605,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP279200,PRJNA659995,32912901,"",SRS7280887,SAMN15931706,simple,10090,Mus musculus,GSM4751690,GEO,SRA1118376,08,2023,Van,Primary Hepatocytes,Tsc Ins poly rep1,Primary Hepatocytes,C57BL/6 (F3 generation),primary hepatocytes,8-16 weeks old,Raptor - S722A; S792A,Tamoxifen treatment 3x 14-17 days prior to hepatocyte isolation,2mM Metformin for 2h serum-starved,Untreated,polyA RNA,GSM4751650
SRR12539965,20844771,1042238550,50,324,SRX9029605,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP279200,PRJNA659995,32912901,"",SRS7280887,SAMN15931706,simple,10090,Mus musculus,GSM4751690,GEO,SRA1118376,08,2023,Van,Primary Hepatocytes,Tsc Ins poly rep1,Primary Hepatocytes,C57BL/6 (F3 generation),primary hepatocytes,8-16 weeks old,Raptor - S722A; S792A,Tamoxifen treatment 3x 14-17 days prior to hepatocyte isolation,untreated - serum starved,15 minute pre-treatment with 1nM Insulin,polyA RNA,GSM4751651
SRR12539902,23588860,1203031860,51,395,SRX9029606,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP279200,PRJNA659995,32912901,"",SRS7280888,SAMN15931693,simple,10090,Mus musculus,GSM4751643,GEO,SRA1118376,08,2023,Van,Primary Hepatocytes,WT Ins input rep2,Primary Hepatocytes,C57BL/6 (F3 generation),primary hepatocytes,8-16 weeks old,Raptor - S722A; S792A,Tamoxifen treatment 3x 14-17 days prior to hepatocyte isolation,untreated - serum starved,15 minute pre-treatment with 1nM Insulin,polyA RNA,GSM4751652
SRR12539903,7488010,374400500,50,116,SRX9029607,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP279200,PRJNA659995,32912901,"",SRS7280889,SAMN15931692,simple,10090,Mus musculus,GSM4751644,GEO,SRA1118376,08,2023,Van,Primary Hepatocytes,WT InsMet input rep1,Primary Hepatocytes,C57BL/6 (F3 generation),primary hepatocytes,8-16 weeks old,Raptor - S722A; S792A,Tamoxifen treatment 3x 14-17 days prior to hepatocyte isolation,2mM Metformin for 2h serum-starved,15 minute pre-treatment with 1nM Insulin,polyA RNA,GSM4751653
SRR12539904,20910033,1066411683,51,338,SRX9029607,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP279200,PRJNA659995,32912901,"",SRS7280889,SAMN15931692,simple,10090,Mus musculus,GSM4751644,GEO,SRA1118376,08,2023,Van,Primary Hepatocytes,WT InsMet input rep1,Primary Hepatocytes,C57BL/6 (F3 generation),primary hepatocytes,8-16 weeks old,Raptor - S722A; S792A,Tamoxifen treatment 3x 14-17 days prior to hepatocyte isolation,2mM Metformin for 2h serum-starved,15 minute pre-treatment with 1nM Insulin,polyA RNA,GSM4751654
SRR12539905,20747845,1058140095,51,349,SRX9029608,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP279200,PRJNA659995,32912901,"",SRS7280890,SAMN15931691,simple,10090,Mus musculus,GSM4751645,GEO,SRA1118376,08,2023,Van,Primary Hepatocytes,WT InsMet input rep2,Primary Hepatocytes,C57BL/6 (F3 generation),primary hepatocytes,8-16 weeks old,Tsc2 fl/fl; AlbCreEr,Tamoxifen treatment 3x 14-17 days prior to hepatocyte isolation,untreated - serum starved,Untreated,polyA RNA,GSM4751655
SRR12539906,20486574,1044815274,51,336,SRX9029609,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP279200,PRJNA659995,32912901,"",SRS7280891,SAMN15931690,simple,10090,Mus musculus,GSM4751646,GEO,SRA1118376,08,2023,Van,Primary Hepatocytes,WT Ink input,Primary Hepatocytes,C57BL/6 (F3 generation),primary hepatocytes,8-16 weeks old,Tsc2 fl/fl; AlbCreEr,Tamoxifen treatment 3x 14-17 days prior to hepatocyte isolation,2mM Metformin for 2h serum-starved,Untreated,polyA RNA,GSM4751656
SRR12539907,6973023,348651150,50,107,SRX9029610,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP279200,PRJNA659995,32912901,"",SRS7280893,SAMN15931689,simple,10090,Mus musculus,GSM4751647,GEO,SRA1118376,08,2023,Van,Primary Hepatocytes,WT InsInk input rep1,Primary Hepatocytes,C57BL/6 (F3 generation),primary hepatocytes,8-16 weeks old,Tsc2 fl/fl; AlbCreEr,Tamoxifen treatment 3x 14-17 days prior to hepatocyte isolation,untreated - serum starved,15 minute pre-treatment with 1nM Insulin,polyA RNA,GSM4751657
SRR12539908,18869287,962333637,51,302,SRX9029610,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP279200,PRJNA659995,32912901,"",SRS7280893,SAMN15931689,simple,10090,Mus musculus,GSM4751647,GEO,SRA1118376,08,2023,Van,Primary Hepatocytes,WT InsInk input rep1,Primary Hepatocytes,C57BL/6 (F3 generation),primary hepatocytes,8-16 weeks old,Tsc2 fl/fl; AlbCreEr,Tamoxifen treatment 3x 14-17 days prior to hepatocyte isolation,untreated - serum starved,15 minute pre-treatment with 1nM Insulin,polyA RNA,GSM4751658
