Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,genotype/variation,treatment,molecule subtype,GEO Accession
SRR7214396,321616104,16402421304,51,5523,SRX4121335,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP148891,PRJNA472972,31400849,"",SRS3335962,SAMN09254327,simple,4932,Saccharomyces cerevisiae,GSM3152883,GEO,SRA710302,08,2019,Stein,TRiC-bound puromycin,TRiC-bound puromycin Rep 1,Ssb total,BY4741,wild-type,Cells were treated with 100 µg/mL cycloheximide (CHX) and immediately harvested using fast filtration.,Ribosome protected mRNA,GSM3152889
SRR7214397,154131928,7860728328,51,1540,SRX4121336,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP148891,PRJNA472972,31400849,"",SRS3335963,SAMN09254326,simple,4932,Saccharomyces cerevisiae,GSM3152884,GEO,SRA710302,08,2019,Stein,TRiC-bound puromycin,TRiC-bound puromycin Rep 2,Ssb total,BY4741,wild-type,Cells were treated with 100 µg/mL cycloheximide (CHX) and immediately harvested using fast filtration.,Ribosome protected mRNA,GSM3152890
SRR7214398,133388368,6802806768,51,1408,SRX4121336,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP148891,PRJNA472972,31400849,"",SRS3335963,SAMN09254326,simple,4932,Saccharomyces cerevisiae,GSM3152884,GEO,SRA710302,08,2019,Stein,TRiC-bound puromycin,TRiC-bound puromycin Rep 2,Ssb-bound puromycin,BY4741,wild-type,Lysis buffer supplemented with 5 mM puromycin.,Ribosome protected mRNA,GSM3152891
SRR7214399,43984088,2243188488,51,758,SRX4121337,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP148891,PRJNA472972,31400849,"",SRS3335964,SAMN09254324,simple,4932,Saccharomyces cerevisiae,GSM3152885,GEO,SRA710302,08,2019,Stein,TRiC total puromycin,TRiC total puromycin Rep 1,Ssb-bound puromycin,BY4741,wild-type,Lysis buffer supplemented with 5 mM puromycin.,Ribosome protected mRNA,GSM3152892
SRR7214400,231913562,11827591662,51,3713,SRX4121338,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP148891,PRJNA472972,31400849,"",SRS3335965,SAMN09254322,simple,4932,Saccharomyces cerevisiae,GSM3152886,GEO,SRA710302,08,2019,Stein,TRiC total puromycin,TRiC total puromycin Rep 2,Ssb total puromycin,BY4741,wild-type,Lysis buffer supplemented with 5 mM puromycin.,Ribosome protected mRNA,GSM3152893
SRR7214401,200843851,10243036401,51,3255,SRX4121338,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP148891,PRJNA472972,31400849,"",SRS3335965,SAMN09254322,simple,4932,Saccharomyces cerevisiae,GSM3152886,GEO,SRA710302,08,2019,Stein,TRiC total puromycin,TRiC total puromycin Rep 2,Ssb total puromycin,BY4741,wild-type,Lysis buffer supplemented with 5 mM puromycin.,Ribosome protected mRNA,GSM3152894
SRR7214402,64781753,3303869403,51,1105,SRX4121339,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP148891,PRJNA472972,31400849,"",SRS3335966,SAMN09254321,simple,4932,Saccharomyces cerevisiae,GSM3152887,GEO,SRA710302,08,2019,Stein,Ssb-bound,Ssb-bound Rep 1,atp2 mutant TRiC-bound,BY4741,"atp2-P353A,P355A",Cells were treated with 100 µg/mL cycloheximide (CHX) and immediately harvested using fast filtration.,Ribosome protected mRNA,GSM3152895
SRR7214403,301720135,15387726885,51,4892,SRX4121339,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP148891,PRJNA472972,31400849,"",SRS3335966,SAMN09254321,simple,4932,Saccharomyces cerevisiae,GSM3152887,GEO,SRA710302,08,2019,Stein,Ssb-bound,Ssb-bound Rep 1,atp2 mutant TRiC-bound,BY4741,"atp2-P353A,P355A",Cells were treated with 100 µg/mL cycloheximide (CHX) and immediately harvested using fast filtration.,Ribosome protected mRNA,GSM3152896
SRR7214404,196556946,10024404246,51,3151,SRX4121339,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP148891,PRJNA472972,31400849,"",SRS3335966,SAMN09254321,simple,4932,Saccharomyces cerevisiae,GSM3152887,GEO,SRA710302,08,2019,Stein,Ssb-bound,Ssb-bound Rep 1,atp2 mutant TRiC total,BY4741,"atp2-P353A,P355A",Cells were treated with 100 µg/mL cycloheximide (CHX) and immediately harvested using fast filtration.,Ribosome protected mRNA,GSM3152897
SRR7214405,39371329,2007937779,51,667,SRX4121340,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP148891,PRJNA472972,31400849,"",SRS3335967,SAMN09254319,simple,4932,Saccharomyces cerevisiae,GSM3152888,GEO,SRA710302,08,2019,Stein,Ssb-bound,Ssb-bound Rep 2,atp2 mutant TRiC total,BY4741,"atp2-P353A,P355A",Cells were treated with 100 µg/mL cycloheximide (CHX) and immediately harvested using fast filtration.,Ribosome protected mRNA,GSM3152898
SRR7214406,287517931,14663414481,51,4610,SRX4121340,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP148891,PRJNA472972,31400849,"",SRS3335967,SAMN09254319,simple,4932,Saccharomyces cerevisiae,GSM3152888,GEO,SRA710302,08,2019,Stein,Ssb-bound,Ssb-bound Rep 2,"WT translatome, no CHX",Y5565,wild-type,,Ribosome protected mRNA,GSM3152899
SRR7214407,93609074,4774062774,51,1487,SRX4121340,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP148891,PRJNA472972,31400849,"",SRS3335967,SAMN09254319,simple,4932,Saccharomyces cerevisiae,GSM3152888,GEO,SRA710302,08,2019,Stein,Ssb-bound,Ssb-bound Rep 2,"WT translatome, no CHX",Y5565,wild-type,,Ribosome protected mRNA,GSM3152900
SRR7214408,39847698,2032232598,51,687,SRX4121341,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP148891,PRJNA472972,31400849,"",SRS3335968,SAMN09254318,simple,4932,Saccharomyces cerevisiae,GSM3152889,GEO,SRA710302,08,2019,Stein,Ssb total,Ssb total Rep 1,TRiC-bound,BY4741,wild-type,Cells were treated with 100 µg/mL cycloheximide (CHX) and immediately harvested using fast filtration.,Ribosome protected mRNA,GSM3152879
SRR7214409,17416919,888262869,51,287,SRX4121341,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP148891,PRJNA472972,31400849,"",SRS3335968,SAMN09254318,simple,4932,Saccharomyces cerevisiae,GSM3152889,GEO,SRA710302,08,2019,Stein,Ssb total,Ssb total Rep 1,TRiC-bound,BY4741,wild-type,Cells were treated with 100 µg/mL cycloheximide (CHX) and immediately harvested using fast filtration.,Ribosome protected mRNA,GSM3152880
SRR7214410,42191935,2151788685,51,730,SRX4121342,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP148891,PRJNA472972,31400849,"",SRS3335969,SAMN09254316,simple,4932,Saccharomyces cerevisiae,GSM3152890,GEO,SRA710302,08,2019,Stein,Ssb total,Ssb total Rep 2,TRiC total,BY4741,wild-type,Cells were treated with 100 µg/mL cycloheximide (CHX) and immediately harvested using fast filtration.,Ribosome protected mRNA,GSM3152881
SRR7214411,20046597,1022376447,51,330,SRX4121342,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP148891,PRJNA472972,31400849,"",SRS3335969,SAMN09254316,simple,4932,Saccharomyces cerevisiae,GSM3152890,GEO,SRA710302,08,2019,Stein,Ssb total,Ssb total Rep 2,TRiC total,BY4741,wild-type,Cells were treated with 100 µg/mL cycloheximide (CHX) and immediately harvested using fast filtration.,Ribosome protected mRNA,GSM3152882
SRR7214412,52838393,2694758043,51,890,SRX4121343,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP148891,PRJNA472972,31400849,"",SRS3335971,SAMN09254314,simple,4932,Saccharomyces cerevisiae,GSM3152891,GEO,SRA710302,08,2019,Stein,Ssb-bound puromycin,Ssb-bound puromycin Rep 1,TRiC-bound puromycin,BY4741,wild-type,Lysis buffer supplemented with 5 mM puromycin.,Ribosome protected mRNA,GSM3152883
SRR7214413,80890299,4125405249,51,1292,SRX4121343,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP148891,PRJNA472972,31400849,"",SRS3335971,SAMN09254314,simple,4932,Saccharomyces cerevisiae,GSM3152891,GEO,SRA710302,08,2019,Stein,Ssb-bound puromycin,Ssb-bound puromycin Rep 1,TRiC-bound puromycin,BY4741,wild-type,Lysis buffer supplemented with 5 mM puromycin.,Ribosome protected mRNA,GSM3152884
SRR7214414,32253781,1644942831,51,533,SRX4121344,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP148891,PRJNA472972,31400849,"",SRS3335970,SAMN09254313,simple,4932,Saccharomyces cerevisiae,GSM3152892,GEO,SRA710302,08,2019,Stein,Ssb-bound puromycin,Ssb-bound puromycin Rep 2,TRiC total puromycin,BY4741,wild-type,Lysis buffer supplemented with 5 mM puromycin.,Ribosome protected mRNA,GSM3152885
SRR7214415,302174424,15410895624,51,4726,SRX4121344,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP148891,PRJNA472972,31400849,"",SRS3335970,SAMN09254313,simple,4932,Saccharomyces cerevisiae,GSM3152892,GEO,SRA710302,08,2019,Stein,Ssb-bound puromycin,Ssb-bound puromycin Rep 2,TRiC total puromycin,BY4741,wild-type,Lysis buffer supplemented with 5 mM puromycin.,Ribosome protected mRNA,GSM3152886
SRR7214416,60547610,3087928110,51,1034,SRX4121345,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP148891,PRJNA472972,31400849,"",SRS3335972,SAMN09254311,simple,4932,Saccharomyces cerevisiae,GSM3152893,GEO,SRA710302,08,2019,Stein,Ssb total puromycin,Ssb total puromycin Rep 1,Ssb-bound,BY4741,wild-type,Cells were treated with 100 µg/mL cycloheximide (CHX) and immediately harvested using fast filtration.,Ribosome protected mRNA,GSM3152887
SRR7214417,28986370,1478304870,51,472,SRX4121345,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP148891,PRJNA472972,31400849,"",SRS3335972,SAMN09254311,simple,4932,Saccharomyces cerevisiae,GSM3152893,GEO,SRA710302,08,2019,Stein,Ssb total puromycin,Ssb total puromycin Rep 1,Ssb-bound,BY4741,wild-type,Cells were treated with 100 µg/mL cycloheximide (CHX) and immediately harvested using fast filtration.,Ribosome protected mRNA,GSM3152888
SRR7214418,36709385,1872178635,51,632,SRX4121346,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP148891,PRJNA472972,31400849,"",SRS3335973,SAMN09254309,simple,4932,Saccharomyces cerevisiae,GSM3152894,GEO,SRA710302,08,2019,Stein,Ssb total puromycin,Ssb total puromycin Rep 2,Ssb total,BY4741,wild-type,Cells were treated with 100 µg/mL cycloheximide (CHX) and immediately harvested using fast filtration.,Ribosome protected mRNA,GSM3152889
SRR7214419,55188483,2814612633,51,904,SRX4121346,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP148891,PRJNA472972,31400849,"",SRS3335973,SAMN09254309,simple,4932,Saccharomyces cerevisiae,GSM3152894,GEO,SRA710302,08,2019,Stein,Ssb total puromycin,Ssb total puromycin Rep 2,Ssb total,BY4741,wild-type,Cells were treated with 100 µg/mL cycloheximide (CHX) and immediately harvested using fast filtration.,Ribosome protected mRNA,GSM3152890
SRR7214420,156068294,7959482994,51,2642,SRX4121347,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP148891,PRJNA472972,31400849,"",SRS3335974,SAMN09254307,simple,4932,Saccharomyces cerevisiae,GSM3152895,GEO,SRA710302,08,2019,Stein,atp2 mutant TRiC-bound,atp2 mutant TRiC-bound Rep 1,Ssb-bound puromycin,BY4741,wild-type,Lysis buffer supplemented with 5 mM puromycin.,Ribosome protected mRNA,GSM3152891
SRR7214421,177747542,9065124642,51,3026,SRX4121348,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP148891,PRJNA472972,31400849,"",SRS3335975,SAMN09254306,simple,4932,Saccharomyces cerevisiae,GSM3152896,GEO,SRA710302,08,2019,Stein,atp2 mutant TRiC-bound,atp2 mutant TRiC-bound Rep 2,Ssb-bound puromycin,BY4741,wild-type,Lysis buffer supplemented with 5 mM puromycin.,Ribosome protected mRNA,GSM3152892
SRR7214422,164678778,8398617678,51,2780,SRX4121349,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP148891,PRJNA472972,31400849,"",SRS3335977,SAMN09254304,simple,4932,Saccharomyces cerevisiae,GSM3152897,GEO,SRA710302,08,2019,Stein,atp2 mutant TRiC total,atp2 mutant TRiC total Rep 1,Ssb total puromycin,BY4741,wild-type,Lysis buffer supplemented with 5 mM puromycin.,Ribosome protected mRNA,GSM3152893
SRR7214423,240092401,12244712451,51,4037,SRX4121350,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP148891,PRJNA472972,31400849,"",SRS3335976,SAMN09254303,simple,4932,Saccharomyces cerevisiae,GSM3152898,GEO,SRA710302,08,2019,Stein,atp2 mutant TRiC total,atp2 mutant TRiC total Rep 2,Ssb total puromycin,BY4741,wild-type,Lysis buffer supplemented with 5 mM puromycin.,Ribosome protected mRNA,GSM3152894
SRR7214424,38566183,1792801153,46,720,SRX4121351,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP148891,PRJNA472972,31400849,"",SRS3335978,SAMN09254302,simple,4932,Saccharomyces cerevisiae,GSM3152899,GEO,SRA710302,08,2019,Stein,"WT translatome, no CHX","WT translatome Rep 1, no CHX",atp2 mutant TRiC-bound,BY4741,"atp2-P353A,P355A",Cells were treated with 100 µg/mL cycloheximide (CHX) and immediately harvested using fast filtration.,Ribosome protected mRNA,GSM3152895
SRR7214425,39266806,1824977978,46,730,SRX4121351,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP148891,PRJNA472972,31400849,"",SRS3335978,SAMN09254302,simple,4932,Saccharomyces cerevisiae,GSM3152899,GEO,SRA710302,08,2019,Stein,"WT translatome, no CHX","WT translatome Rep 1, no CHX",atp2 mutant TRiC-bound,BY4741,"atp2-P353A,P355A",Cells were treated with 100 µg/mL cycloheximide (CHX) and immediately harvested using fast filtration.,Ribosome protected mRNA,GSM3152896
SRR7214426,38811733,1804000224,46,728,SRX4121351,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP148891,PRJNA472972,31400849,"",SRS3335978,SAMN09254302,simple,4932,Saccharomyces cerevisiae,GSM3152899,GEO,SRA710302,08,2019,Stein,"WT translatome, no CHX","WT translatome Rep 1, no CHX",atp2 mutant TRiC total,BY4741,"atp2-P353A,P355A",Cells were treated with 100 µg/mL cycloheximide (CHX) and immediately harvested using fast filtration.,Ribosome protected mRNA,GSM3152897
SRR7214427,35386100,1637104383,46,666,SRX4121352,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP148891,PRJNA472972,31400849,"",SRS3335979,SAMN09254301,simple,4932,Saccharomyces cerevisiae,GSM3152900,GEO,SRA710302,08,2019,Stein,"WT translatome, no CHX","WT translatome Rep 2, no CHX",atp2 mutant TRiC total,BY4741,"atp2-P353A,P355A",Cells were treated with 100 µg/mL cycloheximide (CHX) and immediately harvested using fast filtration.,Ribosome protected mRNA,GSM3152898
SRR7214428,36005043,1665461992,46,675,SRX4121352,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP148891,PRJNA472972,31400849,"",SRS3335979,SAMN09254301,simple,4932,Saccharomyces cerevisiae,GSM3152900,GEO,SRA710302,08,2019,Stein,"WT translatome, no CHX","WT translatome Rep 2, no CHX","WT translatome, no CHX",Y5565,wild-type,,Ribosome protected mRNA,GSM3152899
SRR7214429,35622495,1647902172,46,674,SRX4121352,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP148891,PRJNA472972,31400849,"",SRS3335979,SAMN09254301,simple,4932,Saccharomyces cerevisiae,GSM3152900,GEO,SRA710302,08,2019,Stein,"WT translatome, no CHX","WT translatome Rep 2, no CHX","WT translatome, no CHX",Y5565,wild-type,,Ribosome protected mRNA,GSM3152900
