Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,background,genotype,antibody,fraction,GEO Accession
SRR6502799,67154647,5372371760,40,2249,SRX3591491,,RIP-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP131127,PRJNA430526,30208026,"",SRS2859649,SAMN08375377,simple,4932,Saccharomyces cerevisiae,GSM2940093,GEO,SRA651125,09,2018,Wang,Budding yeast cells,eCLIP.untagged.high_RNase,Budding yeast cells,Sigma1278b Strain F1950,MATa ura3 his3 leu2 trp1,anti-c-Myc,Crosslinked pulldown RNA,GSM2940093
SRR6502800,32189375,2446392500,76,1330,SRX3591492,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP131127,PRJNA430526,30208026,"",SRS2859650,SAMN08375376,simple,4932,Saccharomyces cerevisiae,GSM2940094,GEO,SRA651125,09,2018,Wang,Budding yeast cells,Riboseq.recovery.WT_1,Budding yeast cells,Sigma1278b Strain F1950,MATa ura3 his3 leu2 trp1,N/A,Ribosome-protected mRNA,GSM2940094
SRR6502801,35157541,2671973116,76,1468,SRX3591493,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP131127,PRJNA430526,30208026,"",SRS2859651,SAMN08375375,simple,4932,Saccharomyces cerevisiae,GSM2940095,GEO,SRA651125,09,2018,Wang,Budding yeast cells,Riboseq.recovery.WT_2,Budding yeast cells,Sigma1278b Strain F1950,MATa ura3 his3 leu2 trp1,N/A,Ribosome-protected mRNA,GSM2940095
SRR6502802,167729936,12747475136,76,6999,SRX3591494,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP131127,PRJNA430526,30208026,"",SRS2859652,SAMN08375374,simple,4932,Saccharomyces cerevisiae,GSM2940096,GEO,SRA651125,09,2018,Wang,Budding yeast cells,Riboseq.recovery.lso2_1,Budding yeast cells,Sigma1278b Strain F1950,MATa ura3 his3 leu2 trp1 lso2{delta}::kan,N/A,Ribosome-protected mRNA,GSM2940096
SRR6502803,105171241,7993014316,76,4343,SRX3591495,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP131127,PRJNA430526,30208026,"",SRS2859653,SAMN08375373,simple,4932,Saccharomyces cerevisiae,GSM2940097,GEO,SRA651125,09,2018,Wang,Budding yeast cells,Riboseq.recovery.lso2_2,Budding yeast cells,Sigma1278b Strain F1950,MATa ura3 his3 leu2 trp1 lso2{delta}::kan,N/A,Ribosome-protected mRNA,GSM2940097
SRR7291413,21938944,1096947200,50,679,SRX4194165,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP131127,PRJNA430526,30208026,"",SRS3404980,SAMN09395226,simple,4932,Saccharomyces cerevisiae,GSM3185739,GEO,SRA651125,09,2018,Wang,Budding yeast cells,Riboseq.replete.WT_1,Budding yeast cells,Sigma1278b Strain F1950,MATa ura3 his3 leu2 trp1,,,GSM3185739
SRR7291414,19517501,975875050,50,596,SRX4194166,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP131127,PRJNA430526,30208026,"",SRS3404979,SAMN09395224,simple,4932,Saccharomyces cerevisiae,GSM3185740,GEO,SRA651125,09,2018,Wang,Budding yeast cells,Riboseq.replete.WT_2,Budding yeast cells,Sigma1278b Strain F1950,MATa ura3 his3 leu2 trp1,,,GSM3185740
SRR7291415,17826757,891337850,50,565,SRX4194167,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP131127,PRJNA430526,30208026,"",SRS3404984,SAMN09395223,simple,4932,Saccharomyces cerevisiae,GSM3185741,GEO,SRA651125,09,2018,Wang,Budding yeast cells,Riboseq.replete.WT_3,Budding yeast cells,Sigma1278b Strain F1950,MATa ura3 his3 leu2 trp1,,,GSM3185741
SRR7291416,21348351,1067417550,50,656,SRX4194168,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP131127,PRJNA430526,30208026,"",SRS3404985,SAMN09395222,simple,4932,Saccharomyces cerevisiae,GSM3185742,GEO,SRA651125,09,2018,Wang,Budding yeast cells,Riboseq.replete.lso2_1,Budding yeast cells,Sigma1278b Strain F1950,MATa ura3 his3 leu2 trp1 lso2{delta}::kan,,,GSM3185742
SRR7291417,23093310,1154665500,50,720,SRX4194169,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP131127,PRJNA430526,30208026,"",SRS3404983,SAMN09395221,simple,4932,Saccharomyces cerevisiae,GSM3185743,GEO,SRA651125,09,2018,Wang,Budding yeast cells,Riboseq.replete.lso2_2,Budding yeast cells,Sigma1278b Strain F1950,MATa ura3 his3 leu2 trp1 lso2{delta}::kan,,,GSM3185743
SRR7291418,23421821,1171091050,50,721,SRX4194170,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP131127,PRJNA430526,30208026,"",SRS3404988,SAMN09395220,simple,4932,Saccharomyces cerevisiae,GSM3185744,GEO,SRA651125,09,2018,Wang,Budding yeast cells,Riboseq.replete.lso2_3,Budding yeast cells,Sigma1278b Strain F1950,MATa ura3 his3 leu2 trp1 lso2{delta}::kan,,,GSM3185744
SRR7291419,38034015,1521360600,40,1085,SRX4194171,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP131127,PRJNA430526,30208026,"",SRS3404991,SAMN09395219,simple,4932,Saccharomyces cerevisiae,GSM3185745,GEO,SRA651125,09,2018,Wang,Budding yeast cells,Riboseq.minus_glu.WT_1,Budding yeast cells,Sigma1278b Strain F1950,MATa ura3 his3 leu2 trp1,,,GSM3185745
SRR7291420,36764478,1470579120,40,1043,SRX4194172,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP131127,PRJNA430526,30208026,"",SRS3404987,SAMN09395203,simple,4932,Saccharomyces cerevisiae,GSM3185746,GEO,SRA651125,09,2018,Wang,Budding yeast cells,Riboseq.minus_glu.WT_2,Budding yeast cells,Sigma1278b Strain F1950,MATa ura3 his3 leu2 trp1,,,GSM3185746
SRR7291421,40240934,1609637360,40,1152,SRX4194173,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP131127,PRJNA430526,30208026,"",SRS3404989,SAMN09395228,simple,4932,Saccharomyces cerevisiae,GSM3185747,GEO,SRA651125,09,2018,Wang,Budding yeast cells,Riboseq.minus_glu.lso2_1,Budding yeast cells,Sigma1278b Strain F1950,MATa ura3 his3 leu2 trp1 lso2{delta}::kan,,,GSM3185747
SRR7291422,39570878,1582835120,40,1136,SRX4194174,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP131127,PRJNA430526,30208026,"",SRS3404990,SAMN09395227,simple,4932,Saccharomyces cerevisiae,GSM3185748,GEO,SRA651125,09,2018,Wang,Budding yeast cells,Riboseq.minus_glu.lso2_2,Budding yeast cells,Sigma1278b Strain F1950,MATa ura3 his3 leu2 trp1 lso2{delta}::kan,,,GSM3185748
