Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,isolate,dev_stage,geo_loc_name,tissue,BioSampleModel
SRR4051246,10634258,2658564500,125,931,SRX2040826,3-1-total-HT-rep1,RNA-Seq,size fractionation,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP082597,PRJNA339870,1,"",SRS1634220,SAMN05609576,simple,3702,Arabidopsis thaliana,Hot3-1,China Agricultural University,SRA454223,09,2017,Makar,"","",hot3-1 mutant,10-day-old,missing,Seeding,Plant
SRR4051247,10477836,2619459000,125,914,SRX2040827,3-1-total-HT-rep2,RNA-Seq,size fractionation,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP082597,PRJNA339870,1,"",SRS1634220,SAMN05609576,simple,3702,Arabidopsis thaliana,Hot3-1,China Agricultural University,SRA454223,09,2017,Makar,"","",hot3-1 mutant,10-day-old,missing,Seeding,Plant
SRR4051248,8381324,2095331000,125,761,SRX2040828,WT-total-CK-rep3,RNA-Seq,size fractionation,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP082597,PRJNA339870,1,"",SRS1634219,SAMN05609575,simple,3702,Arabidopsis thaliana,WT,China Agricultural University,SRA454223,09,2017,Makar,"","",Col-0,10-day-old,missing,Seeding,Plant
SRR4051249,9024526,2256131500,125,790,SRX2040829,3-1-total-HT-rep3,RNA-Seq,size fractionation,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP082597,PRJNA339870,1,"",SRS1634220,SAMN05609576,simple,3702,Arabidopsis thaliana,Hot3-1,China Agricultural University,SRA454223,09,2017,Makar,"","",hot3-1 mutant,10-day-old,missing,Seeding,Plant
SRR4051250,11975887,2993971750,125,1052,SRX2040830,3-1-poly-HT-rep1,RNA-Seq,size fractionation,OTHER,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP082597,PRJNA339870,1,"",SRS1634220,SAMN05609576,simple,3702,Arabidopsis thaliana,Hot3-1,China Agricultural University,SRA454223,09,2017,Makar,"","",hot3-1 mutant,10-day-old,missing,Seeding,Plant
SRR4051251,26150169,6537542250,125,2273,SRX2040831,3-1-poly-HT-rep2,RNA-Seq,size fractionation,OTHER,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP082597,PRJNA339870,1,"",SRS1634220,SAMN05609576,simple,3702,Arabidopsis thaliana,Hot3-1,China Agricultural University,SRA454223,09,2017,Makar,"","",hot3-1 mutant,10-day-old,missing,Seeding,Plant
SRR4051252,10207494,2551873500,125,922,SRX2040832,3-2-total-CK-rep1,RNA-Seq,size fractionation,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP082597,PRJNA339870,1,"",SRS1634221,SAMN05609577,simple,3702,Arabidopsis thaliana,Hot3-2,China Agricultural University,SRA454223,09,2017,Makar,"","",hot3-2 mutant,10-day-old,missing,Seeding,Plant
SRR4051253,13715859,3428964750,125,1233,SRX2040833,3-2-total-CK-rep2,RNA-Seq,size fractionation,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP082597,PRJNA339870,1,"",SRS1634221,SAMN05609577,simple,3702,Arabidopsis thaliana,Hot3-2,China Agricultural University,SRA454223,09,2017,Makar,"","",hot3-2 mutant,10-day-old,missing,Seeding,Plant
SRR4051254,10777861,2694465250,125,959,SRX2040834,3-2-total-CK-rep3,RNA-Seq,size fractionation,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP082597,PRJNA339870,1,"",SRS1634221,SAMN05609577,simple,3702,Arabidopsis thaliana,Hot3-2,China Agricultural University,SRA454223,09,2017,Makar,"","",hot3-2 mutant,10-day-old,missing,Seeding,Plant
SRR4051255,10118100,2529525000,125,897,SRX2040835,3-2-poly-CK-rep1,RNA-Seq,size fractionation,OTHER,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP082597,PRJNA339870,1,"",SRS1634221,SAMN05609577,simple,3702,Arabidopsis thaliana,Hot3-2,China Agricultural University,SRA454223,09,2017,Makar,"","",hot3-2 mutant,10-day-old,missing,Seeding,Plant
SRR4051256,9478832,2369708000,125,845,SRX2040836,3-2-poly-CK-rep2,RNA-Seq,size fractionation,OTHER,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP082597,PRJNA339870,1,"",SRS1634221,SAMN05609577,simple,3702,Arabidopsis thaliana,Hot3-2,China Agricultural University,SRA454223,09,2017,Makar,"","",hot3-2 mutant,10-day-old,missing,Seeding,Plant
SRR4051257,8407027,2101756750,125,762,SRX2040837,3-2-poly-CK-rep3,RNA-Seq,size fractionation,OTHER,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP082597,PRJNA339870,1,"",SRS1634221,SAMN05609577,simple,3702,Arabidopsis thaliana,Hot3-2,China Agricultural University,SRA454223,09,2017,Makar,"","",hot3-2 mutant,10-day-old,missing,Seeding,Plant
SRR4051258,8472817,2118204250,125,765,SRX2040838,WT-poly-CK-rep1,RNA-Seq,size fractionation,OTHER,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP082597,PRJNA339870,1,"",SRS1634219,SAMN05609575,simple,3702,Arabidopsis thaliana,WT,China Agricultural University,SRA454223,09,2017,Makar,"","",Col-0,10-day-old,missing,Seeding,Plant
SRR4051259,7980613,1995153250,125,715,SRX2040839,WT-poly-CK-rep2,RNA-Seq,size fractionation,OTHER,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP082597,PRJNA339870,1,"",SRS1634219,SAMN05609575,simple,3702,Arabidopsis thaliana,WT,China Agricultural University,SRA454223,09,2017,Makar,"","",Col-0,10-day-old,missing,Seeding,Plant
SRR4051260,14032647,3508161750,125,1218,SRX2040840,WT-poly-CK-rep3,RNA-Seq,size fractionation,OTHER,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP082597,PRJNA339870,1,"",SRS1634219,SAMN05609575,simple,3702,Arabidopsis thaliana,WT,China Agricultural University,SRA454223,09,2017,Makar,"","",Col-0,10-day-old,missing,Seeding,Plant
SRR4051261,9220748,2305187000,125,806,SRX2040841,WT-total-HT-rep1,RNA-Seq,size fractionation,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP082597,PRJNA339870,1,"",SRS1634219,SAMN05609575,simple,3702,Arabidopsis thaliana,WT,China Agricultural University,SRA454223,09,2017,Makar,"","",Col-0,10-day-old,missing,Seeding,Plant
SRR4051262,10017525,2504381250,125,877,SRX2040842,WT-total-HT-rep2,RNA-Seq,size fractionation,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP082597,PRJNA339870,1,"",SRS1634219,SAMN05609575,simple,3702,Arabidopsis thaliana,WT,China Agricultural University,SRA454223,09,2017,Makar,"","",Col-0,10-day-old,missing,Seeding,Plant
SRR4051263,11512421,2878105250,125,1010,SRX2040843,WT-total-HT-rep3,RNA-Seq,size fractionation,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP082597,PRJNA339870,1,"",SRS1634219,SAMN05609575,simple,3702,Arabidopsis thaliana,WT,China Agricultural University,SRA454223,09,2017,Makar,"","",Col-0,10-day-old,missing,Seeding,Plant
SRR4051264,9535158,2383789500,125,838,SRX2040844,WT-poly-HT-rep1,RNA-Seq,size fractionation,OTHER,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP082597,PRJNA339870,1,"",SRS1634219,SAMN05609575,simple,3702,Arabidopsis thaliana,WT,China Agricultural University,SRA454223,09,2017,Makar,"","",Col-0,10-day-old,missing,Seeding,Plant
SRR5329378,8077793,2019448250,125,734,SRX2628401,3-1-poly-38-HT-rep3,RNA-Seq,size fractionation,OTHER,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP082597,PRJNA339870,1,"",SRS1634220,SAMN05609576,simple,3702,Arabidopsis thaliana,Hot3-1,China Agricultural University,SRA543587,12,2017,Makar,"","",hot3-1 mutant,10-day-old,missing,Seeding,Plant
SRR5329379,8661463,2165365750,125,780,SRX2628402,3-1-poly-38-HT-rep2,RNA-Seq,size fractionation,OTHER,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP082597,PRJNA339870,1,"",SRS1634220,SAMN05609576,simple,3702,Arabidopsis thaliana,Hot3-1,China Agricultural University,SRA543587,12,2017,Makar,"","",hot3-1 mutant,10-day-old,missing,Seeding,Plant
SRR5329380,9681020,2420255000,125,871,SRX2628403,3-1-poly-38-HT-rep1,RNA-Seq,size fractionation,OTHER,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP082597,PRJNA339870,1,"",SRS1634220,SAMN05609576,simple,3702,Arabidopsis thaliana,Hot3-1,China Agricultural University,SRA543587,12,2017,Makar,"","",hot3-1 mutant,10-day-old,missing,Seeding,Plant
SRR5329381,9191990,2297997500,125,820,SRX2628404,3-1-total-38-HT-rep3,RNA-Seq,size fractionation,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP082597,PRJNA339870,1,"",SRS1634220,SAMN05609576,simple,3702,Arabidopsis thaliana,Hot3-1,China Agricultural University,SRA543587,12,2017,Makar,"","",hot3-1 mutant,10-day-old,missing,Seeding,Plant
SRR5329382,11449270,2862317500,125,1033,SRX2628405,3-1-total-38-HT-rep2,RNA-Seq,size fractionation,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP082597,PRJNA339870,1,"",SRS1634220,SAMN05609576,simple,3702,Arabidopsis thaliana,Hot3-1,China Agricultural University,SRA543587,12,2017,Makar,"","",hot3-1 mutant,10-day-old,missing,Seeding,Plant
SRR5329383,12706173,3176543250,125,1139,SRX2628406,3-1-total-38-HT-rep1,RNA-Seq,size fractionation,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP082597,PRJNA339870,1,"",SRS1634220,SAMN05609576,simple,3702,Arabidopsis thaliana,Hot3-1,China Agricultural University,SRA543587,12,2017,Makar,"","",hot3-1 mutant,10-day-old,missing,Seeding,Plant
SRR5329384,10208855,2552213750,125,919,SRX2628407,WT-poly-38-HT-rep3,RNA-Seq,size fractionation,OTHER,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP082597,PRJNA339870,1,"",SRS1634219,SAMN05609575,simple,3702,Arabidopsis thaliana,WT,China Agricultural University,SRA543587,12,2017,Makar,"","",Col-0,10-day-old,missing,Seeding,Plant
SRR5329385,11448833,2862208250,125,1018,SRX2628408,WT-poly-38-HT-rep2,RNA-Seq,size fractionation,OTHER,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP082597,PRJNA339870,1,"",SRS1634219,SAMN05609575,simple,3702,Arabidopsis thaliana,WT,China Agricultural University,SRA543587,12,2017,Makar,"","",Col-0,10-day-old,missing,Seeding,Plant
SRR5329386,8987694,2246923500,125,814,SRX2628409,WT-poly-38-HT-rep1,RNA-Seq,size fractionation,OTHER,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP082597,PRJNA339870,1,"",SRS1634219,SAMN05609575,simple,3702,Arabidopsis thaliana,WT,China Agricultural University,SRA543587,12,2017,Makar,"","",Col-0,10-day-old,missing,Seeding,Plant
SRR5329387,10407625,2601906250,125,947,SRX2628410,WT-total-38-HT-rep3,RNA-Seq,size fractionation,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP082597,PRJNA339870,1,"",SRS1634219,SAMN05609575,simple,3702,Arabidopsis thaliana,WT,China Agricultural University,SRA543587,12,2017,Makar,"","",Col-0,10-day-old,missing,Seeding,Plant
SRR5329388,9510987,2377746750,125,855,SRX2628411,WT-total-38-HT-rep2,RNA-Seq,size fractionation,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP082597,PRJNA339870,1,"",SRS1634219,SAMN05609575,simple,3702,Arabidopsis thaliana,WT,China Agricultural University,SRA543587,12,2017,Makar,"","",Col-0,10-day-old,missing,Seeding,Plant
SRR5329389,7938217,1984554250,125,715,SRX2628412,WT-total-38-HT-rep1,RNA-Seq,size fractionation,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP082597,PRJNA339870,1,"",SRS1634219,SAMN05609575,simple,3702,Arabidopsis thaliana,WT,China Agricultural University,SRA543587,12,2017,Makar,"","",Col-0,10-day-old,missing,Seeding,Plant
