Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,genotype,strain,developmental stage,strain/background,treatment,tissue,Sex,GEO Accession
SRR11497619,95246413,8667423583,54,5287,SRX8073521,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP255607,PRJNA623564,1,"",SRS6442002,SAMN14549244,simple,10090,Mus musculus,GSM4456522,GEO,SRA1063413,11,2020,Makar,Fetal cortex,BK_MIAPBS_E14E18,Fetal cortex,,,Embryonic day 18,C57Bl6/J,PBS,Fetal cortex,missing,GSM4721921
SRR11497620,80617257,7336170387,61,4376,SRX8073521,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP255607,PRJNA623564,1,"",SRS6442002,SAMN14549244,simple,10090,Mus musculus,GSM4456522,GEO,SRA1063413,11,2020,Makar,Fetal cortex,BK_MIAPBS_E14E18,Fetal cortex,,,Embryonic day 18,C57Bl6/J,PBS,Fetal cortex,missing,GSM4721922
SRR11497621,96503659,8781832969,54,5359,SRX8073521,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP255607,PRJNA623564,1,"",SRS6442002,SAMN14549244,simple,10090,Mus musculus,GSM4456522,GEO,SRA1063413,11,2020,Makar,Fetal cortex,BK_MIAPBS_E14E18,Fetal cortex,,,Embryonic day 18,C57Bl6/J,PBS,Fetal cortex,missing,GSM4721923
SRR11497622,101575954,9243411814,54,5660,SRX8073521,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP255607,PRJNA623564,1,"",SRS6442002,SAMN14549244,simple,10090,Mus musculus,GSM4456522,GEO,SRA1063413,11,2020,Makar,Fetal cortex,BK_MIAPBS_E14E18,Fetal cortex,,,Embryonic day 18,C57Bl6/J,PBS,Fetal cortex,missing,GSM4721924
SRR11497623,102101885,9291271535,54,5689,SRX8073521,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP255607,PRJNA623564,1,"",SRS6442002,SAMN14549244,simple,10090,Mus musculus,GSM4456522,GEO,SRA1063413,11,2020,Makar,Fetal cortex,BK_MIAPBS_E14E18,Fetal cortex,,,Embryonic day 18,C57Bl6/J,PBS,Fetal cortex,missing,GSM4721925
SRR11497624,100252808,9123005528,54,5628,SRX8073521,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP255607,PRJNA623564,1,"",SRS6442002,SAMN14549244,simple,10090,Mus musculus,GSM4456522,GEO,SRA1063413,11,2020,Makar,Fetal cortex,BK_MIAPBS_E14E18,Fetal cortex,,,Embryonic day 18,C57Bl6/J,Maternal immune activation (MIA),Fetal cortex,missing,GSM4721926
SRR11497625,100953044,9186727004,54,5679,SRX8073521,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP255607,PRJNA623564,1,"",SRS6442002,SAMN14549244,simple,10090,Mus musculus,GSM4456522,GEO,SRA1063413,11,2020,Makar,Fetal cortex,BK_MIAPBS_E14E18,Fetal cortex,,,Embryonic day 18,C57Bl6/J,Maternal immune activation (MIA),Fetal cortex,missing,GSM4721927
SRR11497626,123262212,11216861292,54,6748,SRX8073521,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP255607,PRJNA623564,1,"",SRS6442002,SAMN14549244,simple,10090,Mus musculus,GSM4456522,GEO,SRA1063413,11,2020,Makar,Fetal cortex,BK_MIAPBS_E14E18,Fetal cortex,,,Embryonic day 18,C57Bl6/J,Maternal immune activation (MIA),Fetal cortex,missing,GSM4721928
SRR11497627,124466772,11326476252,54,6807,SRX8073521,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP255607,PRJNA623564,1,"",SRS6442002,SAMN14549244,simple,10090,Mus musculus,GSM4456522,GEO,SRA1063413,11,2020,Makar,Fetal cortex,BK_MIAPBS_E14E18,Fetal cortex,,,Embryonic day 18,C57Bl6/J,Maternal immune activation (MIA),Fetal cortex,missing,GSM4721929
SRR11497628,117453241,10688244931,54,6536,SRX8073521,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP255607,PRJNA623564,1,"",SRS6442002,SAMN14549244,simple,10090,Mus musculus,GSM4456522,GEO,SRA1063413,11,2020,Makar,Fetal cortex,BK_MIAPBS_E14E18,Fetal cortex,,,Embryonic day 18,C57Bl6/J,Maternal immune activation (MIA),Fetal cortex,missing,GSM4721930
SRR11497629,117306706,10674910246,54,6474,SRX8073521,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP255607,PRJNA623564,1,"",SRS6442002,SAMN14549244,simple,10090,Mus musculus,GSM4456522,GEO,SRA1063413,11,2020,Makar,Fetal cortex,BK_MIAPBS_E14E18,Fetal cortex,,,Embryonic day 18,C57Bl6/J,Maternal immune activation (MIA),Fetal cortex,missing,GSM4721931
SRR11497630,90214270,8209498570,61,5004,SRX8073521,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP255607,PRJNA623564,1,"",SRS6442002,SAMN14549244,simple,10090,Mus musculus,GSM4456522,GEO,SRA1063413,11,2020,Makar,Fetal cortex,BK_MIAPBS_E14E18,Fetal cortex,,,Embryonic day 18,C57Bl6/J,Maternal immune activation (MIA),Fetal cortex,missing,GSM4721932
SRR11497631,79842111,7265632101,61,4409,SRX8073521,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP255607,PRJNA623564,1,"",SRS6442002,SAMN14549244,simple,10090,Mus musculus,GSM4456522,GEO,SRA1063413,11,2020,Makar,Fetal cortex,BK_MIAPBS_E14E18,Fetal cortex,,,Embryonic day 18,C57Bl6/J,PBS,Fetal cortex,missing,GSM4721933
SRR11497632,90516701,8237019791,61,5021,SRX8073521,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP255607,PRJNA623564,1,"",SRS6442002,SAMN14549244,simple,10090,Mus musculus,GSM4456522,GEO,SRA1063413,11,2020,Makar,Fetal cortex,BK_MIAPBS_E14E18,Fetal cortex,,,Embryonic day 18,C57Bl6/J,PBS,Fetal cortex,missing,GSM4721934
SRR11497633,89298430,8126157130,61,4959,SRX8073521,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP255607,PRJNA623564,1,"",SRS6442002,SAMN14549244,simple,10090,Mus musculus,GSM4456522,GEO,SRA1063413,11,2020,Makar,Fetal cortex,BK_MIAPBS_E14E18,Fetal cortex,,,Embryonic day 18,C57Bl6/J,PBS,Fetal cortex,missing,GSM4721935
SRR11497634,89098563,8107969233,61,5002,SRX8073521,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP255607,PRJNA623564,1,"",SRS6442002,SAMN14549244,simple,10090,Mus musculus,GSM4456522,GEO,SRA1063413,11,2020,Makar,Fetal cortex,BK_MIAPBS_E14E18,Fetal cortex,,,Embryonic day 18,C57Bl6/J,PBS,Fetal cortex,missing,GSM4721936
SRR11497635,76175201,6931943291,61,4141,SRX8073521,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP255607,PRJNA623564,1,"",SRS6442002,SAMN14549244,simple,10090,Mus musculus,GSM4456522,GEO,SRA1063413,11,2020,Makar,Fetal cortex,BK_MIAPBS_E14E18,Fetal cortex,,,Embryonic day 18,C57Bl6/J,PBS,Fetal cortex,missing,GSM4721937
SRR11497636,77544527,7056551957,61,4243,SRX8073521,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP255607,PRJNA623564,1,"",SRS6442002,SAMN14549244,simple,10090,Mus musculus,GSM4456522,GEO,SRA1063413,11,2020,Makar,Fetal cortex,BK_MIAPBS_E14E18,Fetal cortex,,,Embryonic day 18,C57Bl6/J,PBS,Fetal cortex,missing,GSM4721938
SRR11497637,73841683,6719593153,61,4144,SRX8073521,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP255607,PRJNA623564,1,"",SRS6442002,SAMN14549244,simple,10090,Mus musculus,GSM4456522,GEO,SRA1063413,11,2020,Makar,Fetal cortex,BK_MIAPBS_E14E18,Fetal cortex,,,Embryonic day 18,C57Bl6/J,PBS,Fetal cortex,missing,GSM4721939
SRR11497638,75276160,6850130560,61,4278,SRX8073521,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP255607,PRJNA623564,1,"",SRS6442002,SAMN14549244,simple,10090,Mus musculus,GSM4456522,GEO,SRA1063413,11,2020,Makar,Fetal cortex,BK_MIAPBS_E14E18,Fetal cortex,mixed sample (non-demultiplexed),C57Bl6/J,Embryonic days 14 and 18,,,,,GSM4456522
SRR11497639,112579286,10244715026,54,6196,SRX8073521,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP255607,PRJNA623564,1,"",SRS6442002,SAMN14549244,simple,10090,Mus musculus,GSM4456522,GEO,SRA1063413,11,2020,Makar,Fetal cortex,BK_MIAPBS_E14E18,Fetal cortex,,,Embryonic day 18,C57Bl6/J,Maternal immune activation (MIA),Fetal cortex,missing,GSM4721912
SRR11497640,111495917,10146128447,54,6163,SRX8073521,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP255607,PRJNA623564,1,"",SRS6442002,SAMN14549244,simple,10090,Mus musculus,GSM4456522,GEO,SRA1063413,11,2020,Makar,Fetal cortex,BK_MIAPBS_E14E18,Fetal cortex,,,Embryonic day 18,C57Bl6/J,Maternal immune activation (MIA),Fetal cortex,missing,GSM4721913
SRR11497641,106594264,9700078024,54,5989,SRX8073521,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP255607,PRJNA623564,1,"",SRS6442002,SAMN14549244,simple,10090,Mus musculus,GSM4456522,GEO,SRA1063413,11,2020,Makar,Fetal cortex,BK_MIAPBS_E14E18,Fetal cortex,,,Embryonic day 18,C57Bl6/J,Maternal immune activation (MIA),Fetal cortex,missing,GSM4721914
SRR11497642,80850385,7357385035,61,4478,SRX8073521,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP255607,PRJNA623564,1,"",SRS6442002,SAMN14549244,simple,10090,Mus musculus,GSM4456522,GEO,SRA1063413,11,2020,Makar,Fetal cortex,BK_MIAPBS_E14E18,Fetal cortex,,,Embryonic day 18,C57Bl6/J,Maternal immune activation (MIA),Fetal cortex,missing,GSM4721915
SRR11497643,105281836,9580647076,54,5883,SRX8073521,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP255607,PRJNA623564,1,"",SRS6442002,SAMN14549244,simple,10090,Mus musculus,GSM4456522,GEO,SRA1063413,11,2020,Makar,Fetal cortex,BK_MIAPBS_E14E18,Fetal cortex,,,Embryonic day 18,C57Bl6/J,Maternal immune activation (MIA),Fetal cortex,missing,GSM4721916
SRR11497644,109001621,9919147511,54,5952,SRX8073521,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP255607,PRJNA623564,1,"",SRS6442002,SAMN14549244,simple,10090,Mus musculus,GSM4456522,GEO,SRA1063413,11,2020,Makar,Fetal cortex,BK_MIAPBS_E14E18,Fetal cortex,,,Embryonic day 18,C57Bl6/J,Maternal immune activation (MIA),Fetal cortex,missing,GSM4721917
SRR11497645,111081885,10108451535,54,6079,SRX8073521,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP255607,PRJNA623564,1,"",SRS6442002,SAMN14549244,simple,10090,Mus musculus,GSM4456522,GEO,SRA1063413,11,2020,Makar,Fetal cortex,BK_MIAPBS_E14E18,Fetal cortex,,,Embryonic day 18,C57Bl6/J,Maternal immune activation (MIA),Fetal cortex,missing,GSM4721918
SRR11497646,105105104,9564564464,54,5826,SRX8073521,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP255607,PRJNA623564,1,"",SRS6442002,SAMN14549244,simple,10090,Mus musculus,GSM4456522,GEO,SRA1063413,11,2020,Makar,Fetal cortex,BK_MIAPBS_E14E18,Fetal cortex,,,Embryonic day 18,C57Bl6/J,PBS,Fetal cortex,missing,GSM4721919
SRR11497647,104621528,9520559048,54,5783,SRX8073521,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP255607,PRJNA623564,1,"",SRS6442002,SAMN14549244,simple,10090,Mus musculus,GSM4456522,GEO,SRA1063413,11,2020,Makar,Fetal cortex,BK_MIAPBS_E14E18,Fetal cortex,,,Embryonic day 18,C57Bl6/J,PBS,Fetal cortex,missing,GSM4721920
SRR11497648,102569542,9333828322,54,5541,SRX8073521,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP255607,PRJNA623564,1,"",SRS6442002,SAMN14549244,simple,10090,Mus musculus,GSM4456522,GEO,SRA1063413,11,2020,Makar,Fetal cortex,BK_MIAPBS_E14E18,Fetal cortex,,,Embryonic day 18,C57Bl6/J,PBS,Fetal cortex,missing,GSM4721921
SRR11497649,101101983,9200280453,54,5520,SRX8073521,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP255607,PRJNA623564,1,"",SRS6442002,SAMN14549244,simple,10090,Mus musculus,GSM4456522,GEO,SRA1063413,11,2020,Makar,Fetal cortex,BK_MIAPBS_E14E18,Fetal cortex,,,Embryonic day 18,C57Bl6/J,PBS,Fetal cortex,missing,GSM4721922
SRR11497650,98254095,8941122645,54,5389,SRX8073521,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP255607,PRJNA623564,1,"",SRS6442002,SAMN14549244,simple,10090,Mus musculus,GSM4456522,GEO,SRA1063413,11,2020,Makar,Fetal cortex,BK_MIAPBS_E14E18,Fetal cortex,,,Embryonic day 18,C57Bl6/J,PBS,Fetal cortex,missing,GSM4721923
SRR11497651,94975944,8642810904,54,5225,SRX8073521,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP255607,PRJNA623564,1,"",SRS6442002,SAMN14549244,simple,10090,Mus musculus,GSM4456522,GEO,SRA1063413,11,2020,Makar,Fetal cortex,BK_MIAPBS_E14E18,Fetal cortex,,,Embryonic day 18,C57Bl6/J,PBS,Fetal cortex,missing,GSM4721924
SRR11497652,105307195,9582954745,54,5716,SRX8073521,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP255607,PRJNA623564,1,"",SRS6442002,SAMN14549244,simple,10090,Mus musculus,GSM4456522,GEO,SRA1063413,11,2020,Makar,Fetal cortex,BK_MIAPBS_E14E18,Fetal cortex,,,Embryonic day 18,C57Bl6/J,PBS,Fetal cortex,missing,GSM4721925
SRR11497653,103603419,9427911129,54,6042,SRX8073521,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP255607,PRJNA623564,1,"",SRS6442002,SAMN14549244,simple,10090,Mus musculus,GSM4456522,GEO,SRA1063413,11,2020,Makar,Fetal cortex,BK_MIAPBS_E14E18,Fetal cortex,,,Embryonic day 18,C57Bl6/J,Maternal immune activation (MIA),Fetal cortex,missing,GSM4721926
SRR11497654,108022061,9830007551,54,5886,SRX8073521,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP255607,PRJNA623564,1,"",SRS6442002,SAMN14549244,simple,10090,Mus musculus,GSM4456522,GEO,SRA1063413,11,2020,Makar,Fetal cortex,BK_MIAPBS_E14E18,Fetal cortex,,,Embryonic day 18,C57Bl6/J,Maternal immune activation (MIA),Fetal cortex,missing,GSM4721927
SRR11497655,101172282,9206677662,54,5580,SRX8073521,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP255607,PRJNA623564,1,"",SRS6442002,SAMN14549244,simple,10090,Mus musculus,GSM4456522,GEO,SRA1063413,11,2020,Makar,Fetal cortex,BK_MIAPBS_E14E18,Fetal cortex,,,Embryonic day 18,C57Bl6/J,Maternal immune activation (MIA),Fetal cortex,missing,GSM4721928
SRR11497656,101950855,9277527805,54,5595,SRX8073521,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP255607,PRJNA623564,1,"",SRS6442002,SAMN14549244,simple,10090,Mus musculus,GSM4456522,GEO,SRA1063413,11,2020,Makar,Fetal cortex,BK_MIAPBS_E14E18,Fetal cortex,,,Embryonic day 18,C57Bl6/J,Maternal immune activation (MIA),Fetal cortex,missing,GSM4721929
SRR11497657,70987079,6459824189,54,3897,SRX8073521,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP255607,PRJNA623564,1,"",SRS6442002,SAMN14549244,simple,10090,Mus musculus,GSM4456522,GEO,SRA1063413,11,2020,Makar,Fetal cortex,BK_MIAPBS_E14E18,Fetal cortex,,,Embryonic day 18,C57Bl6/J,Maternal immune activation (MIA),Fetal cortex,missing,GSM4721930
SRR11497658,71704462,6525106042,54,4003,SRX8073521,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP255607,PRJNA623564,1,"",SRS6442002,SAMN14549244,simple,10090,Mus musculus,GSM4456522,GEO,SRA1063413,11,2020,Makar,Fetal cortex,BK_MIAPBS_E14E18,Fetal cortex,,,Embryonic day 18,C57Bl6/J,Maternal immune activation (MIA),Fetal cortex,missing,GSM4721931
SRR11497659,70503286,6415799026,54,3921,SRX8073521,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP255607,PRJNA623564,1,"",SRS6442002,SAMN14549244,simple,10090,Mus musculus,GSM4456522,GEO,SRA1063413,11,2020,Makar,Fetal cortex,BK_MIAPBS_E14E18,Fetal cortex,,,Embryonic day 18,C57Bl6/J,Maternal immune activation (MIA),Fetal cortex,missing,GSM4721932
SRR11497660,72003839,6552349349,54,3994,SRX8073521,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP255607,PRJNA623564,1,"",SRS6442002,SAMN14549244,simple,10090,Mus musculus,GSM4456522,GEO,SRA1063413,11,2020,Makar,Fetal cortex,BK_MIAPBS_E14E18,Fetal cortex,,,Embryonic day 18,C57Bl6/J,PBS,Fetal cortex,missing,GSM4721933
SRR11497661,67199380,6115143580,54,3719,SRX8073521,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP255607,PRJNA623564,1,"",SRS6442002,SAMN14549244,simple,10090,Mus musculus,GSM4456522,GEO,SRA1063413,11,2020,Makar,Fetal cortex,BK_MIAPBS_E14E18,Fetal cortex,,,Embryonic day 18,C57Bl6/J,PBS,Fetal cortex,missing,GSM4721934
SRR11497662,68228402,6208784582,54,3784,SRX8073521,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP255607,PRJNA623564,1,"",SRS6442002,SAMN14549244,simple,10090,Mus musculus,GSM4456522,GEO,SRA1063413,11,2020,Makar,Fetal cortex,BK_MIAPBS_E14E18,Fetal cortex,,,Embryonic day 18,C57Bl6/J,PBS,Fetal cortex,missing,GSM4721935
SRR11497663,75577885,6877587535,61,4563,SRX8073521,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP255607,PRJNA623564,1,"",SRS6442002,SAMN14549244,simple,10090,Mus musculus,GSM4456522,GEO,SRA1063413,11,2020,Makar,Fetal cortex,BK_MIAPBS_E14E18,Fetal cortex,,,Embryonic day 18,C57Bl6/J,PBS,Fetal cortex,missing,GSM4721936
SRR11497664,125099805,11384082255,54,7062,SRX8073521,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP255607,PRJNA623564,1,"",SRS6442002,SAMN14549244,simple,10090,Mus musculus,GSM4456522,GEO,SRA1063413,11,2020,Makar,Fetal cortex,BK_MIAPBS_E14E18,Fetal cortex,,,Embryonic day 18,C57Bl6/J,PBS,Fetal cortex,missing,GSM4721937
SRR11497665,75255703,6848268973,61,4540,SRX8073521,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP255607,PRJNA623564,1,"",SRS6442002,SAMN14549244,simple,10090,Mus musculus,GSM4456522,GEO,SRA1063413,11,2020,Makar,Fetal cortex,BK_MIAPBS_E14E18,Fetal cortex,,,Embryonic day 18,C57Bl6/J,PBS,Fetal cortex,missing,GSM4721938
SRR11497666,78694267,7161178297,61,4718,SRX8073521,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP255607,PRJNA623564,1,"",SRS6442002,SAMN14549244,simple,10090,Mus musculus,GSM4456522,GEO,SRA1063413,11,2020,Makar,Fetal cortex,BK_MIAPBS_E14E18,Fetal cortex,,,Embryonic day 18,C57Bl6/J,PBS,Fetal cortex,missing,GSM4721939
