Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,rep,fraction,GEO Accession
SRR3131015,14149142,721606242,51,446,SRX1550676,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP069011,PRJNA310107,27259150,"",SRS1267369,SAMN04446359,simple,9606,Homo sapiens,GSM2049916,GEO,SRA342556,06,2016,Goodarzi,MDA-parental,MDA-glu-RPF-rep2-readlane1,MDA-parental,MDA-parental,2,RPF,GSM2049916
SRR3131016,14080767,718119117,51,444,SRX1550677,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP069011,PRJNA310107,27259150,"",SRS1267368,SAMN04446360,simple,9606,Homo sapiens,GSM2049917,GEO,SRA342556,06,2016,Goodarzi,MDA-parental,MDA-glu-RPF-rep2-readlane2,MDA-parental,MDA-parental,2,RPF,GSM2049917
SRR3131017,7996023,407797173,51,249,SRX1550678,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP069011,PRJNA310107,27259150,"",SRS1267367,SAMN04446361,simple,9606,Homo sapiens,GSM2049918,GEO,SRA342556,06,2016,Goodarzi,MDA-parental,MDA-glu-TT-rep2-readlane1,MDA-parental,MDA-parental,2,TT,GSM2049918
SRR3131018,7953858,405646758,51,248,SRX1550679,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP069011,PRJNA310107,27259150,"",SRS1267366,SAMN04446362,simple,9606,Homo sapiens,GSM2049919,GEO,SRA342556,06,2016,Goodarzi,MDA-parental,MDA-glu-TT-rep2-readlane2,MDA-parental,MDA-parental,2,TT,GSM2049919
SRR3131019,33259540,2527725040,76,915,SRX1550680,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP069011,PRJNA310107,27259150,"",SRS1267365,SAMN04446363,simple,9606,Homo sapiens,GSM2049920,GEO,SRA342556,06,2016,Goodarzi,MDA-parental,MDA-ctrl-RPF-rep1-readlane3,MDA-parental,MDA-parental,1,RPF,GSM2049920
SRR3131020,43475985,3304174860,76,1198,SRX1550681,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP069011,PRJNA310107,27259150,"",SRS1267364,SAMN04446364,simple,9606,Homo sapiens,GSM2049921,GEO,SRA342556,06,2016,Goodarzi,MDA-parental,MDA-ctrl-TT-rep1-readlane3,MDA-parental,MDA-parental,1,TT,GSM2049921
SRR3131021,40548852,3081712752,76,1118,SRX1550682,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP069011,PRJNA310107,27259150,"",SRS1267363,SAMN04446365,simple,9606,Homo sapiens,GSM2049922,GEO,SRA342556,06,2016,Goodarzi,MDA-parental,MDA-ctrl-RPF-rep2-readlane3,MDA-parental,MDA-parental,2,RPF,GSM2049922
SRR3131022,33730024,2563481824,76,928,SRX1550683,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP069011,PRJNA310107,27259150,"",SRS1267362,SAMN04446366,simple,9606,Homo sapiens,GSM2049923,GEO,SRA342556,06,2016,Goodarzi,MDA-parental,MDA-ctrl-TT-rep2-readlane3,MDA-parental,MDA-parental,2,TT,GSM2049923
SRR3131023,39444598,2997789448,76,1113,SRX1550684,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP069011,PRJNA310107,27259150,"",SRS1267360,SAMN04446367,simple,9606,Homo sapiens,GSM2049924,GEO,SRA342556,06,2016,Goodarzi,MDA-parental,MDA-glu-RPF-rep1-readlane3,MDA-parental,MDA-parental,1,RPF,GSM2049924
SRR3131024,44896951,3412168276,76,1229,SRX1550685,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP069011,PRJNA310107,27259150,"",SRS1267361,SAMN04446368,simple,9606,Homo sapiens,GSM2049925,GEO,SRA342556,06,2016,Goodarzi,MDA-parental,MDA-glu-TT-rep1-readlane3,MDA-parental,MDA-parental,1,TT,GSM2049925
SRR3131025,49019994,3725519544,76,1340,SRX1550686,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP069011,PRJNA310107,27259150,"",SRS1267359,SAMN04446369,simple,9606,Homo sapiens,GSM2049926,GEO,SRA342556,06,2016,Goodarzi,MDA-parental,MDA-glu-RPF-rep2-readlane3,MDA-parental,MDA-parental,2,RPF,GSM2049926
SRR3131026,30386030,2309338280,76,834,SRX1550687,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP069011,PRJNA310107,27259150,"",SRS1267358,SAMN04446370,simple,9606,Homo sapiens,GSM2049927,GEO,SRA342556,06,2016,Goodarzi,MDA-parental,MDA-glu-TT-rep2-readlane3,MDA-parental,MDA-parental,2,TT,GSM2049927
