Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,sample type,infection,time,treatment,substrain,GEO Accession
SRR869826,21836708,1004488568,46,636,SRX287639,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP023499,PRJNA205933,23812753,"",SRS430298,SAMN02183362,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM1151299,GEO,SRA082464,07,2013,Liu,E. coli WT heatshock 0min,WT 0min Rep1,E. coli WT heatshock 0min,K-12,E. coli,,0min,heat shock,MG1655,GSM1151299
SRR869827,10944563,503449898,46,315,SRX287640,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP023499,PRJNA205933,23812753,"",SRS430299,SAMN02183363,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM1151300,GEO,SRA082464,07,2013,Liu,E. coli WT heatshock 0min,WT 0min Rep2,E. coli WT heatshock 0min,K-12,E. coli,,0min,heat shock,MG1655,GSM1151300
SRR869828,29631375,1363043250,46,875,SRX287641,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP023499,PRJNA205933,23812753,"",SRS430300,SAMN02183364,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM1151301,GEO,SRA082464,07,2013,Liu,E. coli WT heatshock 2min,WT 2min Rep1,E. coli WT heatshock 2min,K-12,E. coli,,2min,heat shock,MG1655,GSM1151301
SRR869829,11852518,545215828,46,337,SRX287642,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP023499,PRJNA205933,23812753,"",SRS430301,SAMN02183373,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM1151302,GEO,SRA082464,07,2013,Liu,E. coli WT heatshock 2min,WT 2min Rep2,E. coli WT heatshock 2min,K-12,E. coli,,2min,heat shock,MG1655,GSM1151302
SRR869830,22421569,1031392174,46,647,SRX287643,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP023499,PRJNA205933,23812753,"",SRS430302,SAMN02183374,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM1151303,GEO,SRA082464,07,2013,Liu,E. coli WT heatshock 5min,WT 5min Rep1,E. coli WT heatshock 5min,K-12,E. coli,,5min,heat shock,MG1655,GSM1151303
SRR869831,14699126,676159796,46,422,SRX287644,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP023499,PRJNA205933,23812753,"",SRS430303,SAMN02183375,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM1151304,GEO,SRA082464,07,2013,Liu,E. coli WT heatshock 5min,WT 5min Rep2,E. coli WT heatshock 5min,K-12,E. coli,,5min,heat shock,MG1655,GSM1151304
SRR869832,22834526,1050388196,46,663,SRX287645,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP023499,PRJNA205933,23812753,"",SRS430304,SAMN02183369,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM1151305,GEO,SRA082464,07,2013,Liu,E. coli WT heatshock 10min,WT 10min Rep1,E. coli WT heatshock 10min,K-12,E. coli,,10min,heat shock,MG1655,GSM1151305
SRR869833,11416825,525173950,46,330,SRX287646,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP023499,PRJNA205933,23812753,"",SRS430306,SAMN02183370,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM1151306,GEO,SRA082464,07,2013,Liu,E. coli WT heatshock 10min,WT 10min Rep2,E. coli WT heatshock 10min,K-12,E. coli,,10min,heat shock,MG1655,GSM1151306
SRR869834,21386176,983764096,46,626,SRX287647,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP023499,PRJNA205933,23812753,"",SRS430305,SAMN02183371,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM1151307,GEO,SRA082464,07,2013,Liu,E. coli WT heatshock 20min,WT 20min Rep1,E. coli WT heatshock 20min,K-12,E. coli,,20min,heat shock,MG1655,GSM1151307
SRR869835,13192862,606871652,46,367,SRX287648,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP023499,PRJNA205933,23812753,"",SRS430307,SAMN02183372,simple,511145,Escherichia coli str. K-12 substr. MG1655,GSM1151308,GEO,SRA082464,07,2013,Liu,E. coli WT heatshock 20min,WT 20min Rep2,E. coli WT heatshock 20min,K-12,E. coli,,20min,heat shock,MG1655,GSM1151308
