Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,genotype/variation,protocol,spike-in,media,strain background,genotype/variation,growth/culture condition,GEO Accession
SRR1646655,7206653,626978811,43,348,SRX756037,,RNA-Seq,CAGE,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP049641,PRJNA266705,26046441,"",SRS741254,SAMN03173315,simple,4932,Saccharomyces cerevisiae,GSM1541714,GEO,SRA200635,06,2015,Pelechano,grown in SD; same paired-end library in 3 lanes,by_sd_2_p,SD-His growth; single-end read,S96,"MATa; lys5delta gal2delta, S288c background",5PSeq,IVTs,SD-His,,,,GSM1541730
SRR1646656,676480,38559360,28,19,SRX756038,,RNA-Seq,CAGE,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP049641,PRJNA266705,26046441,"",SRS741255,SAMN03173318,simple,4932,Saccharomyces cerevisiae,GSM1541715,GEO,SRA200635,06,2015,Pelechano,xrn1 deletion; same paired-end library in 3 lanes,xrn_ypd_1_p,3AT treatment; single-end read,S96,"MATa; lys5delta gal2delta, S288c background",5PSeq,IVTs,SD-His+3AT,,,,GSM1541731
SRR1646657,8072028,702266436,43,393,SRX756038,,RNA-Seq,CAGE,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP049641,PRJNA266705,26046441,"",SRS741255,SAMN03173318,simple,4932,Saccharomyces cerevisiae,GSM1541715,GEO,SRA200635,06,2015,Pelechano,xrn1 deletion; same paired-end library in 3 lanes,xrn_ypd_1_p,by_stat_p,,wild type,5PSeq,IVTs,,BY4741,Mat a; his3delta1leu2delta0 ura3delta0 met15delta0,grown in YPD to stationary phase,GSM1637647
SRR1646658,7665730,666918510,43,369,SRX756038,,RNA-Seq,CAGE,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP049641,PRJNA266705,26046441,"",SRS741255,SAMN03173318,simple,4932,Saccharomyces cerevisiae,GSM1541715,GEO,SRA200635,06,2015,Pelechano,xrn1 deletion; same paired-end library in 3 lanes,xrn_ypd_1_p,by_stat_p,,wild type,5PSeq,IVTs,,BY4741,Mat a; his3delta1leu2delta0 ura3delta0 met15delta0,grown in YPD to stationary phase,GSM1637648
SRR1646659,641370,36558090,28,18,SRX756039,,RNA-Seq,CAGE,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP049641,PRJNA266705,26046441,"",SRS741257,SAMN03173323,simple,4932,Saccharomyces cerevisiae,GSM1541716,GEO,SRA200635,06,2015,Pelechano,xrn1 deletion; same paired-end library in 3 lanes,xrn_ypd_2_p,rny1_ypd_p,,rny1delta,5PSeq,IVTs,,BY4742,MATa; rny1delta::kanMX4,grown in YPD,GSM1637649
SRR1646660,7953453,691950411,43,390,SRX756039,,RNA-Seq,CAGE,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP049641,PRJNA266705,26046441,"",SRS741257,SAMN03173323,simple,4932,Saccharomyces cerevisiae,GSM1541716,GEO,SRA200635,06,2015,Pelechano,xrn1 deletion; same paired-end library in 3 lanes,xrn_ypd_2_p,rny1_ypd_p,,rny1delta,5PSeq,IVTs,,BY4743,MATa; rny1delta::kanMX4,grown in YPD,GSM1637650
SRR1646661,7558246,657567402,43,367,SRX756039,,RNA-Seq,CAGE,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP049641,PRJNA266705,26046441,"",SRS741257,SAMN03173323,simple,4932,Saccharomyces cerevisiae,GSM1541716,GEO,SRA200635,06,2015,Pelechano,xrn1 deletion; same paired-end library in 3 lanes,xrn_ypd_2_p,rny1_H2O2_p,,rny1delta,5PSeq,IVTs,,BY4744,MATa; rny1delta::kanMX4,5 min H2O2 stress,GSM1637651
SRR1646662,37311786,3246125382,43,1975,SRX756040,,RNA-Seq,CAGE,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP049641,PRJNA266705,26046441,"",SRS741256,SAMN03173332,simple,4932,Saccharomyces cerevisiae,GSM1541717,GEO,SRA200635,06,2015,Pelechano,negative control; paired-end library,by_YPD_1_f,rny1_H2O2_p,,rny1delta,5PSeq,IVTs,,BY4745,MATa; rny1delta::kanMX4,5 min H2O2 stress,GSM1637652
SRR1646663,31395941,2731446867,43,1649,SRX756041,,RNA-Seq,CAGE,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP049641,PRJNA266705,26046441,"",SRS741258,SAMN03173338,simple,4932,Saccharomyces cerevisiae,GSM1541718,GEO,SRA200635,06,2015,Pelechano,negative control; paired-end library,by_YPD_2_f,pomb_chxN,,h-,5PSeq,IVTs,,,,pombe CHX treated 30 min,GSM1637653
SRR1646664,23363218,2032599966,43,1221,SRX756042,,RNA-Seq,CAGE,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP049641,PRJNA266705,26046441,"",SRS741259,SAMN03173327,simple,4932,Saccharomyces cerevisiae,GSM1541719,GEO,SRA200635,06,2015,Pelechano,negative control H2O2 stress; paired-end library,by_H2O2_1_f,pomb_chxN,,h-,5PSeq,IVTs,,,,pombe CHX treated 30 min,GSM1637654
SRR1646665,38412491,3341886717,43,2027,SRX756043,,RNA-Seq,CAGE,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP049641,PRJNA266705,26046441,"",SRS741260,SAMN03173329,simple,4932,Saccharomyces cerevisiae,GSM1541720,GEO,SRA200635,06,2015,Pelechano,negative control H2O2 stress; paired-end library,by_H2O2_2_f,pomb_fraN,,h-,5PSeq-fragmented,IVTs,,,,negative control pombe CHX treated 30 min,GSM1637655
SRR1646666,667067,38022819,57,17,SRX756044,,RNA-Seq,CAGE,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP049641,PRJNA266705,26046441,"",SRS741261,SAMN03173333,simple,4896,Schizosaccharomyces pombe,GSM1541721,GEO,SRA200635,06,2015,Pelechano,pombe CHX treated; single-end read,pomb_chxt0_1_p,pomb_fraN,,h-,5PSeq-fragmented,IVTs,,,,negative control pombe CHX treated 30 min,GSM1637656
SRR1646667,1104182,62938374,57,29,SRX756045,,RNA-Seq,CAGE,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP049641,PRJNA266705,26046441,"",SRS741262,SAMN03173334,simple,4896,Schizosaccharomyces pombe,GSM1541722,GEO,SRA200635,06,2015,Pelechano,pombe CHX treated; single-end read,pomb_chxt0_2_p,by_ypd_r,,wild type,5PSeq-ribosome depleted,IVTs,,BY4741,Mat a; his3delta1leu2delta0 ura3delta0 met15delta0,grown in YPD,GSM1637657
SRR1646668,870830,49637310,57,21,SRX756046,,RNA-Seq,CAGE,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP049641,PRJNA266705,26046441,"",SRS741263,SAMN03173339,simple,4932,Saccharomyces cerevisiae,GSM1541723,GEO,SRA200635,06,2015,Pelechano,no H2O2 stress + CHX at 4ºC; single-end read,by_chxt0_1_p,by_ypd_r,,wild type,5PSeq-ribosome depleted,IVTs,,BY4741,Mat a; his3delta1leu2delta0 ura3delta0 met15delta0,grown in YPD,GSM1637658
SRR1646669,1187111,67665327,57,30,SRX756047,,RNA-Seq,CAGE,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP049641,PRJNA266705,26046441,"",SRS741264,SAMN03173325,simple,4932,Saccharomyces cerevisiae,GSM1541724,GEO,SRA200635,06,2015,Pelechano,5 min H2O2 stress + CHX at 4ºC; single-end read,by_H2chxt5_1_p,by_chx_r,,wild type,5PSeq-ribosome depleted,IVTs,,BY4741,Mat a; his3delta1leu2delta0 ura3delta0 met15delta0,5 min CHX treatment,GSM1637659
SRR1646670,813898,46392186,57,20,SRX756048,,RNA-Seq,CAGE,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP049641,PRJNA266705,26046441,"",SRS741265,SAMN03173336,simple,4932,Saccharomyces cerevisiae,GSM1541725,GEO,SRA200635,06,2015,Pelechano,30 min H2O2 stress + CHX at 4ºC; single-end read,by_H2chxt30_1_p,by_chx_r,,wild type,5PSeq-ribosome depleted,IVTs,,BY4741,Mat a; his3delta1leu2delta0 ura3delta0 met15delta0,5 min CHX treatment,GSM1637660
SRR1646671,1042562,59426034,57,25,SRX756049,,RNA-Seq,CAGE,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP049641,PRJNA266705,26046441,"",SRS741266,SAMN03173337,simple,4932,Saccharomyces cerevisiae,GSM1541726,GEO,SRA200635,06,2015,Pelechano,no H2O2 stress + CHX at 4ºC; single-end read,by_chxt0_2_p,monosome fraction; paired-end library,BY4741,Mat a; his3delta1leu2delta0 ura3delta0 met15delta0,5PSeq,S. Pombe + IVTs,YPD,,,,GSM1541704
SRR1646672,944511,53837127,57,23,SRX756050,,RNA-Seq,CAGE,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP049641,PRJNA266705,26046441,"",SRS741267,SAMN03173330,simple,4932,Saccharomyces cerevisiae,GSM1541727,GEO,SRA200635,06,2015,Pelechano,5 min H2O2 stress + CHX at 4ºC; single-end read,by_H2chxt5_2_p,polyribosome fraction; paired-end library,BY4741,Mat a; his3delta1leu2delta0 ura3delta0 met15delta0,5PSeq,S. Pombe + IVTs,YPD,,,,GSM1541705
SRR1646673,1114416,63521712,57,26,SRX756051,,RNA-Seq,CAGE,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP049641,PRJNA266705,26046441,"",SRS741268,SAMN03173326,simple,4932,Saccharomyces cerevisiae,GSM1541728,GEO,SRA200635,06,2015,Pelechano,30 min H2O2 stress + CHX at 4ºC; single-end read,by_H2chxt30_2_p,monosome fraction; paired-end library,BY4741,Mat a; his3delta1leu2delta0 ura3delta0 met15delta0,5PSeq,S. Pombe + IVTs,YPD,,,,GSM1541706
SRR1646674,1361751,77619807,57,39,SRX756052,,RNA-Seq,CAGE,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP049641,PRJNA266705,26046441,"",SRS741269,SAMN03173331,simple,4932,Saccharomyces cerevisiae,GSM1541729,GEO,SRA200635,06,2015,Pelechano,SD-His growth; single-end read,S96_sdh_1_p,grown in YPD; same paired-end library in 3 lanes,BY4741,Mat a; his3delta1leu2delta0 ura3delta0 met15delta0,5PSeq,S. Pombe + IVTs,YPD,,,,GSM1541707
SRR1646675,2029572,115685604,57,58,SRX756053,,RNA-Seq,CAGE,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP049641,PRJNA266705,26046441,"",SRS741270,SAMN03173328,simple,4932,Saccharomyces cerevisiae,GSM1541730,GEO,SRA200635,06,2015,Pelechano,SD-His growth; single-end read,S96_sdh_2_p,grown in YPD; same paired-end library in 3 lanes,BY4741,Mat a; his3delta1leu2delta0 ura3delta0 met15delta0,5PSeq,S. Pombe + IVTs,YPD,,,,GSM1541708
SRR1646676,1515946,86408922,57,44,SRX756054,,RNA-Seq,CAGE,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina MiSeq,SRP049641,PRJNA266705,26046441,"",SRS741271,SAMN03173335,simple,4932,Saccharomyces cerevisiae,GSM1541731,GEO,SRA200635,06,2015,Pelechano,3AT treatment; single-end read,S96_3AT_1_p,5 min H2O2 stress; same paired-end library in 3 lanes,BY4741,Mat a; his3delta1leu2delta0 ura3delta0 met15delta0,5PSeq,S. Pombe + IVTs,YPD,,,,GSM1541709
SRR1919050,15596514,670650102,43,344,SRX959326,,RNA-Seq,CAGE,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP049641,PRJNA266705,26046441,"",SRS876549,SAMN03433632,simple,4932,Saccharomyces cerevisiae,GSM1637647,GEO,SRA200635,06,2015,Pelechano,by_stat_p,by_stat_1_p,5 min H2O2 stress; same paired-end library in 3 lanes,BY4741,Mat a; his3delta1leu2delta0 ura3delta0 met15delta0,5PSeq,S. Pombe + IVTs,YPD,,,,GSM1541710
