Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,cell type,treatment,time
SRR20106158,162014559,5712135165,35,1897,SRX16141485,GSM6333423,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP386079,PRJNA858047,36284713,"",SRS13803510,SAMN29660996,simple,9606,Homo sapiens,GSM6333423,"AG Uhlenhaut, Institute for Diabetes and Endocrinology (IDE), Helmholz Zentrum München",SRA1453914,10,2022,Ansari,THP-1,"THP-1 cells, Riboseq/LPSDex, 3h, rep1",THP-1,THP-1,Human leukemia monocytic cell line,LPS+Dex,3h
SRR20106157,196564651,6932495506,35,2303,SRX16141486,GSM6333424,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP386079,PRJNA858047,36284713,"",SRS13803511,SAMN29660995,simple,9606,Homo sapiens,GSM6333424,"AG Uhlenhaut, Institute for Diabetes and Endocrinology (IDE), Helmholz Zentrum München",SRA1453914,10,2022,Ansari,THP-1,"THP-1 cells, Riboseq/LPSDex, 3h, rep2",THP-1,THP-1,Human leukemia monocytic cell line,LPS+Dex,3h
SRR20106156,81323550,2863078537,35,938,SRX16141487,GSM6333425,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP386079,PRJNA858047,36284713,"",SRS13803512,SAMN29660994,simple,9606,Homo sapiens,GSM6333425,"AG Uhlenhaut, Institute for Diabetes and Endocrinology (IDE), Helmholz Zentrum München",SRA1453914,10,2022,Ansari,THP-1,"THP-1 cells, Riboseq/LPSDex, 3h, rep3",THP-1,THP-1,Human leukemia monocytic cell line,LPS+Dex,3h
SRR20106155,178403458,6276999801,35,2065,SRX16141488,GSM6333426,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP386079,PRJNA858047,36284713,"",SRS13803513,SAMN29660993,simple,9606,Homo sapiens,GSM6333426,"AG Uhlenhaut, Institute for Diabetes and Endocrinology (IDE), Helmholz Zentrum München",SRA1453914,10,2022,Ansari,THP-1,"THP-1 cells, Riboseq/LPSDex, 3h, rep4",THP-1,THP-1,Human leukemia monocytic cell line,LPS+Dex,3h
SRR20106154,207768316,7371842802,35,2447,SRX16141489,GSM6333427,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP386079,PRJNA858047,36284713,"",SRS13803514,SAMN29660992,simple,9606,Homo sapiens,GSM6333427,"AG Uhlenhaut, Institute for Diabetes and Endocrinology (IDE), Helmholz Zentrum München",SRA1453914,10,2022,Ansari,THP-1,"THP-1 cells, Riboseq/LPSDex, 3h, rep5",THP-1,THP-1,Human leukemia monocytic cell line,LPS+Dex,3h
SRR21228016,91300982,18282041157,100,5771,SRX17238355,GSM6505547,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP386079,PRJNA858047,36284713,"",SRS14804640,SAMN30470255,simple,9606,Homo sapiens,GSM6505547,"AG Uhlenhaut, Institute for Diabetes and Endocrinology (IDE), Helmholz Zentrum München",SRA1481899,10,2022,Ansari,THP-1,"THP-1 cells, RNAseq/Vehicle, 3h, rep3",THP-1,THP-1,Human leukemia monocytic cell line,Vehicle,3h
SRR21228015,74562308,14942182980,100,4788,SRX17238356,GSM6505545,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP386079,PRJNA858047,36284713,"",SRS14804641,SAMN30470257,simple,9606,Homo sapiens,GSM6505545,"AG Uhlenhaut, Institute for Diabetes and Endocrinology (IDE), Helmholz Zentrum München",SRA1481899,10,2022,Ansari,THP-1,"THP-1 cells, RNAseq/Vehicle, 3h, rep1",THP-1,THP-1,Human leukemia monocytic cell line,Vehicle,3h
SRR21228014,75474609,15135787214,100,4895,SRX17238357,GSM6505556,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP386079,PRJNA858047,36284713,"",SRS14804642,SAMN30470246,simple,9606,Homo sapiens,GSM6505556,"AG Uhlenhaut, Institute for Diabetes and Endocrinology (IDE), Helmholz Zentrum München",SRA1481899,10,2022,Ansari,THP-1,"THP-1 cells, RNAseq/LPSDex, 3h, rep4",THP-1,THP-1,Human leukemia monocytic cell line,LPS+Dex,3h
SRR21228013,64546774,12963323882,100,4089,SRX17238358,GSM6505555,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP386079,PRJNA858047,36284713,"",SRS14804643,SAMN30470247,simple,9606,Homo sapiens,GSM6505555,"AG Uhlenhaut, Institute for Diabetes and Endocrinology (IDE), Helmholz Zentrum München",SRA1481899,10,2022,Ansari,THP-1,"THP-1 cells, RNAseq/LPSDex, 3h, rep3",THP-1,THP-1,Human leukemia monocytic cell line,LPS+Dex,3h
SRR21228012,81349236,16312033724,100,5180,SRX17238359,GSM6505554,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP386079,PRJNA858047,36284713,"",SRS14804644,SAMN30470248,simple,9606,Homo sapiens,GSM6505554,"AG Uhlenhaut, Institute for Diabetes and Endocrinology (IDE), Helmholz Zentrum München",SRA1481899,10,2022,Ansari,THP-1,"THP-1 cells, RNAseq/LPSDex, 3h, rep2",THP-1,THP-1,Human leukemia monocytic cell line,LPS+Dex,3h
SRR21228011,71895674,14422164776,100,4669,SRX17238360,GSM6505553,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP386079,PRJNA858047,36284713,"",SRS14804645,SAMN30470249,simple,9606,Homo sapiens,GSM6505553,"AG Uhlenhaut, Institute for Diabetes and Endocrinology (IDE), Helmholz Zentrum München",SRA1481899,10,2022,Ansari,THP-1,"THP-1 cells, RNAseq/LPSDex, 3h, rep1",THP-1,THP-1,Human leukemia monocytic cell line,LPS+Dex,3h
SRR21228010,83064019,16684117149,100,5318,SRX17238361,GSM6505552,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP386079,PRJNA858047,36284713,"",SRS14804646,SAMN30470250,simple,9606,Homo sapiens,GSM6505552,"AG Uhlenhaut, Institute for Diabetes and Endocrinology (IDE), Helmholz Zentrum München",SRA1481899,10,2022,Ansari,THP-1,"THP-1 cells, RNAseq/LPS, 3h, rep4",THP-1,THP-1,Human leukemia monocytic cell line,LPS,3h
SRR21228009,76155572,15280558475,100,4870,SRX17238362,GSM6505551,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP386079,PRJNA858047,36284713,"",SRS14804647,SAMN30470251,simple,9606,Homo sapiens,GSM6505551,"AG Uhlenhaut, Institute for Diabetes and Endocrinology (IDE), Helmholz Zentrum München",SRA1481899,10,2022,Ansari,THP-1,"THP-1 cells, RNAseq/LPS, 3h, rep3",THP-1,THP-1,Human leukemia monocytic cell line,LPS,3h
SRR21228008,76494618,15324048924,100,4868,SRX17238363,GSM6505550,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP386079,PRJNA858047,36284713,"",SRS14804648,SAMN30470252,simple,9606,Homo sapiens,GSM6505550,"AG Uhlenhaut, Institute for Diabetes and Endocrinology (IDE), Helmholz Zentrum München",SRA1481899,10,2022,Ansari,THP-1,"THP-1 cells, RNAseq/LPS, 3h, rep2",THP-1,THP-1,Human leukemia monocytic cell line,LPS,3h
SRR21228007,81004967,16255058085,100,5126,SRX17238364,GSM6505549,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP386079,PRJNA858047,36284713,"",SRS14804649,SAMN30470253,simple,9606,Homo sapiens,GSM6505549,"AG Uhlenhaut, Institute for Diabetes and Endocrinology (IDE), Helmholz Zentrum München",SRA1481899,10,2022,Ansari,THP-1,"THP-1 cells, RNAseq/LPS, 3h, rep1",THP-1,THP-1,Human leukemia monocytic cell line,LPS,3h
SRR21228006,82276229,16514448674,100,5320,SRX17238365,GSM6505548,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP386079,PRJNA858047,36284713,"",SRS14804650,SAMN30470254,simple,9606,Homo sapiens,GSM6505548,"AG Uhlenhaut, Institute for Diabetes and Endocrinology (IDE), Helmholz Zentrum München",SRA1481899,10,2022,Ansari,THP-1,"THP-1 cells, RNAseq/Vehicle, 3h, rep4",THP-1,THP-1,Human leukemia monocytic cell line,Vehicle,3h
SRR21228005,81474778,16341810317,100,5235,SRX17238366,GSM6505546,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP386079,PRJNA858047,36284713,"",SRS14804651,SAMN30470256,simple,9606,Homo sapiens,GSM6505546,"AG Uhlenhaut, Institute for Diabetes and Endocrinology (IDE), Helmholz Zentrum München",SRA1481899,10,2022,Ansari,THP-1,"THP-1 cells, RNAseq/Vehicle, 3h, rep2",THP-1,THP-1,Human leukemia monocytic cell line,Vehicle,3h
