Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue source,cell type,days in vitro,cell culture platform,cellular fraction,molecule subtype,GEO Accession
SRR8919675,11438267,1647110448,144,847,SRX5701009,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP192787,PRJNA533159,31697236,"",SRS4640201,SAMN11444436,simple,10116,Rattus norvegicus,GSM3728202,GEO,SRA875520,04,2019,Saini,whole-cell PASseq,whole-cell PASseq rep1,whole-cell PASseq,Embryonic day 19 rat hippocampus,Primary hippocampal neurons,14,Semipermeable membrane with 1 μm holes,Whole-cells,polyA RNA,GSM3728202
SRR8919676,11555767,1664030448,144,857,SRX5701010,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP192787,PRJNA533159,31697236,"",SRS4640202,SAMN11444435,simple,10116,Rattus norvegicus,GSM3728203,GEO,SRA875520,04,2019,Saini,whole-cell PASseq,whole-cell PASseq rep2,whole-cell PASseq,Embryonic day 19 rat hippocampus,Primary hippocampal neurons,14,Semipermeable membrane with 1 μm holes,Whole-cells,polyA RNA,GSM3728203
SRR8919677,9134141,1315316304,144,675,SRX5701011,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP192787,PRJNA533159,31697236,"",SRS4640203,SAMN11444434,simple,10116,Rattus norvegicus,GSM3728204,GEO,SRA875520,04,2019,Saini,whole-cell PASseq,whole-cell PASseq rep3,whole-cell PASseq,Embryonic day 19 rat hippocampus,Primary hippocampal neurons,14,Semipermeable membrane with 1 μm holes,Whole-cells,polyA RNA,GSM3728204
SRR8919678,14487027,2086131888,144,1076,SRX5701012,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP192787,PRJNA533159,31697236,"",SRS4640204,SAMN11444433,simple,10116,Rattus norvegicus,GSM3728205,GEO,SRA875520,04,2019,Saini,projections PASseq,projections PASseq rep1,projections PASseq,Embryonic day 19 rat hippocampus,Primary hippocampal neurons,14,Semipermeable membrane with 1 μm holes,Projections,polyA RNA,GSM3728205
SRR8919679,15360404,2211898176,144,1137,SRX5701013,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP192787,PRJNA533159,31697236,"",SRS4640205,SAMN11444432,simple,10116,Rattus norvegicus,GSM3728206,GEO,SRA875520,04,2019,Saini,projections PASseq,projections PASseq rep2,projections PASseq,Embryonic day 19 rat hippocampus,Primary hippocampal neurons,14,Semipermeable membrane with 1 μm holes,Projections,polyA RNA,GSM3728206
SRR8919680,15323941,2206647504,144,1142,SRX5701014,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP192787,PRJNA533159,31697236,"",SRS4640207,SAMN11444431,simple,10116,Rattus norvegicus,GSM3728207,GEO,SRA875520,04,2019,Saini,projections PASseq,projections PASseq rep3,projections PASseq,Embryonic day 19 rat hippocampus,Primary hippocampal neurons,14,Semipermeable membrane with 1 μm holes,Projections,polyA RNA,GSM3728207
SRR8919681,98790101,4247974343,43,2153,SRX5701015,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP192787,PRJNA533159,31697236,"",SRS4640206,SAMN11444430,simple,10116,Rattus norvegicus,GSM3728208,GEO,SRA875520,04,2019,Saini,RiboSeq,RiboSeq rep1,RiboSeq,Embryonic day 19 rat hippocampus,Primary hippocampal neurons,14,Standard 6 cm culture dish,Cytoplasm,Ribosome occupied RNA fragments,GSM3728208
SRR8919682,101652889,4371074227,43,2242,SRX5701016,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP192787,PRJNA533159,31697236,"",SRS4640208,SAMN11444429,simple,10116,Rattus norvegicus,GSM3728209,GEO,SRA875520,04,2019,Saini,RiboSeq,RiboSeq rep2,RiboSeq,Embryonic day 19 rat hippocampus,Primary hippocampal neurons,14,Standard 6 cm culture dish,Cytoplasm,Ribosome occupied RNA fragments,GSM3728209
SRR8919683,87510149,3762936407,43,1931,SRX5701017,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP192787,PRJNA533159,31697236,"",SRS4640209,SAMN11444428,simple,10116,Rattus norvegicus,GSM3728210,GEO,SRA875520,04,2019,Saini,RiboSeq,RiboSeq rep3,RiboSeq,Embryonic day 19 rat hippocampus,Primary hippocampal neurons,14,Standard 6 cm culture dish,Cytoplasm,Ribosome occupied RNA fragments,GSM3728210
SRR8919684,43987261,1891452223,43,903,SRX5701018,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP192787,PRJNA533159,31697236,"",SRS4640210,SAMN11444427,simple,10116,Rattus norvegicus,GSM3728211,GEO,SRA875520,04,2019,Saini,cyto polyA RNAseq,cyto polyA RNAseq rep1,cyto polyA RNAseq,Embryonic day 19 rat hippocampus,Primary hippocampal neurons,14,Standard 6 cm culture dish,Cytoplasm,polyA RNA,GSM3728211
SRR8919685,42127805,1811495615,43,869,SRX5701019,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP192787,PRJNA533159,31697236,"",SRS4640211,SAMN11444426,simple,10116,Rattus norvegicus,GSM3728212,GEO,SRA875520,04,2019,Saini,cyto polyA RNAseq,cyto polyA RNAseq rep2,cyto polyA RNAseq,Embryonic day 19 rat hippocampus,Primary hippocampal neurons,14,Standard 6 cm culture dish,Cytoplasm,polyA RNA,GSM3728212
SRR8919686,38476594,1654493542,,799,SRX5701020,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP192787,PRJNA533159,31697236,"",SRS4640212,SAMN11444425,simple,10116,Rattus norvegicus,GSM3728213,GEO,SRA875520,04,2019,Saini,cyto polyA RNAseq,cyto polyA RNAseq rep3,cyto polyA RNAseq,Embryonic day 19 rat hippocampus,Primary hippocampal neurons,14,Standard 6 cm culture dish,Cytoplasm,polyA RNA,GSM3728213
