Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,isolate,age,biomaterial_provider,sex,tissue,cell_line,sample_type,treatment,rna_fraction,time_point,biological_replicate,BioSampleModel
SRR7300494,33113744,2368359891,49,1019,SRX4202919,LIB_2D1P,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP150416,PRJNA475896,1,"",SRS3412641,SAMN09405507,simple,9606,Homo sapiens,2D1P,Institut Pasteur de Montevideo,SRA721313,11,2018,Makar,"","",human embryos isolate,0,"Monash Immunology and Stem Cell Laboratories, Monash University, Australia",female,cell line made from embryonic stem (ES) cells from human blastocysts,NKX2-5eGFP/w HES3,induced cell,1 day induction to cardiomyocyte,Polysomal,1,2,Human
SRR7300493,38105507,2724804802,49,1190,SRX4202920,LIB_2D1L,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP150416,PRJNA475896,1,"",SRS3412642,SAMN09405506,simple,9606,Homo sapiens,2D1L,Institut Pasteur de Montevideo,SRA721313,11,2018,Makar,"","",human embryos isolate,0,"Monash Immunology and Stem Cell Laboratories, Monash University, Australia",female,cell line made from embryonic stem (ES) cells from human blastocysts,NKX2-5eGFP/w HES3,induced cell,1 day induction to cardiomyocyte,Free,1,2,Human
SRR7300492,34700695,2481729680,49,1068,SRX4202921,LIB_2D0P,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP150416,PRJNA475896,1,"",SRS3412643,SAMN09405505,simple,9606,Homo sapiens,2D0P,Institut Pasteur de Montevideo,SRA721313,11,2018,Makar,"","",human embryos isolate,0,"Monash Immunology and Stem Cell Laboratories, Monash University, Australia",female,cell line made from embryonic stem (ES) cells from human blastocysts,NKX2-5eGFP/w HES3,stem cell,no induction,Polysomal,0,2,Human
SRR7300491,33253248,2378718980,49,1040,SRX4202922,LIB_2D0L,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP150416,PRJNA475896,1,"",SRS3412644,SAMN09405504,simple,9606,Homo sapiens,2D0L,Institut Pasteur de Montevideo,SRA721313,11,2018,Makar,"","",human embryos isolate,0,"Monash Immunology and Stem Cell Laboratories, Monash University, Australia",female,cell line made from embryonic stem (ES) cells from human blastocysts,NKX2-5eGFP/w HES3,stem cell,no induction,Free,0,2,Human
SRR7300490,26528238,1897599829,49,855,SRX4202923,LIB_2D9P,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP150416,PRJNA475896,1,"",SRS3412645,SAMN09405511,simple,9606,Homo sapiens,2D9P,Institut Pasteur de Montevideo,SRA721313,11,2018,Makar,"","",human embryos isolate,0,"Monash Immunology and Stem Cell Laboratories, Monash University, Australia",female,cell line made from embryonic stem (ES) cells from human blastocysts,NKX2-5eGFP/w HES3,induced cell,9 days induction to cardiomyocyte,Polysomal,9,2,Human
SRR7300489,26720799,1904143513,49,866,SRX4202924,LIB_2D9L,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP150416,PRJNA475896,1,"",SRS3412646,SAMN09405510,simple,9606,Homo sapiens,2D9L,Institut Pasteur de Montevideo,SRA721313,11,2018,Makar,"","",human embryos isolate,0,"Monash Immunology and Stem Cell Laboratories, Monash University, Australia",female,cell line made from embryonic stem (ES) cells from human blastocysts,NKX2-5eGFP/w HES3,induced cell,9 days induction to cardiomyocyte,Free,9,2,Human
SRR7300488,32940456,2356476708,49,1053,SRX4202925,LIB_2D4P,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP150416,PRJNA475896,1,"",SRS3412647,SAMN09405509,simple,9606,Homo sapiens,2D4P,Institut Pasteur de Montevideo,SRA721313,11,2018,Makar,"","",human embryos isolate,0,"Monash Immunology and Stem Cell Laboratories, Monash University, Australia",female,cell line made from embryonic stem (ES) cells from human blastocysts,NKX2-5eGFP/w HES3,induced cell,4 days induction to cardiomyocyte,Polysomal,4,2,Human
SRR7300487,13919754,989484731,49,434,SRX4202926,LIB_2D4L,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP150416,PRJNA475896,1,"",SRS3412648,SAMN09405508,simple,9606,Homo sapiens,2D4L,Institut Pasteur de Montevideo,SRA721313,11,2018,Makar,"","",human embryos isolate,0,"Monash Immunology and Stem Cell Laboratories, Monash University, Australia",female,cell line made from embryonic stem (ES) cells from human blastocysts,NKX2-5eGFP/w HES3,induced cell,4 days induction to cardiomyocyte,Free,4,2,Human
SRR7300486,49978873,3575266909,49,1594,SRX4202927,LIB_2D15P,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP150416,PRJNA475896,1,"",SRS3412649,SAMN09405513,simple,9606,Homo sapiens,2D15P,Institut Pasteur de Montevideo,SRA721313,11,2018,Makar,"","",human embryos isolate,0,"Monash Immunology and Stem Cell Laboratories, Monash University, Australia",female,cell line made from embryonic stem (ES) cells from human blastocysts,NKX2-5eGFP/w HES3,induced cell,15 days induction to cardiomyocyte,Polysomal,15,2,Human
SRR7300485,50871645,3633528485,49,1647,SRX4202928,LIB_2D15L,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP150416,PRJNA475896,1,"",SRS3412650,SAMN09405512,simple,9606,Homo sapiens,2D15L,Institut Pasteur de Montevideo,SRA721313,11,2018,Makar,"","",human embryos isolate,0,"Monash Immunology and Stem Cell Laboratories, Monash University, Australia",female,cell line made from embryonic stem (ES) cells from human blastocysts,NKX2-5eGFP/w HES3,induced cell,15 days induction to cardiomyocyte,Free,15,2,Human
SRR7300484,21220963,1516833108,49,674,SRX4202929,LIB_1D9P,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP150416,PRJNA475896,1,"",SRS3412651,SAMN09405501,simple,9606,Homo sapiens,1D9P,Institut Pasteur de Montevideo,SRA721313,11,2018,Makar,"","",human embryos isolate,0,"Monash Immunology and Stem Cell Laboratories, Monash University, Australia",female,cell line made from embryonic stem (ES) cells from human blastocysts,NKX2-5eGFP/w HES3,induced cell,9 days induction to cardiomyocyte,Polysomal,9,1,Human
SRR7300483,35459896,2535699251,49,1135,SRX4202930,LIB_1D9L,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP150416,PRJNA475896,1,"",SRS3412652,SAMN09405500,simple,9606,Homo sapiens,1D9L,Institut Pasteur de Montevideo,SRA721313,11,2018,Makar,"","",human embryos isolate,0,"Monash Immunology and Stem Cell Laboratories, Monash University, Australia",female,cell line made from embryonic stem (ES) cells from human blastocysts,NKX2-5eGFP/w HES3,induced cell,9 days induction to cardiomyocyte,Free,9,1,Human
SRR7300482,38582207,2758038412,49,1220,SRX4202931,LIB_1D4P,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP150416,PRJNA475896,1,"",SRS3412653,SAMN09405499,simple,9606,Homo sapiens,1D4P,Institut Pasteur de Montevideo,SRA721313,11,2018,Makar,"","",human embryos isolate,0,"Monash Immunology and Stem Cell Laboratories, Monash University, Australia",female,cell line made from embryonic stem (ES) cells from human blastocysts,NKX2-5eGFP/w HES3,induced cell,4 days induction to cardiomyocyte,Polysomal,4,1,Human
SRR7300481,42144350,2995368835,49,1393,SRX4202932,LIB_1D4L,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP150416,PRJNA475896,1,"",SRS3412654,SAMN09405498,simple,9606,Homo sapiens,1D4L,Institut Pasteur de Montevideo,SRA721313,11,2018,Makar,"","",human embryos isolate,0,"Monash Immunology and Stem Cell Laboratories, Monash University, Australia",female,cell line made from embryonic stem (ES) cells from human blastocysts,NKX2-5eGFP/w HES3,induced cell,4 days induction to cardiomyocyte,Free,4,1,Human
SRR7300480,37295183,2666116141,49,1212,SRX4202933,LIB_1D1P,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP150416,PRJNA475896,1,"",SRS3412655,SAMN09405497,simple,9606,Homo sapiens,1D1P,Institut Pasteur de Montevideo,SRA721313,11,2018,Makar,"","",human embryos isolate,0,"Monash Immunology and Stem Cell Laboratories, Monash University, Australia",female,cell line made from embryonic stem (ES) cells from human blastocysts,NKX2-5eGFP/w HES3,induced cell,1 day induction to cardiomyocyte,Polysomal,1,1,Human
SRR7300479,37128828,2625862920,48,1224,SRX4202934,LIB_1D1L,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP150416,PRJNA475896,1,"",SRS3412656,SAMN09405496,simple,9606,Homo sapiens,1D1L,Institut Pasteur de Montevideo,SRA721313,11,2018,Makar,"","",human embryos isolate,0,"Monash Immunology and Stem Cell Laboratories, Monash University, Australia",female,cell line made from embryonic stem (ES) cells from human blastocysts,NKX2-5eGFP/w HES3,induced cell,1 day induction to cardiomyocyte,Free,1,1,Human
SRR7300478,35497411,2538296962,49,1152,SRX4202935,LIB_1D0P,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP150416,PRJNA475896,1,"",SRS3412657,SAMN09405495,simple,9606,Homo sapiens,1D0P,Institut Pasteur de Montevideo,SRA721313,11,2018,Makar,"","",human embryos isolate,0,"Monash Immunology and Stem Cell Laboratories, Monash University, Australia",female,cell line made from embryonic stem (ES) cells from human blastocysts,NKX2-5eGFP/w HES3,stem cell,no induction,Polysomal,0,1,Human
SRR7300477,33955696,2429346750,49,1114,SRX4202936,LIB_1D0L,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP150416,PRJNA475896,1,"",SRS3412658,SAMN09405494,simple,9606,Homo sapiens,1D0L,Institut Pasteur de Montevideo,SRA721313,11,2018,Makar,"","",human embryos isolate,0,"Monash Immunology and Stem Cell Laboratories, Monash University, Australia",female,cell line made from embryonic stem (ES) cells from human blastocysts,NKX2-5eGFP/w HES3,stem cell,no induction,Free,0,1,Human
SRR7300476,32466719,2321970313,49,1028,SRX4202937,LIB_1D15P,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP150416,PRJNA475896,1,"",SRS3412659,SAMN09405503,simple,9606,Homo sapiens,1D15P,Institut Pasteur de Montevideo,SRA721313,11,2018,Makar,"","",human embryos isolate,0,"Monash Immunology and Stem Cell Laboratories, Monash University, Australia",female,cell line made from embryonic stem (ES) cells from human blastocysts,NKX2-5eGFP/w HES3,induced cell,15 days induction to cardiomyocyte,Polysomal,15,1,Human
SRR7300475,29738917,2128013260,49,951,SRX4202938,LIB_1D15L,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP150416,PRJNA475896,1,"",SRS3412660,SAMN09405502,simple,9606,Homo sapiens,1D15L,Institut Pasteur de Montevideo,SRA721313,11,2018,Makar,"","",human embryos isolate,0,"Monash Immunology and Stem Cell Laboratories, Monash University, Australia",female,cell line made from embryonic stem (ES) cells from human blastocysts,NKX2-5eGFP/w HES3,induced cell,15 days induction to cardiomyocyte,Free,15,1,Human
