Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,genotype,lentivirally transduced transgenes,strain,GEO Accession
SRR1562893,38081934,1942178634,51,1261,SRX691036,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP046016,PRJNA260073,25378630,"",SRS693503,SAMN03015591,simple,4932,Saccharomyces cerevisiae,GSM1495512,GEO,SRA181105,11,2014,Jan,S288C,BirAmVenusSsh1_+CHX_2minBiotin_pulldown,S288C,his3::pSEC63-BirA-mVenus-UBC6 TA::HIS5 rpl16a::RPL16a-HA-TEV-AVI rpl16b::RPL16b-HA-TEV-AVI ura3delta0 met15delta0 leu2delta0,n/a,S288C,GSM1495515
SRR1562894,38325399,1954595349,51,1266,SRX691036,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP046016,PRJNA260073,25378630,"",SRS693503,SAMN03015591,simple,4932,Saccharomyces cerevisiae,GSM1495512,GEO,SRA181105,11,2014,Jan,S288C,BirAmVenusSsh1_+CHX_2minBiotin_pulldown,S288C,his3::pSEC63-BirA-mVenus-UBC6 TA::HIS5 rpl16a::RPL16a-HA-TEV-AVI rpl16b::RPL16b-HA-TEV-AVI ura3delta0 met15delta0 leu2delta0,n/a,S288C,GSM1495516
SRR1562895,15373930,784070430,51,429,SRX691037,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP046016,PRJNA260073,25378630,"",SRS693504,SAMN03015592,simple,4932,Saccharomyces cerevisiae,GSM1495513,GEO,SRA181105,11,2014,Jan,S288C,BirAmVenusUbc6_+CHX_2minBiotin_input,S288C,sec66delta::KAN his3::pSEC63-BirA-mVenus-UBC6 TA-HIS5 rpl16a::RPL16a-HA-TEV-AVI rpl16b::RPL16b-HA-TEV-AVI ura3delta0 met15delta0 leu2delta0,n/a,S288C,GSM1495517
SRR1562896,3596276,183410076,51,119,SRX691037,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP046016,PRJNA260073,25378630,"",SRS693504,SAMN03015592,simple,4932,Saccharomyces cerevisiae,GSM1495513,GEO,SRA181105,11,2014,Jan,S288C,BirAmVenusUbc6_+CHX_2minBiotin_input,S288C,sec66delta::KAN his3::pSEC63-BirA-mVenus-UBC6 TA-HIS5 rpl16a::RPL16a-HA-TEV-AVI rpl16b::RPL16b-HA-TEV-AVI ura3delta0 met15delta0 leu2delta0,n/a,S288C,GSM1495518
SRR1562897,15882195,809991945,51,441,SRX691038,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP046016,PRJNA260073,25378630,"",SRS693505,SAMN03015593,simple,4932,Saccharomyces cerevisiae,GSM1495514,GEO,SRA181105,11,2014,Jan,S288C,BirAmVenusUbc6_+CHX_2minBiotin_pulldown,S288C,sec63::SEC63-mVenus-BirA::HIS5 rpl16a::RPL16a-HA-TEV-AVI rpl16b::RPL16b-HA-TEV-AVI ura3delta0 met15delta0 his3delta1,n/a,S288C,GSM1495519
SRR1562898,3773464,192446664,51,124,SRX691038,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP046016,PRJNA260073,25378630,"",SRS693505,SAMN03015593,simple,4932,Saccharomyces cerevisiae,GSM1495514,GEO,SRA181105,11,2014,Jan,S288C,BirAmVenusUbc6_+CHX_2minBiotin_pulldown,S288C,sec63::SEC63-mVenus-BirA::HIS5 rpl16a::RPL16a-HA-TEV-AVI rpl16b::RPL16b-HA-TEV-AVI ura3delta0 met15delta0 his3delta1,n/a,S288C,GSM1495520
SRR1562899,35978842,1834920942,51,1253,SRX691039,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP046016,PRJNA260073,25378630,"",SRS693506,SAMN03015594,simple,4932,Saccharomyces cerevisiae,GSM1495515,GEO,SRA181105,11,2014,Jan,S288C,BirAmVenusUbc6_+CHX_7minBiotin_input,S288C,sec63::SEC63-mVenus-BirA::HIS5 rpl16a::RPL16a-HA-TEV-AVI rpl16b::RPL16b-HA-TEV-AVI ura3delta0 met15delta0 his3delta1,n/a,S288C,GSM1495521
SRR1562900,35390121,1804896171,51,1229,SRX691039,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP046016,PRJNA260073,25378630,"",SRS693506,SAMN03015594,simple,4932,Saccharomyces cerevisiae,GSM1495515,GEO,SRA181105,11,2014,Jan,S288C,BirAmVenusUbc6_+CHX_7minBiotin_input,S288C,sec63::SEC63-mVenus-BirA::HIS5 rpl16a::RPL16a-HA-TEV-AVI rpl16b::RPL16b-HA-TEV-AVI ura3delta0 met15delta0 his3delta1,n/a,S288C,GSM1495522
SRR1562901,36556983,1864406133,51,1279,SRX691040,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP046016,PRJNA260073,25378630,"",SRS693507,SAMN03015595,simple,4932,Saccharomyces cerevisiae,GSM1495516,GEO,SRA181105,11,2014,Jan,S288C,BirAmVenusUbc6_+CHX_7minBiotin_pulldown,S288C,sec63::SEC63-mVenus-BirA::HIS5 rpl16a::RPL16a-HA-TEV-AVI rpl16b::RPL16b-HA-TEV-AVI ura3delta0 met15delta0 his3delta1,n/a,S288C,GSM1495523
SRR1562902,35824649,1827057099,51,1250,SRX691040,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP046016,PRJNA260073,25378630,"",SRS693507,SAMN03015595,simple,4932,Saccharomyces cerevisiae,GSM1495516,GEO,SRA181105,11,2014,Jan,S288C,BirAmVenusUbc6_+CHX_7minBiotin_pulldown,S288C,sec63::SEC63-mVenus-BirA::HIS5 rpl16a::RPL16a-HA-TEV-AVI rpl16b::RPL16b-HA-TEV-AVI ura3delta0 met15delta0 his3delta1,n/a,S288C,GSM1495524
SRR1562903,12708518,648134418,51,355,SRX691041,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP046016,PRJNA260073,25378630,"",SRS693508,SAMN03015596,simple,4932,Saccharomyces cerevisiae,GSM1495517,GEO,SRA181105,11,2014,Jan,S288C,BirAmVenusUbc6_sec66∆_+CHX_2minBiotin_input,S288C,sec63::SEC63-mVenus-BirA::HIS5 rpl16a::RPL16a-HA-TEV-AVI rpl16b::RPL16b-HA-TEV-AVI ura3delta0 met15delta0 his3delta1,n/a,S288C,GSM1495525
SRR1562904,3015107,153770457,51,99,SRX691041,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP046016,PRJNA260073,25378630,"",SRS693508,SAMN03015596,simple,4932,Saccharomyces cerevisiae,GSM1495517,GEO,SRA181105,11,2014,Jan,S288C,BirAmVenusUbc6_sec66∆_+CHX_2minBiotin_input,S288C,sec63::SEC63-mVenus-BirA::HIS5 rpl16a::RPL16a-HA-TEV-AVI rpl16b::RPL16b-HA-TEV-AVI ura3delta0 met15delta0 his3delta1,n/a,S288C,GSM1495526
SRR1562905,13403945,683601195,51,379,SRX691042,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP046016,PRJNA260073,25378630,"",SRS693509,SAMN03015597,simple,4932,Saccharomyces cerevisiae,GSM1495518,GEO,SRA181105,11,2014,Jan,S288C,BirAmVenusUbc6_sec66∆_+CHX_2minBiotin_pulldown,S288C,sec63::SEC63-mVenus-BirA::HIS5 rpl16a::RPL16a-HA-TEV-AVI rpl16b::RPL16b-HA-TEV-AVI ura3delta0 met15delta0 his3delta1,n/a,S288C,GSM1495527
SRR1562906,3085352,157352952,51,102,SRX691042,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP046016,PRJNA260073,25378630,"",SRS693509,SAMN03015597,simple,4932,Saccharomyces cerevisiae,GSM1495518,GEO,SRA181105,11,2014,Jan,S288C,BirAmVenusUbc6_sec66∆_+CHX_2minBiotin_pulldown,S288C,sec63::SEC63-mVenus-BirA::HIS5 rpl16a::RPL16a-HA-TEV-AVI rpl16b::RPL16b-HA-TEV-AVI ura3delta0 met15delta0 his3delta1,n/a,S288C,GSM1495528
SRR1562907,30692664,1565325864,51,1037,SRX691043,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP046016,PRJNA260073,25378630,"",SRS693510,SAMN03015598,simple,4932,Saccharomyces cerevisiae,GSM1495519,GEO,SRA181105,11,2014,Jan,S288C,sec63mVenusBirA_-CHX_1minBiotin_input,S288C,sec63::SEC63-mVenus-BirA::HIS5 rpl16a::RPL16a-HA-TEV-AVI rpl16b::RPL16b-HA-TEV-AVI ura3delta0 met15delta0 his3delta1,n/a,S288C,GSM1495529
SRR1562908,37524471,1913748021,51,1249,SRX691044,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP046016,PRJNA260073,25378630,"",SRS693511,SAMN03015599,simple,4932,Saccharomyces cerevisiae,GSM1495520,GEO,SRA181105,11,2014,Jan,S288C,sec63mVenusBirA_-CHX_1minBiotin_pulldown,S288C,sec63::SEC63-mVenus-BirA::HIS5 rpl16a::RPL16a-HA-TEV-AVI rpl16b::RPL16b-HA-TEV-AVI ura3delta0 met15delta0 his3delta1,n/a,S288C,GSM1495530
SRR1562909,25086274,1279399974,51,806,SRX691045,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP046016,PRJNA260073,25378630,"",SRS693512,SAMN03015600,simple,4932,Saccharomyces cerevisiae,GSM1495521,GEO,SRA181105,11,2014,Jan,S288C,sec63mVenusBirA_-CHX_3minBiotin_input,S288C,sec65::sec65-1::KAN sec63::SEC63-mVenus-BirA::HIS5 rpl16a::RPL16a-HA-TEV-AVI rpl16b::RPL16b-HA-TEV-AVI ura3delta0 met15delta0 his3delta1,n/a,S288C,GSM1495531
SRR1562910,30121082,1536175182,51,953,SRX691046,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP046016,PRJNA260073,25378630,"",SRS693513,SAMN03015601,simple,4932,Saccharomyces cerevisiae,GSM1495522,GEO,SRA181105,11,2014,Jan,S288C,sec63mVenusBirA_-CHX_3minBiotin_pulldown,S288C,sec65::sec65-1::KAN sec63::SEC63-mVenus-BirA::HIS5 rpl16a::RPL16a-HA-TEV-AVI rpl16b::RPL16b-HA-TEV-AVI ura3delta0 met15delta0 his3delta1,n/a,S288C,GSM1495532
SRR1562911,33062944,1686210144,51,1115,SRX691047,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP046016,PRJNA260073,25378630,"",SRS693515,SAMN03015602,simple,4932,Saccharomyces cerevisiae,GSM1495523,GEO,SRA181105,11,2014,Jan,S288C,sec63mVenusBirA_-CHX_5minBiotin_input,S288C,sec65::sec65-1::KAN sec63::SEC63-mVenus-BirA::HIS5 rpl16a::RPL16a-HA-TEV-AVI rpl16b::RPL16b-HA-TEV-AVI ura3delta0 met15delta0 his3delta1,n/a,S288C,GSM1495533
SRR1562912,34437435,1756309185,51,1148,SRX691048,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP046016,PRJNA260073,25378630,"",SRS693514,SAMN03015603,simple,4932,Saccharomyces cerevisiae,GSM1495524,GEO,SRA181105,11,2014,Jan,S288C,sec63mVenusBirA_-CHX_5minBiotin_pulldown,S288C,sec65::sec65-1::KAN sec63::SEC63-mVenus-BirA::HIS5 rpl16a::RPL16a-HA-TEV-AVI rpl16b::RPL16b-HA-TEV-AVI ura3delta0 met15delta0 his3delta1,n/a,S288C,GSM1495534
SRR1562913,34933638,1781615538,51,1178,SRX691049,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP046016,PRJNA260073,25378630,"",SRS693516,SAMN03015604,simple,4932,Saccharomyces cerevisiae,GSM1495525,GEO,SRA181105,11,2014,Jan,S288C,sec63mVenusBirA_-CHX_7minBiotin_input,HEK293T,n/a,pEF1a-ATHmmuRPL10A; pTRE-3xFLAG-BirA-mCherry-Sec61beta,HEK293T,GSM1495535
SRR1562914,35261432,1798333032,51,1175,SRX691050,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP046016,PRJNA260073,25378630,"",SRS693517,SAMN03015605,simple,4932,Saccharomyces cerevisiae,GSM1495526,GEO,SRA181105,11,2014,Jan,S288C,sec63mVenusBirA_-CHX_7minBiotin_pulldown,HEK293T,n/a,pEF1a-ATHmmuRPL10A; pTRE-3xFLAG-BirA-mCherry-Sec61beta,HEK293T,GSM1495536
SRR1562915,35883586,1830062886,51,1203,SRX691051,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP046016,PRJNA260073,25378630,"",SRS693519,SAMN03015606,simple,4932,Saccharomyces cerevisiae,GSM1495527,GEO,SRA181105,11,2014,Jan,S288C,sec63mVenusBirA_+CHX_7minBiotin_input,S288C,rpl16a::RPL16a-HA-TEV-AVI rpl16b::RPL16b-HA-TEV-AVI leu2::pPGK1-BirA::LEU2 ura3delta0 met15delta0 his3delta1,n/a,S288C,GSM1495505
SRR1562916,37674243,1921386393,51,1250,SRX691052,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP046016,PRJNA260073,25378630,"",SRS693518,SAMN03015607,simple,4932,Saccharomyces cerevisiae,GSM1495528,GEO,SRA181105,11,2014,Jan,S288C,sec63mVenusBirA_+CHX_7minBiotin_pulldown,S288C,rpl16a::RPL16a-HA-TEV-AVI rpl16b::RPL16b-HA-TEV-AVI leu2::pPGK1-BirA::LEU2 ura3delta0 met15delta0 his3delta1,n/a,S288C,GSM1495506
SRR1562917,50285075,2564538825,51,1757,SRX691053,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP046016,PRJNA260073,25378630,"",SRS693520,SAMN03015608,simple,4932,Saccharomyces cerevisiae,GSM1495529,GEO,SRA181105,11,2014,Jan,S288C,sec63mVenusBirA_+CHX_7minBiotin_replicate_input,S288C,ssh1::BirA-heh2-SSH1::HIS5 rpl16a::RPL16a-HA-TEV-AVI rpl16b::RPL16b-HA-TEV-AVI ura3delta0 met15delta0 his3delta1,n/a,S288C,GSM1495507
SRR1562918,49347820,2516738820,51,1720,SRX691053,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP046016,PRJNA260073,25378630,"",SRS693520,SAMN03015608,simple,4932,Saccharomyces cerevisiae,GSM1495529,GEO,SRA181105,11,2014,Jan,S288C,sec63mVenusBirA_+CHX_7minBiotin_replicate_input,S288C,ssh1::BirA-heh2-SSH1::HIS5 rpl16a::RPL16a-HA-TEV-AVI rpl16b::RPL16b-HA-TEV-AVI ura3delta0 met15delta0 his3delta1,n/a,S288C,GSM1495508
SRR1562919,35172628,1793804028,51,1226,SRX691054,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP046016,PRJNA260073,25378630,"",SRS693522,SAMN03015609,simple,4932,Saccharomyces cerevisiae,GSM1495530,GEO,SRA181105,11,2014,Jan,S288C,sec63mVenusBirA_+CHX_7minBiotin_replicate_pulldown,S288C,ssh1::BirA-heh2-SSH1::HIS5 rpl16a::RPL16a-HA-TEV-AVI rpl16b::RPL16b-HA-TEV-AVI ura3delta0 met15delta0 his3delta1,n/a,S288C,GSM1495509
SRR1562920,34509106,1759964406,51,1199,SRX691054,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP046016,PRJNA260073,25378630,"",SRS693522,SAMN03015609,simple,4932,Saccharomyces cerevisiae,GSM1495530,GEO,SRA181105,11,2014,Jan,S288C,sec63mVenusBirA_+CHX_7minBiotin_replicate_pulldown,S288C,ssh1::BirA-heh2-SSH1::HIS5 rpl16a::RPL16a-HA-TEV-AVI rpl16b::RPL16b-HA-TEV-AVI ura3delta0 met15delta0 his3delta1,n/a,S288C,GSM1495510
SRR1562921,35941768,1833030168,51,1179,SRX691055,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP046016,PRJNA260073,25378630,"",SRS693521,SAMN03015582,simple,4932,Saccharomyces cerevisiae,GSM1495531,GEO,SRA181105,11,2014,Jan,S288C,sec63mVenusBirA_sec65-1_25C_+CHX_2minBiotin_input,S288C,ssh1::BirA-mVenus-SSH1::HIS5 rpl16a::RPL16a-HA-TEV-AVI rpl16b::RPL16b-HA-TEV-AVI ura3delta0 met15delta0 his3delta1,n/a,S288C,GSM1495511
SRR1562922,20400002,1040400102,51,717,SRX691055,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP046016,PRJNA260073,25378630,"",SRS693521,SAMN03015582,simple,4932,Saccharomyces cerevisiae,GSM1495531,GEO,SRA181105,11,2014,Jan,S288C,sec63mVenusBirA_sec65-1_25C_+CHX_2minBiotin_input,S288C,ssh1::BirA-mVenus-SSH1::HIS5 rpl16a::RPL16a-HA-TEV-AVI rpl16b::RPL16b-HA-TEV-AVI ura3delta0 met15delta0 his3delta1,n/a,S288C,GSM1495512
SRR1562923,26171587,1334750937,51,859,SRX691056,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP046016,PRJNA260073,25378630,"",SRS693523,SAMN03015575,simple,4932,Saccharomyces cerevisiae,GSM1495532,GEO,SRA181105,11,2014,Jan,S288C,sec63mVenusBirA_sec65-1_25C_+CHX_2minBiotin_pulldown,S288C,his3::pSEC63-BirA-mVenus-UBC6 TA::HIS5 rpl16a::RPL16a-HA-TEV-AVI rpl16b::RPL16b-HA-TEV-AVI ura3delta0 met15delta0 leu2delta0,n/a,S288C,GSM1495513
SRR1562924,14973472,763647072,51,526,SRX691056,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP046016,PRJNA260073,25378630,"",SRS693523,SAMN03015575,simple,4932,Saccharomyces cerevisiae,GSM1495532,GEO,SRA181105,11,2014,Jan,S288C,sec63mVenusBirA_sec65-1_25C_+CHX_2minBiotin_pulldown,S288C,his3::pSEC63-BirA-mVenus-UBC6 TA::HIS5 rpl16a::RPL16a-HA-TEV-AVI rpl16b::RPL16b-HA-TEV-AVI ura3delta0 met15delta0 leu2delta0,n/a,S288C,GSM1495514
SRR1562925,31326829,1597668279,51,1024,SRX691057,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP046016,PRJNA260073,25378630,"",SRS693525,SAMN03015576,simple,4932,Saccharomyces cerevisiae,GSM1495533,GEO,SRA181105,11,2014,Jan,S288C,sec63mVenusBirA_sec65-1_30min37C_+CHX_2minBiotin_input,S288C,his3::pSEC63-BirA-mVenus-UBC6 TA::HIS5 rpl16a::RPL16a-HA-TEV-AVI rpl16b::RPL16b-HA-TEV-AVI ura3delta0 met15delta0 leu2delta0,n/a,S288C,GSM1495515
SRR1562926,17922174,914030874,51,628,SRX691057,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP046016,PRJNA260073,25378630,"",SRS693525,SAMN03015576,simple,4932,Saccharomyces cerevisiae,GSM1495533,GEO,SRA181105,11,2014,Jan,S288C,sec63mVenusBirA_sec65-1_30min37C_+CHX_2minBiotin_input,S288C,his3::pSEC63-BirA-mVenus-UBC6 TA::HIS5 rpl16a::RPL16a-HA-TEV-AVI rpl16b::RPL16b-HA-TEV-AVI ura3delta0 met15delta0 leu2delta0,n/a,S288C,GSM1495516
SRR1562927,30097633,1534979283,51,981,SRX691058,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP046016,PRJNA260073,25378630,"",SRS693524,SAMN03015577,simple,4932,Saccharomyces cerevisiae,GSM1495534,GEO,SRA181105,11,2014,Jan,S288C,sec63mVenusBirA_sec65-1_30min37C_+CHX_2minBiotin_pulldown,S288C,sec66delta::KAN his3::pSEC63-BirA-mVenus-UBC6 TA-HIS5 rpl16a::RPL16a-HA-TEV-AVI rpl16b::RPL16b-HA-TEV-AVI ura3delta0 met15delta0 leu2delta0,n/a,S288C,GSM1495517
