Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,merip antibody,cell type,geo_loc_name,collection_date,rip antibody,rna fragment,cell linr
SRR17395483,58704776,2811141930,47,1496,SRX13569539,GSM5766802,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP353045,PRJNA793438,37379838,"",SRS11461999,SAMN24538221,simple,9606,Homo sapiens,GSM5766802,"Chen Lab, Systems Biology, City of Hope",SRA1350675,05,2023,Zhao,QKI7 OE input,QKI7 input rep1 [oe.1.in],QKI7 OE input,U2OS,,Bone Osteosarcoma,missing,missing,,Input RNA,
SRR17395482,70957415,3398029444,47,1812,SRX13569540,GSM5766803,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP353045,PRJNA793438,37379838,"",SRS11462000,SAMN24538220,simple,9606,Homo sapiens,GSM5766803,"Chen Lab, Systems Biology, City of Hope",SRA1350675,05,2023,Zhao,QKI7 OE input,QKI7 input rep2 [oe.2.in],QKI7 OE input,U2OS,,Bone Osteosarcoma,missing,missing,,Input RNA,
SRR17395481,87245766,2440672848,27,1561,SRX13569541,GSM5766804,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP353045,PRJNA793438,37379838,"",SRS11462001,SAMN24538219,simple,9606,Homo sapiens,GSM5766804,"Chen Lab, Systems Biology, City of Hope",SRA1350675,05,2023,Zhao,vector ribo-seq,vector ribo rep1 [vector.1.ip],vector ribo-seq,U2OS,,Bone Osteosarcoma,missing,missing,,ribosome footprint RNA,
SRR17395480,90904055,2544291730,27,1632,SRX13569542,GSM5766805,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP353045,PRJNA793438,37379838,"",SRS11462002,SAMN24538218,simple,9606,Homo sapiens,GSM5766805,"Chen Lab, Systems Biology, City of Hope",SRA1350675,05,2023,Zhao,vector ribo-seq,vector ribo rep2 [vector.2.ip],vector ribo-seq,U2OS,,Bone Osteosarcoma,missing,missing,,ribosome footprint RNA,
SRR17395479,83443461,2328683785,27,1509,SRX13569543,GSM5766806,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP353045,PRJNA793438,37379838,"",SRS11462003,SAMN24538217,simple,9606,Homo sapiens,GSM5766806,"Chen Lab, Systems Biology, City of Hope",SRA1350675,05,2023,Zhao,QKI7 OE ribo-seq,QKI7 ribo rep1 [oe.1.ip],QKI7 OE ribo-seq,U2OS,,Bone Osteosarcoma,missing,missing,,ribosome footprint RNA,
SRR17395478,80701991,2278019235,28,1456,SRX13569544,GSM5766807,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP353045,PRJNA793438,37379838,"",SRS11462004,SAMN24538216,simple,9606,Homo sapiens,GSM5766807,"Chen Lab, Systems Biology, City of Hope",SRA1350675,05,2023,Zhao,QKI7 OE ribo-seq,QKI7 ribo rep2 [oe.2.ip],QKI7 OE ribo-seq,U2OS,,Bone Osteosarcoma,missing,missing,,ribosome footprint RNA,
SRR17395489,120398438,6140160400,51,3391,SRX13569545,GSM5766796,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP353046,PRJNA793439,37379838,"",SRS11462005,SAMN24538215,simple,9606,Homo sapiens,GSM5766796,"Chen Lab, Systems Biology, City of Hope",SRA1350672,05,2023,Zhao,U2OS input,U2OS input rep1,U2OS input,U2OS,none,Bone Osteosarcoma,missing,missing,,,
SRR17395488,121529537,6197847641,51,3433,SRX13569546,GSM5766797,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP353046,PRJNA793439,37379838,"",SRS11462006,SAMN24538214,simple,9606,Homo sapiens,GSM5766797,"Chen Lab, Systems Biology, City of Hope",SRA1350672,05,2023,Zhao,U2OS input,U2OS input rep2,U2OS input,U2OS,none,Bone Osteosarcoma,missing,missing,,,
SRR17395487,103844890,5295958176,51,2949,SRX13569547,GSM5766798,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP353046,PRJNA793439,37379838,"",SRS11462007,SAMN24538213,simple,9606,Homo sapiens,GSM5766798,"Chen Lab, Systems Biology, City of Hope",SRA1350672,05,2023,Zhao,U2OS m7G IP,U2OS IP rep1,U2OS m7G IP,U2OS,"m7G antibody (Cat#: RN017M, MBL international)",Bone Osteosarcoma,missing,missing,,,
SRR17395486,107754312,5495334555,51,3064,SRX13569548,GSM5766799,RIP-Seq,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP353046,PRJNA793439,37379838,"",SRS11462008,SAMN24538212,simple,9606,Homo sapiens,GSM5766799,"Chen Lab, Systems Biology, City of Hope",SRA1350672,05,2023,Zhao,U2OS m7G IP,U2OS IP rep2,U2OS m7G IP,U2OS,"m7G antibody (Cat#: RN017M, MBL international)",Bone Osteosarcoma,missing,missing,,,
SRR17431398,77464591,15645796699,100,4958,SRX13602664,GSM5771709,RIP-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP353493,PRJNA794165,37379838,"",SRS11492041,SAMN24614263,simple,9606,Homo sapiens,GSM5771709,"Chen Lab, Systems Biology, City of Hope",SRA1352160,05,2023,Zhao,Hepatocellular carcinoma,QKI5 input rep1,Hepatocellular carcinoma,,,,missing,missing,none,,HepG2
SRR17431397,59607474,12039040588,100,3786,SRX13602665,GSM5771710,RIP-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP353493,PRJNA794165,37379838,"",SRS11492042,SAMN24614262,simple,9606,Homo sapiens,GSM5771710,"Chen Lab, Systems Biology, City of Hope",SRA1352160,05,2023,Zhao,Hepatocellular carcinoma,QKI5 input rep2,Hepatocellular carcinoma,,,,missing,missing,none,,HepG2
SRR17431396,71386060,14417993294,100,4573,SRX13602666,GSM5771711,RIP-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP353493,PRJNA794165,37379838,"",SRS11492043,SAMN24614261,simple,9606,Homo sapiens,GSM5771711,"Chen Lab, Systems Biology, City of Hope",SRA1352160,05,2023,Zhao,Hepatocellular carcinoma,QKI6 input rep1,Hepatocellular carcinoma,,,,missing,missing,none,,HepG2
SRR17431395,65965566,13323181963,100,4237,SRX13602667,GSM5771712,RIP-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP353493,PRJNA794165,37379838,"",SRS11492044,SAMN24614260,simple,9606,Homo sapiens,GSM5771712,"Chen Lab, Systems Biology, City of Hope",SRA1352160,05,2023,Zhao,Hepatocellular carcinoma,QKI6 input rep2,Hepatocellular carcinoma,,,,missing,missing,none,,HepG2
SRR17431394,66168390,13364121582,100,4262,SRX13602668,GSM5771713,RIP-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP353493,PRJNA794165,37379838,"",SRS11492045,SAMN24614259,simple,9606,Homo sapiens,GSM5771713,"Chen Lab, Systems Biology, City of Hope",SRA1352160,05,2023,Zhao,Hepatocellular carcinoma,QKI7 input rep1,Hepatocellular carcinoma,,,,missing,missing,none,,HepG2
SRR17431393,69945412,14127066110,100,4502,SRX13602669,GSM5771714,RIP-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP353493,PRJNA794165,37379838,"",SRS11492046,SAMN24614258,simple,9606,Homo sapiens,GSM5771714,"Chen Lab, Systems Biology, City of Hope",SRA1352160,05,2023,Zhao,Hepatocellular carcinoma,QKI7 input rep2,Hepatocellular carcinoma,,,,missing,missing,none,,HepG2
SRR17431392,84381672,17042459263,100,5409,SRX13602670,GSM5771715,RIP-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP353493,PRJNA794165,37379838,"",SRS11492047,SAMN24614257,simple,9606,Homo sapiens,GSM5771715,"Chen Lab, Systems Biology, City of Hope",SRA1352160,05,2023,Zhao,Hepatocellular carcinoma,QKI5 RIP rep1,Hepatocellular carcinoma,,,,missing,missing,"Flag (Cat#: F3165, Sigma-Aldrich)",,HepG2
SRR17431391,83929481,16951263103,100,5364,SRX13602671,GSM5771716,RIP-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP353493,PRJNA794165,37379838,"",SRS11492048,SAMN24614256,simple,9606,Homo sapiens,GSM5771716,"Chen Lab, Systems Biology, City of Hope",SRA1352160,05,2023,Zhao,Hepatocellular carcinoma,QKI5 RIP rep2,Hepatocellular carcinoma,,,,missing,missing,"Flag (Cat#: F3165, Sigma-Aldrich)",,HepG2
SRR17431390,86560592,17482635350,100,5564,SRX13602672,GSM5771717,RIP-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP353493,PRJNA794165,37379838,"",SRS11492049,SAMN24614255,simple,9606,Homo sapiens,GSM5771717,"Chen Lab, Systems Biology, City of Hope",SRA1352160,05,2023,Zhao,Hepatocellular carcinoma,QKI6 RIP rep1,Hepatocellular carcinoma,,,,missing,missing,"Flag (Cat#: F3165, Sigma-Aldrich)",,HepG2
SRR17431389,88950345,17965377866,100,5710,SRX13602673,GSM5771718,RIP-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP353493,PRJNA794165,37379838,"",SRS11492050,SAMN24614254,simple,9606,Homo sapiens,GSM5771718,"Chen Lab, Systems Biology, City of Hope",SRA1352160,05,2023,Zhao,Hepatocellular carcinoma,QKI6 RIP rep2,Hepatocellular carcinoma,,,,missing,missing,"Flag (Cat#: F3165, Sigma-Aldrich)",,HepG2
SRR17431388,61911903,12504410398,100,3973,SRX13602674,GSM5771719,RIP-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP353493,PRJNA794165,37379838,"",SRS11492051,SAMN24614253,simple,9606,Homo sapiens,GSM5771719,"Chen Lab, Systems Biology, City of Hope",SRA1352160,05,2023,Zhao,Hepatocellular carcinoma,QKI7 RIP rep1,Hepatocellular carcinoma,,,,missing,missing,"Flag (Cat#: F3165, Sigma-Aldrich)",,HepG2
SRR17431387,69368128,14010283605,100,4458,SRX13602675,GSM5771720,RIP-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP353493,PRJNA794165,37379838,"",SRS11492052,SAMN24614252,simple,9606,Homo sapiens,GSM5771720,"Chen Lab, Systems Biology, City of Hope",SRA1352160,05,2023,Zhao,Hepatocellular carcinoma,QKI7 RIP rep2,Hepatocellular carcinoma,,,,missing,missing,"Flag (Cat#: F3165, Sigma-Aldrich)",,HepG2
