Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,treatment,time
SRR18592283,41845108,12553532400,150,4758,SRX14720924,GSM6008613,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP367409,PRJNA822939,35858571,"",SRS12483084,SAMN27283820,simple,9606,Homo sapiens,GSM6008613,"Department of Genetics and Genome Sciences, Case Western Reserve University",SRA1400321,04,2022,Krokowski,Corneal epithelial cells,6h 500 mOsm + MeAIB rep2,Corneal epithelial cells,500 mOsm + MeAIB (for the last hour),6 hours
SRR18592282,48413252,14523975600,150,5502,SRX14720925,GSM6008614,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP367409,PRJNA822939,35858571,"",SRS12483085,SAMN27283819,simple,9606,Homo sapiens,GSM6008614,"Department of Genetics and Genome Sciences, Case Western Reserve University",SRA1400321,04,2022,Krokowski,Corneal epithelial cells,6h 500 mOsm + MeAIB rep3,Corneal epithelial cells,500 mOsm + MeAIB (for the last hour),6 hours
SRR18592281,38692473,11607741900,150,4400,SRX14720926,GSM6008615,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP367409,PRJNA822939,35858571,"",SRS12483086,SAMN27283818,simple,9606,Homo sapiens,GSM6008615,"Department of Genetics and Genome Sciences, Case Western Reserve University",SRA1400321,04,2022,Krokowski,Corneal epithelial cells,6h 500 mOsm + MeAIB rep4,Corneal epithelial cells,500 mOsm + MeAIB (for the last hour),6 hours
SRR18592280,36268835,3082850975,85,1036,SRX14720927,GSM6008616,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP367409,PRJNA822939,35858571,"",SRS12483087,SAMN27283817,simple,9606,Homo sapiens,GSM6008616,"Department of Genetics and Genome Sciences, Case Western Reserve University",SRA1400321,04,2022,Krokowski,Corneal epithelial cells,Control rep1 Ribosome profiling,Corneal epithelial cells,control,
SRR18592279,93584875,7954714375,85,2672,SRX14720928,GSM6008617,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP367409,PRJNA822939,35858571,"",SRS12483088,SAMN27283816,simple,9606,Homo sapiens,GSM6008617,"Department of Genetics and Genome Sciences, Case Western Reserve University",SRA1400321,04,2022,Krokowski,Corneal epithelial cells,Control rep2 Ribosome profiling,Corneal epithelial cells,control,
SRR18592278,29365983,2496108555,85,851,SRX14720929,GSM6008618,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP367409,PRJNA822939,35858571,"",SRS12483089,SAMN27283815,simple,9606,Homo sapiens,GSM6008618,"Department of Genetics and Genome Sciences, Case Western Reserve University",SRA1400321,04,2022,Krokowski,Corneal epithelial cells,Control rep3 Ribosome profiling,Corneal epithelial cells,control,
SRR18592277,36814012,3129191020,85,1053,SRX14720930,GSM6008619,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP367409,PRJNA822939,35858571,"",SRS12483090,SAMN27283814,simple,9606,Homo sapiens,GSM6008619,"Department of Genetics and Genome Sciences, Case Western Reserve University",SRA1400321,04,2022,Krokowski,Corneal epithelial cells,Control rep4 Ribosome profiling,Corneal epithelial cells,control,
SRR18592276,29751349,2528864665,85,848,SRX14720931,GSM6008620,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP367409,PRJNA822939,35858571,"",SRS12483091,SAMN27283813,simple,9606,Homo sapiens,GSM6008620,"Department of Genetics and Genome Sciences, Case Western Reserve University",SRA1400321,04,2022,Krokowski,Corneal epithelial cells,1h 500 mOsm rep1 Ribosome profiling,Corneal epithelial cells,500 mOsm,1 hour
SRR18592275,27983555,2378602175,85,806,SRX14720932,GSM6008621,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP367409,PRJNA822939,35858571,"",SRS12483092,SAMN27283812,simple,9606,Homo sapiens,GSM6008621,"Department of Genetics and Genome Sciences, Case Western Reserve University",SRA1400321,04,2022,Krokowski,Corneal epithelial cells,1h 500 mOsm rep2 Ribosome profiling,Corneal epithelial cells,500 mOsm,1 hour
SRR18592274,29481343,2505914155,85,843,SRX14720933,GSM6008622,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP367409,PRJNA822939,35858571,"",SRS12483093,SAMN27283811,simple,9606,Homo sapiens,GSM6008622,"Department of Genetics and Genome Sciences, Case Western Reserve University",SRA1400321,04,2022,Krokowski,Corneal epithelial cells,1h 500 mOsm rep3 Ribosome profiling,Corneal epithelial cells,500 mOsm,1 hour
SRR18592273,23060798,1960167830,85,663,SRX14720934,GSM6008623,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP367409,PRJNA822939,35858571,"",SRS12483094,SAMN27283810,simple,9606,Homo sapiens,GSM6008623,"Department of Genetics and Genome Sciences, Case Western Reserve University",SRA1400321,04,2022,Krokowski,Corneal epithelial cells,1h 500 mOsm rep4 Ribosome profiling,Corneal epithelial cells,500 mOsm,1 hour
SRR18592272,32730107,2782059095,85,979,SRX14720935,GSM6008624,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP367409,PRJNA822939,35858571,"",SRS12483095,SAMN27283809,simple,9606,Homo sapiens,GSM6008624,"Department of Genetics and Genome Sciences, Case Western Reserve University",SRA1400321,04,2022,Krokowski,Corneal epithelial cells,6h 500 mOsm rep1 Ribosome profiling,Corneal epithelial cells,500 mOsm,6 hours
SRR18592271,37893675,3220962375,85,1142,SRX14720936,GSM6008625,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP367409,PRJNA822939,35858571,"",SRS12483096,SAMN27283808,simple,9606,Homo sapiens,GSM6008625,"Department of Genetics and Genome Sciences, Case Western Reserve University",SRA1400321,04,2022,Krokowski,Corneal epithelial cells,6h 500 mOsm rep2 Ribosome profiling,Corneal epithelial cells,500 mOsm,6 hours
SRR18592270,36741314,3123011690,85,1102,SRX14720937,GSM6008626,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP367409,PRJNA822939,35858571,"",SRS12483097,SAMN27283807,simple,9606,Homo sapiens,GSM6008626,"Department of Genetics and Genome Sciences, Case Western Reserve University",SRA1400321,04,2022,Krokowski,Corneal epithelial cells,6h 500 mOsm rep3 Ribosome profiling,Corneal epithelial cells,500 mOsm,6 hours
SRR18592269,31643175,2689669875,85,958,SRX14720938,GSM6008627,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP367409,PRJNA822939,35858571,"",SRS12483098,SAMN27283806,simple,9606,Homo sapiens,GSM6008627,"Department of Genetics and Genome Sciences, Case Western Reserve University",SRA1400321,04,2022,Krokowski,Corneal epithelial cells,6h 500 mOsm rep4 Ribosome profiling,Corneal epithelial cells,500 mOsm,6 hours
SRR18592268,23607566,2006643110,85,674,SRX14720939,GSM6008628,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP367409,PRJNA822939,35858571,"",SRS12483100,SAMN27283805,simple,9606,Homo sapiens,GSM6008628,"Department of Genetics and Genome Sciences, Case Western Reserve University",SRA1400321,04,2022,Krokowski,Corneal epithelial cells,6h 500 mOsm + Torin1 rep1 Ribosome profiling,Corneal epithelial cells,500 mOsm + Torin1 (for the last hour),6 hours
SRR18592267,24344853,2069312505,85,696,SRX14720940,GSM6008629,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP367409,PRJNA822939,35858571,"",SRS12483099,SAMN27283804,simple,9606,Homo sapiens,GSM6008629,"Department of Genetics and Genome Sciences, Case Western Reserve University",SRA1400321,04,2022,Krokowski,Corneal epithelial cells,6h 500 mOsm + Torin1 rep2 Ribosome profiling,Corneal epithelial cells,500 mOsm + Torin1 (for the last hour),6 hours
SRR18592266,41506810,3528078850,85,1237,SRX14720941,GSM6008630,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP367409,PRJNA822939,35858571,"",SRS12483101,SAMN27283803,simple,9606,Homo sapiens,GSM6008630,"Department of Genetics and Genome Sciences, Case Western Reserve University",SRA1400321,04,2022,Krokowski,Corneal epithelial cells,6h 500 mOsm + Torin1 rep3 Ribosome profiling,Corneal epithelial cells,500 mOsm + Torin1 (for the last hour),6 hours
SRR18592265,40729757,3462029345,85,1204,SRX14720942,GSM6008631,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP367409,PRJNA822939,35858571,"",SRS12483102,SAMN27283802,simple,9606,Homo sapiens,GSM6008631,"Department of Genetics and Genome Sciences, Case Western Reserve University",SRA1400321,04,2022,Krokowski,Corneal epithelial cells,6h 500 mOsm + Torin1 rep4 Ribosome profiling,Corneal epithelial cells,500 mOsm + Torin1 (for the last hour),6 hours
SRR18592264,33717560,2865992600,85,1013,SRX14720943,GSM6008632,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP367409,PRJNA822939,35858571,"",SRS12483103,SAMN27283801,simple,9606,Homo sapiens,GSM6008632,"Department of Genetics and Genome Sciences, Case Western Reserve University",SRA1400321,04,2022,Krokowski,Corneal epithelial cells,6h 500 mOsm + MeAIB rep1 Ribosome profiling,Corneal epithelial cells,500 mOsm + MeAIB (for the last hour),6 hours
SRR18592263,33609424,2856801040,85,1013,SRX14720944,GSM6008633,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP367409,PRJNA822939,35858571,"",SRS12483104,SAMN27283800,simple,9606,Homo sapiens,GSM6008633,"Department of Genetics and Genome Sciences, Case Western Reserve University",SRA1400321,04,2022,Krokowski,Corneal epithelial cells,6h 500 mOsm + MeAIB rep2 Ribosome profiling,Corneal epithelial cells,500 mOsm + MeAIB (for the last hour),6 hours
SRR18592262,28000711,2380060435,85,837,SRX14720945,GSM6008634,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP367409,PRJNA822939,35858571,"",SRS12483105,SAMN27283799,simple,9606,Homo sapiens,GSM6008634,"Department of Genetics and Genome Sciences, Case Western Reserve University",SRA1400321,04,2022,Krokowski,Corneal epithelial cells,6h 500 mOsm + MeAIB rep3 Ribosome profiling,Corneal epithelial cells,500 mOsm + MeAIB (for the last hour),6 hours
SRR18592261,41504392,3527873320,85,1242,SRX14720946,GSM6008635,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP367409,PRJNA822939,35858571,"",SRS12483106,SAMN27283798,simple,9606,Homo sapiens,GSM6008635,"Department of Genetics and Genome Sciences, Case Western Reserve University",SRA1400321,04,2022,Krokowski,Corneal epithelial cells,6h 500 mOsm + MeAIB rep4 Ribosome profiling,Corneal epithelial cells,500 mOsm + MeAIB (for the last hour),6 hours
