Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,genetic background,cell line,treatment,GEO Accession
SRR8756013,94719334,2823842427,29,1115,SRX5546727,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP188933,PRJNA528192,33184379,"",SRS4512343,SAMN11175800,simple,4932,Saccharomyces cerevisiae,GSM3680550,GEO,SRA862541,11,2020,Matsuki,eS7_4KR.0hr,eS7_4KR.0hr.Ribo-seq_rep2,eS7_4KR.0hr,MATa ade2 his3 leu2 trp1 ura3 can1 RPS7a::HisMX6 RPS7b::natNT2 pRS315-RPS7a-4KR-3HA,eS7-4KR,,GSM3680550
SRR8756014,85689500,2431256963,28,1018,SRX5546728,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP188933,PRJNA528192,33184379,"",SRS4512344,SAMN11175799,simple,4932,Saccharomyces cerevisiae,GSM3680551,GEO,SRA862541,11,2020,Matsuki,eS7_4KR.4hr,eS7_4KR.4hr.Ribo-seq_rep1,eS7_4KR.4hr,MATa ade2 his3 leu2 trp1 ura3 can1 RPS7a::HisMX6 RPS7b::natNT2 pRS315-RPS7a-4KR-3HA,eS7-4KR,Tm treatment for 4hr,GSM3680551
SRR8756015,100150100,2989335509,29,1178,SRX5546729,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP188933,PRJNA528192,33184379,"",SRS4512345,SAMN11175798,simple,4932,Saccharomyces cerevisiae,GSM3680552,GEO,SRA862541,11,2020,Matsuki,eS7_4KR.4hr,eS7_4KR.4hr.Ribo-seq_rep2,eS7_4KR.4hr,MATa ade2 his3 leu2 trp1 ura3 can1 RPS7a::HisMX6 RPS7b::natNT2 pRS315-RPS7a-4KR-3HA,eS7-4KR,Tm treatment for 4hr,GSM3680552
SRR8756016,30509719,1488864255,48,875,SRX5546730,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP188933,PRJNA528192,33184379,"",SRS4512346,SAMN11175797,simple,4932,Saccharomyces cerevisiae,GSM3680553,GEO,SRA862541,11,2020,Matsuki,WT.0hr.RNA,WT.0hr.RNA-seq_rep1,WT.0hr.RNA,MATa ade2 his3 leu2 trp1 ura3 can1,W303-1a,,GSM3680553
SRR8756017,31064099,1516025090,48,893,SRX5546731,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP188933,PRJNA528192,33184379,"",SRS4512347,SAMN11175796,simple,4932,Saccharomyces cerevisiae,GSM3680554,GEO,SRA862541,11,2020,Matsuki,WT.0hr.RNA,WT.0hr.RNA-seq_rep2,WT.0hr.RNA,MATa ade2 his3 leu2 trp1 ura3 can1,W303-1a,,GSM3680554
SRR8756018,29041197,1416915275,48,832,SRX5546732,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP188933,PRJNA528192,33184379,"",SRS4512348,SAMN11175795,simple,4932,Saccharomyces cerevisiae,GSM3680555,GEO,SRA862541,11,2020,Matsuki,WT.1hr.RNA,WT.1hr.RNA-seq,WT.1hr.RNA,MATa ade2 his3 leu2 trp1 ura3 can1,W303-1a,Tm treatment for 1hr,GSM3680555
SRR8756019,31784284,1549168484,48,917,SRX5546733,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP188933,PRJNA528192,33184379,"",SRS4512349,SAMN11175794,simple,4932,Saccharomyces cerevisiae,GSM3680556,GEO,SRA862541,11,2020,Matsuki,WT.2hr.RNA,WT.2hr.RNA-seq,WT.2hr.RNA,MATa ade2 his3 leu2 trp1 ura3 can1,W303-1a,Tm treatment for 2hr,GSM3680556
SRR8756020,33230993,1616991109,48,960,SRX5546734,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP188933,PRJNA528192,33184379,"",SRS4512350,SAMN11175793,simple,4932,Saccharomyces cerevisiae,GSM3680557,GEO,SRA862541,11,2020,Matsuki,WT.4hr.RNA,WT.4hr.RNA-seq,WT.4hr.RNA,MATa ade2 his3 leu2 trp1 ura3 can1,W303-1a,Tm treatment for 4hr,GSM3680557
SRR8756021,53787878,2743181778,51,924,SRX5546735,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP188933,PRJNA528192,33184379,"",SRS4512351,SAMN11175792,simple,4932,Saccharomyces cerevisiae,GSM3680558,GEO,SRA862541,11,2020,Matsuki,eS7_WT.0hr.RNA,eS7_WT.0hr.RNA-seq_rep2,eS7_WT.0hr.RNA,MATa ade2 his3 leu2 trp1 ura3 can1 RPS7a::HisMX6 RPS7b::natNT2 pRS315-RPS7a-3HA,eS7-WT,,GSM3680558
SRR8756022,50212199,2560822149,51,872,SRX5546736,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP188933,PRJNA528192,33184379,"",SRS4512352,SAMN11175791,simple,4932,Saccharomyces cerevisiae,GSM3680559,GEO,SRA862541,11,2020,Matsuki,eS7_WT.4hr.RNA,eS7_WT.4hr.RNA-seq_rep1,eS7_WT.4hr.RNA,MATa ade2 his3 leu2 trp1 ura3 can1 RPS7a::HisMX6 RPS7b::natNT2 pRS315-RPS7a-3HA,eS7-WT,Tm treatment for 4hr,GSM3680559
SRR8756023,57580099,2936585049,51,999,SRX5546737,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP188933,PRJNA528192,33184379,"",SRS4512353,SAMN11175790,simple,4932,Saccharomyces cerevisiae,GSM3680560,GEO,SRA862541,11,2020,Matsuki,eS7_WT.4hr.RNA,eS7_WT.4hr.RNA-seq_rep2,eS7_WT.4hr.RNA,MATa ade2 his3 leu2 trp1 ura3 can1 RPS7a::HisMX6 RPS7b::natNT2 pRS315-RPS7a-3HA,eS7-WT,Tm treatment for 4hr,GSM3680560
SRR8756024,52031228,2653592628,51,904,SRX5546738,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP188933,PRJNA528192,33184379,"",SRS4512354,SAMN11175789,simple,4932,Saccharomyces cerevisiae,GSM3680561,GEO,SRA862541,11,2020,Matsuki,eS7_4KR.0hr.RNA,eS7_4KR.0hr.RNA-seq_rep1,eS7_4KR.0hr.RNA,MATa ade2 his3 leu2 trp1 ura3 can1 RPS7a::HisMX6 RPS7b::natNT2 pRS315-RPS7a-4KR-3HA,eS7-4KR,,GSM3680561
SRR8756025,56770989,2895320439,51,990,SRX5546739,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP188933,PRJNA528192,33184379,"",SRS4512355,SAMN11175813,simple,4932,Saccharomyces cerevisiae,GSM3680562,GEO,SRA862541,11,2020,Matsuki,eS7_4KR.0hr.RNA,eS7_4KR.0hr.RNA-seq_rep2,eS7_4KR.0hr.RNA,MATa ade2 his3 leu2 trp1 ura3 can1 RPS7a::HisMX6 RPS7b::natNT2 pRS315-RPS7a-4KR-3HA,eS7-4KR,,GSM3680562
SRR8756026,51103006,2606253306,51,896,SRX5546740,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP188933,PRJNA528192,33184379,"",SRS4512356,SAMN11175812,simple,4932,Saccharomyces cerevisiae,GSM3680563,GEO,SRA862541,11,2020,Matsuki,eS7_4KR.4hr.RNA,eS7_4KR.4hr.RNA-seq_rep1,eS7_4KR.4hr.RNA,MATa ade2 his3 leu2 trp1 ura3 can1 RPS7a::HisMX6 RPS7b::natNT2 pRS315-RPS7a-4KR-3HA,eS7-4KR,Tm treatment for 4hr,GSM3680563
SRR8756027,61200204,3121210404,51,1070,SRX5546741,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP188933,PRJNA528192,33184379,"",SRS4512357,SAMN11175811,simple,4932,Saccharomyces cerevisiae,GSM3680564,GEO,SRA862541,11,2020,Matsuki,eS7_4KR.4hr.RNA,eS7_4KR.4hr.RNA-seq_rep2,eS7_4KR.4hr.RNA,MATa ade2 his3 leu2 trp1 ura3 can1 RPS7a::HisMX6 RPS7b::natNT2 pRS315-RPS7a-4KR-3HA,eS7-4KR,Tm treatment for 4hr,GSM3680564
