Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,genotype,Sex,cell type,GEO Accession
SRR12925968,11152120,1297792792,40,504,SRX9390146,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP289492,PRJNA672952,34125914,"",SRS7609445,SAMN16582189,simple,10090,Mus musculus,GSM4871494,GEO,SRA1149621,05,2021,Galloway,20 hour activated CD4 T cells,Total_Rnmt_cKO_CD4_3,20 hour activated CD4 T cells,Rnmt fl/fl CD4cre -,female,20 hour activated CD4 T cells,GSM4871490
SRR12925969,11132976,1296196738,40,499,SRX9390146,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP289492,PRJNA672952,34125914,"",SRS7609445,SAMN16582189,simple,10090,Mus musculus,GSM4871494,GEO,SRA1149621,05,2021,Galloway,20 hour activated CD4 T cells,Total_Rnmt_cKO_CD4_3,20 hour activated CD4 T cells,Rnmt fl/fl CD4cre -,female,20 hour activated CD4 T cells,GSM4871491
SRR12925970,9823901,1103145924,36,400,SRX9390147,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP289492,PRJNA672952,34125914,"",SRS7609446,SAMN16582188,simple,10090,Mus musculus,GSM4871495,GEO,SRA1149621,05,2021,Galloway,20 hour activated CD4 T cells,RPF_Control_CD4_1,20 hour activated CD4 T cells,Rnmt fl/fl CD4cre +,female,20 hour activated CD4 T cells,GSM4871492
SRR12925971,9397361,1055299584,36,384,SRX9390147,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP289492,PRJNA672952,34125914,"",SRS7609446,SAMN16582188,simple,10090,Mus musculus,GSM4871495,GEO,SRA1149621,05,2021,Galloway,20 hour activated CD4 T cells,RPF_Control_CD4_1,20 hour activated CD4 T cells,Rnmt fl/fl CD4cre +,female,20 hour activated CD4 T cells,GSM4871493
SRR12925972,9907962,1112449790,36,403,SRX9390147,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP289492,PRJNA672952,34125914,"",SRS7609446,SAMN16582188,simple,10090,Mus musculus,GSM4871495,GEO,SRA1149621,05,2021,Galloway,20 hour activated CD4 T cells,RPF_Control_CD4_1,20 hour activated CD4 T cells,Rnmt fl/fl CD4cre +,female,20 hour activated CD4 T cells,GSM4871494
SRR12925973,9898284,1110862375,36,400,SRX9390147,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP289492,PRJNA672952,34125914,"",SRS7609446,SAMN16582188,simple,10090,Mus musculus,GSM4871495,GEO,SRA1149621,05,2021,Galloway,20 hour activated CD4 T cells,RPF_Control_CD4_1,20 hour activated CD4 T cells,Rnmt fl/fl CD4cre -,female,20 hour activated CD4 T cells,GSM4871495
SRR12925974,9005067,1016337417,36,370,SRX9390148,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP289492,PRJNA672952,34125914,"",SRS7609447,SAMN16582187,simple,10090,Mus musculus,GSM4871496,GEO,SRA1149621,05,2021,Galloway,20 hour activated CD4 T cells,RPF_Control_CD4_2,20 hour activated CD4 T cells,Rnmt fl/fl CD4cre -,female,20 hour activated CD4 T cells,GSM4871496
SRR12925975,8629649,973838754,36,356,SRX9390148,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP289492,PRJNA672952,34125914,"",SRS7609447,SAMN16582187,simple,10090,Mus musculus,GSM4871496,GEO,SRA1149621,05,2021,Galloway,20 hour activated CD4 T cells,RPF_Control_CD4_2,20 hour activated CD4 T cells,Rnmt fl/fl CD4cre -,female,20 hour activated CD4 T cells,GSM4871497
SRR12925976,9155893,1033449205,36,376,SRX9390148,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP289492,PRJNA672952,34125914,"",SRS7609447,SAMN16582187,simple,10090,Mus musculus,GSM4871496,GEO,SRA1149621,05,2021,Galloway,20 hour activated CD4 T cells,RPF_Control_CD4_2,20 hour activated CD4 T cells,Rnmt fl/fl CD4cre +,female,20 hour activated CD4 T cells,GSM4871498
SRR12925977,9088980,1025706837,36,371,SRX9390148,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP289492,PRJNA672952,34125914,"",SRS7609447,SAMN16582187,simple,10090,Mus musculus,GSM4871496,GEO,SRA1149621,05,2021,Galloway,20 hour activated CD4 T cells,RPF_Control_CD4_2,20 hour activated CD4 T cells,Rnmt fl/fl CD4cre +,female,20 hour activated CD4 T cells,GSM4871499
SRR12925978,9491442,1072026124,37,398,SRX9390149,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP289492,PRJNA672952,34125914,"",SRS7609448,SAMN16582186,simple,10090,Mus musculus,GSM4871497,GEO,SRA1149621,05,2021,Galloway,20 hour activated CD4 T cells,RPF_Control_CD4_3,20 hour activated CD4 T cells,Rnmt fl/fl CD4cre +,female,20 hour activated CD4 T cells,GSM4871500
SRR12925979,9066578,1024165099,37,382,SRX9390149,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP289492,PRJNA672952,34125914,"",SRS7609448,SAMN16582186,simple,10090,Mus musculus,GSM4871497,GEO,SRA1149621,05,2021,Galloway,20 hour activated CD4 T cells,RPF_Control_CD4_3,20 hour activated CD4 T cells,Rnmt fl/fl CD4cre -,female,20 hour activated CD4 T cells,GSM4871489
SRR12925980,9578197,1081991486,37,402,SRX9390149,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP289492,PRJNA672952,34125914,"",SRS7609448,SAMN16582186,simple,10090,Mus musculus,GSM4871497,GEO,SRA1149621,05,2021,Galloway,20 hour activated CD4 T cells,RPF_Control_CD4_3,20 hour activated CD4 T cells,Rnmt fl/fl CD4cre -,female,20 hour activated CD4 T cells,GSM4871490
SRR12925981,9602060,1084205495,37,400,SRX9390149,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP289492,PRJNA672952,34125914,"",SRS7609448,SAMN16582186,simple,10090,Mus musculus,GSM4871497,GEO,SRA1149621,05,2021,Galloway,20 hour activated CD4 T cells,RPF_Control_CD4_3,20 hour activated CD4 T cells,Rnmt fl/fl CD4cre -,female,20 hour activated CD4 T cells,GSM4871491
SRR12925982,10244886,1161843184,37,426,SRX9390150,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP289492,PRJNA672952,34125914,"",SRS7609449,SAMN16582185,simple,10090,Mus musculus,GSM4871498,GEO,SRA1149621,05,2021,Galloway,20 hour activated CD4 T cells,RPF_Rnmt_cKO_CD4_1,20 hour activated CD4 T cells,Rnmt fl/fl CD4cre +,female,20 hour activated CD4 T cells,GSM4871492
SRR12925983,9856864,1117517343,37,412,SRX9390150,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP289492,PRJNA672952,34125914,"",SRS7609449,SAMN16582185,simple,10090,Mus musculus,GSM4871498,GEO,SRA1149621,05,2021,Galloway,20 hour activated CD4 T cells,RPF_Rnmt_cKO_CD4_1,20 hour activated CD4 T cells,Rnmt fl/fl CD4cre +,female,20 hour activated CD4 T cells,GSM4871493
SRR12925984,10406619,1180466301,37,433,SRX9390150,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP289492,PRJNA672952,34125914,"",SRS7609449,SAMN16582185,simple,10090,Mus musculus,GSM4871498,GEO,SRA1149621,05,2021,Galloway,20 hour activated CD4 T cells,RPF_Rnmt_cKO_CD4_1,20 hour activated CD4 T cells,Rnmt fl/fl CD4cre +,female,20 hour activated CD4 T cells,GSM4871494
SRR12925985,10380733,1177226861,37,429,SRX9390150,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP289492,PRJNA672952,34125914,"",SRS7609449,SAMN16582185,simple,10090,Mus musculus,GSM4871498,GEO,SRA1149621,05,2021,Galloway,20 hour activated CD4 T cells,RPF_Rnmt_cKO_CD4_1,20 hour activated CD4 T cells,Rnmt fl/fl CD4cre -,female,20 hour activated CD4 T cells,GSM4871495
SRR12925986,10553379,1192760354,37,433,SRX9390151,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP289492,PRJNA672952,34125914,"",SRS7609450,SAMN16582184,simple,10090,Mus musculus,GSM4871499,GEO,SRA1149621,05,2021,Galloway,20 hour activated CD4 T cells,RPF_Rnmt_cKO_CD4_2,20 hour activated CD4 T cells,Rnmt fl/fl CD4cre -,female,20 hour activated CD4 T cells,GSM4871496
SRR12925987,10122310,1144086088,37,417,SRX9390151,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP289492,PRJNA672952,34125914,"",SRS7609450,SAMN16582184,simple,10090,Mus musculus,GSM4871499,GEO,SRA1149621,05,2021,Galloway,20 hour activated CD4 T cells,RPF_Rnmt_cKO_CD4_2,20 hour activated CD4 T cells,Rnmt fl/fl CD4cre -,female,20 hour activated CD4 T cells,GSM4871497
SRR12925988,10691483,1208351536,37,438,SRX9390151,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP289492,PRJNA672952,34125914,"",SRS7609450,SAMN16582184,simple,10090,Mus musculus,GSM4871499,GEO,SRA1149621,05,2021,Galloway,20 hour activated CD4 T cells,RPF_Rnmt_cKO_CD4_2,20 hour activated CD4 T cells,Rnmt fl/fl CD4cre +,female,20 hour activated CD4 T cells,GSM4871498
SRR12925989,10656911,1204238895,37,434,SRX9390151,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP289492,PRJNA672952,34125914,"",SRS7609450,SAMN16582184,simple,10090,Mus musculus,GSM4871499,GEO,SRA1149621,05,2021,Galloway,20 hour activated CD4 T cells,RPF_Rnmt_cKO_CD4_2,20 hour activated CD4 T cells,Rnmt fl/fl CD4cre +,female,20 hour activated CD4 T cells,GSM4871499
SRR12925990,7348614,833656899,37,309,SRX9390152,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP289492,PRJNA672952,34125914,"",SRS7609451,SAMN16582183,simple,10090,Mus musculus,GSM4871500,GEO,SRA1149621,05,2021,Galloway,20 hour activated CD4 T cells,RPF_Rnmt_cKO_CD4_3,20 hour activated CD4 T cells,Rnmt fl/fl CD4cre +,female,20 hour activated CD4 T cells,GSM4871500
SRR12925991,7061459,801145905,37,298,SRX9390152,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP289492,PRJNA672952,34125914,"",SRS7609451,SAMN16582183,simple,10090,Mus musculus,GSM4871500,GEO,SRA1149621,05,2021,Galloway,20 hour activated CD4 T cells,RPF_Rnmt_cKO_CD4_3,20 hour activated CD4 T cells,Rnmt fl/fl CD4cre -,female,20 hour activated CD4 T cells,GSM4871489
SRR12925992,7471855,847812123,37,314,SRX9390152,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP289492,PRJNA672952,34125914,"",SRS7609451,SAMN16582183,simple,10090,Mus musculus,GSM4871500,GEO,SRA1149621,05,2021,Galloway,20 hour activated CD4 T cells,RPF_Rnmt_cKO_CD4_3,20 hour activated CD4 T cells,Rnmt fl/fl CD4cre -,female,20 hour activated CD4 T cells,GSM4871490
SRR12925993,7426701,842524864,37,310,SRX9390152,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP289492,PRJNA672952,34125914,"",SRS7609451,SAMN16582183,simple,10090,Mus musculus,GSM4871500,GEO,SRA1149621,05,2021,Galloway,20 hour activated CD4 T cells,RPF_Rnmt_cKO_CD4_3,20 hour activated CD4 T cells,Rnmt fl/fl CD4cre -,female,20 hour activated CD4 T cells,GSM4871491
SRR12925946,9667976,1141165254,42,449,SRX9390153,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP289492,PRJNA672952,34125914,"",SRS7609452,SAMN16582194,simple,10090,Mus musculus,GSM4871489,GEO,SRA1149621,05,2021,Galloway,20 hour activated CD4 T cells,Total_Control_CD4_1,20 hour activated CD4 T cells,Rnmt fl/fl CD4cre +,female,20 hour activated CD4 T cells,GSM4871492
SRR12925947,9219634,1086117745,42,429,SRX9390153,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP289492,PRJNA672952,34125914,"",SRS7609452,SAMN16582194,simple,10090,Mus musculus,GSM4871489,GEO,SRA1149621,05,2021,Galloway,20 hour activated CD4 T cells,Total_Control_CD4_1,20 hour activated CD4 T cells,Rnmt fl/fl CD4cre +,female,20 hour activated CD4 T cells,GSM4871493
SRR12925948,9909236,1170823903,42,461,SRX9390153,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP289492,PRJNA672952,34125914,"",SRS7609452,SAMN16582194,simple,10090,Mus musculus,GSM4871489,GEO,SRA1149621,05,2021,Galloway,20 hour activated CD4 T cells,Total_Control_CD4_1,20 hour activated CD4 T cells,Rnmt fl/fl CD4cre +,female,20 hour activated CD4 T cells,GSM4871494
SRR12925949,9926527,1173898093,42,459,SRX9390153,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP289492,PRJNA672952,34125914,"",SRS7609452,SAMN16582194,simple,10090,Mus musculus,GSM4871489,GEO,SRA1149621,05,2021,Galloway,20 hour activated CD4 T cells,Total_Control_CD4_1,20 hour activated CD4 T cells,Rnmt fl/fl CD4cre -,female,20 hour activated CD4 T cells,GSM4871495
SRR12925950,9541995,1131640098,43,444,SRX9390154,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP289492,PRJNA672952,34125914,"",SRS7609453,SAMN16582193,simple,10090,Mus musculus,GSM4871490,GEO,SRA1149621,05,2021,Galloway,20 hour activated CD4 T cells,Total_Control_CD4_2,20 hour activated CD4 T cells,Rnmt fl/fl CD4cre -,female,20 hour activated CD4 T cells,GSM4871496
SRR12925951,9104727,1077739498,43,425,SRX9390154,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP289492,PRJNA672952,34125914,"",SRS7609453,SAMN16582193,simple,10090,Mus musculus,GSM4871490,GEO,SRA1149621,05,2021,Galloway,20 hour activated CD4 T cells,Total_Control_CD4_2,20 hour activated CD4 T cells,Rnmt fl/fl CD4cre -,female,20 hour activated CD4 T cells,GSM4871497
SRR12925952,9796689,1162916257,43,456,SRX9390154,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP289492,PRJNA672952,34125914,"",SRS7609453,SAMN16582193,simple,10090,Mus musculus,GSM4871490,GEO,SRA1149621,05,2021,Galloway,20 hour activated CD4 T cells,Total_Control_CD4_2,20 hour activated CD4 T cells,Rnmt fl/fl CD4cre +,female,20 hour activated CD4 T cells,GSM4871498
SRR12925953,9809694,1165654025,43,453,SRX9390154,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP289492,PRJNA672952,34125914,"",SRS7609453,SAMN16582193,simple,10090,Mus musculus,GSM4871490,GEO,SRA1149621,05,2021,Galloway,20 hour activated CD4 T cells,Total_Control_CD4_2,20 hour activated CD4 T cells,Rnmt fl/fl CD4cre +,female,20 hour activated CD4 T cells,GSM4871499
SRR12925954,9459065,1117943680,42,438,SRX9390155,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP289492,PRJNA672952,34125914,"",SRS7609454,SAMN16582192,simple,10090,Mus musculus,GSM4871491,GEO,SRA1149621,05,2021,Galloway,20 hour activated CD4 T cells,Total_Control_CD4_3,20 hour activated CD4 T cells,Rnmt fl/fl CD4cre +,female,20 hour activated CD4 T cells,GSM4871500
SRR12925955,8988742,1060235584,42,417,SRX9390155,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP289492,PRJNA672952,34125914,"",SRS7609454,SAMN16582192,simple,10090,Mus musculus,GSM4871491,GEO,SRA1149621,05,2021,Galloway,20 hour activated CD4 T cells,Total_Control_CD4_3,20 hour activated CD4 T cells,Rnmt fl/fl CD4cre -,female,20 hour activated CD4 T cells,GSM4871489
SRR12925956,9630080,1139542968,43,447,SRX9390155,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP289492,PRJNA672952,34125914,"",SRS7609454,SAMN16582192,simple,10090,Mus musculus,GSM4871491,GEO,SRA1149621,05,2021,Galloway,20 hour activated CD4 T cells,Total_Control_CD4_3,20 hour activated CD4 T cells,Rnmt fl/fl CD4cre -,female,20 hour activated CD4 T cells,GSM4871490
SRR12925957,9659251,1143729333,43,445,SRX9390155,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP289492,PRJNA672952,34125914,"",SRS7609454,SAMN16582192,simple,10090,Mus musculus,GSM4871491,GEO,SRA1149621,05,2021,Galloway,20 hour activated CD4 T cells,Total_Control_CD4_3,20 hour activated CD4 T cells,Rnmt fl/fl CD4cre -,female,20 hour activated CD4 T cells,GSM4871491
