Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell type,tissue lineage,treatment medium,treatment length,genetic tag,cell fraction,treatment,strain,GEO Accession
SRR13125094,101692240,8745532640,76,3511,SRX9567119,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP293782,PRJNA680481,34497418,"",SRS7770816,SAMN16881229,simple,9606,Homo sapiens,GSM4932430,GEO,SRA1163168,06,2021,VanInsberghe,hTERT RPE1 FUCCI cells from either interphase or mitotic shake-off fractions.,Mit07,hTERT RPE1 FUCCI cells from either interphase or mitotic shake-off fractions.,hTERT RPE-1,"Retina, eye; pigmented epithelium",,,Fluorescent Ubiquitination-based Cell-Cycle Indicators (FUCCI),Mitotic shake-off and interphase cells. Specific cell fraction for each well is defined in RPE_Mit_layout.csv.gz,Interphase and Mitotic treatments,,GSM4932430
SRR13125095,104190901,8960417486,76,3600,SRX9567120,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP293782,PRJNA680481,34497418,"",SRS7758978,SAMN16881250,simple,9606,Homo sapiens,GSM4932431,GEO,SRA1163168,06,2021,VanInsberghe,hTERT RPE1 FUCCI cells from either interphase or mitotic shake-off fractions.,Mit08,hTERT RPE1 FUCCI cells from either interphase or mitotic shake-off fractions.,hTERT RPE-1,"Retina, eye; pigmented epithelium",,,Fluorescent Ubiquitination-based Cell-Cycle Indicators (FUCCI),Mitotic shake-off and interphase cells. Specific cell fraction for each well is defined in RPE_Mit_layout.csv.gz,Interphase and Mitotic treatments,,GSM4932431
SRR13125096,47282154,4066265244,76,1375,SRX9567121,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP293782,PRJNA680481,34497418,"",SRS7766124,SAMN16881249,simple,9606,Homo sapiens,GSM4932432,GEO,SRA1163168,06,2021,VanInsberghe,Interphase hTERT RPE1 FUCCI cells,KO01,Interphase hTERT RPE1 FUCCI cells,hTERT RPE-1,"Retina, eye; pigmented epithelium",,,Fluorescent Ubiquitination-based Cell-Cycle Indicators (FUCCI),Interphase cells,Interphase treatment,,GSM4932432
SRR13125097,50596900,4351333400,76,1459,SRX9567122,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP293782,PRJNA680481,34497418,"",SRS7763146,SAMN16881248,simple,9606,Homo sapiens,GSM4932433,GEO,SRA1163168,06,2021,VanInsberghe,Interphase hTERT RPE1 FUCCI cells,KO02,Interphase hTERT RPE1 FUCCI cells,hTERT RPE-1,"Retina, eye; pigmented epithelium",,,Fluorescent Ubiquitination-based Cell-Cycle Indicators (FUCCI),Interphase cells,Interphase treatment,,GSM4932433
SRR13125098,45363258,3901240188,76,1318,SRX9567123,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP293782,PRJNA680481,34497418,"",SRS7773688,SAMN16881247,simple,9606,Homo sapiens,GSM4932434,GEO,SRA1163168,06,2021,VanInsberghe,Interphase hTERT RPE1 FUCCI cells,KO03,Interphase hTERT RPE1 FUCCI cells,hTERT RPE-1,"Retina, eye; pigmented epithelium",,,Fluorescent Ubiquitination-based Cell-Cycle Indicators (FUCCI),Interphase cells,Interphase treatment,,GSM4932434
SRR13125099,28293861,2433272046,76,903,SRX9567124,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP293782,PRJNA680481,34497418,"",SRS7764301,SAMN16881246,simple,9606,Homo sapiens,GSM4932435,GEO,SRA1163168,06,2021,VanInsberghe,Interphase hTERT RPE1 FUCCI cells,KO04,Interphase hTERT RPE1 FUCCI cells,hTERT RPE-1,"Retina, eye; pigmented epithelium",,,Fluorescent Ubiquitination-based Cell-Cycle Indicators (FUCCI),Interphase cells,Interphase treatment,,GSM4932435
SRR13125100,14963484,1286859624,76,413,SRX9567125,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP293782,PRJNA680481,34497418,"",SRS7763850,SAMN16881245,simple,9606,Homo sapiens,GSM4932436,GEO,SRA1163168,06,2021,VanInsberghe,Interphase hTERT RPE1 FUCCI cells,SR201,Interphase hTERT RPE1 FUCCI cells,hTERT RPE-1,"Retina, eye; pigmented epithelium",,,Fluorescent Ubiquitination-based Cell-Cycle Indicators (FUCCI),Interphase cells,Interphase treatment,,GSM4932436
SRR13125101,15130069,1301185934,76,413,SRX9567126,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP293782,PRJNA680481,34497418,"",SRS7766241,SAMN16881244,simple,9606,Homo sapiens,GSM4932437,GEO,SRA1163168,06,2021,VanInsberghe,Interphase hTERT RPE1 FUCCI cells,SR202,Interphase hTERT RPE1 FUCCI cells,hTERT RPE-1,"Retina, eye; pigmented epithelium",,,Fluorescent Ubiquitination-based Cell-Cycle Indicators (FUCCI),Interphase cells,Interphase treatment,,GSM4932437
SRR13125102,20170598,1734671428,76,545,SRX9567127,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP293782,PRJNA680481,34497418,"",SRS7763276,SAMN16881243,simple,9606,Homo sapiens,GSM4932438,GEO,SRA1163168,06,2021,VanInsberghe,Interphase hTERT RPE1 FUCCI cells,SR203,Interphase hTERT RPE1 FUCCI cells,hTERT RPE-1,"Retina, eye; pigmented epithelium",,,Fluorescent Ubiquitination-based Cell-Cycle Indicators (FUCCI),Interphase cells,Interphase treatment,,GSM4932438
SRR13125103,26711459,2297185474,76,981,SRX9567128,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP293782,PRJNA680481,34497418,"",SRS7770192,SAMN16881242,simple,9606,Homo sapiens,GSM4932439,GEO,SRA1163168,06,2021,VanInsberghe,Interphase hTERT RPE1 FUCCI cells,SR204,Interphase hTERT RPE1 FUCCI cells,hTERT RPE-1,"Retina, eye; pigmented epithelium",,,Fluorescent Ubiquitination-based Cell-Cycle Indicators (FUCCI),Interphase cells,Interphase treatment,,GSM4932439
SRR13125104,24595585,2115220310,76,905,SRX9567129,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP293782,PRJNA680481,34497418,"",SRS7765789,SAMN16881241,simple,9606,Homo sapiens,GSM4932440,GEO,SRA1163168,06,2021,VanInsberghe,Interphase hTERT RPE1 FUCCI cells,SR205,Interphase hTERT RPE1 FUCCI cells,hTERT RPE-1,"Retina, eye; pigmented epithelium",,,Fluorescent Ubiquitination-based Cell-Cycle Indicators (FUCCI),Interphase cells,Interphase treatment,,GSM4932440
SRR13125105,23903569,2055706934,76,881,SRX9567130,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP293782,PRJNA680481,34497418,"",SRS7758402,SAMN16881240,simple,9606,Homo sapiens,GSM4932441,GEO,SRA1163168,06,2021,VanInsberghe,Interphase hTERT RPE1 FUCCI cells,SR206,Interphase hTERT RPE1 FUCCI cells,hTERT RPE-1,"Retina, eye; pigmented epithelium",,,Fluorescent Ubiquitination-based Cell-Cycle Indicators (FUCCI),Interphase cells,Interphase treatment,,GSM4932441
SRR14530594,76697055,6595946730,76,1997,SRX10875383,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP293782,PRJNA680481,34497418,"",SRS8988375,SAMN19182495,simple,9606,Homo sapiens,GSM5311356,GEO,SRA1163168,06,2021,VanInsberghe,Interphase hTERT RPE1 FUCCI cells,MGI01,Interphase hTERT RPE1 FUCCI cells,hTERT RPE-1,"Retina, eye; pigmented epithelium",,,Fluorescent Ubiquitination-based Cell-Cycle Indicators (FUCCI),Interphase cells,Interphase treatment,,GSM5311356
SRR14530595,84895819,7301040434,76,2303,SRX10875384,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP293782,PRJNA680481,34497418,"",SRS8988381,SAMN19182493,simple,9606,Homo sapiens,GSM5311357,GEO,SRA1163168,06,2021,VanInsberghe,Interphase hTERT RPE1 FUCCI cells,MGI02,Interphase hTERT RPE1 FUCCI cells,hTERT RPE-1,"Retina, eye; pigmented epithelium",,,Fluorescent Ubiquitination-based Cell-Cycle Indicators (FUCCI),Interphase cells,Interphase treatment,,GSM5311357
SRR14530596,77123039,6632581354,76,1993,SRX10875385,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP293782,PRJNA680481,34497418,"",SRS8988379,SAMN19182492,simple,9606,Homo sapiens,GSM5311358,GEO,SRA1163168,06,2021,VanInsberghe,Interphase hTERT RPE1 FUCCI cells,MGI03,Interphase hTERT RPE1 FUCCI cells,hTERT RPE-1,"Retina, eye; pigmented epithelium",,,Fluorescent Ubiquitination-based Cell-Cycle Indicators (FUCCI),Interphase cells,Interphase treatment,,GSM5311358
SRR14530597,74301116,6389895976,76,1912,SRX10875386,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP293782,PRJNA680481,34497418,"",SRS8988380,SAMN19182491,simple,9606,Homo sapiens,GSM5311359,GEO,SRA1163168,06,2021,VanInsberghe,Interphase hTERT RPE1 FUCCI cells,MGI04,Interphase hTERT RPE1 FUCCI cells,hTERT RPE-1,"Retina, eye; pigmented epithelium",,,Fluorescent Ubiquitination-based Cell-Cycle Indicators (FUCCI),Interphase cells,Interphase treatment,,GSM5311359
SRR14530598,91343608,7855550288,76,2532,SRX10875387,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP293782,PRJNA680481,34497418,"",SRS8988382,SAMN19182466,simple,9606,Homo sapiens,GSM5311360,GEO,SRA1163168,06,2021,VanInsberghe,Interphase hTERT RPE1 FUCCI cells,MGI05,Interphase hTERT RPE1 FUCCI cells,hTERT RPE-1,"Retina, eye; pigmented epithelium",,,Fluorescent Ubiquitination-based Cell-Cycle Indicators (FUCCI),Interphase cells,Interphase treatment,,GSM5311360
SRR14530599,105362640,9061187040,76,2987,SRX10875388,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP293782,PRJNA680481,34497418,"",SRS8988384,SAMN19182465,simple,9606,Homo sapiens,GSM5311361,GEO,SRA1163168,06,2021,VanInsberghe,Interphase hTERT RPE1 FUCCI cells,MGI06,Interphase hTERT RPE1 FUCCI cells,hTERT RPE-1,"Retina, eye; pigmented epithelium",,,Fluorescent Ubiquitination-based Cell-Cycle Indicators (FUCCI),Interphase cells,Interphase treatment,,GSM5311361
SRR14530600,100393661,8633854846,76,2837,SRX10875389,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP293782,PRJNA680481,34497418,"",SRS8988383,SAMN19182463,simple,9606,Homo sapiens,GSM5311362,GEO,SRA1163168,06,2021,VanInsberghe,Interphase hTERT RPE1 FUCCI cells,MGI07,Interphase hTERT RPE1 FUCCI cells,hTERT RPE-1,"Retina, eye; pigmented epithelium",,,Fluorescent Ubiquitination-based Cell-Cycle Indicators (FUCCI),Interphase cells,Interphase treatment,,GSM5311362
SRR14530601,95272951,8193473786,76,2715,SRX10875390,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP293782,PRJNA680481,34497418,"",SRS8988385,SAMN19182490,simple,9606,Homo sapiens,GSM5311363,GEO,SRA1163168,06,2021,VanInsberghe,Interphase hTERT RPE1 FUCCI cells,MGI08,Interphase hTERT RPE1 FUCCI cells,hTERT RPE-1,"Retina, eye; pigmented epithelium",,,Fluorescent Ubiquitination-based Cell-Cycle Indicators (FUCCI),Interphase cells,Interphase treatment,,GSM5311363
SRR14530602,197578619,16991761234,76,5801,SRX10875391,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP293782,PRJNA680481,34497418,"",SRS8988388,SAMN19182469,simple,10090,Mus musculus,GSM5311364,GEO,SRA1163168,06,2021,VanInsberghe,Mouse enteroendocrine cells from the proximal section of the intestine.,Pro02,Mouse enteroendocrine cells from the proximal section of the intestine.,enteroendocrine,"Enteroendocrine, intestinal epithelium",,,Neurog3Chrono,Proximal intestine,,C57BL/6,GSM5311364
SRR14530603,109204495,9391586570,76,3704,SRX10875392,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP293782,PRJNA680481,34497418,"",SRS8988386,SAMN19182468,simple,10090,Mus musculus,GSM5311365,GEO,SRA1163168,06,2021,VanInsberghe,Mouse enteroendocrine cells from the proximal section of the intestine.,Pro03,Mouse enteroendocrine cells from the proximal section of the intestine.,enteroendocrine,"Enteroendocrine, intestinal epithelium",,,Neurog3Chrono,Proximal intestine,,C57BL/6,GSM5311365
SRR14530604,190937425,16420618550,76,5576,SRX10875393,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP293782,PRJNA680481,34497418,"",SRS8988387,SAMN19182462,simple,10090,Mus musculus,GSM5311366,GEO,SRA1163168,06,2021,VanInsberghe,Mouse enteroendocrine cells from the proximal section of the intestine.,Pro05,Mouse enteroendocrine cells from the proximal section of the intestine.,enteroendocrine,"Enteroendocrine, intestinal epithelium",,,Neurog3Chrono,Proximal intestine,,C57BL/6,GSM5311366
SRR14530605,170582774,14670118564,76,4783,SRX10875394,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP293782,PRJNA680481,34497418,"",SRS8988391,SAMN19182461,simple,10090,Mus musculus,GSM5311367,GEO,SRA1163168,06,2021,VanInsberghe,Mouse enteroendocrine cells from the proximal section of the intestine.,Pro07,Mouse enteroendocrine cells from the proximal section of the intestine.,enteroendocrine,"Enteroendocrine, intestinal epithelium",,,Neurog3Chrono,Proximal intestine,,C57BL/6,GSM5311367
SRR14530606,223786061,19245601246,76,6292,SRX10875395,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP293782,PRJNA680481,34497418,"",SRS8988389,SAMN19182460,simple,10090,Mus musculus,GSM5311368,GEO,SRA1163168,06,2021,VanInsberghe,Mouse enteroendocrine cells from the proximal section of the intestine.,Pro08,Mouse enteroendocrine cells from the proximal section of the intestine.,enteroendocrine,"Enteroendocrine, intestinal epithelium",,,Neurog3Chrono,Proximal intestine,,C57BL/6,GSM5311368
SRR14530592,119727874,10296597164,76,4064,SRX10875396,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP293782,PRJNA680481,34497418,"",SRS8988390,SAMN19182458,simple,10090,Mus musculus,GSM5311369,GEO,SRA1163168,06,2021,VanInsberghe,Mouse enteroendocrine cells from the distal section of the intestine.,Dis01,Mouse enteroendocrine cells from the distal section of the intestine.,enteroendocrine,"Enteroendocrine, intestinal epithelium",,,Neurog3Chrono,Distal intestine,,C57BL/6,GSM5311369
SRR14530593,100329027,8628296322,76,3416,SRX10875397,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP293782,PRJNA680481,34497418,"",SRS8988392,SAMN19182457,simple,10090,Mus musculus,GSM5311370,GEO,SRA1163168,06,2021,VanInsberghe,Mouse enteroendocrine cells from the medial section of the intestine.,Mid02,Mouse enteroendocrine cells from the medial section of the intestine.,enteroendocrine,"Enteroendocrine, intestinal epithelium",,,Neurog3Chrono,Medial intestine,,C57BL/6,GSM5311370
