Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,isolate,age,biomaterial_provider,sex,tissue,cell_line,sample_type,treatment,lymphoma subtype,BioSampleModel
SRR12285182,89424776,13592565952,76,4676,SRX8788512,DOHH2_D1_RNA,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP273033,PRJNA647736,1,"",SRS7057060,SAMN15596804,simple,9606,Homo sapiens,DoHH2_Ctrl,"National Institutes of Health, National Institute of Allergy and Infectious Diseases",SRA1102212,12,2020,Makar,"",DoHH2,DoHH2,60,NCI/CCR/LMB L. M. Staudt,male,pleural effusion,DoHH2,cell culture,"DMSO 0.1%, 30 min. 37C",germinal center B cell lymphoma (GCB),Human
SRR12285181,94577895,14375840040,76,4927,SRX8788513,DOHH2_D2_RNA,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP273033,PRJNA647736,1,"",SRS7057060,SAMN15596804,simple,9606,Homo sapiens,DoHH2_Ctrl,"National Institutes of Health, National Institute of Allergy and Infectious Diseases",SRA1102212,12,2020,Makar,"",DoHH2,DoHH2,60,NCI/CCR/LMB L. M. Staudt,male,pleural effusion,DoHH2,cell culture,"DMSO 0.1%, 30 min. 37C",germinal center B cell lymphoma (GCB),Human
SRR12285180,59527097,9048118744,76,3192,SRX8788514,HBL1_D1_RNA,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP273033,PRJNA647736,1,"",SRS7057057,SAMN15596800,simple,9606,Homo sapiens,HBL-1_Ctrl,"National Institutes of Health, National Institute of Allergy and Infectious Diseases",SRA1102212,12,2020,Makar,"",HBL-1,HBL-1,65,NCI/CCR/LMB L. M. Staudt,male,pleural effusion,HBL-1,cell culture,"DMSO 0.1%, 30 min. 37C",activate B cell lymphoma (ABC),Human
SRR12285179,131969120,6730425120,51,1988,SRX8788515,DOHH2_H1_ribo,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP273033,PRJNA647736,1,"",SRS7057061,SAMN15596805,simple,9606,Homo sapiens,DoHH2_Harr,"National Institutes of Health, National Institute of Allergy and Infectious Diseases",SRA1102212,12,2020,Makar,"",DoHH2,DoHH2,60,NCI/CCR/LMB L. M. Staudt,male,pleural effusion,DoHH2,cell culture,harringtonine (DMSO dissolved) 5 g/ml 30 min. 37C,germinal center B cell lymphoma (GCB),Human
SRR12285178,115905885,5911200135,51,1817,SRX8788516,DOHH2_H2_ribo,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP273033,PRJNA647736,1,"",SRS7057061,SAMN15596805,simple,9606,Homo sapiens,DoHH2_Harr,"National Institutes of Health, National Institute of Allergy and Infectious Diseases",SRA1102212,12,2020,Makar,"",DoHH2,DoHH2,60,NCI/CCR/LMB L. M. Staudt,male,pleural effusion,DoHH2,cell culture,harringtonine (DMSO dissolved) 5 g/ml 30 min. 37C,germinal center B cell lymphoma (GCB),Human
SRR12285177,96171311,14618039272,76,4976,SRX8788517,DOHH2_H1_RNA,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP273033,PRJNA647736,1,"",SRS7057061,SAMN15596805,simple,9606,Homo sapiens,DoHH2_Harr,"National Institutes of Health, National Institute of Allergy and Infectious Diseases",SRA1102212,12,2020,Makar,"",DoHH2,DoHH2,60,NCI/CCR/LMB L. M. Staudt,male,pleural effusion,DoHH2,cell culture,harringtonine (DMSO dissolved) 5 g/ml 30 min. 37C,germinal center B cell lymphoma (GCB),Human
SRR12285176,100845609,15328532568,76,5228,SRX8788518,DOHH2_H2_RNA,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP273033,PRJNA647736,1,"",SRS7057061,SAMN15596805,simple,9606,Homo sapiens,DoHH2_Harr,"National Institutes of Health, National Institute of Allergy and Infectious Diseases",SRA1102212,12,2020,Makar,"",DoHH2,DoHH2,60,NCI/CCR/LMB L. M. Staudt,male,pleural effusion,DoHH2,cell culture,harringtonine (DMSO dissolved) 5 g/ml 30 min. 37C,germinal center B cell lymphoma (GCB),Human
SRR12285175,64770636,9845136672,76,3520,SRX8788519,HBL1_D2_RNA,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP273033,PRJNA647736,1,"",SRS7057057,SAMN15596800,simple,9606,Homo sapiens,HBL-1_Ctrl,"National Institutes of Health, National Institute of Allergy and Infectious Diseases",SRA1102212,12,2020,Makar,"",HBL-1,HBL-1,65,NCI/CCR/LMB L. M. Staudt,male,pleural effusion,HBL-1,cell culture,"DMSO 0.1%, 30 min. 37C",activate B cell lymphoma (ABC),Human
SRR12285174,132402068,6752505468,51,2054,SRX8788520,HBL1_H1_ribo,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP273033,PRJNA647736,1,"",SRS7057062,SAMN15596801,simple,9606,Homo sapiens,HBL-1_Harr,"National Institutes of Health, National Institute of Allergy and Infectious Diseases",SRA1102212,12,2020,Makar,"",HBL-1,HBL-1,65,NCI/CCR/LMB L. M. Staudt,male,pleural effusion,HBL-1,cell culture,harringtonine (DMSO dissolved) 5 g/ml 30 min. 37C,activate B cell lymphoma (ABC),Human
SRR12285173,120060974,6123109674,51,1817,SRX8788521,HBL1_H2_ribo,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP273033,PRJNA647736,1,"",SRS7057062,SAMN15596801,simple,9606,Homo sapiens,HBL-1_Harr,"National Institutes of Health, National Institute of Allergy and Infectious Diseases",SRA1102212,12,2020,Makar,"",HBL-1,HBL-1,65,NCI/CCR/LMB L. M. Staudt,male,pleural effusion,HBL-1,cell culture,harringtonine (DMSO dissolved) 5 g/ml 30 min. 37C,activate B cell lymphoma (ABC),Human
SRR12285172,57522336,8743395072,76,3086,SRX8788522,HBL1_H1_RNA,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP273033,PRJNA647736,1,"",SRS7057062,SAMN15596801,simple,9606,Homo sapiens,HBL-1_Harr,"National Institutes of Health, National Institute of Allergy and Infectious Diseases",SRA1102212,12,2020,Makar,"",HBL-1,HBL-1,65,NCI/CCR/LMB L. M. Staudt,male,pleural effusion,HBL-1,cell culture,harringtonine (DMSO dissolved) 5 g/ml 30 min. 37C,activate B cell lymphoma (ABC),Human
SRR12285171,61953688,9416960576,76,3339,SRX8788523,HBL1_H2_RNA,RNA-Seq,Oligo-dT,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP273033,PRJNA647736,1,"",SRS7057062,SAMN15596801,simple,9606,Homo sapiens,HBL-1_Harr,"National Institutes of Health, National Institute of Allergy and Infectious Diseases",SRA1102212,12,2020,Makar,"",HBL-1,HBL-1,65,NCI/CCR/LMB L. M. Staudt,male,pleural effusion,HBL-1,cell culture,harringtonine (DMSO dissolved) 5 g/ml 30 min. 37C,activate B cell lymphoma (ABC),Human
SRR12285170,413197125,21073053375,51,6340,SRX8788524,SUDHL4_D1_ribo,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP273033,PRJNA647736,1,"",SRS7057058,SAMN15596802,simple,9606,Homo sapiens,SU-DHL-4_Ctrl,"National Institutes of Health, National Institute of Allergy and Infectious Diseases",SRA1102212,12,2020,Makar,"",SU-DHL-4,SU-DHL-4,38,NCI/CCR/LMB L. M. Staudt,male,peritoneal effusion,SU-DHL-4,cell culture,"DMSO 0.1%, 30 min. 37C",germinal center B cell lymphoma (GCB),Human
SRR12285169,408251116,20820806916,51,6289,SRX8788525,SUDHL4_D2_ribo,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP273033,PRJNA647736,1,"",SRS7057058,SAMN15596802,simple,9606,Homo sapiens,SU-DHL-4_Ctrl,"National Institutes of Health, National Institute of Allergy and Infectious Diseases",SRA1102212,12,2020,Makar,"",SU-DHL-4,SU-DHL-4,38,NCI/CCR/LMB L. M. Staudt,male,peritoneal effusion,SU-DHL-4,cell culture,"DMSO 0.1%, 30 min. 37C",germinal center B cell lymphoma (GCB),Human
