Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,cell culture treatment,assayed molecule,ribosome stabilization agent,GEO Accession
SRR1042869,53122756,2709260556,51,1654,SRX386998,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033499,PRJNA230577,24581494,"",SRS510933,SAMN02435402,simple,4932,Saccharomyces cerevisiae,GSM1279582,GEO,SRA115268,12,2013,Guydosh,Whole cells,dom34KO diamide,Whole cells,ski2KO dom34KO SUP4-o,CSM-His media,Ribosome-protected RNA 25-34 nt,cycloheximide,GSM1279584
SRR1042870,52714529,2688440979,51,1594,SRX386999,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033499,PRJNA230577,24581494,"",SRS510934,SAMN02435399,simple,4932,Saccharomyces cerevisiae,GSM1279583,GEO,SRA115268,12,2013,Guydosh,Whole cells,ski2KO suppressor tRNA,Whole cells,dom34KO,glucose starvation (1 min in YP media),Ribosome-protected RNA 25-34 nt,cycloheximide,GSM1279585
SRR1042871,99315946,5065113246,51,3047,SRX386999,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033499,PRJNA230577,24581494,"",SRS510934,SAMN02435399,simple,4932,Saccharomyces cerevisiae,GSM1279583,GEO,SRA115268,12,2013,Guydosh,Whole cells,ski2KO suppressor tRNA,Whole cells,hbs1KO,,Ribosome-protected RNA 25-34 nt,cycloheximide,GSM1279586
SRR1042872,97880098,4991884998,51,3021,SRX386999,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033499,PRJNA230577,24581494,"",SRS510934,SAMN02435399,simple,4932,Saccharomyces cerevisiae,GSM1279583,GEO,SRA115268,12,2013,Guydosh,Whole cells,ski2KO suppressor tRNA,Whole cells,ski2KO,,Ribosome-protected RNA 15-24 nt,cycloheximide,GSM1279587
SRR1042873,46559657,2374542507,51,1416,SRX387000,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033499,PRJNA230577,24581494,"",SRS510935,SAMN02435401,simple,4932,Saccharomyces cerevisiae,GSM1279584,GEO,SRA115268,12,2013,Guydosh,Whole cells,ski2KO dom34KO suppressor tRNA,Whole cells,ski2KO dom34KO,,Ribosome-protected RNA 15-24 nt,cycloheximide,GSM1279588
SRR1042874,47268306,2410683606,51,1431,SRX387001,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033499,PRJNA230577,24581494,"",SRS510936,SAMN02435404,simple,4932,Saccharomyces cerevisiae,GSM1279585,GEO,SRA115268,12,2013,Guydosh,Whole cells,dom34KO glucose starvation,Whole cells,wild-type (BY4741),,Double ribosome-protected RNA 40-80 nt,cycloheximide,GSM1279589
SRR1042875,52378814,2671319514,51,1587,SRX387002,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP033499,PRJNA230577,24581494,"",SRS510937,SAMN02435407,simple,4932,Saccharomyces cerevisiae,GSM1279586,GEO,SRA115268,12,2013,Guydosh,Whole cells,hbs1KO,Whole cells,dom34KO,,Double ribosome-protected RNA 40-80 nt,cycloheximide,GSM1279590
SRR1042876,50131630,2456449870,49,1606,SRX387003,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP033499,PRJNA230577,24581494,"",SRS510938,SAMN02435403,simple,4932,Saccharomyces cerevisiae,GSM1279587,GEO,SRA115268,12,2013,Guydosh,Whole cells,ski2KO short footprints,Whole cells,wild-type (BY4741),cycloheximide (2 min),polyA RNA,,GSM1279566
SRR1042877,41529493,2034945157,49,1332,SRX387004,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP033499,PRJNA230577,24581494,"",SRS510939,SAMN02435405,simple,4932,Saccharomyces cerevisiae,GSM1279588,GEO,SRA115268,12,2013,Guydosh,Whole cells,ski2KO dom34KO short footprints,Whole cells,dom34KO,cycloheximide (2 min),polyA RNA,,GSM1279567
SRR1042878,32596618,3292258418,101,1864,SRX387005,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP033499,PRJNA230577,24581494,"",SRS510940,SAMN02435408,simple,4932,Saccharomyces cerevisiae,GSM1279589,GEO,SRA115268,12,2013,Guydosh,Whole cells,wild-type disome footprints,Whole cells,wild-type (BY4741),,Ribosome-protected RNA 25-34 nt,cycloheximide,GSM1279568
SRR1042879,37151439,3715143900,100,2274,SRX387005,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP033499,PRJNA230577,24581494,"",SRS510940,SAMN02435408,simple,4932,Saccharomyces cerevisiae,GSM1279589,GEO,SRA115268,12,2013,Guydosh,Whole cells,wild-type disome footprints,Whole cells,dom34KO,,Ribosome-protected RNA 25-34 nt,cycloheximide,GSM1279569
SRR1042880,34905832,3525489032,101,2032,SRX387006,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP033499,PRJNA230577,24581494,"",SRS510942,SAMN02435406,simple,4932,Saccharomyces cerevisiae,GSM1279590,GEO,SRA115268,12,2013,Guydosh,Whole cells,dom34KO disome footprints,Whole cells,wild-type (BY4741),,Ribosome-protected RNA 25-34 nt,no additive,GSM1279570
SRR1042881,54568894,5456889400,100,3346,SRX387006,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP033499,PRJNA230577,24581494,"",SRS510942,SAMN02435406,simple,4932,Saccharomyces cerevisiae,GSM1279590,GEO,SRA115268,12,2013,Guydosh,Whole cells,dom34KO disome footprints,Whole cells,dom34KO,,Ribosome-protected RNA 25-34 nt,no additive,GSM1279571
