Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,cell type,tansfected with,GEO Accession
SRR1993818,20614942,1030747100,50,674,SRX1007658,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP057613,PRJNA282044,26175417,"",SRS920547,SAMN03566660,simple,9606,Homo sapiens,GSM1665956,GEO,SRA262367,07,2015,Topham,RKO_Myc siRNA,Myc 2,RKO_Myc siRNA,RKO,colon carcinoma cell line,Myc siRNA,GSM1665956
SRR1993819,25440407,1272020350,50,848,SRX1007659,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP057613,PRJNA282044,26175417,"",SRS920546,SAMN03566661,simple,9606,Homo sapiens,GSM1665957,GEO,SRA262367,07,2015,Topham,RKO_Myc siRNA,Myc 3,RKO_Myc siRNA,RKO,colon carcinoma cell line,Myc siRNA,GSM1665957
SRR1993820,24862593,1243129650,50,817,SRX1007660,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP057613,PRJNA282044,26175417,"",SRS920544,SAMN03566662,simple,9606,Homo sapiens,GSM1665958,GEO,SRA262367,07,2015,Topham,RKO_Myc siRNA,Myc 4,RKO_Myc siRNA,RKO,colon carcinoma cell line,Myc siRNA,GSM1665958
SRR1993821,21094086,1054704300,50,700,SRX1007661,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP057613,PRJNA282044,26175417,"",SRS920545,SAMN03566663,simple,9606,Homo sapiens,GSM1665959,GEO,SRA262367,07,2015,Topham,RKO_SNTA1 siRNA,SNTA1 1,RKO_SNTA1 siRNA,RKO,colon carcinoma cell line,SNTA1 siRNA,GSM1665959
SRR1993822,22512270,1125613500,50,737,SRX1007662,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP057613,PRJNA282044,26175417,"",SRS920543,SAMN03566664,simple,9606,Homo sapiens,GSM1665960,GEO,SRA262367,07,2015,Topham,RKO_SNTA1 siRNA,SNTA1 2,RKO_SNTA1 siRNA,RKO,colon carcinoma cell line,SNTA1 siRNA,GSM1665960
SRR1993823,25486550,1274327500,50,852,SRX1007663,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP057613,PRJNA282044,26175417,"",SRS920542,SAMN03566665,simple,9606,Homo sapiens,GSM1665961,GEO,SRA262367,07,2015,Topham,RKO_SNTA1 siRNA,SNTA1 3,RKO_SNTA1 siRNA,RKO,colon carcinoma cell line,SNTA1 siRNA,GSM1665961
SRR1993824,29860027,1493001350,50,987,SRX1007664,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP057613,PRJNA282044,26175417,"",SRS920541,SAMN03566666,simple,9606,Homo sapiens,GSM1665962,GEO,SRA262367,07,2015,Topham,RKO_SNTA1 siRNA,SNTA1 4,RKO_SNTA1 siRNA,RKO,colon carcinoma cell line,SNTA1 siRNA,GSM1665962
SRR1993825,27495869,1374793450,50,909,SRX1007665,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP057613,PRJNA282044,26175417,"",SRS920540,SAMN03566667,simple,9606,Homo sapiens,GSM1665963,GEO,SRA262367,07,2015,Topham,RKO_KCNK1 siRNA,KCNK1 1,RKO_KCNK1 siRNA,RKO,colon carcinoma cell line,KCNK1 siRNA,GSM1665963
SRR1993826,22938072,1146903600,50,762,SRX1007666,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP057613,PRJNA282044,26175417,"",SRS920539,SAMN03566668,simple,9606,Homo sapiens,GSM1665964,GEO,SRA262367,07,2015,Topham,RKO_KCNK1 siRNA,KCNK1 2,RKO_KCNK1 siRNA,RKO,colon carcinoma cell line,KCNK1 siRNA,GSM1665964
SRR1993827,27549460,1377473000,50,897,SRX1007667,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP057613,PRJNA282044,26175417,"",SRS920538,SAMN03566669,simple,9606,Homo sapiens,GSM1665965,GEO,SRA262367,07,2015,Topham,RKO_KCNK1 siRNA,KCNK1 3,RKO_KCNK1 siRNA,RKO,colon carcinoma cell line,KCNK1 siRNA,GSM1665965
SRR1993828,29026637,1451331850,50,968,SRX1007668,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP057613,PRJNA282044,26175417,"",SRS920537,SAMN03566670,simple,9606,Homo sapiens,GSM1665966,GEO,SRA262367,07,2015,Topham,RKO_KCNK1 siRNA,KCNK1 4,RKO_KCNK1 siRNA,RKO,colon carcinoma cell line,KCNK1 siRNA,GSM1665966
