Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,cell type,GEO Accession
SRR8887172,54304688,2715234400,50,1547,SRX5672899,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP192310,PRJNA532532,32320655,"",SRS4615542,SAMN11403215,simple,9606,Homo sapiens,GSM3720427,GEO,SRA873063,04,2020,Ma,Ribosome_profiling_A2780cis_vehicle,Ribosome_profiling_A2780cis_vehicle,Ribosome_profiling_A2780cis_vehicle,A2780cis,,GSM3720427
SRR8887173,38551678,1927583900,50,1113,SRX5672900,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP192310,PRJNA532532,32320655,"",SRS4615543,SAMN11403214,simple,9606,Homo sapiens,GSM3720428,GEO,SRA873063,04,2020,Ma,Ribosome_profiling_A2780cis_cisplatin,Ribosome_profiling_A2780cis_cisplatin,Ribosome_profiling_A2780cis_cisplatin,A2780cis,,GSM3720428
SRR8887174,27535994,1376799700,50,473,SRX5672901,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP192310,PRJNA532532,32320655,"",SRS4615544,SAMN11403213,simple,9606,Homo sapiens,GSM3720429,GEO,SRA873063,04,2020,Ma,GROseq_A2780_vehicle_R#2,GROseq_A2780_vehicle_R#2,GROseq_A2780_vehicle_R#2,A2780,,GSM3720429
SRR8887175,34064153,1703207650,50,615,SRX5672902,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP192310,PRJNA532532,32320655,"",SRS4615545,SAMN11403212,simple,9606,Homo sapiens,GSM3720430,GEO,SRA873063,04,2020,Ma,GROseq_A2780_cisplatin_R#2,GROseq_A2780_cisplatin_R#2,GROseq_A2780_cisplatin_R#2,A2780,,GSM3720430
SRR8887176,36634593,2747594475,75,980,SRX5672903,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP192310,PRJNA532532,32320655,"",SRS4615546,SAMN11403211,simple,9606,Homo sapiens,GSM3720431,GEO,SRA873063,04,2020,Ma,RNAseq_A2780_CRISPRcontrol,RNAseq_A2780_CRISPRcontrol,RNAseq_A2780_CRISPRcontrol,A2780,,GSM3720431
SRR8887177,26375640,1978173000,75,709,SRX5672904,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP192310,PRJNA532532,32320655,"",SRS4615547,SAMN11403210,simple,9606,Homo sapiens,GSM3720432,GEO,SRA873063,04,2020,Ma,RNAseq_A2780_CRISPRi_R#1,RNAseq_A2780_CRISPRi_R#1,RNAseq_A2780_CRISPRi_R#1,A2780-CRISPR/dCas9-KRAB-modified,,GSM3720432
SRR8887178,23756840,1781763000,75,637,SRX5672905,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP192310,PRJNA532532,32320655,"",SRS4615548,SAMN11403209,simple,9606,Homo sapiens,GSM3720433,GEO,SRA873063,04,2020,Ma,RNAseq_A2780_CRISPRi_R#2,RNAseq_A2780_CRISPRi_R#2,RNAseq_A2780_CRISPRi_R#2,A2780-CRISPR/dCas9-KRAB-modified,,GSM3720433
SRR8887179,36332451,2724933825,75,978,SRX5672906,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP192310,PRJNA532532,32320655,"",SRS4615549,SAMN11403236,simple,9606,Homo sapiens,GSM3720434,GEO,SRA873063,04,2020,Ma,RNAseq_A2780cis_CRISPRcontrol,RNAseq_A2780cis_CRISPRcontrol,RNAseq_A2780cis_CRISPRcontrol,A2780cis,,GSM3720434
SRR8887180,29655324,2224149300,75,799,SRX5672907,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP192310,PRJNA532532,32320655,"",SRS4615550,SAMN11403235,simple,9606,Homo sapiens,GSM3720435,GEO,SRA873063,04,2020,Ma,RNAseq_A2780cis_CRISPRa_R#1,RNAseq_A2780cis_CRISPRa_R#1,RNAseq_A2780cis_CRISPRa_R#1,A2780cis-CRISPR/dCas9-VP64-modified,,GSM3720435
SRR8887181,25771628,1932872100,75,691,SRX5672908,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP192310,PRJNA532532,32320655,"",SRS4615551,SAMN11403234,simple,9606,Homo sapiens,GSM3720436,GEO,SRA873063,04,2020,Ma,RNAseq_A2780cis_CRISPRa_R#2,RNAseq_A2780cis_CRISPRa_R#2,RNAseq_A2780cis_CRISPRa_R#2,A2780cis-CRISPR/dCas9-VP64-modified,,GSM3720436
SRR8887182,19261464,1444609800,75,519,SRX5672909,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP192310,PRJNA532532,32320655,"",SRS4615552,SAMN11403233,simple,9606,Homo sapiens,GSM3720437,GEO,SRA873063,04,2020,Ma,RNAseq_A2780_lowISL1sorted,RNAseq_A2780_lowISL1sorted,RNAseq_A2780_lowISL1sorted,A2780,Cells sorted based on ISL1 protein levels,GSM3720437
SRR8887183,23886732,1791504900,75,637,SRX5672910,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP192310,PRJNA532532,32320655,"",SRS4615553,SAMN11403232,simple,9606,Homo sapiens,GSM3720438,GEO,SRA873063,04,2020,Ma,RNAseq_A2780_highISL1sorted,RNAseq_A2780_highISL1sorted,RNAseq_A2780_highISL1sorted,A2780,Cells sorted based on ISL1 protein levels,GSM3720438
