Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,treatment,cell line,rna population,GEO Accession
SRR12693502,40997938,4099793800,100,1416,SRX9173300,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP284977,PRJNA665035,32995776,"",SRS7410878,SAMN16238706,simple,9606,Homo sapiens,GSM4798529,GEO,SRA1129972,10,2020,Rao,HEK293,NSP1-HEK-2_rnaseq,HEK293,NSP1 expressing,HEK293,Total RNA,GSM4798529
SRR12693503,25135784,2513578400,100,868,SRX9173301,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP284977,PRJNA665035,32995776,"",SRS7410879,SAMN16238705,simple,9606,Homo sapiens,GSM4798530,GEO,SRA1129972,10,2020,Rao,HEK293,NSP1-HEK-3_rnaseq,HEK293,NSP1 expressing,HEK293,Total RNA,GSM4798530
SRR12693504,35003078,3500307800,100,1208,SRX9173302,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP284977,PRJNA665035,32995776,"",SRS7410881,SAMN16238704,simple,9606,Homo sapiens,GSM4798531,GEO,SRA1129972,10,2020,Rao,HEK293,NSP2-HEK-1_rnaseq,HEK293,NSP2 expressing,HEK293,Total RNA,GSM4798531
SRR12693505,42398224,4239822400,100,1464,SRX9173303,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP284977,PRJNA665035,32995776,"",SRS7410880,SAMN16238703,simple,9606,Homo sapiens,GSM4798532,GEO,SRA1129972,10,2020,Rao,HEK293,NSP2-HEK-2_rnaseq,HEK293,NSP2 expressing,HEK293,Total RNA,GSM4798532
SRR12693506,36914462,3691446200,100,1276,SRX9173304,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP284977,PRJNA665035,32995776,"",SRS7410882,SAMN16238702,simple,9606,Homo sapiens,GSM4798533,GEO,SRA1129972,10,2020,Rao,HEK293,NSP2-HEK-3_rnaseq,HEK293,NSP2 expressing,HEK293,Total RNA,GSM4798533
SRR12693507,30927366,3092736600,100,1067,SRX9173305,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP284977,PRJNA665035,32995776,"",SRS7410883,SAMN16238701,simple,9606,Homo sapiens,GSM4798534,GEO,SRA1129972,10,2020,Rao,HEK293,WT-HEK-1_rnaseq,HEK293,no treatment,HEK293,Total RNA,GSM4798534
SRR12693508,25935593,2593559300,100,896,SRX9173306,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP284977,PRJNA665035,32995776,"",SRS7410884,SAMN16238700,simple,9606,Homo sapiens,GSM4798535,GEO,SRA1129972,10,2020,Rao,HEK293,WT-HEK-2_rnaseq,HEK293,no treatment,HEK293,Total RNA,GSM4798535
SRR12693509,46271445,4627144500,100,1597,SRX9173307,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP284977,PRJNA665035,32995776,"",SRS7410886,SAMN16238699,simple,9606,Homo sapiens,GSM4798536,GEO,SRA1129972,10,2020,Rao,HEK293,WT-HEK-3_rnaseq,HEK293,no treatment,HEK293,Total RNA,GSM4798536
SRR14667085,38093021,3809302100,100,1176,SRX11005663,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP284977,PRJNA665035,32995776,"",SRS9079683,SAMN19367823,simple,9606,Homo sapiens,GSM5342775,GEO,SRA1129972,06,2021,Rao,H1299,NSP1-H1299-1_ribo,H1299,NSP1 expressing,H1299,RNA from ribosome footprint,GSM5342775
SRR14667086,88700834,8870083400,100,2764,SRX11005664,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP284977,PRJNA665035,32995776,"",SRS9079682,SAMN19367822,simple,9606,Homo sapiens,GSM5342776,GEO,SRA1129972,06,2021,Rao,H1299,NSP1-H1299-2_ribo,H1299,NSP1 expressing,H1299,RNA from ribosome footprint,GSM5342776
SRR14667087,41500514,4150051400,100,1299,SRX11005665,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP284977,PRJNA665035,32995776,"",SRS9079685,SAMN19367821,simple,9606,Homo sapiens,GSM5342777,GEO,SRA1129972,06,2021,Rao,H1299,NSP1-H1299-3_ribo,H1299,NSP1 expressing,H1299,RNA from ribosome footprint,GSM5342777
SRR14667088,82690639,8269063900,100,2577,SRX11005666,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP284977,PRJNA665035,32995776,"",SRS9079686,SAMN19367820,simple,9606,Homo sapiens,GSM5342778,GEO,SRA1129972,06,2021,Rao,H1299,NSP2-H1299-1_ribo,H1299,NSP2 expressing,H1299,RNA from ribosome footprint,GSM5342778
SRR14667089,53850110,5385011000,100,1680,SRX11005667,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP284977,PRJNA665035,32995776,"",SRS9079687,SAMN19367819,simple,9606,Homo sapiens,GSM5342779,GEO,SRA1129972,06,2021,Rao,H1299,NSP2-H1299-2_ribo,H1299,NSP2 expressing,H1299,RNA from ribosome footprint,GSM5342779
SRR14667090,60473282,6047328200,100,1883,SRX11005668,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP284977,PRJNA665035,32995776,"",SRS9079688,SAMN19367818,simple,9606,Homo sapiens,GSM5342780,GEO,SRA1129972,06,2021,Rao,H1299,NSP2-H1299-3_ribo,H1299,NSP2 expressing,H1299,RNA from ribosome footprint,GSM5342780
SRR14667091,49674606,4967460600,100,1459,SRX11005669,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP284977,PRJNA665035,32995776,"",SRS9079689,SAMN19367817,simple,9606,Homo sapiens,GSM5342781,GEO,SRA1129972,06,2021,Rao,H1299,NSP1_H1299-1_rnaseq,H1299,NSP1 expressing,H1299,Total RNA,GSM5342781
SRR14667092,76343381,7634338100,100,2250,SRX11005670,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP284977,PRJNA665035,32995776,"",SRS9079690,SAMN19367816,simple,9606,Homo sapiens,GSM5342782,GEO,SRA1129972,06,2021,Rao,H1299,NSP1_H1299-2_rnaseq,H1299,NSP1 expressing,H1299,Total RNA,GSM5342782
SRR14667093,19165652,1916565200,100,563,SRX11005671,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP284977,PRJNA665035,32995776,"",SRS9079691,SAMN19367815,simple,9606,Homo sapiens,GSM5342783,GEO,SRA1129972,06,2021,Rao,H1299,NSP1_H1299-3_rnaseq,H1299,NSP1 expressing,H1299,Total RNA,GSM5342783
SRR14667094,40224863,4022486300,100,1186,SRX11005672,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP284977,PRJNA665035,32995776,"",SRS9079692,SAMN19367814,simple,9606,Homo sapiens,GSM5342784,GEO,SRA1129972,06,2021,Rao,H1299,NSP2-H1299-1_rnaseq,H1299,NSP2 expressing,H1299,Total RNA,GSM5342784
SRR14667095,49331607,4933160700,100,1444,SRX11005673,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP284977,PRJNA665035,32995776,"",SRS9079693,SAMN19367813,simple,9606,Homo sapiens,GSM5342785,GEO,SRA1129972,06,2021,Rao,H1299,NSP2-H1299-2_rnaseq,H1299,NSP2 expressing,H1299,Total RNA,GSM5342785
SRR14667096,58060292,5806029200,100,1697,SRX11005674,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP284977,PRJNA665035,32995776,"",SRS9079694,SAMN19367812,simple,9606,Homo sapiens,GSM5342786,GEO,SRA1129972,06,2021,Rao,H1299,NSP2-H1299-3_rnaseq,H1299,NSP2 expressing,H1299,Total RNA,GSM5342786
