Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,protocol,genotype,treatment,GEO Accession
SRR14510024,51445285,1269538088,24,536,SRX10855837,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319472,PRJNA729461,34226921,"",SRS8951468,SAMN19116481,simple,9606,Homo sapiens,GSM5291868,GEO,SRA1231346,07,2021,Ichihara,HEK293T cells,WT HEK293T CHX replicate 1,HEK293T cells,Ribo-seq,WT,none,GSM5291868
SRR14510025,52552922,1309694660,24,551,SRX10855838,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319472,PRJNA729461,34226921,"",SRS8951469,SAMN19116480,simple,9606,Homo sapiens,GSM5291869,GEO,SRA1231346,07,2021,Ichihara,HEK293T cells,WT HEK293T CHX replicate 2,HEK293T cells,Ribo-seq,WT,none,GSM5291869
SRR14510026,27733936,676156622,24,298,SRX10855839,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319472,PRJNA729461,34226921,"",SRS8951470,SAMN19116479,simple,9606,Homo sapiens,GSM5291870,GEO,SRA1231346,07,2021,Ichihara,HEK293T cells,WT HEK293T LTM replicate 1,HEK293T cells,Ribo-seq,WT,lactimidomycin,GSM5291870
SRR14510027,26330536,634932980,24,279,SRX10855840,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319472,PRJNA729461,34226921,"",SRS8951471,SAMN19116478,simple,9606,Homo sapiens,GSM5291871,GEO,SRA1231346,07,2021,Ichihara,HEK293T cells,WT HEK293T LTM replicate 2,HEK293T cells,Ribo-seq,WT,lactimidomycin,GSM5291871
SRR14510028,55523279,1446346407,26,611,SRX10855841,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319472,PRJNA729461,34226921,"",SRS8951472,SAMN19116477,simple,9606,Homo sapiens,GSM5291872,GEO,SRA1231346,07,2021,Ichihara,HEK293T cells,WT HEK293T Ribo-seq replicate 1,HEK293T cells,RNA-seq,WT,none,GSM5291872
SRR14510029,51151886,1336589255,26,577,SRX10855842,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319472,PRJNA729461,34226921,"",SRS8951473,SAMN19116476,simple,9606,Homo sapiens,GSM5291873,GEO,SRA1231346,07,2021,Ichihara,HEK293T cells,WT HEK293T Ribo-seq replicate 2,HEK293T cells,RNA-seq,WT,none,GSM5291873
SRR14510030,47379956,2416377756,51,681,SRX10855843,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319472,PRJNA729461,34226921,"",SRS8951474,SAMN19116475,simple,9606,Homo sapiens,GSM5291874,GEO,SRA1231346,07,2021,Ichihara,HEK293T cells,WT HEK293T RNA-seq replicate 3,HEK293T cells,RNA-seq,WT,none,GSM5291874
SRR14510031,26124264,1332337464,51,379,SRX10855844,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319472,PRJNA729461,34226921,"",SRS8951475,SAMN19116474,simple,9606,Homo sapiens,GSM5291875,GEO,SRA1231346,07,2021,Ichihara,HEK293T cells,WT HEK293T RNA-seq replicate 4,HEK293T cells,RNA-seq,WT,none,GSM5291875
SRR14510032,20236423,531336432,26,221,SRX10855845,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319472,PRJNA729461,34226921,"",SRS8951476,SAMN19116473,simple,9606,Homo sapiens,GSM5291876,GEO,SRA1231346,07,2021,Ichihara,HEK293T cells,eIF2A KO HEK293T #1 Ribo-seq replicate 1,HEK293T cells,Ribo-seq,eIF2A KO,none,GSM5291876
SRR14510033,59673248,1600976723,26,683,SRX10855846,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319472,PRJNA729461,34226921,"",SRS8951477,SAMN19116472,simple,9606,Homo sapiens,GSM5291877,GEO,SRA1231346,07,2021,Ichihara,HEK293T cells,eIF2A KO HEK293T #1 Ribo-seq replicate 2,HEK293T cells,Ribo-seq,eIF2A KO,none,GSM5291877
SRR14510034,47266145,2410573395,51,680,SRX10855847,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319472,PRJNA729461,34226921,"",SRS8951478,SAMN19116471,simple,9606,Homo sapiens,GSM5291878,GEO,SRA1231346,07,2021,Ichihara,HEK293T cells,eIF2A KO HEK293T #1 RNA-seq replicate 1,HEK293T cells,RNA-seq,eIF2A KO,none,GSM5291878
SRR14510035,30678230,1564589730,51,443,SRX10855848,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319472,PRJNA729461,34226921,"",SRS8951479,SAMN19116470,simple,9606,Homo sapiens,GSM5291879,GEO,SRA1231346,07,2021,Ichihara,HEK293T cells,eIF2A KO HEK293T #1 RNA-seq replicate 2,HEK293T cells,RNA-seq,eIF2A KO,none,GSM5291879
SRR14510036,28658398,731737475,25,314,SRX10855849,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319472,PRJNA729461,34226921,"",SRS8951480,SAMN19116469,simple,9606,Homo sapiens,GSM5291880,GEO,SRA1231346,07,2021,Ichihara,HEK293T cells,eIF2A KO HEK293T #2 Ribo-seq replicate 1,HEK293T cells,Ribo-seq,eIF2A KO,none,GSM5291880
SRR14510037,43479066,1137361331,26,491,SRX10855850,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319472,PRJNA729461,34226921,"",SRS8951481,SAMN19116468,simple,9606,Homo sapiens,GSM5291881,GEO,SRA1231346,07,2021,Ichihara,HEK293T cells,eIF2A KO HEK293T #2 Ribo-seq replicate 2,HEK293T cells,Ribo-seq,eIF2A KO,none,GSM5291881
SRR14510038,49296127,2514102477,51,709,SRX10855851,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319472,PRJNA729461,34226921,"",SRS8951482,SAMN19116467,simple,9606,Homo sapiens,GSM5291882,GEO,SRA1231346,07,2021,Ichihara,HEK293T cells,eIF2A KO HEK293T #2 RNA-seq replicate 1,HEK293T cells,RNA-seq,eIF2A KO,none,GSM5291882
SRR14510039,23841042,1215893142,51,345,SRX10855852,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319472,PRJNA729461,34226921,"",SRS8951483,SAMN19116466,simple,9606,Homo sapiens,GSM5291883,GEO,SRA1231346,07,2021,Ichihara,HEK293T cells,eIF2A KO HEK293T #2 RNA-seq replicate 2,HEK293T cells,RNA-seq,eIF2A KO,none,GSM5291883
SRR14510040,35608687,894067421,25,378,SRX10855853,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319472,PRJNA729461,34226921,"",SRS8951484,SAMN19116465,simple,9606,Homo sapiens,GSM5291884,GEO,SRA1231346,07,2021,Ichihara,HEK293T cells,eIF2D KO HEK293T #1 Ribo-seq replicate 1,HEK293T cells,Ribo-seq,eIF2D KO,none,GSM5291884
SRR14510041,49228232,1269907580,25,551,SRX10855854,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319472,PRJNA729461,34226921,"",SRS8951485,SAMN19116464,simple,9606,Homo sapiens,GSM5291885,GEO,SRA1231346,07,2021,Ichihara,HEK293T cells,eIF2D KO HEK293T #1 Ribo-seq replicate 2,HEK293T cells,Ribo-seq,eIF2D KO,none,GSM5291885
SRR14510042,59124043,3015326193,51,847,SRX10855855,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319472,PRJNA729461,34226921,"",SRS8951486,SAMN19116463,simple,9606,Homo sapiens,GSM5291886,GEO,SRA1231346,07,2021,Ichihara,HEK293T cells,eIF2D KO HEK293T #1 RNA-seq replicate 1,HEK293T cells,RNA-seq,eIF2D KO,none,GSM5291886
SRR14510043,25768390,1314187890,51,374,SRX10855856,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319472,PRJNA729461,34226921,"",SRS8951487,SAMN19116462,simple,9606,Homo sapiens,GSM5291887,GEO,SRA1231346,07,2021,Ichihara,HEK293T cells,eIF2D KO HEK293T #1 RNA-seq replicate 2,HEK293T cells,RNA-seq,eIF2D KO,none,GSM5291887
SRR14510044,62063402,1587968563,25,672,SRX10855857,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319472,PRJNA729461,34226921,"",SRS8951488,SAMN19116461,simple,9606,Homo sapiens,GSM5291888,GEO,SRA1231346,07,2021,Ichihara,HEK293T cells,eIF2D KO HEK293T #2 Ribo-seq replicate 1,HEK293T cells,Ribo-seq,eIF2D KO,none,GSM5291888
SRR14510045,53280058,1401909457,26,575,SRX10855858,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319472,PRJNA729461,34226921,"",SRS8951489,SAMN19116460,simple,9606,Homo sapiens,GSM5291889,GEO,SRA1231346,07,2021,Ichihara,HEK293T cells,eIF2D KO HEK293T #2 Ribo-seq replicate 2,HEK293T cells,Ribo-seq,eIF2D KO,none,GSM5291889
SRR14510046,54767000,2793117000,51,787,SRX10855859,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319472,PRJNA729461,34226921,"",SRS8951490,SAMN19116459,simple,9606,Homo sapiens,GSM5291890,GEO,SRA1231346,07,2021,Ichihara,HEK293T cells,eIF2D KO HEK293T #2 RNA-seq replicate 1,HEK293T cells,RNA-seq,eIF2D KO,none,GSM5291890
SRR14510047,25035141,1276792191,51,362,SRX10855860,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319472,PRJNA729461,34226921,"",SRS8951491,SAMN19116458,simple,9606,Homo sapiens,GSM5291891,GEO,SRA1231346,07,2021,Ichihara,HEK293T cells,eIF2D KO HEK293T #2 RNA-seq replicate 2,HEK293T cells,RNA-seq,eIF2D KO,none,GSM5291891
SRR14510048,46529766,1193001513,25,489,SRX10855861,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319472,PRJNA729461,34226921,"",SRS8951492,SAMN19116457,simple,9606,Homo sapiens,GSM5291892,GEO,SRA1231346,07,2021,Ichihara,HEK293T cells,"eIF2A, eIF2D DKO HEK293T #1 Ribo-seq replicate 1",HEK293T cells,Ribo-seq,"eIF2A, eIF2D DKO",none,GSM5291892
SRR14510049,35443008,934245824,26,401,SRX10855862,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319472,PRJNA729461,34226921,"",SRS8951493,SAMN19116456,simple,9606,Homo sapiens,GSM5291893,GEO,SRA1231346,07,2021,Ichihara,HEK293T cells,"eIF2A, eIF2D DKO HEK293T #1 Ribo-seq replicate 2",HEK293T cells,Ribo-seq,"eIF2A, eIF2D DKO",none,GSM5291893
SRR14510050,48572308,2477187708,51,699,SRX10855863,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319472,PRJNA729461,34226921,"",SRS8951494,SAMN19116455,simple,9606,Homo sapiens,GSM5291894,GEO,SRA1231346,07,2021,Ichihara,HEK293T cells,"eIF2A, eIF2D DKO HEK293T #1 RNA-seq replicate 1",HEK293T cells,RNA-seq,"eIF2A, eIF2D DKO",none,GSM5291894
SRR14510051,31938315,1628854065,51,462,SRX10855864,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319472,PRJNA729461,34226921,"",SRS8951495,SAMN19116454,simple,9606,Homo sapiens,GSM5291895,GEO,SRA1231346,07,2021,Ichihara,HEK293T cells,"eIF2A, eIF2D DKO HEK293T #1 RNA-seq replicate 2",HEK293T cells,RNA-seq,"eIF2A, eIF2D DKO",none,GSM5291895
SRR14510052,54647184,1524917239,27,599,SRX10855865,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319472,PRJNA729461,34226921,"",SRS8951496,SAMN19116453,simple,9606,Homo sapiens,GSM5291896,GEO,SRA1231346,07,2021,Ichihara,HEK293T cells,"eIF2A, eIF2D DKO HEK293T #2 Ribo-seq replicate 1",HEK293T cells,Ribo-seq,"eIF2A, eIF2D DKO",none,GSM5291896
SRR14510053,57946603,1509498441,26,651,SRX10855866,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319472,PRJNA729461,34226921,"",SRS8951497,SAMN19116452,simple,9606,Homo sapiens,GSM5291897,GEO,SRA1231346,07,2021,Ichihara,HEK293T cells,"eIF2A, eIF2D DKO HEK293T #2 Ribo-seq replicate 2",HEK293T cells,Ribo-seq,"eIF2A, eIF2D DKO",none,GSM5291897
SRR14510054,49628588,2531057988,51,713,SRX10855867,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319472,PRJNA729461,34226921,"",SRS8951498,SAMN19116451,simple,9606,Homo sapiens,GSM5291898,GEO,SRA1231346,07,2021,Ichihara,HEK293T cells,"eIF2A, eIF2D DKO HEK293T #2 RNA-seq replicate 1",HEK293T cells,RNA-seq,"eIF2A, eIF2D DKO",none,GSM5291898
SRR14510055,24430905,1245976155,51,354,SRX10855868,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319472,PRJNA729461,34226921,"",SRS8951499,SAMN19116421,simple,9606,Homo sapiens,GSM5291899,GEO,SRA1231346,07,2021,Ichihara,HEK293T cells,"eIF2A, eIF2D DKO HEK293T #2 RNA-seq replicate 2",HEK293T cells,RNA-seq,"eIF2A, eIF2D DKO",none,GSM5291899
SRR14510056,49198915,1158906235,23,509,SRX10855869,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319472,PRJNA729461,34226921,"",SRS8951500,SAMN19116420,simple,9606,Homo sapiens,GSM5291900,GEO,SRA1231346,07,2021,Ichihara,HEK293T cells,WT HEK293T arsenite Ribo-seq replicate 1,HEK293T cells,Ribo-seq,WT,arsenite,GSM5291900
SRR14510057,34698419,847450374,24,370,SRX10855870,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319472,PRJNA729461,34226921,"",SRS8951501,SAMN19116419,simple,9606,Homo sapiens,GSM5291901,GEO,SRA1231346,07,2021,Ichihara,HEK293T cells,WT HEK293T arsenite Ribo-seq replicate 2,HEK293T cells,Ribo-seq,WT,arsenite,GSM5291901
SRR14510058,38618416,1969539216,51,570,SRX10855871,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319472,PRJNA729461,34226921,"",SRS8951502,SAMN19116418,simple,9606,Homo sapiens,GSM5291902,GEO,SRA1231346,07,2021,Ichihara,HEK293T cells,WT HEK293T arsenite RNA-seq replicate 1,HEK293T cells,RNA-seq,WT,arsenite,GSM5291902
SRR14510059,54472482,2778096582,51,802,SRX10855872,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319472,PRJNA729461,34226921,"",SRS8951503,SAMN19116417,simple,9606,Homo sapiens,GSM5291903,GEO,SRA1231346,07,2021,Ichihara,HEK293T cells,WT HEK293T arsenite RNA-seq replicate 2,HEK293T cells,RNA-seq,WT,arsenite,GSM5291903
SRR14510060,28183206,660969920,23,290,SRX10855873,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319472,PRJNA729461,34226921,"",SRS8951504,SAMN19116416,simple,9606,Homo sapiens,GSM5291904,GEO,SRA1231346,07,2021,Ichihara,HEK293T cells,eIF2A KO HEK293T #1 arsenite Ribo-seq replicate 1,HEK293T cells,Ribo-seq,eIF2A KO,arsenite,GSM5291904
SRR14510061,59124643,1441835708,24,630,SRX10855874,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319472,PRJNA729461,34226921,"",SRS8951505,SAMN19116496,simple,9606,Homo sapiens,GSM5291905,GEO,SRA1231346,07,2021,Ichihara,HEK293T cells,eIF2A KO HEK293T #1 arsenite Ribo-seq replicate 2,HEK293T cells,Ribo-seq,eIF2A KO,arsenite,GSM5291905
SRR14510062,48315168,2464073568,51,711,SRX10855875,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319472,PRJNA729461,34226921,"",SRS8951506,SAMN19116495,simple,9606,Homo sapiens,GSM5291906,GEO,SRA1231346,07,2021,Ichihara,HEK293T cells,eIF2A KO HEK293T #1 arsenite RNA-seq replicate 1,HEK293T cells,RNA-seq,eIF2A KO,arsenite,GSM5291906
SRR14510063,43819297,2234784147,51,644,SRX10855876,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319472,PRJNA729461,34226921,"",SRS8951507,SAMN19116494,simple,9606,Homo sapiens,GSM5291907,GEO,SRA1231346,07,2021,Ichihara,HEK293T cells,eIF2A KO HEK293T #1 arsenite RNA-seq replicate 2,HEK293T cells,RNA-seq,eIF2A KO,arsenite,GSM5291907
SRR14510064,28438281,670967115,23,293,SRX10855877,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319472,PRJNA729461,34226921,"",SRS8951508,SAMN19116493,simple,9606,Homo sapiens,GSM5291908,GEO,SRA1231346,07,2021,Ichihara,HEK293T cells,eIF2A KO HEK293T #2 arsenite Ribo-seq replicate 1,HEK293T cells,Ribo-seq,eIF2A KO,arsenite,GSM5291908
SRR14510065,101304975,2265336988,22,1042,SRX10855878,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319472,PRJNA729461,34226921,"",SRS8951509,SAMN19116492,simple,9606,Homo sapiens,GSM5291909,GEO,SRA1231346,07,2021,Ichihara,HEK293T cells,eIF2A KO HEK293T #2 arsenite Ribo-seq replicate 2,HEK293T cells,Ribo-seq,eIF2A KO,arsenite,GSM5291909
SRR14510066,39790215,2029300965,51,586,SRX10855879,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319472,PRJNA729461,34226921,"",SRS8951510,SAMN19116415,simple,9606,Homo sapiens,GSM5291910,GEO,SRA1231346,07,2021,Ichihara,HEK293T cells,eIF2A KO HEK293T #2 arsenite RNA-seq replicate 1,HEK293T cells,RNA-seq,eIF2A KO,arsenite,GSM5291910
SRR14510067,41538686,2118472986,51,611,SRX10855880,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319472,PRJNA729461,34226921,"",SRS8951511,SAMN19116450,simple,9606,Homo sapiens,GSM5291911,GEO,SRA1231346,07,2021,Ichihara,HEK293T cells,eIF2A KO HEK293T #2 arsenite RNA-seq replicate 2,HEK293T cells,RNA-seq,eIF2A KO,arsenite,GSM5291911
SRR14510068,40995418,1000399422,24,437,SRX10855881,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319472,PRJNA729461,34226921,"",SRS8951512,SAMN19116449,simple,9606,Homo sapiens,GSM5291912,GEO,SRA1231346,07,2021,Ichihara,HEK293T cells,eIF2D KO HEK293T #1 arsenite Ribo-seq replicate 1,HEK293T cells,Ribo-seq,eIF2D KO,arsenite,GSM5291912
SRR14510069,38186961,885680514,23,393,SRX10855882,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319472,PRJNA729461,34226921,"",SRS8951513,SAMN19116448,simple,9606,Homo sapiens,GSM5291913,GEO,SRA1231346,07,2021,Ichihara,HEK293T cells,eIF2D KO HEK293T #1 arsenite Ribo-seq replicate 2,HEK293T cells,Ribo-seq,eIF2D KO,arsenite,GSM5291913
SRR14510070,49443926,2521640226,51,731,SRX10855883,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319472,PRJNA729461,34226921,"",SRS8951514,SAMN19116447,simple,9606,Homo sapiens,GSM5291914,GEO,SRA1231346,07,2021,Ichihara,HEK293T cells,eIF2D KO HEK293T #1 arsenite RNA-seq replicate 1,HEK293T cells,RNA-seq,eIF2D KO,arsenite,GSM5291914
SRR14510071,36516502,1862341602,51,540,SRX10855884,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319472,PRJNA729461,34226921,"",SRS8951515,SAMN19116446,simple,9606,Homo sapiens,GSM5291915,GEO,SRA1231346,07,2021,Ichihara,HEK293T cells,eIF2D KO HEK293T #1 arsenite RNA-seq replicate 2,HEK293T cells,RNA-seq,eIF2D KO,arsenite,GSM5291915
