Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,tissue,age,genotype,cell line,treatment,cell type,GEO Accession
SRR16097939,23078819,6923645700,150,2188,SRX12384006,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP339104,PRJNA767014,1,"",SRS10354137,SAMN21880100,simple,10090,Mus musculus,GSM5600240,GEO,SRA1301813,07,2022,Makar,Primary CD4 T cells,RNAseq-KO1 CD4 T cell-0h,Primary CD4 T cells,C57BL/6,spleen,8 weeks,Trmt61a cKO,primary CD4 T cells,Anti-CD3(5ug/ml)/CD28(2ug/ml),,GSM5600240
SRR16097940,22764883,6829464900,150,2064,SRX12384007,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP339104,PRJNA767014,1,"",SRS10354139,SAMN21880101,simple,10090,Mus musculus,GSM5600241,GEO,SRA1301813,07,2022,Makar,Primary CD4 T cells,RNAseq-KO2 CD4 T cell-0h,Primary CD4 T cells,C57BL/6,spleen,8 weeks,Trmt61a cKO,primary CD4 T cells,Anti-CD3(5ug/ml)/CD28(2ug/ml),,GSM5600241
SRR16097941,23755670,7126701000,150,2134,SRX12384008,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP339104,PRJNA767014,1,"",SRS10354140,SAMN21880102,simple,10090,Mus musculus,GSM5600242,GEO,SRA1301813,07,2022,Makar,Primary CD4 T cells,RNAseq-KO1 CD4 T cell-3h,Primary CD4 T cells,C57BL/6,spleen,8 weeks,Trmt61a cKO,primary CD4 T cells,Anti-CD3(5ug/ml)/CD28(2ug/ml),,GSM5600242
SRR16097942,22991542,6897462600,150,2068,SRX12384009,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP339104,PRJNA767014,1,"",SRS10354141,SAMN21880103,simple,10090,Mus musculus,GSM5600243,GEO,SRA1301813,07,2022,Makar,Primary CD4 T cells,RNAseq-KO2 CD4 T cell-3h,Primary CD4 T cells,C57BL/6,spleen,8 weeks,Trmt61a cKO,primary CD4 T cells,Anti-CD3(5ug/ml)/CD28(2ug/ml),,GSM5600243
SRR16097943,23429752,7028925600,150,2101,SRX12384010,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP339104,PRJNA767014,1,"",SRS10354142,SAMN21880104,simple,10090,Mus musculus,GSM5600244,GEO,SRA1301813,07,2022,Makar,Primary CD4 T cells,RNAseq-KO1 CD4 T cell-6h,Primary CD4 T cells,C57BL/6,spleen,8 weeks,Trmt61a cKO,primary CD4 T cells,Anti-CD3(5ug/ml)/CD28(2ug/ml),,GSM5600244
SRR16097944,23875035,7162510500,150,2152,SRX12384011,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP339104,PRJNA767014,1,"",SRS10354144,SAMN21880105,simple,10090,Mus musculus,GSM5600245,GEO,SRA1301813,07,2022,Makar,Primary CD4 T cells,RNAseq-KO2 CD4 T cell-6h,Primary CD4 T cells,C57BL/6,spleen,8 weeks,Trmt61a cKO,primary CD4 T cells,Anti-CD3(5ug/ml)/CD28(2ug/ml),,GSM5600245
SRR16097945,24033589,7210076700,150,2198,SRX12384012,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP339104,PRJNA767014,1,"",SRS10354143,SAMN21880106,simple,10090,Mus musculus,GSM5600246,GEO,SRA1301813,07,2022,Makar,Primary CD4 T cells,RNAseq-KO1 CD4 T cell-48h,Primary CD4 T cells,C57BL/6,spleen,8 weeks,Trmt61a cKO,primary CD4 T cells,Anti-CD3(5ug/ml)/CD28(2ug/ml),,GSM5600246
SRR16097946,22651019,6795305700,150,2073,SRX12384013,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP339104,PRJNA767014,1,"",SRS10354145,SAMN21880107,simple,10090,Mus musculus,GSM5600247,GEO,SRA1301813,07,2022,Makar,Primary CD4 T cells,RNAseq-KO2 CD4 T cell-48h,Primary CD4 T cells,C57BL/6,spleen,8 weeks,Trmt61a cKO,primary CD4 T cells,Anti-CD3(5ug/ml)/CD28(2ug/ml),,GSM5600247
SRR16097951,4754532,1426359600,150,541,SRX12384018,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP339104,PRJNA767014,1,"",SRS10354150,SAMN21880082,simple,10090,Mus musculus,GSM5600252,GEO,SRA1301813,07,2022,Makar,Primary CD4 T cells,m1Aseq-WT1 CD4 T cell-6h,Primary CD4 T cells,C57BL/6,spleen,8 weeks,wild type,primary CD4 T cells,Anti-CD3(5ug/ml)/CD28(2ug/ml),,GSM5600252
SRR16097952,5283410,1585023000,150,598,SRX12384019,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP339104,PRJNA767014,1,"",SRS10354151,SAMN21880083,simple,10090,Mus musculus,GSM5600253,GEO,SRA1301813,07,2022,Makar,Primary CD4 T cells,m1Aseq-WT2 CD4 T cell-6h,Primary CD4 T cells,C57BL/6,spleen,8 weeks,wild type,primary CD4 T cells,Anti-CD3(5ug/ml)/CD28(2ug/ml),,GSM5600253
SRR16097953,4555175,1366552500,150,513,SRX12384020,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP339104,PRJNA767014,1,"",SRS10354152,SAMN21880084,simple,10090,Mus musculus,GSM5600254,GEO,SRA1301813,07,2022,Makar,Primary CD4 T cells,m1Aseq-KO1 CD4 T cell-6h,Primary CD4 T cells,C57BL/6,spleen,8 weeks,Trmt61a cKO,primary CD4 T cells,Anti-CD3(5ug/ml)/CD28(2ug/ml),,GSM5600254
SRR16097954,4115385,1234615500,150,467,SRX12384021,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP339104,PRJNA767014,1,"",SRS10354153,SAMN21880085,simple,10090,Mus musculus,GSM5600255,GEO,SRA1301813,07,2022,Makar,Primary CD4 T cells,m1Aseq-KO2 CD4 T cell-6h,Primary CD4 T cells,C57BL/6,spleen,8 weeks,Trmt61a cKO,primary CD4 T cells,Anti-CD3(5ug/ml)/CD28(2ug/ml),,GSM5600255
SRR16097955,6453794,1936138200,150,739,SRX12384022,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP339104,PRJNA767014,1,"",SRS10354154,SAMN21880086,simple,10090,Mus musculus,GSM5600256,GEO,SRA1301813,07,2022,Makar,Primary CD4 T cells,m1Aseq-Alkb-WT1 CD4 T cell-6h,Primary CD4 T cells,C57BL/6,spleen,8 weeks,wild type,primary CD4 T cells,Anti-CD3(5ug/ml)/CD28(2ug/ml),,GSM5600256
SRR16097956,7545352,2263605600,150,865,SRX12384023,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP339104,PRJNA767014,1,"",SRS10354155,SAMN21880087,simple,10090,Mus musculus,GSM5600257,GEO,SRA1301813,07,2022,Makar,Primary CD4 T cells,m1Aseq-Alkb-WT2 CD4 T cell-6h,Primary CD4 T cells,C57BL/6,spleen,8 weeks,wild type,primary CD4 T cells,Anti-CD3(5ug/ml)/CD28(2ug/ml),,GSM5600257
SRR16097957,7326801,2198040300,150,829,SRX12384024,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP339104,PRJNA767014,1,"",SRS10354156,SAMN21880088,simple,10090,Mus musculus,GSM5600258,GEO,SRA1301813,07,2022,Makar,Primary CD4 T cells,m1Aseq-Alkb-KO1 CD4 T cell-6h,Primary CD4 T cells,C57BL/6,spleen,8 weeks,Trmt61a cKO,primary CD4 T cells,Anti-CD3(5ug/ml)/CD28(2ug/ml),,GSM5600258
SRR16097958,6286463,1885938900,150,719,SRX12384025,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP339104,PRJNA767014,1,"",SRS10354157,SAMN21880089,simple,10090,Mus musculus,GSM5600259,GEO,SRA1301813,07,2022,Makar,Primary CD4 T cells,m1Aseq-Alkb-KO2 CD4 T cell-6h,Primary CD4 T cells,C57BL/6,spleen,8 weeks,Trmt61a cKO,primary CD4 T cells,Anti-CD3(5ug/ml)/CD28(2ug/ml),,GSM5600259
SRR20504799,85096512,12764476800,150,8209,SRX16528651,,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP339104,PRJNA767014,1,"",SRS14163719,SAMN29921439,simple,10090,Mus musculus,GSM6380459,GEO,SRA1301813,07,2022,Makar,spleen,tRNA-expression-AlkB_T0h_Rep1,spleen,,spleen,,wild type,,Anti-CD3(5ug/ml)/CD28(2ug/ml),primary CD4 T cells,GSM6380459
SRR20504800,74964714,11244707100,150,7084,SRX16528652,,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP339104,PRJNA767014,1,"",SRS14163718,SAMN29921440,simple,10090,Mus musculus,GSM6380460,GEO,SRA1301813,07,2022,Makar,spleen,tRNA-expression-AlkB_T0h_Rep2,spleen,,spleen,,wild type,,Anti-CD3(5ug/ml)/CD28(2ug/ml),primary CD4 T cells,GSM6380460
SRR20504801,79174464,11876169600,150,7597,SRX16528653,,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP339104,PRJNA767014,1,"",SRS14163720,SAMN29921441,simple,10090,Mus musculus,GSM6380461,GEO,SRA1301813,07,2022,Makar,spleen,tRNA-expression-AlkB_T18h_Rep1,spleen,,spleen,,wild type,,Anti-CD3(5ug/ml)/CD28(2ug/ml),primary CD4 T cells,GSM6380461
SRR20504802,72323552,10848532800,150,6953,SRX16528654,,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP339104,PRJNA767014,1,"",SRS14163721,SAMN29921442,simple,10090,Mus musculus,GSM6380462,GEO,SRA1301813,07,2022,Makar,spleen,tRNA-expression-AlkB_T18h_Rep2,spleen,,spleen,,wild type,,Anti-CD3(5ug/ml)/CD28(2ug/ml),primary CD4 T cells,GSM6380462
SRR20504803,96265964,14439894600,150,9209,SRX16528655,,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP339104,PRJNA767014,1,"",SRS14163722,SAMN29921443,simple,10090,Mus musculus,GSM6380463,GEO,SRA1301813,07,2022,Makar,spleen,tRNA-expression-AlkB_T48h_Rep1,spleen,,spleen,,wild type,,Anti-CD3(5ug/ml)/CD28(2ug/ml),primary CD4 T cells,GSM6380463
SRR20504804,87607672,13141150800,150,8377,SRX16528656,,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP339104,PRJNA767014,1,"",SRS14163723,SAMN29921444,simple,10090,Mus musculus,GSM6380464,GEO,SRA1301813,07,2022,Makar,spleen,tRNA-expression-AlkB_T48h_Rep2,spleen,,spleen,,wild type,,Anti-CD3(5ug/ml)/CD28(2ug/ml),primary CD4 T cells,GSM6380464
SRR20504805,84240256,12636038400,150,8136,SRX16528657,,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP339104,PRJNA767014,1,"",SRS14163724,SAMN29921445,simple,10090,Mus musculus,GSM6380465,GEO,SRA1301813,07,2022,Makar,spleen,tRNA-expression-AlkB_T6h_Rep1,spleen,,spleen,,wild type,,Anti-CD3(5ug/ml)/CD28(2ug/ml),primary CD4 T cells,GSM6380465
SRR20504806,94254934,14138240100,150,9114,SRX16528658,,ncRNA-Seq,size fractionation,TRANSCRIPTOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP339104,PRJNA767014,1,"",SRS14163726,SAMN29921446,simple,10090,Mus musculus,GSM6380466,GEO,SRA1301813,07,2022,Makar,spleen,tRNA-expression-AlkB_T6h_Rep2,spleen,,spleen,,wild type,,Anti-CD3(5ug/ml)/CD28(2ug/ml),primary CD4 T cells,GSM6380466
SRR20504807,22980080,6366113537,138,1994,SRX16528659,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP339104,PRJNA767014,1,"",SRS14163725,SAMN29921447,simple,10090,Mus musculus,GSM6380467,GEO,SRA1301813,07,2022,Makar,spleen,RiboTag-KO_input_Rep1,spleen,,spleen,,Trmt6-KO (Trmt6flox/floxRiboTagflox/floxCd4Cre),,Anti-CD3(5ug/ml)/CD28(2ug/ml),primary CD4 T cells,GSM6380467
SRR20504808,24668054,6824156021,138,2140,SRX16528660,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP339104,PRJNA767014,1,"",SRS14163727,SAMN29921448,simple,10090,Mus musculus,GSM6380468,GEO,SRA1301813,07,2022,Makar,spleen,RiboTag-KO_input_Rep2,spleen,,spleen,,Trmt6-KO (Trmt6flox/floxRiboTagflox/floxCd4Cre),,Anti-CD3(5ug/ml)/CD28(2ug/ml),primary CD4 T cells,GSM6380468
SRR20504809,24718474,6827047579,138,2135,SRX16528661,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP339104,PRJNA767014,1,"",SRS14163728,SAMN29921449,simple,10090,Mus musculus,GSM6380469,GEO,SRA1301813,07,2022,Makar,spleen,RiboTag-WT_input_Rep1,spleen,,spleen,,Trmt6-WT (RiboTagflox/floxCd4Cre),,Anti-CD3(5ug/ml)/CD28(2ug/ml),primary CD4 T cells,GSM6380469
SRR20504810,25322374,6986410378,138,2187,SRX16528662,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP339104,PRJNA767014,1,"",SRS14163730,SAMN29921450,simple,10090,Mus musculus,GSM6380470,GEO,SRA1301813,07,2022,Makar,spleen,RiboTag-WT_input_Rep2,spleen,,spleen,,Trmt6-WT (RiboTagflox/floxCd4Cre),,Anti-CD3(5ug/ml)/CD28(2ug/ml),primary CD4 T cells,GSM6380470
SRR20504811,23928731,6589250053,137,2057,SRX16528663,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP339104,PRJNA767014,1,"",SRS14163729,SAMN29921451,simple,10090,Mus musculus,GSM6380471,GEO,SRA1301813,07,2022,Makar,spleen,RiboTag-KO_IP_Rep1,spleen,,spleen,,Trmt6-KO (Trmt6flox/floxRiboTagflox/floxCd4Cre),,Anti-CD3(5ug/ml)/CD28(2ug/ml),primary CD4 T cells,GSM6380471
SRR20504812,22452419,6190776192,138,1933,SRX16528664,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP339104,PRJNA767014,1,"",SRS14163731,SAMN29921452,simple,10090,Mus musculus,GSM6380472,GEO,SRA1301813,07,2022,Makar,spleen,RiboTag-KO_IP_Rep2,spleen,,spleen,,Trmt6-KO (Trmt6flox/floxRiboTagflox/floxCd4Cre),,Anti-CD3(5ug/ml)/CD28(2ug/ml),primary CD4 T cells,GSM6380472
SRR20504813,24120667,6678092891,138,2086,SRX16528665,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP339104,PRJNA767014,1,"",SRS14163733,SAMN29921453,simple,10090,Mus musculus,GSM6380473,GEO,SRA1301813,07,2022,Makar,spleen,RiboTag-WT_IP_Rep1,spleen,,spleen,,Trmt6-WT (RiboTagflox/floxCd4Cre),,Anti-CD3(5ug/ml)/CD28(2ug/ml),primary CD4 T cells,GSM6380473
SRR20504814,22914941,6296535881,137,1961,SRX16528666,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,BGISEQ,BGISEQ-500,SRP339104,PRJNA767014,1,"",SRS14163732,SAMN29921454,simple,10090,Mus musculus,GSM6380474,GEO,SRA1301813,07,2022,Makar,spleen,RiboTag-WT_IP_Rep2,spleen,,spleen,,Trmt6-WT (RiboTagflox/floxCd4Cre),,Anti-CD3(5ug/ml)/CD28(2ug/ml),primary CD4 T cells,GSM6380474
