Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,strain,isolation_source,collection_date,geo_loc_name,sample_type,assay,timepoint,replicate,BioSampleModel
SRR6160950,30048452,2266959597,75,804,SRX3272485,total-RNA-1-4_S4,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP119792,PRJNA413990,32723790,"",SRS2584000,SAMN07775551,simple,2242,Halobacterium salinarum,mRNA.replicate1.timepoint.4,Institute for Systems Biology,SRA618930,10,2017,López,"","",NRC-1,Laboratory,2016,USA: Seattle,cell culture,mRNA,4,1,"Microbe, viral or environmental"
SRR6160949,18299089,1379110817,75,486,SRX3272486,total-RNA-1-3_S3,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP119792,PRJNA413990,32723790,"",SRS2584001,SAMN07775550,simple,2242,Halobacterium salinarum,mRNA.replicate1.timepoint.3,Institute for Systems Biology,SRA618930,10,2017,López,"","",NRC-1,Laboratory,2016,USA: Seattle,cell culture,mRNA,3,1,"Microbe, viral or environmental"
SRR6160948,39080385,2956966642,75,1037,SRX3272487,total-RNA-1-2_S2,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP119792,PRJNA413990,32723790,"",SRS2584002,SAMN07775549,simple,2242,Halobacterium salinarum,mRNA.replicate1.timepoint.2,Institute for Systems Biology,SRA618930,10,2017,López,"","",NRC-1,Laboratory,2016,USA: Seattle,cell culture,mRNA,2,1,"Microbe, viral or environmental"
SRR6160947,25654175,1936480572,75,678,SRX3272488,total-RNA-1-1_S1,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP119792,PRJNA413990,32723790,"",SRS2584013,SAMN07775548,simple,2242,Halobacterium salinarum,mRNA.replicate1.timepoint.1,Institute for Systems Biology,SRA618930,10,2017,López,"","",NRC-1,Laboratory,2016,USA: Seattle,cell culture,mRNA,1,1,"Microbe, viral or environmental"
SRR6160946,35068789,2643285549,75,936,SRX3272489,total-RNA-2-4_S8,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP119792,PRJNA413990,32723790,"",SRS2584003,SAMN07775555,simple,2242,Halobacterium salinarum,mRNA.replicate2.timepoint.4,Institute for Systems Biology,SRA618930,10,2017,López,"","",NRC-1,Laboratory,2016,USA: Seattle,cell culture,mRNA,4,2,"Microbe, viral or environmental"
SRR6160945,26842582,2028589684,75,717,SRX3272490,total-RNA-2-3_S7,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP119792,PRJNA413990,32723790,"",SRS2584005,SAMN07775554,simple,2242,Halobacterium salinarum,mRNA.replicate2.timepoint.3,Institute for Systems Biology,SRA618930,10,2017,López,"","",NRC-1,Laboratory,2016,USA: Seattle,cell culture,mRNA,3,2,"Microbe, viral or environmental"
SRR6160944,29568285,2231536227,75,782,SRX3272491,total-RNA-2-2_S6,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP119792,PRJNA413990,32723790,"",SRS2584004,SAMN07775553,simple,2242,Halobacterium salinarum,mRNA.replicate2.timepoint.2,Institute for Systems Biology,SRA618930,10,2017,López,"","",NRC-1,Laboratory,2016,USA: Seattle,cell culture,mRNA,2,2,"Microbe, viral or environmental"
SRR6160943,25322706,1910675591,75,672,SRX3272492,total-RNA-2-1_S5,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP119792,PRJNA413990,32723790,"",SRS2584006,SAMN07775552,simple,2242,Halobacterium salinarum,mRNA.replicate2.timepoint.1,Institute for Systems Biology,SRA618930,10,2017,López,"","",NRC-1,Laboratory,2016,USA: Seattle,cell culture,mRNA,1,2,"Microbe, viral or environmental"
SRR6160942,27761006,2095021382,75,741,SRX3272493,total-RNA-3-2_S10,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP119792,PRJNA413990,32723790,"",SRS2584007,SAMN07775557,simple,2242,Halobacterium salinarum,mRNA.replicate3.timepoint.2,Institute for Systems Biology,SRA618930,10,2017,López,"","",NRC-1,Laboratory,2016,USA: Seattle,cell culture,mRNA,2,3,"Microbe, viral or environmental"
SRR6160941,17323071,1308767581,75,459,SRX3272494,total-RNA-3-1_S9,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP119792,PRJNA413990,32723790,"",SRS2584008,SAMN07775556,simple,2242,Halobacterium salinarum,mRNA.replicate3.timepoint.1,Institute for Systems Biology,SRA618930,10,2017,López,"","",NRC-1,Laboratory,2016,USA: Seattle,cell culture,mRNA,1,3,"Microbe, viral or environmental"
SRR6160940,21546550,1637537800,76,553,SRX3272495,ribosomal_RNA_3-3_S11,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP119792,PRJNA413990,32723790,"",SRS2584009,SAMN07775570,simple,2242,Halobacterium salinarum,footprint.replicate3.timepoint.3,Institute for Systems Biology,SRA618930,10,2017,López,"","",NRC-1,Laboratory,2016,USA: Seattle,cell culture,footprint,3,3,"Microbe, viral or environmental"
SRR6160939,9974124,758033424,76,247,SRX3272496,ribosomal_RNA_3-4_S12,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP119792,PRJNA413990,32723790,"",SRS2584010,SAMN07775571,simple,2242,Halobacterium salinarum,footprint.replicate3.timepoint.4,Institute for Systems Biology,SRA618930,10,2017,López,"","",NRC-1,Laboratory,2016,USA: Seattle,cell culture,footprint,4,3,"Microbe, viral or environmental"
SRR6160938,31943259,2427687684,76,802,SRX3272497,ribosomal_RNA_3-1_S9,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP119792,PRJNA413990,32723790,"",SRS2584011,SAMN07775568,simple,2242,Halobacterium salinarum,footprint.replicate3.timepoint.1,Institute for Systems Biology,SRA618930,10,2017,López,"","",NRC-1,Laboratory,2016,USA: Seattle,cell culture,footprint,1,3,"Microbe, viral or environmental"
SRR6160937,24563352,1866814752,76,654,SRX3272498,ribosomal_RNA_3-2_S10,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP119792,PRJNA413990,32723790,"",SRS2584012,SAMN07775569,simple,2242,Halobacterium salinarum,footprint.replicate3.timepoint.2,Institute for Systems Biology,SRA618930,10,2017,López,"","",NRC-1,Laboratory,2016,USA: Seattle,cell culture,footprint,2,3,"Microbe, viral or environmental"
