Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,strain,Stage,treatment,rna subtype,GEO Accession
SRR870732,4000000,3.04e+08,76,183,SRX288475,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP023492,PRJNA206070,24056933,"",SRS431102,SAMN02183599,simple,7955,Danio rerio,GSM1152437,GEO,SRA082637,09,2013,Lee,WT ribosome protected fragments for Ribosome Profiling,WT ribosome protected fragments for Ribosome Profiling,SoxB1 MO 4hpf Total mRNA,Whole embryos,TUAB,4hpf,SoxB1 MO,total RNA,GSM1152446
SRR870733,4000000,3.04e+08,76,187,SRX288475,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP023492,PRJNA206070,24056933,"",SRS431102,SAMN02183599,simple,7955,Danio rerio,GSM1152437,GEO,SRA082637,09,2013,Lee,WT ribosome protected fragments for Ribosome Profiling,WT ribosome protected fragments for Ribosome Profiling,Nanog + SoxB1 MO 4hpf Total mRNA,Whole embryos,TUAB,4hpf,"Nanog MO, SoxB1 MO",total RNA,GSM1152447
SRR870734,4000000,3.04e+08,76,178,SRX288476,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP023492,PRJNA206070,24056933,"",SRS431104,SAMN02183600,simple,7955,Danio rerio,GSM1152438,GEO,SRA082637,09,2013,Lee,Nanog + SoxB1 MO input mRNA for Ribosome Profiling,Nanog + SoxB1 MO input mRNA for Ribosome Profiling,MZpou5f1 4hpf Total mRNA,Whole embryos,MZpou5f1 {hi349Tg/hi349Tg},4hpf,none,total RNA,GSM1152448
SRR870735,4000000,3.04e+08,76,180,SRX288476,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP023492,PRJNA206070,24056933,"",SRS431104,SAMN02183600,simple,7955,Danio rerio,GSM1152438,GEO,SRA082637,09,2013,Lee,Nanog + SoxB1 MO input mRNA for Ribosome Profiling,Nanog + SoxB1 MO input mRNA for Ribosome Profiling,MZpou5f1 Nanog MO 4hpf Total mRNA,Whole embryos,MZpou5f1 {hi349Tg/hi349Tg},4hpf,Nanog MO,total RNA,GSM1152449
SRR870736,2117060,160896560,76,95,SRX288476,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP023492,PRJNA206070,24056933,"",SRS431104,SAMN02183600,simple,7955,Danio rerio,GSM1152438,GEO,SRA082637,09,2013,Lee,Nanog + SoxB1 MO input mRNA for Ribosome Profiling,Nanog + SoxB1 MO input mRNA for Ribosome Profiling,MZpou5f1 SoxB1 MO 4hpf Total mRNA,Whole embryos,MZpou5f1 {hi349Tg/hi349Tg},4hpf,SoxB1 MO,total RNA,GSM1152450
SRR870737,4000000,3.04e+08,76,184,SRX288477,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP023492,PRJNA206070,24056933,"",SRS431103,SAMN02183601,simple,7955,Danio rerio,GSM1152439,GEO,SRA082637,09,2013,Lee,Nanog + SoxB1 ribosome protected fragments for Ribosome Profiling,Nanog + SoxB1 ribosome protected fragments for Ribosome Profiling,MZpou5f1 Nanog + SoxB1 MO 4hpf Total mRNA,Whole embryos,MZpou5f1 {hi349Tg/hi349Tg},4hpf,"Nanog MO, SoxB1 MO",total RNA,GSM1152451
SRR870738,4000000,3.04e+08,76,181,SRX288477,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP023492,PRJNA206070,24056933,"",SRS431103,SAMN02183601,simple,7955,Danio rerio,GSM1152439,GEO,SRA082637,09,2013,Lee,Nanog + SoxB1 ribosome protected fragments for Ribosome Profiling,Nanog + SoxB1 ribosome protected fragments for Ribosome Profiling,WT 6hpf Total mRNA,Whole embryos,TUAB,6hpf,none,total RNA,GSM1152452
SRR870739,4000000,3.04e+08,76,178,SRX288477,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP023492,PRJNA206070,24056933,"",SRS431103,SAMN02183601,simple,7955,Danio rerio,GSM1152439,GEO,SRA082637,09,2013,Lee,Nanog + SoxB1 ribosome protected fragments for Ribosome Profiling,Nanog + SoxB1 ribosome protected fragments for Ribosome Profiling,WT 6hpf Total mRNA,Whole embryos,TUAB,6hpf,none,total RNA,GSM1152453
SRR870740,4000000,3.04e+08,76,184,SRX288477,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP023492,PRJNA206070,24056933,"",SRS431103,SAMN02183601,simple,7955,Danio rerio,GSM1152439,GEO,SRA082637,09,2013,Lee,Nanog + SoxB1 ribosome protected fragments for Ribosome Profiling,Nanog + SoxB1 ribosome protected fragments for Ribosome Profiling,WT 6hpf Total mRNA,Whole embryos,TUAB,6hpf,none,total RNA,GSM1152454
SRR870741,4000000,3.04e+08,76,180,SRX288477,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP023492,PRJNA206070,24056933,"",SRS431103,SAMN02183601,simple,7955,Danio rerio,GSM1152439,GEO,SRA082637,09,2013,Lee,Nanog + SoxB1 ribosome protected fragments for Ribosome Profiling,Nanog + SoxB1 ribosome protected fragments for Ribosome Profiling,Alpha-amanitin 6hpf Total mRNA,Whole embryos,TUAB,6hpf,alpha-amanitin,total RNA,GSM1152455
SRR870742,4000000,3.04e+08,76,189,SRX288477,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP023492,PRJNA206070,24056933,"",SRS431103,SAMN02183601,simple,7955,Danio rerio,GSM1152439,GEO,SRA082637,09,2013,Lee,Nanog + SoxB1 ribosome protected fragments for Ribosome Profiling,Nanog + SoxB1 ribosome protected fragments for Ribosome Profiling,Cycloheximide 6hpf Total mRNA,Whole embryos,TUAB,6hpf,cycloheximide,total RNA,GSM1152456
SRR870743,4000000,3.04e+08,76,190,SRX288477,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP023492,PRJNA206070,24056933,"",SRS431103,SAMN02183601,simple,7955,Danio rerio,GSM1152439,GEO,SRA082637,09,2013,Lee,Nanog + SoxB1 ribosome protected fragments for Ribosome Profiling,Nanog + SoxB1 ribosome protected fragments for Ribosome Profiling,Nanog MO 6hpf Total mRNA,Whole embryos,TUAB,6hpf,Nanog MO,total RNA,GSM1152457
SRR870744,4000000,3.04e+08,76,185,SRX288477,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP023492,PRJNA206070,24056933,"",SRS431103,SAMN02183601,simple,7955,Danio rerio,GSM1152439,GEO,SRA082637,09,2013,Lee,Nanog + SoxB1 ribosome protected fragments for Ribosome Profiling,Nanog + SoxB1 ribosome protected fragments for Ribosome Profiling,Nanog + SoxB1 MO Total mRNA,Whole embryos,TUAB,6hpf,"Nanog MO, SoxB1 MO",total RNA,GSM1152458
SRR870745,2436469,185171644,76,120,SRX288477,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP023492,PRJNA206070,24056933,"",SRS431103,SAMN02183601,simple,7955,Danio rerio,GSM1152439,GEO,SRA082637,09,2013,Lee,Nanog + SoxB1 ribosome protected fragments for Ribosome Profiling,Nanog + SoxB1 ribosome protected fragments for Ribosome Profiling,Nanog + SoxB1 MO Total mRNA,Whole embryos,TUAB,6hpf,"Nanog MO, SoxB1 MO",total RNA,GSM1152459
SRR870746,4000000,3.04e+08,76,183,SRX288477,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP023492,PRJNA206070,24056933,"",SRS431103,SAMN02183601,simple,7955,Danio rerio,GSM1152439,GEO,SRA082637,09,2013,Lee,Nanog + SoxB1 ribosome protected fragments for Ribosome Profiling,Nanog + SoxB1 ribosome protected fragments for Ribosome Profiling,MZpou5f1 6hpf Total mRNA,Whole embryos,MZpou5f1 {hi349Tg/hi349Tg},6hpf,none,total RNA,GSM1152460
SRR870747,2672451,203106276,76,135,SRX288478,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP023492,PRJNA206070,24056933,"",SRS431105,SAMN02183602,simple,7955,Danio rerio,GSM1152440,GEO,SRA082637,09,2013,Lee,WT 2hpf Total mRNA,WT 2hpf Total mRNA,MZpou5f1 SoxB1 MO 6hpf Total mRNA,Whole embryos,MZpou5f1 {hi349Tg/hi349Tg},6hpf,SoxB1 MO,total RNA,GSM1152461
SRR870748,4000000,3.04e+08,76,200,SRX288478,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP023492,PRJNA206070,24056933,"",SRS431105,SAMN02183602,simple,7955,Danio rerio,GSM1152440,GEO,SRA082637,09,2013,Lee,WT 2hpf Total mRNA,WT 2hpf Total mRNA,MZpou5f1 Nanog + SoxB1 MO 6hpf Total mRNA,Whole embryos,MZpou5f1 {hi349Tg/hi349Tg},6hpf,"Nanog MO, SoxB1 MO",total RNA,GSM1152462
SRR870749,2618148,198979248,76,132,SRX288478,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP023492,PRJNA206070,24056933,"",SRS431105,SAMN02183602,simple,7955,Danio rerio,GSM1152440,GEO,SRA082637,09,2013,Lee,WT 2hpf Total mRNA,WT 2hpf Total mRNA,Cycloheximide 4hpf Total mRNA,Whole embryos,TUAB,4hpf,cycloheximide,,GSM1219140
SRR870750,4000000,3.04e+08,76,200,SRX288478,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP023492,PRJNA206070,24056933,"",SRS431105,SAMN02183602,simple,7955,Danio rerio,GSM1152440,GEO,SRA082637,09,2013,Lee,WT 2hpf Total mRNA,WT 2hpf Total mRNA,MZpou5f1 Nanog + SoxB1 MO + rescue mRNA 4hpf Total mRNA,Whole embryos,MZpou5f1 {hi349Tg/hi349Tg},4hpf,"Nanog MO, SoxB1 MO, rescue mRNA",,GSM1219141
SRR870751,4000000,3.04e+08,76,191,SRX288479,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP023492,PRJNA206070,24056933,"",SRS431106,SAMN02183603,simple,7955,Danio rerio,GSM1152441,GEO,SRA082637,09,2013,Lee,WT 4hpf poly(A)+ mRNA,WT 4hpf poly(A)+ mRNA,WT 6hpf poly(A)+ mRNA,Whole embryos,TUAB,6hpf,none,,GSM1219142
SRR870752,4000000,3.04e+08,76,191,SRX288479,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP023492,PRJNA206070,24056933,"",SRS431106,SAMN02183603,simple,7955,Danio rerio,GSM1152441,GEO,SRA082637,09,2013,Lee,WT 4hpf poly(A)+ mRNA,WT 4hpf poly(A)+ mRNA,WT 8hpf poly(A)+ mRNA,Whole embryos,TUAB,8hpf,none,,GSM1219143
SRR870753,2989305,227187180,76,144,SRX288479,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP023492,PRJNA206070,24056933,"",SRS431106,SAMN02183603,simple,7955,Danio rerio,GSM1152441,GEO,SRA082637,09,2013,Lee,WT 4hpf poly(A)+ mRNA,WT 4hpf poly(A)+ mRNA,MZpou5f1 Nanog + SoxB1 MO 6hpf poly(A)+ mRNA,Whole embryos,MZpou5f1 {hi349Tg/hi349Tg},6hpf,"Nanog MO, SoxB1 MO",,GSM1219144
SRR870754,4000000,3.04e+08,76,191,SRX288479,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP023492,PRJNA206070,24056933,"",SRS431106,SAMN02183603,simple,7955,Danio rerio,GSM1152441,GEO,SRA082637,09,2013,Lee,WT 4hpf poly(A)+ mRNA,WT 4hpf poly(A)+ mRNA,MZpou5f1 Nanog + SoxB1 MO 8hpf poly(A)+ mRNA,Whole embryos,MZpou5f1 {hi349Tg/hi349Tg},8hpf,"Nanog MO, SoxB1 MO",,GSM1219145
SRR870755,4000000,3.04e+08,76,192,SRX288479,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP023492,PRJNA206070,24056933,"",SRS431106,SAMN02183603,simple,7955,Danio rerio,GSM1152441,GEO,SRA082637,09,2013,Lee,WT 4hpf poly(A)+ mRNA,WT 4hpf poly(A)+ mRNA,MZpou5f1 Nanog + SoxB1 MO + rescue mRNA 6hpf poly(A)+ mRNA,Whole embryos,MZpou5f1 {hi349Tg/hi349Tg},6hpf,"Nanog MO, SoxB1 MO, rescue mRNA",,GSM1219146
SRR870756,2515023,191141748,76,121,SRX288479,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP023492,PRJNA206070,24056933,"",SRS431106,SAMN02183603,simple,7955,Danio rerio,GSM1152441,GEO,SRA082637,09,2013,Lee,WT 4hpf poly(A)+ mRNA,WT 4hpf poly(A)+ mRNA,MZpou5f1 Nanog + SoxB1 MO + rescue mRNA 8hpf poly(A)+ mRNA,Whole embryos,MZpou5f1 {hi349Tg/hi349Tg},8hpf,"Nanog MO, SoxB1 MO, rescue mRNA",,GSM1219147
SRR870757,4000000,3.04e+08,76,204,SRX288480,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP023492,PRJNA206070,24056933,"",SRS431107,SAMN02183604,simple,7955,Danio rerio,GSM1152442,GEO,SRA082637,09,2013,Lee,WT 4hpf Total mRNA,WT 4hpf Total mRNA,WT 2hpf Total mRNA,Whole embryos,TUAB,2hpf,none,total RNA,GSM1152436
SRR870758,4000000,3.04e+08,76,170,SRX288480,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP023492,PRJNA206070,24056933,"",SRS431107,SAMN02183604,simple,7955,Danio rerio,GSM1152442,GEO,SRA082637,09,2013,Lee,WT 4hpf Total mRNA,WT 4hpf Total mRNA,WT input mRNA for Ribosome Profiling,Whole embryos,TUAB,2hpf,none,polyA RNA,GSM1152437
SRR870759,4000000,3.04e+08,76,169,SRX288480,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP023492,PRJNA206070,24056933,"",SRS431107,SAMN02183604,simple,7955,Danio rerio,GSM1152442,GEO,SRA082637,09,2013,Lee,WT 4hpf Total mRNA,WT 4hpf Total mRNA,WT ribosome protected fragments for Ribosome Profiling,Whole embryos,TUAB,2hpf,none,total RNA,GSM1152438
SRR870760,818488,62205088,76,36,SRX288480,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP023492,PRJNA206070,24056933,"",SRS431107,SAMN02183604,simple,7955,Danio rerio,GSM1152442,GEO,SRA082637,09,2013,Lee,WT 4hpf Total mRNA,WT 4hpf Total mRNA,Nanog + SoxB1 MO input mRNA for Ribosome Profiling,Whole embryos,TUAB,2hpf,"Nanog MO, SoxB1 MO",polyA RNA,GSM1152439
SRR870761,4000000,3.04e+08,76,167,SRX288480,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP023492,PRJNA206070,24056933,"",SRS431107,SAMN02183604,simple,7955,Danio rerio,GSM1152442,GEO,SRA082637,09,2013,Lee,WT 4hpf Total mRNA,WT 4hpf Total mRNA,Nanog + SoxB1 ribosome protected fragments for Ribosome Profiling,Whole embryos,TUAB,2hpf,"Nanog MO, SoxB1 MO",total RNA,GSM1152440
SRR870762,4000000,3.04e+08,76,168,SRX288480,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP023492,PRJNA206070,24056933,"",SRS431107,SAMN02183604,simple,7955,Danio rerio,GSM1152442,GEO,SRA082637,09,2013,Lee,WT 4hpf Total mRNA,WT 4hpf Total mRNA,WT 2hpf Total mRNA,Whole embryos,TUAB,2hpf,none,total RNA,GSM1152441
SRR870763,4000000,3.04e+08,76,169,SRX288480,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP023492,PRJNA206070,24056933,"",SRS431107,SAMN02183604,simple,7955,Danio rerio,GSM1152442,GEO,SRA082637,09,2013,Lee,WT 4hpf Total mRNA,WT 4hpf Total mRNA,WT 4hpf poly(A)+ mRNA,Whole embryos,TUAB,4hpf,none,polyA RNA,GSM1152442
SRR870764,4000000,3.04e+08,76,203,SRX288480,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP023492,PRJNA206070,24056933,"",SRS431107,SAMN02183604,simple,7955,Danio rerio,GSM1152442,GEO,SRA082637,09,2013,Lee,WT 4hpf Total mRNA,WT 4hpf Total mRNA,WT 4hpf Total mRNA,Whole embryos,TUAB,4hpf,none,total RNA,GSM1152443
SRR870765,61,4636,76,0,SRX288480,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP023492,PRJNA206070,24056933,"",SRS431107,SAMN02183604,simple,7955,Danio rerio,GSM1152442,GEO,SRA082637,09,2013,Lee,WT 4hpf Total mRNA,WT 4hpf Total mRNA,Alpha-amanitin 4hpf Total mRNA,Whole embryos,TUAB,4hpf,alpha-amanitin,total RNA,GSM1152444
SRR870766,285475,21696100,76,15,SRX288480,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP023492,PRJNA206070,24056933,"",SRS431107,SAMN02183604,simple,7955,Danio rerio,GSM1152442,GEO,SRA082637,09,2013,Lee,WT 4hpf Total mRNA,WT 4hpf Total mRNA,U1U2 MO 4hpf Total mRNA,Whole embryos,TUAB,4hpf,"U1 MO, U2 MO",total RNA,GSM1152445
SRR870767,4000000,3.04e+08,76,202,SRX288480,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP023492,PRJNA206070,24056933,"",SRS431107,SAMN02183604,simple,7955,Danio rerio,GSM1152442,GEO,SRA082637,09,2013,Lee,WT 4hpf Total mRNA,WT 4hpf Total mRNA,Nanog MO 4hpf Total mRNA,Whole embryos,TUAB,4hpf,Nanog MO,total RNA,GSM1152446
SRR870768,4000000,3.04e+08,76,202,SRX288480,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP023492,PRJNA206070,24056933,"",SRS431107,SAMN02183604,simple,7955,Danio rerio,GSM1152442,GEO,SRA082637,09,2013,Lee,WT 4hpf Total mRNA,WT 4hpf Total mRNA,SoxB1 MO 4hpf Total mRNA,Whole embryos,TUAB,4hpf,SoxB1 MO,total RNA,GSM1152447
SRR870769,4000000,3.04e+08,76,164,SRX288480,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP023492,PRJNA206070,24056933,"",SRS431107,SAMN02183604,simple,7955,Danio rerio,GSM1152442,GEO,SRA082637,09,2013,Lee,WT 4hpf Total mRNA,WT 4hpf Total mRNA,Nanog + SoxB1 MO 4hpf Total mRNA,Whole embryos,TUAB,4hpf,"Nanog MO, SoxB1 MO",total RNA,GSM1152448
SRR870770,4000000,3.04e+08,76,166,SRX288480,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP023492,PRJNA206070,24056933,"",SRS431107,SAMN02183604,simple,7955,Danio rerio,GSM1152442,GEO,SRA082637,09,2013,Lee,WT 4hpf Total mRNA,WT 4hpf Total mRNA,MZpou5f1 4hpf Total mRNA,Whole embryos,MZpou5f1 {hi349Tg/hi349Tg},4hpf,none,total RNA,GSM1152449
SRR870771,4000000,3.04e+08,76,163,SRX288480,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP023492,PRJNA206070,24056933,"",SRS431107,SAMN02183604,simple,7955,Danio rerio,GSM1152442,GEO,SRA082637,09,2013,Lee,WT 4hpf Total mRNA,WT 4hpf Total mRNA,MZpou5f1 Nanog MO 4hpf Total mRNA,Whole embryos,MZpou5f1 {hi349Tg/hi349Tg},4hpf,Nanog MO,total RNA,GSM1152450
SRR870772,2692954,204664504,76,127,SRX288481,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP023492,PRJNA206070,24056933,"",SRS431108,SAMN02183605,simple,7955,Danio rerio,GSM1152443,GEO,SRA082637,09,2013,Lee,Alpha-amanitin 4hpf Total mRNA,Alpha-amanitin 4hpf Total mRNA,MZpou5f1 SoxB1 MO 4hpf Total mRNA,Whole embryos,MZpou5f1 {hi349Tg/hi349Tg},4hpf,SoxB1 MO,total RNA,GSM1152451
