Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain/genotype,GEO Accession
SRR7215552,89969087,4498454350,50,1367,SRX4122475,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP148900,PRJNA472988,30532217,"",SRS3337101,SAMN09255539,simple,4932,Saccharomyces cerevisiae,GSM3153804,GEO,SRA710377,03,2019,Zeidan,Whole cells,Ribo_dcp2∆two_replicate 1,Whole cells,"CFY1016 (MATa ade2-1 ura3-1 his3-11,15 trp1-1 leu2-3,112 can1-100) dcp2delta::HIS3)",GSM3153804
SRR7215553,90634889,4531744450,50,1364,SRX4122476,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP148900,PRJNA472988,30532217,"",SRS3337102,SAMN09255538,simple,4932,Saccharomyces cerevisiae,GSM3153806,GEO,SRA710377,03,2019,Zeidan,Whole cells,Ribo_dcp2∆two_replicate 2,Whole cells,"CFY1016 (MATa ade2-1 ura3-1 his3-11,15 trp1-1 leu2-3,112 can1-100) dcp2delta::HIS3)",GSM3153806
SRR7215554,126519503,6325975150,50,1917,SRX4122477,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP148900,PRJNA472988,30532217,"",SRS3337114,SAMN09255537,simple,4932,Saccharomyces cerevisiae,GSM3153808,GEO,SRA710377,03,2019,Zeidan,Whole cells,Ribo_dcp2∆dhh1∆_replicate 1,Whole cells,"QZY128 (MATa ade2-1 ura3-1 his3-11,15 trp1-1 leu2-3,112 can1-100) dcp2delta::HIS3 dhh1delta::KanMX4)",GSM3153808
SRR7215555,100912372,5045618600,50,1511,SRX4122478,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP148900,PRJNA472988,30532217,"",SRS3337103,SAMN09255536,simple,4932,Saccharomyces cerevisiae,GSM3153810,GEO,SRA710377,03,2019,Zeidan,Whole cells,Ribo_dcp2∆dhh1∆_replicate 2,Whole cells,"QZY128 (MATa ade2-1 ura3-1 his3-11,15 trp1-1 leu2-3,112 can1-100) dcp2delta::HIS3 dhh1delta::KanMX4)",GSM3153810
SRR7215556,106237006,5311850300,50,1652,SRX4122479,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP148900,PRJNA472988,30532217,"",SRS3337104,SAMN09255535,simple,4932,Saccharomyces cerevisiae,GSM3153813,GEO,SRA710377,03,2019,Zeidan,Whole cells,mRNA_dcp2∆one_replicate 1,Whole cells,"CFY1016 (MATa ade2-1 ura3-1 his3-11,15 trp1-1 leu2-3,112 can1-100) dcp2delta::HIS3)",GSM3153813
SRR7215557,93815457,4690772850,50,1454,SRX4122480,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP148900,PRJNA472988,30532217,"",SRS3337105,SAMN09255534,simple,4932,Saccharomyces cerevisiae,GSM3153815,GEO,SRA710377,03,2019,Zeidan,Whole cells,mRNA_dcp2∆one_replicate 2,Whole cells,"CFY1016 (MATa ade2-1 ura3-1 his3-11,15 trp1-1 leu2-3,112 can1-100) dcp2delta::HIS3)",GSM3153815
SRR7215558,76660862,3833043100,50,1195,SRX4122481,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP148900,PRJNA472988,30532217,"",SRS3337106,SAMN09255533,simple,4932,Saccharomyces cerevisiae,GSM3153817,GEO,SRA710377,03,2019,Zeidan,Whole cells,mRNA_dcp2∆scd6∆_replicate 1,Whole cells,"FZY843 (MATa ade2-1 ura3-1 his3-11,15 trp1-1 leu2-3,112 can1-100) dcp2delta::HIS3 scd6delta::KanMX4)",GSM3153817
SRR7215559,75539417,3776970850,50,1176,SRX4122482,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP148900,PRJNA472988,30532217,"",SRS3337107,SAMN09255532,simple,4932,Saccharomyces cerevisiae,GSM3153819,GEO,SRA710377,03,2019,Zeidan,Whole cells,mRNA_dcp2∆scd6∆_replicate 2,Whole cells,"FZY843 (MATa ade2-1 ura3-1 his3-11,15 trp1-1 leu2-3,112 can1-100) dcp2delta::HIS3 scd6delta::KanMX4)",GSM3153819
SRR7215560,91384214,4569210700,50,1431,SRX4122483,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP148900,PRJNA472988,30532217,"",SRS3337108,SAMN09255531,simple,4932,Saccharomyces cerevisiae,GSM3153821,GEO,SRA710377,03,2019,Zeidan,Whole cells,mRNA_dcp2∆two_replicate 1,Whole cells,"CFY1016 (MATa ade2-1 ura3-1 his3-11,15 trp1-1 leu2-3,112 can1-100) dcp2delta::HIS3)",GSM3153821
SRR7215561,95778099,4788904950,50,1506,SRX4122484,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP148900,PRJNA472988,30532217,"",SRS3337109,SAMN09255530,simple,4932,Saccharomyces cerevisiae,GSM3153823,GEO,SRA710377,03,2019,Zeidan,Whole cells,mRNA_dcp2∆two_replicate 2,Whole cells,"CFY1016 (MATa ade2-1 ura3-1 his3-11,15 trp1-1 leu2-3,112 can1-100) dcp2delta::HIS3)",GSM3153823
SRR7215562,89921993,4496099650,50,1405,SRX4122485,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP148900,PRJNA472988,30532217,"",SRS3337110,SAMN09255529,simple,4932,Saccharomyces cerevisiae,GSM3153825,GEO,SRA710377,03,2019,Zeidan,Whole cells,mRNA_dcp2∆dhh1∆_replicate 1,Whole cells,"QZY128 (MATa ade2-1 ura3-1 his3-11,15 trp1-1 leu2-3,112 can1-100) dcp2delta::HIS3 dhh1delta::KanMX4)",GSM3153825
SRR7215563,86537786,4326889300,50,1355,SRX4122486,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP148900,PRJNA472988,30532217,"",SRS3337111,SAMN09255528,simple,4932,Saccharomyces cerevisiae,GSM3153826,GEO,SRA710377,03,2019,Zeidan,Whole cells,mRNA_dcp2∆dhh1∆_replicate 2,Whole cells,"QZY128 (MATa ade2-1 ura3-1 his3-11,15 trp1-1 leu2-3,112 can1-100) dcp2delta::HIS3 dhh1delta::KanMX4)",GSM3153826
