Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,vector,treatment,cell line
SRR18017749,29652731,1061525835,35,407,SRX14171966,GSM5899108,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 2000,SRP359785,PRJNA806946,36433934,"",SRS11995929,SAMN25941494,simple,9606,Homo sapiens,GSM5899108,"van Heesch, Princess Maxima Center",SRA1372962,12,2022,Palomar-Siles,epithelial,Ribo-Seq H1299-EV5FUR-3,epithelial,EV,FUr,H1299
SRR18017748,21351752,770902983,36,305,SRX14171967,GSM5899109,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 2000,SRP359785,PRJNA806946,36433934,"",SRS11995930,SAMN25941493,simple,9606,Homo sapiens,GSM5899109,"van Heesch, Princess Maxima Center",SRA1372962,12,2022,Palomar-Siles,epithelial,Ribo-Seq H1299-EV5FUR-4,epithelial,EV,FUr,H1299
SRR18017747,35225531,1266885373,35,491,SRX14171968,GSM5899110,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 2000,SRP359785,PRJNA806946,36433934,"",SRS11995931,SAMN25941492,simple,9606,Homo sapiens,GSM5899110,"van Heesch, Princess Maxima Center",SRA1372962,12,2022,Palomar-Siles,epithelial,Ribo-Seq H1299-R213X-1,epithelial,R213X,untreated,H1299
SRR18017746,34276147,1226823073,35,477,SRX14171969,GSM5899111,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 2000,SRP359785,PRJNA806946,36433934,"",SRS11995932,SAMN25941491,simple,9606,Homo sapiens,GSM5899111,"van Heesch, Princess Maxima Center",SRA1372962,12,2022,Palomar-Siles,epithelial,Ribo-Seq H1299-R213X-2,epithelial,R213X,untreated,H1299
SRR18017745,31535254,1133766082,35,442,SRX14171970,GSM5899112,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 2000,SRP359785,PRJNA806946,36433934,"",SRS11995933,SAMN25941490,simple,9606,Homo sapiens,GSM5899112,"van Heesch, Princess Maxima Center",SRA1372962,12,2022,Palomar-Siles,epithelial,Ribo-Seq H1299-R213X-3,epithelial,R213X,untreated,H1299
SRR18017744,33357708,1200984937,36,476,SRX14171971,GSM5899113,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 2000,SRP359785,PRJNA806946,36433934,"",SRS11995934,SAMN25941489,simple,9606,Homo sapiens,GSM5899113,"van Heesch, Princess Maxima Center",SRA1372962,12,2022,Palomar-Siles,epithelial,Ribo-Seq H1299-R213X-5,epithelial,R213X,untreated,H1299
SRR18017743,27102506,988692779,36,392,SRX14171972,GSM5899114,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 2000,SRP359785,PRJNA806946,36433934,"",SRS11995935,SAMN25941488,simple,9606,Homo sapiens,GSM5899114,"van Heesch, Princess Maxima Center",SRA1372962,12,2022,Palomar-Siles,epithelial,Ribo-Seq H1299-R213XG418-1,epithelial,R213X,G418,H1299
SRR18017742,32797299,1189853538,36,479,SRX14171973,GSM5899115,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 2000,SRP359785,PRJNA806946,36433934,"",SRS11995936,SAMN25941487,simple,9606,Homo sapiens,GSM5899115,"van Heesch, Princess Maxima Center",SRA1372962,12,2022,Palomar-Siles,epithelial,Ribo-Seq H1299-R213XG418-2,epithelial,R213X,G418,H1299
SRR18017741,29999790,1121359606,37,445,SRX14171974,GSM5899116,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 2000,SRP359785,PRJNA806946,36433934,"",SRS11995937,SAMN25941486,simple,9606,Homo sapiens,GSM5899116,"van Heesch, Princess Maxima Center",SRA1372962,12,2022,Palomar-Siles,epithelial,Ribo-Seq H1299-R213XG418-3,epithelial,R213X,G418,H1299
SRR18017740,39185167,1403837197,35,523,SRX14171975,GSM5899117,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 2000,SRP359785,PRJNA806946,36433934,"",SRS11995938,SAMN25941485,simple,9606,Homo sapiens,GSM5899117,"van Heesch, Princess Maxima Center",SRA1372962,12,2022,Palomar-Siles,epithelial,Ribo-Seq H1299-R213XG418-5,epithelial,R213X,G418,H1299
SRR18017739,22918936,838443764,36,331,SRX14171976,GSM5899118,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 2000,SRP359785,PRJNA806946,36433934,"",SRS11995939,SAMN25941484,simple,9606,Homo sapiens,GSM5899118,"van Heesch, Princess Maxima Center",SRA1372962,12,2022,Palomar-Siles,epithelial,Ribo-Seq H1299-R213X5FUR-1,epithelial,R213X,FUr,H1299
SRR18017738,37661865,1356806656,36,539,SRX14171977,GSM5899119,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 2000,SRP359785,PRJNA806946,36433934,"",SRS11995940,SAMN25941483,simple,9606,Homo sapiens,GSM5899119,"van Heesch, Princess Maxima Center",SRA1372962,12,2022,Palomar-Siles,epithelial,Ribo-Seq H1299-R213X5FUR-2,epithelial,R213X,FUr,H1299
SRR18017737,39751977,1421800923,35,539,SRX14171978,GSM5899120,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 2000,SRP359785,PRJNA806946,36433934,"",SRS11995941,SAMN25941482,simple,9606,Homo sapiens,GSM5899120,"van Heesch, Princess Maxima Center",SRA1372962,12,2022,Palomar-Siles,epithelial,Ribo-Seq H1299-R213X5FUR-4,epithelial,R213X,FUr,H1299
SRR18017736,36279258,1301575903,35,505,SRX14171979,GSM5899121,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 2000,SRP359785,PRJNA806946,36433934,"",SRS11995942,SAMN25941481,simple,9606,Homo sapiens,GSM5899121,"van Heesch, Princess Maxima Center",SRA1372962,12,2022,Palomar-Siles,epithelial,Ribo-Seq H1299-R213X5FUR-5,epithelial,R213X,FUr,H1299
