Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,ENA first public,ENA last update,External Id,INSDC center alias,INSDC center name,INSDC first public,INSDC last update,INSDC status,Submitter Id,broker name,common name,fraction,genotype,replicate,sample name,stimulus,Experimental Factor: genotype,Experimental Factor: compound,Experimental Factor: dose,Experimental Factor: protocol
ERR3765704,17097589,5129276700,150,1873,ERX3767451,wt.sorbitol.rna.1_p,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,ERP118980,PRJEB35858,1,"",ERS4190173,SAMEA6423960,simple,4896,Schizosaccharomyces pombe,SAMEA6423960,Department of Biochemistry University of Cambridge UK,ERA2320884,11,2020,Makar,"",wt.sorbitol.rna.1,2020-06-01,2019-12-17,SAMEA6423960,Department of Biochemistry University of Cambridge UK,Department of Biochemistry University of Cambridge UK,2020-06-01T04:03:51Z,2019-12-17T12:07:03Z,public,E-MTAB-8602:wt.sorbitol.rna.1,ArrayExpress,fission yeast,rRNA depleted total RNA,wild type genotype,1,E-MTAB-8602:wt.sorbitol.rna.1,osmotic shock,wild type genotype,sorbitol,1,RNA-Seq
ERR3765705,14785196,4435558800,150,1666,ERX3767452,wt.sorbitol.rna.2_p,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,ERP118980,PRJEB35858,1,"",ERS4190174,SAMEA6423961,simple,4896,Schizosaccharomyces pombe,SAMEA6423961,Department of Biochemistry University of Cambridge UK,ERA2320884,11,2020,Makar,"",wt.sorbitol.rna.2,2020-06-01,2019-12-17,SAMEA6423961,Department of Biochemistry University of Cambridge UK,Department of Biochemistry University of Cambridge UK,2020-06-01T04:03:51Z,2019-12-17T12:07:03Z,public,E-MTAB-8602:wt.sorbitol.rna.2,ArrayExpress,fission yeast,rRNA depleted total RNA,wild type genotype,2,E-MTAB-8602:wt.sorbitol.rna.2,osmotic shock,wild type genotype,sorbitol,1,RNA-Seq
ERR3765694,82362385,4118119250,50,1190,ERX3767453,s52a.control.ribo.1_s,OTHER,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,ERP118980,PRJEB35858,1,"",ERS4190175,SAMEA6423962,simple,4896,Schizosaccharomyces pombe,SAMEA6423962,Department of Biochemistry University of Cambridge UK,ERA2320884,11,2020,Makar,"",s52a.control.ribo.1,2020-06-01,2019-12-17,SAMEA6423962,Department of Biochemistry University of Cambridge UK,Department of Biochemistry University of Cambridge UK,2020-06-01T04:03:51Z,2019-12-17T12:07:03Z,public,E-MTAB-8602:s52a.control.ribo.1,ArrayExpress,fission yeast,ribosome protected fragments,eIF2alpha-S52A,1,E-MTAB-8602:s52a.control.ribo.1,,eIF2alpha-S52A,none,,Ribo-Seq
ERR3765695,45758931,2287946550,50,688,ERX3767454,s52a.control.ribo.2_s,OTHER,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,ERP118980,PRJEB35858,1,"",ERS4190176,SAMEA6423963,simple,4896,Schizosaccharomyces pombe,SAMEA6423963,Department of Biochemistry University of Cambridge UK,ERA2320884,11,2020,Makar,"",s52a.control.ribo.2,2020-06-01,2019-12-17,SAMEA6423963,Department of Biochemistry University of Cambridge UK,Department of Biochemistry University of Cambridge UK,2020-06-01T04:03:51Z,2019-12-17T12:07:04Z,public,E-MTAB-8602:s52a.control.ribo.2,ArrayExpress,fission yeast,ribosome protected fragments,eIF2alpha-S52A,2,E-MTAB-8602:s52a.control.ribo.2,,eIF2alpha-S52A,none,,Ribo-Seq
ERR3765696,48448921,2422446050,50,693,ERX3767455,sty1delta.control.ribo.1_s,OTHER,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,ERP118980,PRJEB35858,1,"",ERS4190177,SAMEA6423964,simple,4896,Schizosaccharomyces pombe,SAMEA6423964,Department of Biochemistry University of Cambridge UK,ERA2320884,11,2020,Makar,"",sty1delta.control.ribo.1,2020-06-01,2019-12-17,SAMEA6423964,Department of Biochemistry University of Cambridge UK,Department of Biochemistry University of Cambridge UK,2020-06-01T04:03:51Z,2019-12-17T12:07:04Z,public,E-MTAB-8602:sty1delta.control.ribo.1,ArrayExpress,fission yeast,ribosome protected fragments,sty1delta,1,E-MTAB-8602:sty1delta.control.ribo.1,,sty1delta,none,,Ribo-Seq
ERR3765697,68146508,3407325400,50,1021,ERX3767456,sty1delta.control.ribo.2_s,OTHER,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,ERP118980,PRJEB35858,1,"",ERS4190178,SAMEA6423965,simple,4896,Schizosaccharomyces pombe,SAMEA6423965,Department of Biochemistry University of Cambridge UK,ERA2320884,11,2020,Makar,"",sty1delta.control.ribo.2,2020-06-01,2019-12-17,SAMEA6423965,Department of Biochemistry University of Cambridge UK,Department of Biochemistry University of Cambridge UK,2020-06-01T04:03:51Z,2019-12-17T12:07:04Z,public,E-MTAB-8602:sty1delta.control.ribo.2,ArrayExpress,fission yeast,ribosome protected fragments,sty1delta,2,E-MTAB-8602:sty1delta.control.ribo.2,,sty1delta,none,,Ribo-Seq
ERR3765698,38766844,1938342200,50,553,ERX3767457,wt.control.ribo.1_s,OTHER,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,ERP118980,PRJEB35858,1,"",ERS4190179,SAMEA6423966,simple,4896,Schizosaccharomyces pombe,SAMEA6423966,Department of Biochemistry University of Cambridge UK,ERA2320884,11,2020,Makar,"",wt.control.ribo.1,2020-06-01,2019-12-17,SAMEA6423966,Department of Biochemistry University of Cambridge UK,Department of Biochemistry University of Cambridge UK,2020-06-01T04:03:51Z,2019-12-17T12:07:04Z,public,E-MTAB-8602:wt.control.ribo.1,ArrayExpress,fission yeast,ribosome protected fragments,wild type genotype,1,E-MTAB-8602:wt.control.ribo.1,,wild type genotype,none,,Ribo-Seq
ERR3765699,55541168,2777058400,50,832,ERX3767458,wt.control.ribo.2_s,OTHER,unspecified,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,ERP118980,PRJEB35858,1,"",ERS4190180,SAMEA6423967,simple,4896,Schizosaccharomyces pombe,SAMEA6423967,Department of Biochemistry University of Cambridge UK,ERA2320884,11,2020,Makar,"",wt.control.ribo.2,2020-06-01,2019-12-17,SAMEA6423967,Department of Biochemistry University of Cambridge UK,Department of Biochemistry University of Cambridge UK,2020-06-01T04:03:51Z,2019-12-17T12:07:04Z,public,E-MTAB-8602:wt.control.ribo.2,ArrayExpress,fission yeast,ribosome protected fragments,wild type genotype,2,E-MTAB-8602:wt.control.ribo.2,,wild type genotype,none,,Ribo-Seq
ERR3765706,17636804,5291041200,150,1942,ERX3767459,s52a.control.rna.1_p,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,ERP118980,PRJEB35858,1,"",ERS4190181,SAMEA6423968,simple,4896,Schizosaccharomyces pombe,SAMEA6423968,Department of Biochemistry University of Cambridge UK,ERA2320884,11,2020,Makar,"",s52a.control.rna.1,2020-06-01,2019-12-17,SAMEA6423968,Department of Biochemistry University of Cambridge UK,Department of Biochemistry University of Cambridge UK,2020-06-01T04:03:51Z,2019-12-17T12:07:04Z,public,E-MTAB-8602:s52a.control.rna.1,ArrayExpress,fission yeast,rRNA depleted total RNA,eIF2alpha-S52A,1,E-MTAB-8602:s52a.control.rna.1,,eIF2alpha-S52A,none,,RNA-Seq
ERR3765707,10302281,3090684300,150,1171,ERX3767460,s52a.control.rna.2_p,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,ERP118980,PRJEB35858,1,"",ERS4190182,SAMEA6423969,simple,4896,Schizosaccharomyces pombe,SAMEA6423969,Department of Biochemistry University of Cambridge UK,ERA2320884,11,2020,Makar,"",s52a.control.rna.2,2020-06-01,2019-12-17,SAMEA6423969,Department of Biochemistry University of Cambridge UK,Department of Biochemistry University of Cambridge UK,2020-06-01T04:03:51Z,2019-12-17T12:07:04Z,public,E-MTAB-8602:s52a.control.rna.2,ArrayExpress,fission yeast,rRNA depleted total RNA,eIF2alpha-S52A,2,E-MTAB-8602:s52a.control.rna.2,,eIF2alpha-S52A,none,,RNA-Seq
ERR3765708,16531582,4959474600,150,1845,ERX3767461,sty1delta.control.rna.1_p,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,ERP118980,PRJEB35858,1,"",ERS4190183,SAMEA6423970,simple,4896,Schizosaccharomyces pombe,SAMEA6423970,Department of Biochemistry University of Cambridge UK,ERA2320884,11,2020,Makar,"",sty1delta.control.rna.1,2020-06-01,2019-12-17,SAMEA6423970,Department of Biochemistry University of Cambridge UK,Department of Biochemistry University of Cambridge UK,2020-06-01T04:03:51Z,2019-12-17T12:07:04Z,public,E-MTAB-8602:sty1delta.control.rna.1,ArrayExpress,fission yeast,rRNA depleted total RNA,sty1delta,1,E-MTAB-8602:sty1delta.control.rna.1,,sty1delta,none,,RNA-Seq
ERR3765709,13387887,4016366100,150,1526,ERX3767462,sty1delta.control.rna.2_p,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,ERP118980,PRJEB35858,1,"",ERS4190184,SAMEA6423971,simple,4896,Schizosaccharomyces pombe,SAMEA6423971,Department of Biochemistry University of Cambridge UK,ERA2320884,11,2020,Makar,"",sty1delta.control.rna.2,2020-06-01,2019-12-17,SAMEA6423971,Department of Biochemistry University of Cambridge UK,Department of Biochemistry University of Cambridge UK,2020-06-01T04:03:51Z,2019-12-17T12:07:04Z,public,E-MTAB-8602:sty1delta.control.rna.2,ArrayExpress,fission yeast,rRNA depleted total RNA,sty1delta,2,E-MTAB-8602:sty1delta.control.rna.2,,sty1delta,none,,RNA-Seq
ERR3765710,16989570,5096871000,150,1880,ERX3767463,wt.control.rna.1_p,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,ERP118980,PRJEB35858,1,"",ERS4190185,SAMEA6423972,simple,4896,Schizosaccharomyces pombe,SAMEA6423972,Department of Biochemistry University of Cambridge UK,ERA2320884,11,2020,Makar,"",wt.control.rna.1,2020-06-01,2019-12-17,SAMEA6423972,Department of Biochemistry University of Cambridge UK,Department of Biochemistry University of Cambridge UK,2020-06-01T04:03:51Z,2019-12-17T12:07:04Z,public,E-MTAB-8602:wt.control.rna.1,ArrayExpress,fission yeast,rRNA depleted total RNA,wild type genotype,1,E-MTAB-8602:wt.control.rna.1,,wild type genotype,none,,RNA-Seq
ERR3765711,13870622,4161186600,150,1665,ERX3767464,wt.control.rna.2_p,RNA-Seq,Inverse rRNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,ERP118980,PRJEB35858,1,"",ERS4190186,SAMEA6423973,simple,4896,Schizosaccharomyces pombe,SAMEA6423973,Department of Biochemistry University of Cambridge UK,ERA2320884,11,2020,Makar,"",wt.control.rna.2,2020-06-01,2019-12-17,SAMEA6423973,Department of Biochemistry University of Cambridge UK,Department of Biochemistry University of Cambridge UK,2020-06-01T04:03:51Z,2019-12-17T12:07:04Z,public,E-MTAB-8602:wt.control.rna.2,ArrayExpress,fission yeast,rRNA depleted total RNA,wild type genotype,2,E-MTAB-8602:wt.control.rna.2,,wild type genotype,none,,RNA-Seq
