Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell type,treatment 1,treatment 2,library,molecule subtype,GEO Accession
SRR13762827,18474342,852707709,46,344,SRX10149504,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP307513,PRJNA703954,34554924,"",SRS8301821,SAMN18025993,simple,9606,Homo sapiens,GSM5099832,GEO,SRA1198815,02,2021,Thomaidou,Human fetal pancreatic bulbs,ENDOC-βH1 cells treated with cytokines rep 3 -ribosome profiling [EndoCyto],Human fetal pancreatic bulbs,EndoC-{beta}H1,IFNγ +IL1β,,Long-RNA sequencing,poly-A mRNA,GSM5099840
SRR13762828,18434667,852705123,46,352,SRX10149504,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP307513,PRJNA703954,34554924,"",SRS8301821,SAMN18025993,simple,9606,Homo sapiens,GSM5099832,GEO,SRA1198815,02,2021,Thomaidou,Human fetal pancreatic bulbs,ENDOC-βH1 cells treated with cytokines rep 3 -ribosome profiling [EndoCyto],Human fetal pancreatic bulbs,EndoC-{beta}H1,untreated,,Long-RNA sequencing,poly-A mRNA,GSM5099841
SRR13762829,16210774,750347246,46,299,SRX10149505,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP307513,PRJNA703954,34554924,"",SRS8301822,SAMN18025992,simple,9606,Homo sapiens,GSM5099833,GEO,SRA1198815,02,2021,Thomaidou,Human fetal pancreatic bulbs,ENDOC-βH1 cells non treated rep 1 -ribosome profiling [EndoNT],Human fetal pancreatic bulbs,EndoC-{beta}H1,IFNγ +IL1β,Harringtonine+Cyclohexamide,Ribosome profiling,Footprint mRNA,GSM5099830
SRR13762830,16166589,748490133,46,299,SRX10149505,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP307513,PRJNA703954,34554924,"",SRS8301822,SAMN18025992,simple,9606,Homo sapiens,GSM5099833,GEO,SRA1198815,02,2021,Thomaidou,Human fetal pancreatic bulbs,ENDOC-βH1 cells non treated rep 1 -ribosome profiling [EndoNT],Human fetal pancreatic bulbs,EndoC-{beta}H1,IFNγ +IL1β,Harringtonine+Cyclohexamide,Ribosome profiling,Footprint mRNA,GSM5099831
SRR13762831,16236110,751835563,46,299,SRX10149505,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP307513,PRJNA703954,34554924,"",SRS8301822,SAMN18025992,simple,9606,Homo sapiens,GSM5099833,GEO,SRA1198815,02,2021,Thomaidou,Human fetal pancreatic bulbs,ENDOC-βH1 cells non treated rep 1 -ribosome profiling [EndoNT],Human fetal pancreatic bulbs,EndoC-{beta}H1,IFNγ +IL1β,Harringtonine+Cyclohexamide,Ribosome profiling,Footprint mRNA,GSM5099832
SRR13762832,16266657,754994663,46,307,SRX10149505,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP307513,PRJNA703954,34554924,"",SRS8301822,SAMN18025992,simple,9606,Homo sapiens,GSM5099833,GEO,SRA1198815,02,2021,Thomaidou,Human fetal pancreatic bulbs,ENDOC-βH1 cells non treated rep 1 -ribosome profiling [EndoNT],Human fetal pancreatic bulbs,EndoC-{beta}H1,untreated,Harringtonine+Cyclohexamide,Ribosome profiling,Footprint mRNA,GSM5099833
SRR13762833,16330533,769803467,47,339,SRX10149506,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP307513,PRJNA703954,34554924,"",SRS8301823,SAMN18025991,simple,9606,Homo sapiens,GSM5099834,GEO,SRA1198815,02,2021,Thomaidou,Human fetal pancreatic bulbs,ENDOC-βH1 cells non treated rep 2 -ribosome profiling [NT1],Human fetal pancreatic bulbs,EndoC-{beta}H1,untreated,Harringtonine+Cyclohexamide,Ribosome profiling,Footprint mRNA,GSM5099834
SRR13762834,15578837,734470616,47,321,SRX10149506,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP307513,PRJNA703954,34554924,"",SRS8301823,SAMN18025991,simple,9606,Homo sapiens,GSM5099834,GEO,SRA1198815,02,2021,Thomaidou,Human fetal pancreatic bulbs,ENDOC-βH1 cells non treated rep 2 -ribosome profiling [NT1],Human fetal pancreatic bulbs,EndoC-{beta}H1,untreated,Harringtonine+Cyclohexamide,Ribosome profiling,Footprint mRNA,GSM5099835
SRR13762835,15839118,749572864,47,340,SRX10149506,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP307513,PRJNA703954,34554924,"",SRS8301823,SAMN18025991,simple,9606,Homo sapiens,GSM5099834,GEO,SRA1198815,02,2021,Thomaidou,Human fetal pancreatic bulbs,ENDOC-βH1 cells non treated rep 2 -ribosome profiling [NT1],Human fetal pancreatic bulbs,EndoC-{beta}H1,IFNγ +IL1β,,Long-RNA sequencing,poly-A mRNA,GSM5099836
SRR13762836,15322622,724951144,47,328,SRX10149506,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP307513,PRJNA703954,34554924,"",SRS8301823,SAMN18025991,simple,9606,Homo sapiens,GSM5099834,GEO,SRA1198815,02,2021,Thomaidou,Human fetal pancreatic bulbs,ENDOC-βH1 cells non treated rep 2 -ribosome profiling [NT1],Human fetal pancreatic bulbs,EndoC-{beta}H1,IFNγ +IL1β,,Long-RNA sequencing,poly-A mRNA,GSM5099837
SRR13762837,16448385,759562640,46,326,SRX10149507,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP307513,PRJNA703954,34554924,"",SRS8301824,SAMN18025990,simple,9606,Homo sapiens,GSM5099835,GEO,SRA1198815,02,2021,Thomaidou,Human fetal pancreatic bulbs,ENDOC-βH1 cells non treated rep 3 -ribosome profiling [NT2],Human fetal pancreatic bulbs,EndoC-{beta}H1,untreated,,Long-RNA sequencing,poly-A mRNA,GSM5099838
SRR13762838,15727211,726326408,46,310,SRX10149507,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP307513,PRJNA703954,34554924,"",SRS8301824,SAMN18025990,simple,9606,Homo sapiens,GSM5099835,GEO,SRA1198815,02,2021,Thomaidou,Human fetal pancreatic bulbs,ENDOC-βH1 cells non treated rep 3 -ribosome profiling [NT2],Human fetal pancreatic bulbs,EndoC-{beta}H1,untreated,,Long-RNA sequencing,poly-A mRNA,GSM5099839
SRR13762839,16020971,742898786,46,329,SRX10149507,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP307513,PRJNA703954,34554924,"",SRS8301824,SAMN18025990,simple,9606,Homo sapiens,GSM5099835,GEO,SRA1198815,02,2021,Thomaidou,Human fetal pancreatic bulbs,ENDOC-βH1 cells non treated rep 3 -ribosome profiling [NT2],Human fetal pancreatic bulbs,EndoC-{beta}H1,IFNγ +IL1β,,Long-RNA sequencing,poly-A mRNA,GSM5099840
SRR13762840,15515923,719318263,46,318,SRX10149507,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP307513,PRJNA703954,34554924,"",SRS8301824,SAMN18025990,simple,9606,Homo sapiens,GSM5099835,GEO,SRA1198815,02,2021,Thomaidou,Human fetal pancreatic bulbs,ENDOC-βH1 cells non treated rep 3 -ribosome profiling [NT2],Human fetal pancreatic bulbs,EndoC-{beta}H1,untreated,,Long-RNA sequencing,poly-A mRNA,GSM5099841
SRR13762841,1243918,1624811416,1306,1464,SRX10149508,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,OXFORD_NANOPORE,MinION,SRP307513,PRJNA703954,34554924,"",SRS8301825,SAMN18025989,simple,9606,Homo sapiens,GSM5099836,GEO,SRA1198815,02,2021,Thomaidou,Human fetal pancreatic bulbs,ENDOC-βH1 cells treated with cytokines rep 2 -long RNA seq [KOE4641],Human fetal pancreatic bulbs,EndoC-{beta}H1,IFNγ +IL1β,Harringtonine+Cyclohexamide,Ribosome profiling,Footprint mRNA,GSM5099830
SRR13762842,1910426,2379315207,1245,2147,SRX10149509,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,OXFORD_NANOPORE,MinION,SRP307513,PRJNA703954,34554924,"",SRS8301826,SAMN18025988,simple,9606,Homo sapiens,GSM5099837,GEO,SRA1198815,02,2021,Thomaidou,Human fetal pancreatic bulbs,ENDOC-βH1 cells treated with cytokines rep 3 -long RNA seq [KOE4642],Human fetal pancreatic bulbs,EndoC-{beta}H1,IFNγ +IL1β,Harringtonine+Cyclohexamide,Ribosome profiling,Footprint mRNA,GSM5099831
SRR13762843,1240926,1465941263,1181,1327,SRX10149510,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,OXFORD_NANOPORE,MinION,SRP307513,PRJNA703954,34554924,"",SRS8301827,SAMN18025987,simple,9606,Homo sapiens,GSM5099838,GEO,SRA1198815,02,2021,Thomaidou,Human fetal pancreatic bulbs,ENDOC-βH1 cells non treated rep 2 -long RNA seq [KOE4643],Human fetal pancreatic bulbs,EndoC-{beta}H1,IFNγ +IL1β,Harringtonine+Cyclohexamide,Ribosome profiling,Footprint mRNA,GSM5099832
SRR13762844,1466103,1530375557,1043,1389,SRX10149511,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,OXFORD_NANOPORE,MinION,SRP307513,PRJNA703954,34554924,"",SRS8301828,SAMN18025986,simple,9606,Homo sapiens,GSM5099839,GEO,SRA1198815,02,2021,Thomaidou,Human fetal pancreatic bulbs,ENDOC-βH1 cells non treated rep 3 -long RNA seq [KOE4644],Human fetal pancreatic bulbs,EndoC-{beta}H1,untreated,Harringtonine+Cyclohexamide,Ribosome profiling,Footprint mRNA,GSM5099833
SRR13762845,1611306,1461798482,907,1342,SRX10149512,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,OXFORD_NANOPORE,MinION,SRP307513,PRJNA703954,34554924,"",SRS8301829,SAMN18025985,simple,9606,Homo sapiens,GSM5099840,GEO,SRA1198815,02,2021,Thomaidou,Human fetal pancreatic bulbs,ENDOC-βH1 cells treated with cytokines rep 1 -long RNA seq [MON3618],Human fetal pancreatic bulbs,EndoC-{beta}H1,untreated,Harringtonine+Cyclohexamide,Ribosome profiling,Footprint mRNA,GSM5099834
SRR13762846,1806616,1584997086,877,1458,SRX10149513,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,OXFORD_NANOPORE,MinION,SRP307513,PRJNA703954,34554924,"",SRS8301830,SAMN18025984,simple,9606,Homo sapiens,GSM5099841,GEO,SRA1198815,02,2021,Thomaidou,Human fetal pancreatic bulbs,ENDOC-βH1 cells non treated rep 1 -long RNA seq [MON3619],Human fetal pancreatic bulbs,EndoC-{beta}H1,untreated,Harringtonine+Cyclohexamide,Ribosome profiling,Footprint mRNA,GSM5099835
