Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,strategy,treatment,GEO Accession
SRR1223702,24871285,1243564250,50,780,SRX513404,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041039,PRJNA244101,25119046,"",SRS590333,SAMN02721679,simple,4932,Saccharomyces cerevisiae,GSM1365929,GEO,SRA156986,07,2014,Zid,yeast EY0690,EY-RNA_-Glu15_Total_Replicate1,yeast BY4741,BY4741,RNA-seq,+Glucose,GSM1387089
SRR1223703,11331341,566567050,50,340,SRX513404,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041039,PRJNA244101,25119046,"",SRS590333,SAMN02721679,simple,4932,Saccharomyces cerevisiae,GSM1365929,GEO,SRA156986,07,2014,Zid,yeast EY0690,EY-RNA_-Glu15_Total_Replicate1,yeast EY0690,EY0690,RNA-seq,+Glucose,GSM1387090
SRR1223704,18566575,928328750,50,587,SRX513405,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041039,PRJNA244101,25119046,"",SRS590334,SAMN02721689,simple,4932,Saccharomyces cerevisiae,GSM1365930,GEO,SRA156986,07,2014,Zid,yeast EY0690,EY-RNA_-Glu15_RiboZero_Replicate1,yeast BY4741,BY4741,Ribosome Profiling,-Glucose15m,GSM1387091
SRR1223705,16112188,805609400,50,487,SRX513405,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041039,PRJNA244101,25119046,"",SRS590334,SAMN02721689,simple,4932,Saccharomyces cerevisiae,GSM1365930,GEO,SRA156986,07,2014,Zid,yeast EY0690,EY-RNA_-Glu15_RiboZero_Replicate1,yeast EY0690,EY0690,Ribosome Profiling,-Glucose15m,GSM1387092
SRR1223706,12734357,649452207,51,355,SRX513406,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041039,PRJNA244101,25119046,"",SRS590335,SAMN02721685,simple,4932,Saccharomyces cerevisiae,GSM1365931,GEO,SRA156986,07,2014,Zid,yeast EY0690,EY-RNA_-Glu15_polyA_Replicate1,yeast BY4741,BY4741,RNA-seq,-Glucose15m,GSM1387093
SRR1288391,17778707,640033452,36,282,SRX543755,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP041039,PRJNA244101,25119046,"",SRS607659,SAMN02781052,simple,4932,Saccharomyces cerevisiae,GSM1387087,GEO,SRA156986,07,2015,Zid,yeast BY4741,BY-Ribo_logphase_Replicate2,yeast EY0690,EY0690,RNA-seq,-Glucose15m,GSM1387094
SRR1288392,4000000,2.08e+08,52,112,SRX543756,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041039,PRJNA244101,25119046,"",SRS607660,SAMN02781055,simple,4932,Saccharomyces cerevisiae,GSM1387088,GEO,SRA156986,07,2014,Zid,yeast EY0690,EY-Ribo_logphase_Replicate2,yeast BY4741,BY4741,Ribosome Profiling,+Glucose,GSM1365918
SRR1288393,4000000,2.08e+08,52,111,SRX543756,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041039,PRJNA244101,25119046,"",SRS607660,SAMN02781055,simple,4932,Saccharomyces cerevisiae,GSM1387088,GEO,SRA156986,07,2014,Zid,yeast EY0690,EY-Ribo_logphase_Replicate2,yeast EY0690,EY0690,Ribosome Profiling,+Glucose,GSM1365919
SRR1288394,4000000,2.08e+08,52,111,SRX543756,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041039,PRJNA244101,25119046,"",SRS607660,SAMN02781055,simple,4932,Saccharomyces cerevisiae,GSM1387088,GEO,SRA156986,07,2014,Zid,yeast EY0690,EY-Ribo_logphase_Replicate2,yeast BY4741,BY4741,RNA-seq,+Glucose,GSM1365920
SRR1288395,4000000,2.08e+08,52,111,SRX543756,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041039,PRJNA244101,25119046,"",SRS607660,SAMN02781055,simple,4932,Saccharomyces cerevisiae,GSM1387088,GEO,SRA156986,07,2014,Zid,yeast EY0690,EY-Ribo_logphase_Replicate2,yeast BY4741,BY4741,RNA-seq,+Glucose,GSM1365921
SRR1288396,2300685,119635620,52,64,SRX543756,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041039,PRJNA244101,25119046,"",SRS607660,SAMN02781055,simple,4932,Saccharomyces cerevisiae,GSM1387088,GEO,SRA156986,07,2014,Zid,yeast EY0690,EY-Ribo_logphase_Replicate2,yeast EY0690,EY0690,RNA-seq,+Glucose,GSM1365922
SRR1288397,17569655,632507580,36,278,SRX543757,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP041039,PRJNA244101,25119046,"",SRS607661,SAMN02781054,simple,4932,Saccharomyces cerevisiae,GSM1387089,GEO,SRA156986,07,2015,Zid,yeast BY4741,BY-RNA_logphase_polyA_Replicate2,yeast EY0690,EY0690,RNA-seq,+Glucose,GSM1365923
SRR1288398,4000000,2.08e+08,52,115,SRX543758,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041039,PRJNA244101,25119046,"",SRS607662,SAMN02781053,simple,4932,Saccharomyces cerevisiae,GSM1387090,GEO,SRA156986,07,2014,Zid,yeast EY0690,EY-RNA_logphase_polyA_Replicate2,yeast EY0690,EY0690,RNA-seq,+Glucose,GSM1365924
SRR1288399,3067230,159495960,52,88,SRX543758,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041039,PRJNA244101,25119046,"",SRS607662,SAMN02781053,simple,4932,Saccharomyces cerevisiae,GSM1387090,GEO,SRA156986,07,2014,Zid,yeast EY0690,EY-RNA_logphase_polyA_Replicate2,yeast BY4741,BY4741,Ribosome Profiling,-Glucose15m,GSM1365925
SRR1288400,20351396,732650256,36,340,SRX543759,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP041039,PRJNA244101,25119046,"",SRS607663,SAMN02781050,simple,4932,Saccharomyces cerevisiae,GSM1387091,GEO,SRA156986,07,2015,Zid,yeast BY4741,BY-Ribo_-Glu15_Replicate2,yeast EY0690,EY0690,Ribosome Profiling,-Glucose15m,GSM1365926
SRR1288401,4000000,2.08e+08,52,113,SRX543760,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041039,PRJNA244101,25119046,"",SRS607664,SAMN02781051,simple,4932,Saccharomyces cerevisiae,GSM1387092,GEO,SRA156986,07,2014,Zid,yeast EY0690,EY-Ribo_-Glu15_Replicate2,yeast BY4741,BY4741,RNA-seq,-Glucose15m,GSM1365927
SRR1288402,4000000,2.08e+08,52,113,SRX543760,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041039,PRJNA244101,25119046,"",SRS607664,SAMN02781051,simple,4932,Saccharomyces cerevisiae,GSM1387092,GEO,SRA156986,07,2014,Zid,yeast EY0690,EY-Ribo_-Glu15_Replicate2,yeast BY4741,BY4741,RNA-seq,-Glucose15m,GSM1365928
SRR1288403,4000000,2.08e+08,52,113,SRX543760,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041039,PRJNA244101,25119046,"",SRS607664,SAMN02781051,simple,4932,Saccharomyces cerevisiae,GSM1387092,GEO,SRA156986,07,2014,Zid,yeast EY0690,EY-Ribo_-Glu15_Replicate2,yeast EY0690,EY0690,RNA-seq,-Glucose15m,GSM1365929
SRR1288404,1637998,85175896,52,46,SRX543760,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041039,PRJNA244101,25119046,"",SRS607664,SAMN02781051,simple,4932,Saccharomyces cerevisiae,GSM1387092,GEO,SRA156986,07,2014,Zid,yeast EY0690,EY-Ribo_-Glu15_Replicate2,yeast EY0690,EY0690,RNA-seq,-Glucose15m,GSM1365930
SRR1288405,15079613,542866068,36,260,SRX543761,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP041039,PRJNA244101,25119046,"",SRS607665,SAMN02781057,simple,4932,Saccharomyces cerevisiae,GSM1387093,GEO,SRA156986,07,2015,Zid,yeast BY4741,BY-RNA_-Glu15_polyA_Replicate2,yeast EY0690,EY0690,RNA-seq,-Glucose15m,GSM1365931
SRR1288406,4000000,2.08e+08,52,115,SRX543762,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041039,PRJNA244101,25119046,"",SRS607666,SAMN02781056,simple,4932,Saccharomyces cerevisiae,GSM1387094,GEO,SRA156986,07,2014,Zid,yeast EY0690,EY-RNA_-Glu15_polyA_Replicate2,yeast BY4741,BY4741,Ribosome Profiling,+Glucose,GSM1387087
SRR1288407,4000000,2.08e+08,52,114,SRX543762,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041039,PRJNA244101,25119046,"",SRS607666,SAMN02781056,simple,4932,Saccharomyces cerevisiae,GSM1387094,GEO,SRA156986,07,2014,Zid,yeast EY0690,EY-RNA_-Glu15_polyA_Replicate2,yeast EY0690,EY0690,Ribosome Profiling,+Glucose,GSM1387088
SRR1288408,2415215,125591180,52,69,SRX543762,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP041039,PRJNA244101,25119046,"",SRS607666,SAMN02781056,simple,4932,Saccharomyces cerevisiae,GSM1387094,GEO,SRA156986,07,2014,Zid,yeast EY0690,EY-RNA_-Glu15_polyA_Replicate2,yeast BY4741,BY4741,RNA-seq,+Glucose,GSM1387089
