Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,shRNA,fraction,GEO Accession
SRR8135336,21205460,1060273000,50,366,SRX4956358,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP167238,PRJNA501872,30867593,"",SRS3997282,SAMN10347827,simple,9606,Homo sapiens,GSM3450419,GEO,SRA800748,02,2019,Huang,HepG2 cells,HepG2 shCtrl Ribo rep1 (Ribo-seq),HepG2 cells,HepG2,Non specific control,input,GSM3450413
SRR8135337,16980756,849037800,50,283,SRX4956358,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP167238,PRJNA501872,30867593,"",SRS3997282,SAMN10347827,simple,9606,Homo sapiens,GSM3450419,GEO,SRA800748,02,2019,Huang,HepG2 cells,HepG2 shCtrl Ribo rep1 (Ribo-seq),HepG2 cells,HepG2,Non specific control,input,GSM3450414
SRR8135338,27161532,1358076600,50,464,SRX4956359,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP167238,PRJNA501872,30867593,"",SRS3997281,SAMN10347826,simple,9606,Homo sapiens,GSM3450420,GEO,SRA800748,02,2019,Huang,HepG2 cells,HepG2 shCtrl Ribo rep2 (Ribo-seq),HepG2 cells,HepG2,shMETTL14,input,GSM3450415
SRR8135339,16323567,816178350,50,270,SRX4956359,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP167238,PRJNA501872,30867593,"",SRS3997281,SAMN10347826,simple,9606,Homo sapiens,GSM3450420,GEO,SRA800748,02,2019,Huang,HepG2 cells,HepG2 shCtrl Ribo rep2 (Ribo-seq),HepG2 cells,HepG2,shMETTL14,input,GSM3450416
SRR8135340,21125504,1056275200,50,365,SRX4956360,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP167238,PRJNA501872,30867593,"",SRS3997286,SAMN10347825,simple,9606,Homo sapiens,GSM3450421,GEO,SRA800748,02,2019,Huang,HepG2 cells,HepG2 shMETTL14 Ribo rep1 (Ribo-seq),HepG2 cells,HepG2,shSETD2,input,GSM3450417
SRR8135341,22795732,1139786600,50,381,SRX4956360,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP167238,PRJNA501872,30867593,"",SRS3997286,SAMN10347825,simple,9606,Homo sapiens,GSM3450421,GEO,SRA800748,02,2019,Huang,HepG2 cells,HepG2 shMETTL14 Ribo rep1 (Ribo-seq),HepG2 cells,HepG2,shSETD2,input,GSM3450418
SRR8135342,20893068,1044653400,50,360,SRX4956361,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP167238,PRJNA501872,30867593,"",SRS3997292,SAMN10347824,simple,9606,Homo sapiens,GSM3450422,GEO,SRA800748,02,2019,Huang,HepG2 cells,HepG2 shMETTL14 Ribo rep2 (Ribo-seq),HepG2 cells,HepG2,Non specific control,80S monosome,GSM3450419
SRR8135343,21076832,1053841600,50,353,SRX4956361,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP167238,PRJNA501872,30867593,"",SRS3997292,SAMN10347824,simple,9606,Homo sapiens,GSM3450422,GEO,SRA800748,02,2019,Huang,HepG2 cells,HepG2 shMETTL14 Ribo rep2 (Ribo-seq),HepG2 cells,HepG2,Non specific control,80S monosome,GSM3450420
SRR8135344,28250433,1412521650,50,489,SRX4956362,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP167238,PRJNA501872,30867593,"",SRS3997285,SAMN10347823,simple,9606,Homo sapiens,GSM3450423,GEO,SRA800748,02,2019,Huang,HepG2 cells,HepG2 shSETD2 Ribo rep1 (Ribo-seq),HepG2 cells,HepG2,shMETTL14,80S monosome,GSM3450421
SRR8135345,13212460,660623000,50,222,SRX4956362,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP167238,PRJNA501872,30867593,"",SRS3997285,SAMN10347823,simple,9606,Homo sapiens,GSM3450423,GEO,SRA800748,02,2019,Huang,HepG2 cells,HepG2 shSETD2 Ribo rep1 (Ribo-seq),HepG2 cells,HepG2,shMETTL14,80S monosome,GSM3450422
SRR8135346,20225155,1011257750,50,348,SRX4956363,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP167238,PRJNA501872,30867593,"",SRS3997283,SAMN10347822,simple,9606,Homo sapiens,GSM3450424,GEO,SRA800748,02,2019,Huang,HepG2 cells,HepG2 shSETD2 Ribo rep2 (Ribo-seq),HepG2 cells,HepG2,shSETD2,80S monosome,GSM3450423
SRR8135347,22530044,1126502200,50,375,SRX4956363,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP167238,PRJNA501872,30867593,"",SRS3997283,SAMN10347822,simple,9606,Homo sapiens,GSM3450424,GEO,SRA800748,02,2019,Huang,HepG2 cells,HepG2 shSETD2 Ribo rep2 (Ribo-seq),HepG2 cells,HepG2,shSETD2,80S monosome,GSM3450424
