Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell type,cell subtype,GEO Accession
SRR12833410,23086782,1154339100,50,698,SRX9300954,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP287555,PRJNA669814,34732567,"",SRS7534290,SAMN16475084,simple,9606,Homo sapiens,GSM4832657,GEO,SRA1144796,03,2021,Nicolet,CD42 negative megakaryocytes,CD42 negative megakaryocytes replicate 3,CD42 negative megakaryocytes,Cultured human cord blood-derived CD34+ cells,CD42 negative megakaryocytes,GSM4832653
SRR12833411,23250972,1162548600,50,709,SRX9300954,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP287555,PRJNA669814,34732567,"",SRS7534290,SAMN16475084,simple,9606,Homo sapiens,GSM4832657,GEO,SRA1144796,03,2021,Nicolet,CD42 negative megakaryocytes,CD42 negative megakaryocytes replicate 3,CD42 positive megakaryocytes,Cultured human cord blood-derived CD34+ cells,CD42 positive megakaryocytes,GSM4832654
SRR12833412,22943064,1147153200,50,653,SRX9300954,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP287555,PRJNA669814,34732567,"",SRS7534290,SAMN16475084,simple,9606,Homo sapiens,GSM4832657,GEO,SRA1144796,03,2021,Nicolet,CD42 negative megakaryocytes,CD42 negative megakaryocytes replicate 3,CD42 negative megakaryocytes,Cultured human cord blood-derived CD34+ cells,CD42 negative megakaryocytes,GSM4832655
SRR12833413,23379109,1168955450,50,494,SRX9300954,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP287555,PRJNA669814,34732567,"",SRS7534290,SAMN16475084,simple,9606,Homo sapiens,GSM4832657,GEO,SRA1144796,03,2021,Nicolet,CD42 negative megakaryocytes,CD42 negative megakaryocytes replicate 3,CD42 positive megakaryocytes,Cultured human cord blood-derived CD34+ cells,CD42 positive megakaryocytes,GSM4832656
SRR12833414,24277253,1213862650,50,518,SRX9300954,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP287555,PRJNA669814,34732567,"",SRS7534290,SAMN16475084,simple,9606,Homo sapiens,GSM4832657,GEO,SRA1144796,03,2021,Nicolet,CD42 negative megakaryocytes,CD42 negative megakaryocytes replicate 3,CD42 negative megakaryocytes,Cultured human cord blood-derived CD34+ cells,CD42 negative megakaryocytes,GSM4832657
SRR12833415,24304918,1215245900,50,519,SRX9300954,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP287555,PRJNA669814,34732567,"",SRS7534290,SAMN16475084,simple,9606,Homo sapiens,GSM4832657,GEO,SRA1144796,03,2021,Nicolet,CD42 negative megakaryocytes,CD42 negative megakaryocytes replicate 3,CD42 positive megakaryocytes,Cultured human cord blood-derived CD34+ cells,CD42 positive megakaryocytes,GSM4832658
SRR12833416,24719336,1235966800,50,741,SRX9300955,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP287555,PRJNA669814,34732567,"",SRS7534289,SAMN16475083,simple,9606,Homo sapiens,GSM4832658,GEO,SRA1144796,03,2021,Nicolet,CD42 positive megakaryocytes,CD42 positive megakaryocytes replicate 3,CD42 negative megakaryocytes,Cultured human cord blood-derived CD34+ cells,CD42 negative megakaryocytes,GSM4832653
SRR12833417,24857365,1242868250,50,752,SRX9300955,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP287555,PRJNA669814,34732567,"",SRS7534289,SAMN16475083,simple,9606,Homo sapiens,GSM4832658,GEO,SRA1144796,03,2021,Nicolet,CD42 positive megakaryocytes,CD42 positive megakaryocytes replicate 3,CD42 positive megakaryocytes,Cultured human cord blood-derived CD34+ cells,CD42 positive megakaryocytes,GSM4832654
SRR12833418,24607319,1230365950,50,743,SRX9300955,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP287555,PRJNA669814,34732567,"",SRS7534289,SAMN16475083,simple,9606,Homo sapiens,GSM4832658,GEO,SRA1144796,03,2021,Nicolet,CD42 positive megakaryocytes,CD42 positive megakaryocytes replicate 3,CD42 negative megakaryocytes,Cultured human cord blood-derived CD34+ cells,CD42 negative megakaryocytes,GSM4832655
SRR12833419,24595126,1229756300,50,520,SRX9300955,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP287555,PRJNA669814,34732567,"",SRS7534289,SAMN16475083,simple,9606,Homo sapiens,GSM4832658,GEO,SRA1144796,03,2021,Nicolet,CD42 positive megakaryocytes,CD42 positive megakaryocytes replicate 3,CD42 positive megakaryocytes,Cultured human cord blood-derived CD34+ cells,CD42 positive megakaryocytes,GSM4832656
SRR12833420,25672185,1283609250,50,541,SRX9300955,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP287555,PRJNA669814,34732567,"",SRS7534289,SAMN16475083,simple,9606,Homo sapiens,GSM4832658,GEO,SRA1144796,03,2021,Nicolet,CD42 positive megakaryocytes,CD42 positive megakaryocytes replicate 3,CD42 negative megakaryocytes,Cultured human cord blood-derived CD34+ cells,CD42 negative megakaryocytes,GSM4832657
SRR12833421,25712976,1285648800,50,542,SRX9300955,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP287555,PRJNA669814,34732567,"",SRS7534289,SAMN16475083,simple,9606,Homo sapiens,GSM4832658,GEO,SRA1144796,03,2021,Nicolet,CD42 positive megakaryocytes,CD42 positive megakaryocytes replicate 3,CD42 positive megakaryocytes,Cultured human cord blood-derived CD34+ cells,CD42 positive megakaryocytes,GSM4832658
