Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell type,GEO Accession
SRR6869745,20313324,5078331000,125,2101,SRX3824003,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP136094,PRJNA439265,31174582,"",SRS3073332,SAMN08743016,simple,9606,Homo sapiens,GSM3057205,GEO,SRA668547,05,2019,Bornelöv,H9 cells,RNAseq differentiating rep2,H9 cells,human embryonic stem cells,GSM3057210
SRR6869746,20351088,5087772000,125,2104,SRX3824003,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP136094,PRJNA439265,31174582,"",SRS3073332,SAMN08743016,simple,9606,Homo sapiens,GSM3057205,GEO,SRA668547,05,2019,Bornelöv,H9 cells,RNAseq differentiating rep2,H9 cells,human embryonic stem cells,GSM3057211
SRR6869747,25777767,6444441750,125,2640,SRX3824004,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP136094,PRJNA439265,31174582,"",SRS3073333,SAMN08743015,simple,9606,Homo sapiens,GSM3057206,GEO,SRA668547,05,2019,Bornelöv,H9 cells,RNAseq differentiating rep3,H9 cells,human embryonic stem cells,GSM3057212
SRR6869748,25830566,6457641500,125,2647,SRX3824004,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP136094,PRJNA439265,31174582,"",SRS3073333,SAMN08743015,simple,9606,Homo sapiens,GSM3057206,GEO,SRA668547,05,2019,Bornelöv,H9 cells,RNAseq differentiating rep3,H9 cells,human embryonic stem cells,GSM3057213
SRR6869749,25897789,6474447250,125,2637,SRX3824005,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP136094,PRJNA439265,31174582,"",SRS3073342,SAMN08743014,simple,9606,Homo sapiens,GSM3057207,GEO,SRA668547,05,2019,Bornelöv,H9 cells,RNAseq differentiating rep4,H9 cells,human embryonic stem cells,GSM3057214
SRR6869750,25944924,6486231000,125,2642,SRX3824005,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP136094,PRJNA439265,31174582,"",SRS3073342,SAMN08743014,simple,9606,Homo sapiens,GSM3057207,GEO,SRA668547,05,2019,Bornelöv,H9 cells,RNAseq differentiating rep4,H9 cells,human embryonic stem cells,GSM3057215
SRR6869751,28044843,1402242150,50,618,SRX3824006,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP136094,PRJNA439265,31174582,"",SRS3073334,SAMN08743013,simple,9606,Homo sapiens,GSM3057208,GEO,SRA668547,05,2019,Bornelöv,H9 cells,Riboseq self-renewing rep1,H9 cells,human embryonic stem cells,GSM3057200
SRR6869752,19282869,964143450,50,426,SRX3824007,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP136094,PRJNA439265,31174582,"",SRS3073335,SAMN08743012,simple,9606,Homo sapiens,GSM3057209,GEO,SRA668547,05,2019,Bornelöv,H9 cells,Riboseq self-renewing rep2,H9 cells,human embryonic stem cells,GSM3057201
SRR6869753,24306647,1215332350,50,534,SRX3824008,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP136094,PRJNA439265,31174582,"",SRS3073336,SAMN08743011,simple,9606,Homo sapiens,GSM3057210,GEO,SRA668547,05,2019,Bornelöv,H9 cells,Riboseq self-renewing rep3,H9 cells,human embryonic stem cells,GSM3057202
SRR6869754,18003822,900191100,50,398,SRX3824009,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP136094,PRJNA439265,31174582,"",SRS3073337,SAMN08743010,simple,9606,Homo sapiens,GSM3057211,GEO,SRA668547,05,2019,Bornelöv,H9 cells,Riboseq self-renewing rep4,H9 cells,human embryonic stem cells,GSM3057203
SRR6869755,18790023,939501150,50,413,SRX3824010,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP136094,PRJNA439265,31174582,"",SRS3073338,SAMN08743009,simple,9606,Homo sapiens,GSM3057212,GEO,SRA668547,05,2019,Bornelöv,H9 cells,Riboseq differentiating rep1,H9 cells,human embryonic stem cells,GSM3057204
SRR6869756,22562947,1128147350,50,499,SRX3824011,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP136094,PRJNA439265,31174582,"",SRS3073339,SAMN08743008,simple,9606,Homo sapiens,GSM3057213,GEO,SRA668547,05,2019,Bornelöv,H9 cells,Riboseq differentiating rep2,H9 cells,human embryonic stem cells,GSM3057205
SRR6869757,20558434,1027921700,50,452,SRX3824012,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP136094,PRJNA439265,31174582,"",SRS3073340,SAMN08743007,simple,9606,Homo sapiens,GSM3057214,GEO,SRA668547,05,2019,Bornelöv,H9 cells,Riboseq differentiating rep3,H9 cells,human embryonic stem cells,GSM3057206
SRR6869758,25803528,1290176400,50,569,SRX3824013,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP136094,PRJNA439265,31174582,"",SRS3073341,SAMN08743006,simple,9606,Homo sapiens,GSM3057215,GEO,SRA668547,05,2019,Bornelöv,H9 cells,Riboseq differentiating rep4,H9 cells,human embryonic stem cells,GSM3057207
