Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,shRNA status,molecule type,GEO Accession
SRR12730641,31475744,4721361600,75,2954,SRX9203995,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP285644,PRJNA666167,33664453,"",SRS7438929,SAMN16282452,simple,9606,Homo sapiens,GSM4805340,GEO,SRA1133793,04,2021,Reinsborough,MDA-MB-231 cell line,RNASeq-shBCDIN3D-RapMinus-Rep1,MDA-MB-231 cell line,MDA-MB-231,shBCDIN3D,total RNA,GSM4805340
SRR12730642,29037861,4355679150,75,2728,SRX9203996,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP285644,PRJNA666167,33664453,"",SRS7438930,SAMN16282451,simple,9606,Homo sapiens,GSM4805341,GEO,SRA1133793,04,2021,Reinsborough,MDA-MB-231 cell line,RNASeq-shBCDIN3D-RapPlus-Rep1,MDA-MB-231 cell line,MDA-MB-231,shBCDIN3D,total RNA,GSM4805341
SRR12730643,31654441,4748166150,75,2981,SRX9203997,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP285644,PRJNA666167,33664453,"",SRS7438931,SAMN16282449,simple,9606,Homo sapiens,GSM4805342,GEO,SRA1133793,04,2021,Reinsborough,MDA-MB-231 cell line,RNASeq-shNC-RapMinus-Rep2,MDA-MB-231 cell line,MDA-MB-231,shNC,total RNA,GSM4805342
SRR12730644,32405284,4860792600,75,3041,SRX9203998,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP285644,PRJNA666167,33664453,"",SRS7438932,SAMN16282448,simple,9606,Homo sapiens,GSM4805343,GEO,SRA1133793,04,2021,Reinsborough,MDA-MB-231 cell line,RNASeq-shNC-RapPlus-Rep2,MDA-MB-231 cell line,MDA-MB-231,shNC,total RNA,GSM4805343
SRR12730645,27755829,4163374350,75,2632,SRX9203999,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP285644,PRJNA666167,33664453,"",SRS7438933,SAMN16282447,simple,9606,Homo sapiens,GSM4805344,GEO,SRA1133793,04,2021,Reinsborough,MDA-MB-231 cell line,RNASeq-shBCDIN3D-RapMinus-Rep2,MDA-MB-231 cell line,MDA-MB-231,shBCDIN3D,total RNA,GSM4805344
SRR12730646,30173155,4525973250,75,2829,SRX9204000,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2000,SRP285644,PRJNA666167,33664453,"",SRS7438934,SAMN16282406,simple,9606,Homo sapiens,GSM4805345,GEO,SRA1133793,04,2021,Reinsborough,MDA-MB-231 cell line,RNASeq-shBCDIN3D-RapPlus-Rep2,MDA-MB-231 cell line,MDA-MB-231,shBCDIN3D,total RNA,GSM4805345
SRR12730647,11199169,414369253,37,244,SRX9204001,,miRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP285644,PRJNA666167,33664453,"",SRS7438935,SAMN16282405,simple,9606,Homo sapiens,GSM4805346,GEO,SRA1133793,04,2021,Reinsborough,MDA-MB-231 cell line,microRNASeq-shNC-RapMinus-Rep1,MDA-MB-231 cell line,MDA-MB-231,shNC,Gel-fractionated small RNA,GSM4805346
SRR12730648,12106041,447923517,37,214,SRX9204002,,miRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP285644,PRJNA666167,33664453,"",SRS7438936,SAMN16282404,simple,9606,Homo sapiens,GSM4805347,GEO,SRA1133793,04,2021,Reinsborough,MDA-MB-231 cell line,microRNASeq-shNC-RapPlus-Rep1,MDA-MB-231 cell line,MDA-MB-231,shNC,Gel-fractionated small RNA,GSM4805347
SRR12730649,37527250,1388508250,37,876,SRX9204004,,miRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP285644,PRJNA666167,33664453,"",SRS7438938,SAMN16282403,simple,9606,Homo sapiens,GSM4805348,GEO,SRA1133793,04,2021,Reinsborough,MDA-MB-231 cell line,microRNASeq-shBCDIN3D-RapMinus-Rep1,MDA-MB-231 cell line,MDA-MB-231,shBCDIN3D,Gel-fractionated small RNA,GSM4805348
SRR12730650,15131168,559853216,37,280,SRX9204005,,miRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP285644,PRJNA666167,33664453,"",SRS7438940,SAMN16282402,simple,9606,Homo sapiens,GSM4805349,GEO,SRA1133793,04,2021,Reinsborough,MDA-MB-231 cell line,microRNASeq-shBCDIN3D-RapPlus-Rep1,MDA-MB-231 cell line,MDA-MB-231,shBCDIN3D,Gel-fractionated small RNA,GSM4805349
SRR12730651,19222892,711247004,37,466,SRX9204006,,miRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP285644,PRJNA666167,33664453,"",SRS7438939,SAMN16282401,simple,9606,Homo sapiens,GSM4805350,GEO,SRA1133793,04,2021,Reinsborough,MDA-MB-231 cell line,microRNASeq-shNC-RapMinus-Rep2,MDA-MB-231 cell line,MDA-MB-231,shNC,Gel-fractionated small RNA,GSM4805350
SRR12730652,12574184,465244808,37,232,SRX9204007,,miRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP285644,PRJNA666167,33664453,"",SRS7438941,SAMN16282400,simple,9606,Homo sapiens,GSM4805351,GEO,SRA1133793,04,2021,Reinsborough,MDA-MB-231 cell line,microRNASeq-shNC-RapPlus-Rep2,MDA-MB-231 cell line,MDA-MB-231,shNC,Gel-fractionated small RNA,GSM4805351
SRR12730653,7922723,293140751,37,197,SRX9204008,,miRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP285644,PRJNA666167,33664453,"",SRS7438942,SAMN16282464,simple,9606,Homo sapiens,GSM4805352,GEO,SRA1133793,04,2021,Reinsborough,MDA-MB-231 cell line,microRNASeq-shBCDIN3D-RapMinus-Rep2,MDA-MB-231 cell line,MDA-MB-231,shBCDIN3D,Gel-fractionated small RNA,GSM4805352
SRR12730654,13156267,486781879,37,279,SRX9204009,,miRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP285644,PRJNA666167,33664453,"",SRS7438943,SAMN16282465,simple,9606,Homo sapiens,GSM4805353,GEO,SRA1133793,04,2021,Reinsborough,MDA-MB-231 cell line,microRNASeq-shBCDIN3D-RapPlus-Rep2,MDA-MB-231 cell line,MDA-MB-231,shBCDIN3D,Gel-fractionated small RNA,GSM4805353
