Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,genotype,treatment,molecule,GEO Accession
SRR16913148,41577634,2078881700,50,598,SRX13105576,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP345494,PRJNA779461,35748872,"",SRS11041822,SAMN23039081,simple,9606,Homo sapiens,GSM5685754,GEO,SRA1327447,06,2022,Su,human colorectal carcinoma cell line,set20.WT.1.Ribo-seq.rep3,human colorectal carcinoma cell line,HCT116,Wild type,Cells were treated with 100µg/mL cycloheximide for 10min and then were used for Ribo-seq.,Ribosome protected RNA fragments,GSM5685754
SRR16913149,63946926,3197346300,50,972,SRX13105577,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP345494,PRJNA779461,35748872,"",SRS11041823,SAMN23039082,simple,9606,Homo sapiens,GSM5685755,GEO,SRA1327447,06,2022,Su,human colorectal carcinoma cell line,set24.TOP3B-KO1.Ribo-seq.rep1,human colorectal carcinoma cell line,HCT116,TOP3B-KO1,Cells were treated with 100µg/mL cycloheximide for 10min and then were used for Ribo-seq.,Ribosome protected RNA fragments,GSM5685755
SRR16913150,46207923,2310396150,50,703,SRX13105578,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP345494,PRJNA779461,35748872,"",SRS11041825,SAMN23039083,simple,9606,Homo sapiens,GSM5685756,GEO,SRA1327447,06,2022,Su,human colorectal carcinoma cell line,set24.TOP3B-KO1.Ribo-seq.rep2,human colorectal carcinoma cell line,HCT116,TOP3B-KO1,Cells were treated with 100µg/mL cycloheximide for 10min and then were used for Ribo-seq.,Ribosome protected RNA fragments,GSM5685756
SRR16913151,47250342,2362517100,50,660,SRX13105579,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP345494,PRJNA779461,35748872,"",SRS11041824,SAMN23039084,simple,9606,Homo sapiens,GSM5685757,GEO,SRA1327447,06,2022,Su,human colorectal carcinoma cell line,set20.TOP3B-KO1.Ribo-seq.rep3,human colorectal carcinoma cell line,HCT116,TOP3B-KO1,Cells were treated with 100µg/mL cycloheximide for 10min and then were used for Ribo-seq.,Ribosome protected RNA fragments,GSM5685757
SRR16913152,41463042,2073152100,50,633,SRX13105580,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP345494,PRJNA779461,35748872,"",SRS11041826,SAMN23039085,simple,9606,Homo sapiens,GSM5685758,GEO,SRA1327447,06,2022,Su,human colorectal carcinoma cell line,set24.TOP3B-KO2.Ribo-seq.rep1,human colorectal carcinoma cell line,HCT116,TOP3B-KO2,Cells were treated with 100µg/mL cycloheximide for 10min and then were used for Ribo-seq.,Ribosome protected RNA fragments,GSM5685758
SRR16913153,39484812,1974240600,50,603,SRX13105581,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP345494,PRJNA779461,35748872,"",SRS11041827,SAMN23039086,simple,9606,Homo sapiens,GSM5685759,GEO,SRA1327447,06,2022,Su,human colorectal carcinoma cell line,set24.TOP3B-KO2.Ribo-seq.rep2,human colorectal carcinoma cell line,HCT116,TOP3B-KO2,Cells were treated with 100µg/mL cycloheximide for 10min and then were used for Ribo-seq.,Ribosome protected RNA fragments,GSM5685759
SRR16913154,26741048,2674104800,50,847,SRX13105582,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP345494,PRJNA779461,35748872,"",SRS11041828,SAMN23039087,simple,9606,Homo sapiens,GSM5685760,GEO,SRA1327447,06,2022,Su,human colorectal carcinoma cell line,set57.WT.2.RNA-seq.rep1,human colorectal carcinoma cell line,HCT116,Wild type,"Cells were treated with 100µg/mL cycloheximide for 10min and then lysed in polysome lysis buffer. After centrifugation, 100 µL cell lysates were used to extract RNA with TRIzol. Then 5~10 µg RNA was used to purify mRNAs with oligo dT beads. The purified mRNAs were used for RNA-seq library preparation.",polyA RNA,GSM5685760
SRR16913155,15298741,1529874100,50,479,SRX13105583,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 2000,SRP345494,PRJNA779461,35748872,"",SRS11041829,SAMN23039088,simple,9606,Homo sapiens,GSM5685761,GEO,SRA1327447,06,2022,Su,human colorectal carcinoma cell line,set58.WT.2.RNA-seq.rep2,human colorectal carcinoma cell line,HCT116,Wild type,"Cells were treated with 100µg/mL cycloheximide for 10min and then lysed in polysome lysis buffer. After centrifugation, 100 µL cell lysates were used to extract RNA with TRIzol. Then 5~10 µg RNA was used to purify mRNAs with oligo dT beads. The purified mRNAs were used for RNA-seq library preparation.",polyA RNA,GSM5685761
SRR16913156,20745089,2074508900,50,659,SRX13105584,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 2000,SRP345494,PRJNA779461,35748872,"",SRS11041830,SAMN23039089,simple,9606,Homo sapiens,GSM5685762,GEO,SRA1327447,06,2022,Su,human colorectal carcinoma cell line,set59.WT.2.RNA-seq.rep3,human colorectal carcinoma cell line,HCT116,Wild type,"Cells were treated with 100µg/mL cycloheximide for 10min and then lysed in polysome lysis buffer. After centrifugation, 100 µL cell lysates were used to extract RNA with TRIzol. Then 5~10 µg RNA was used to purify mRNAs with oligo dT beads. The purified mRNAs were used for RNA-seq library preparation.",polyA RNA,GSM5685762
SRR16913157,27564461,2756446100,50,878,SRX13105585,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP345494,PRJNA779461,35748872,"",SRS11041831,SAMN23039090,simple,9606,Homo sapiens,GSM5685763,GEO,SRA1327447,06,2022,Su,human colorectal carcinoma cell line,set57.TDRD3-KO.RNA-seq.rep1,human colorectal carcinoma cell line,HCT116,TDRD3-KO,"Cells were treated with 100µg/mL cycloheximide for 10min and then lysed in polysome lysis buffer. After centrifugation, 100 µL cell lysates were used to extract RNA with TRIzol. Then 5~10 µg RNA was used to purify mRNAs with oligo dT beads. The purified mRNAs were used for RNA-seq library preparation.",polyA RNA,GSM5685763
SRR16913158,13192986,1319298600,50,412,SRX13105586,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 2000,SRP345494,PRJNA779461,35748872,"",SRS11041832,SAMN23039091,simple,9606,Homo sapiens,GSM5685764,GEO,SRA1327447,06,2022,Su,human colorectal carcinoma cell line,set58.TDRD3-KO.RNA-seq.rep2,human colorectal carcinoma cell line,HCT116,TDRD3-KO,"Cells were treated with 100µg/mL cycloheximide for 10min and then lysed in polysome lysis buffer. After centrifugation, 100 µL cell lysates were used to extract RNA with TRIzol. Then 5~10 µg RNA was used to purify mRNAs with oligo dT beads. The purified mRNAs were used for RNA-seq library preparation.",polyA RNA,GSM5685764
SRR16913159,19563354,1956335400,50,619,SRX13105587,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 2000,SRP345494,PRJNA779461,35748872,"",SRS11041834,SAMN23039098,simple,9606,Homo sapiens,GSM5685765,GEO,SRA1327447,06,2022,Su,human colorectal carcinoma cell line,set59.TDRD3-KO.RNA-seq.rep3,human colorectal carcinoma cell line,HCT116,TDRD3-KO,"Cells were treated with 100µg/mL cycloheximide for 10min and then lysed in polysome lysis buffer. After centrifugation, 100 µL cell lysates were used to extract RNA with TRIzol. Then 5~10 µg RNA was used to purify mRNAs with oligo dT beads. The purified mRNAs were used for RNA-seq library preparation.",polyA RNA,GSM5685765
SRR16913160,23139404,2313940400,50,733,SRX13105588,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP345494,PRJNA779461,35748872,"",SRS11041833,SAMN23039099,simple,9606,Homo sapiens,GSM5685766,GEO,SRA1327447,06,2022,Su,human colorectal carcinoma cell line,set57.FMR1-KO.RNA-seq.rep1,human colorectal carcinoma cell line,HCT116,FMR1-KO,"Cells were treated with 100µg/mL cycloheximide for 10min and then lysed in polysome lysis buffer. After centrifugation, 100 µL cell lysates were used to extract RNA with TRIzol. Then 5~10 µg RNA was used to purify mRNAs with oligo dT beads. The purified mRNAs were used for RNA-seq library preparation.",polyA RNA,GSM5685766
SRR16913161,16772434,1677243400,50,525,SRX13105589,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 2000,SRP345494,PRJNA779461,35748872,"",SRS11041835,SAMN23039092,simple,9606,Homo sapiens,GSM5685767,GEO,SRA1327447,06,2022,Su,human colorectal carcinoma cell line,set58.FMR1-KO.RNA-seq.rep2,human colorectal carcinoma cell line,HCT116,FMR1-KO,"Cells were treated with 100µg/mL cycloheximide for 10min and then lysed in polysome lysis buffer. After centrifugation, 100 µL cell lysates were used to extract RNA with TRIzol. Then 5~10 µg RNA was used to purify mRNAs with oligo dT beads. The purified mRNAs were used for RNA-seq library preparation.",polyA RNA,GSM5685767
SRR16913162,21071215,2107121500,50,666,SRX13105590,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 2000,SRP345494,PRJNA779461,35748872,"",SRS11041836,SAMN23039093,simple,9606,Homo sapiens,GSM5685768,GEO,SRA1327447,06,2022,Su,human colorectal carcinoma cell line,set59.FMR1-KO.RNA-seq.rep3,human colorectal carcinoma cell line,HCT116,FMR1-KO,"Cells were treated with 100µg/mL cycloheximide for 10min and then lysed in polysome lysis buffer. After centrifugation, 100 µL cell lysates were used to extract RNA with TRIzol. Then 5~10 µg RNA was used to purify mRNAs with oligo dT beads. The purified mRNAs were used for RNA-seq library preparation.",polyA RNA,GSM5685768
SRR16913163,51693186,5169318600,50,1699,SRX13105591,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP345494,PRJNA779461,35748872,"",SRS11041837,SAMN23039094,simple,9606,Homo sapiens,GSM5685769,GEO,SRA1327447,06,2022,Su,human colorectal carcinoma cell line,set57.WT.2.Ribo-seq.rep1,human colorectal carcinoma cell line,HCT116,Wild type,Cells were treated with 100µg/mL cycloheximide for 10min and then were used for Ribo-seq.,Ribosome protected RNA fragments,GSM5685769
SRR16913164,34169430,3416943000,50,1093,SRX13105592,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 2000,SRP345494,PRJNA779461,35748872,"",SRS11041838,SAMN23039095,simple,9606,Homo sapiens,GSM5685770,GEO,SRA1327447,06,2022,Su,human colorectal carcinoma cell line,set58.WT.2.Ribo-seq.rep2,human colorectal carcinoma cell line,HCT116,Wild type,Cells were treated with 100µg/mL cycloheximide for 10min and then were used for Ribo-seq.,Ribosome protected RNA fragments,GSM5685770
SRR16913165,34555178,3455517800,50,1098,SRX13105593,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 2000,SRP345494,PRJNA779461,35748872,"",SRS11041839,SAMN23039096,simple,9606,Homo sapiens,GSM5685771,GEO,SRA1327447,06,2022,Su,human colorectal carcinoma cell line,set59.WT.2.Ribo-seq.rep3,human colorectal carcinoma cell line,HCT116,Wild type,Cells were treated with 100µg/mL cycloheximide for 10min and then were used for Ribo-seq.,Ribosome protected RNA fragments,GSM5685771
SRR16913166,74629852,7462985200,50,2348,SRX13105594,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP345494,PRJNA779461,35748872,"",SRS11041840,SAMN23039097,simple,9606,Homo sapiens,GSM5685772,GEO,SRA1327447,06,2022,Su,human colorectal carcinoma cell line,set57.TDRD3-KO.Ribo-seq.rep1,human colorectal carcinoma cell line,HCT116,TDRD3-KO,Cells were treated with 100µg/mL cycloheximide for 10min and then were used for Ribo-seq.,Ribosome protected RNA fragments,GSM5685772
SRR16913167,12639291,1263929100,50,407,SRX13105595,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 2000,SRP345494,PRJNA779461,35748872,"",SRS11041841,SAMN23039100,simple,9606,Homo sapiens,GSM5685773,GEO,SRA1327447,06,2022,Su,human colorectal carcinoma cell line,set58.TDRD3-KO.Ribo-seq.rep2,human colorectal carcinoma cell line,HCT116,TDRD3-KO,Cells were treated with 100µg/mL cycloheximide for 10min and then were used for Ribo-seq.,Ribosome protected RNA fragments,GSM5685773
SRR16913168,33109937,3310993700,50,1036,SRX13105596,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 2000,SRP345494,PRJNA779461,35748872,"",SRS11041842,SAMN23039132,simple,9606,Homo sapiens,GSM5685774,GEO,SRA1327447,06,2022,Su,human colorectal carcinoma cell line,set59.TDRD3-KO.Ribo-seq.rep3,human colorectal carcinoma cell line,HCT116,TDRD3-KO,Cells were treated with 100µg/mL cycloheximide for 10min and then were used for Ribo-seq.,Ribosome protected RNA fragments,GSM5685774
SRR16913169,40867169,4086716900,50,1302,SRX13105597,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP345494,PRJNA779461,35748872,"",SRS11041843,SAMN23039133,simple,9606,Homo sapiens,GSM5685775,GEO,SRA1327447,06,2022,Su,human colorectal carcinoma cell line,set57.FMR1-KO.Ribo-seq.rep1,human colorectal carcinoma cell line,HCT116,FMR1-KO,Cells were treated with 100µg/mL cycloheximide for 10min and then were used for Ribo-seq.,Ribosome protected RNA fragments,GSM5685775
SRR16913170,46411416,4641141600,50,1453,SRX13105598,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 2000,SRP345494,PRJNA779461,35748872,"",SRS11041844,SAMN23039134,simple,9606,Homo sapiens,GSM5685776,GEO,SRA1327447,06,2022,Su,human colorectal carcinoma cell line,set58.FMR1-KO.Ribo-seq.rep2,human colorectal carcinoma cell line,HCT116,FMR1-KO,Cells were treated with 100µg/mL cycloheximide for 10min and then were used for Ribo-seq.,Ribosome protected RNA fragments,GSM5685776
SRR16913171,35184007,3518400700,50,1099,SRX13105599,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 2000,SRP345494,PRJNA779461,35748872,"",SRS11041845,SAMN23039135,simple,9606,Homo sapiens,GSM5685777,GEO,SRA1327447,06,2022,Su,human colorectal carcinoma cell line,set59.FMR1-KO.Ribo-seq.rep3,human colorectal carcinoma cell line,HCT116,FMR1-KO,Cells were treated with 100µg/mL cycloheximide for 10min and then were used for Ribo-seq.,Ribosome protected RNA fragments,GSM5685777
SRR16913172,75487935,9227745180,61,2827,SRX13105600,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP345494,PRJNA779461,35748872,"",SRS11041846,SAMN23039136,simple,9606,Homo sapiens,GSM5685778,GEO,SRA1327447,06,2022,Su,human colorectal carcinoma cell line,set63.WT.3.RNA-seq.rep1,human colorectal carcinoma cell line,HCT116,Wild type,"Cells were treated with 100µg/mL cycloheximide for 10min and then lysed in polysome lysis buffer. After centrifugation, 100 µL cell lysates were used to extract RNA with TRIzol. Then 5~10 µg RNA was used to purify mRNAs with oligo dT beads. The purified mRNAs were used for RNA-seq library preparation.",polyA RNA,GSM5685778
SRR16913173,56692895,6948167739,61,2148,SRX13105601,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP345494,PRJNA779461,35748872,"",SRS11041847,SAMN23039137,simple,9606,Homo sapiens,GSM5685779,GEO,SRA1327447,06,2022,Su,human colorectal carcinoma cell line,set63.WT.3.RNA-seq.rep2,human colorectal carcinoma cell line,HCT116,Wild type,"Cells were treated with 100µg/mL cycloheximide for 10min and then lysed in polysome lysis buffer. After centrifugation, 100 µL cell lysates were used to extract RNA with TRIzol. Then 5~10 µg RNA was used to purify mRNAs with oligo dT beads. The purified mRNAs were used for RNA-seq library preparation.",polyA RNA,GSM5685779
SRR16913174,36656905,4484023550,61,1379,SRX13105602,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP345494,PRJNA779461,35748872,"",SRS11041848,SAMN23039138,simple,9606,Homo sapiens,GSM5685780,GEO,SRA1327447,06,2022,Su,human colorectal carcinoma cell line,set63.WT.3.RNA-seq.rep3,human colorectal carcinoma cell line,HCT116,Wild type,"Cells were treated with 100µg/mL cycloheximide for 10min and then lysed in polysome lysis buffer. After centrifugation, 100 µL cell lysates were used to extract RNA with TRIzol. Then 5~10 µg RNA was used to purify mRNAs with oligo dT beads. The purified mRNAs were used for RNA-seq library preparation.",polyA RNA,GSM5685780
SRR16913175,59432708,7269966575,61,2242,SRX13105603,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP345494,PRJNA779461,35748872,"",SRS11041849,SAMN23039139,simple,9606,Homo sapiens,GSM5685781,GEO,SRA1327447,06,2022,Su,human colorectal carcinoma cell line,set63.Y336F-KI.RNA-seq.rep1,human colorectal carcinoma cell line,HCT116,Y336F-KI,"Cells were treated with 100µg/mL cycloheximide for 10min and then lysed in polysome lysis buffer. After centrifugation, 100 µL cell lysates were used to extract RNA with TRIzol. Then 5~10 µg RNA was used to purify mRNAs with oligo dT beads. The purified mRNAs were used for RNA-seq library preparation.",polyA RNA,GSM5685781
SRR16913176,62230612,7610297937,61,2363,SRX13105604,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP345494,PRJNA779461,35748872,"",SRS11041850,SAMN23039140,simple,9606,Homo sapiens,GSM5685782,GEO,SRA1327447,06,2022,Su,human colorectal carcinoma cell line,set63.Y336F-KI.RNA-seq.rep2,human colorectal carcinoma cell line,HCT116,Y336F-KI,"Cells were treated with 100µg/mL cycloheximide for 10min and then lysed in polysome lysis buffer. After centrifugation, 100 µL cell lysates were used to extract RNA with TRIzol. Then 5~10 µg RNA was used to purify mRNAs with oligo dT beads. The purified mRNAs were used for RNA-seq library preparation.",polyA RNA,GSM5685782
SRR16913177,54830959,6722099569,61,2080,SRX13105605,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP345494,PRJNA779461,35748872,"",SRS11041851,SAMN23039141,simple,9606,Homo sapiens,GSM5685783,GEO,SRA1327447,06,2022,Su,human colorectal carcinoma cell line,set63.Y336F-KI.RNA-seq.rep3,human colorectal carcinoma cell line,HCT116,Y336F-KI,"Cells were treated with 100µg/mL cycloheximide for 10min and then lysed in polysome lysis buffer. After centrifugation, 100 µL cell lysates were used to extract RNA with TRIzol. Then 5~10 µg RNA was used to purify mRNAs with oligo dT beads. The purified mRNAs were used for RNA-seq library preparation.",polyA RNA,GSM5685783
SRR16913178,58993699,5698051820,35,1944,SRX13105606,,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP345494,PRJNA779461,35748872,"",SRS11041853,SAMN23039142,simple,9606,Homo sapiens,GSM5685784,GEO,SRA1327447,06,2022,Su,human colorectal carcinoma cell line,set63.WT.3.Ribo-seq.rep1,human colorectal carcinoma cell line,HCT116,Wild type,"Cells were treated with 100µg/mL cycloheximide for 10min and then lysed in polysome lysis buffer. After centrifugation, 100 µL cell lysates were used to extract RNA with TRIzol. Then 5~10 µg RNA was used to purify mRNAs with oligo dT beads. The purified mRNAs were used for RNA-seq library preparation.",Ribosome protected RNA fragments,GSM5685784
