Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell type,developmental stage
SRR17972864,17293555,5188066500,150,2007,SRX14129020,GSM5885045,OTHER,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP359210,PRJNA805180,36227586,"",SRS11955666,SAMN25842275,simple,9913,Bos taurus,GSM5885045,"Animal Sciences, Louisiana State University",SRA1369871,10,2022,Zhu,oocytes,"GV_F8_B, bovine",oocytes,oocytes,GV
SRR17972863,15908912,4772673600,150,1849,SRX14129021,GSM5885046,OTHER,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP359210,PRJNA805180,36227586,"",SRS11955667,SAMN25842274,simple,9913,Bos taurus,GSM5885046,"Animal Sciences, Louisiana State University",SRA1369871,10,2022,Zhu,oocytes,"GV_F9_A, bovine",oocytes,oocytes,GV
SRR17972862,14675342,4402602600,150,1658,SRX14129022,GSM5885047,OTHER,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP359210,PRJNA805180,36227586,"",SRS11955668,SAMN25842273,simple,9913,Bos taurus,GSM5885047,"Animal Sciences, Louisiana State University",SRA1369871,10,2022,Zhu,oocytes,"GV_F9_B, bovine",oocytes,oocytes,GV
SRR17972861,16716501,5014950300,150,1872,SRX14129023,GSM5885048,OTHER,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP359210,PRJNA805180,36227586,"",SRS11955669,SAMN25842272,simple,9913,Bos taurus,GSM5885048,"Animal Sciences, Louisiana State University",SRA1369871,10,2022,Zhu,oocytes,"GV_F10_A, bovine",oocytes,oocytes,GV
SRR17972860,15896139,4768841700,150,1837,SRX14129024,GSM5885049,OTHER,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP359210,PRJNA805180,36227586,"",SRS11955670,SAMN25842271,simple,9913,Bos taurus,GSM5885049,"Animal Sciences, Louisiana State University",SRA1369871,10,2022,Zhu,oocytes,"GV_F10_B, bovine",oocytes,oocytes,GV
SRR17972859,16121694,4836508200,150,1801,SRX14129025,GSM5885050,OTHER,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP359210,PRJNA805180,36227586,"",SRS11955671,SAMN25842270,simple,9913,Bos taurus,GSM5885050,"Animal Sciences, Louisiana State University",SRA1369871,10,2022,Zhu,oocytes,"MII_F1_A, bovine",oocytes,oocytes,MII
SRR17972858,16195171,4858551300,150,1950,SRX14129026,GSM5885051,OTHER,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP359210,PRJNA805180,36227586,"",SRS11955672,SAMN25842269,simple,9913,Bos taurus,GSM5885051,"Animal Sciences, Louisiana State University",SRA1369871,10,2022,Zhu,oocytes,"MII_F1_B, bovine",oocytes,oocytes,MII
SRR17972857,17632771,5289831300,150,1996,SRX14129027,GSM5885052,OTHER,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP359210,PRJNA805180,36227586,"",SRS11955673,SAMN25842268,simple,9913,Bos taurus,GSM5885052,"Animal Sciences, Louisiana State University",SRA1369871,10,2022,Zhu,oocytes,"MII_F2_A, bovine",oocytes,oocytes,MII
SRR17972856,15442933,4632879900,150,1968,SRX14129028,GSM5885053,OTHER,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP359210,PRJNA805180,36227586,"",SRS11955674,SAMN25842267,simple,9913,Bos taurus,GSM5885053,"Animal Sciences, Louisiana State University",SRA1369871,10,2022,Zhu,oocytes,"MII_F2_B, bovine",oocytes,oocytes,MII
SRR17972855,15987328,4796198400,150,1986,SRX14129029,GSM5885078,OTHER,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP359210,PRJNA805180,36227586,"",SRS11955675,SAMN25842242,simple,9913,Bos taurus,GSM5885078,"Animal Sciences, Louisiana State University",SRA1369871,10,2022,Zhu,embryos,"2-cell_F5_A, bovine",embryos,embryos,2-cell
SRR17972854,14770036,4431010800,150,1874,SRX14129030,GSM5885079,OTHER,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP359210,PRJNA805180,36227586,"",SRS11955676,SAMN25842241,simple,9913,Bos taurus,GSM5885079,"Animal Sciences, Louisiana State University",SRA1369871,10,2022,Zhu,embryos,"2-cell_F5_B, bovine",embryos,embryos,2-cell
SRR17972853,14525534,4357660200,150,1679,SRX14129031,GSM5885080,OTHER,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP359210,PRJNA805180,36227586,"",SRS11955677,SAMN25842240,simple,9913,Bos taurus,GSM5885080,"Animal Sciences, Louisiana State University",SRA1369871,10,2022,Zhu,embryos,"2-cell_F6_A, bovine",embryos,embryos,2-cell
SRR17972852,14549151,4364745300,150,1843,SRX14129032,GSM5885081,OTHER,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP359210,PRJNA805180,36227586,"",SRS11955678,SAMN25842239,simple,9913,Bos taurus,GSM5885081,"Animal Sciences, Louisiana State University",SRA1369871,10,2022,Zhu,embryos,"2-cell_F6_B, bovine",embryos,embryos,2-cell
SRR17972851,15245564,4573669200,150,1782,SRX14129033,GSM5885082,OTHER,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP359210,PRJNA805180,36227586,"",SRS11955679,SAMN25842238,simple,9913,Bos taurus,GSM5885082,"Animal Sciences, Louisiana State University",SRA1369871,10,2022,Zhu,embryos,"2-cell_F7_A, bovine",embryos,embryos,2-cell
SRR17972850,14609669,4382900700,150,1848,SRX14129034,GSM5885083,OTHER,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP359210,PRJNA805180,36227586,"",SRS11955680,SAMN25842237,simple,9913,Bos taurus,GSM5885083,"Animal Sciences, Louisiana State University",SRA1369871,10,2022,Zhu,embryos,"2-cell_F7_B, bovine",embryos,embryos,2-cell
SRR17972849,14885770,4465731000,150,1814,SRX14129035,GSM5885084,OTHER,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP359210,PRJNA805180,36227586,"",SRS11955681,SAMN25842236,simple,9913,Bos taurus,GSM5885084,"Animal Sciences, Louisiana State University",SRA1369871,10,2022,Zhu,embryos,"2-cell_F8_A, bovine",embryos,embryos,2-cell
SRR17972848,13825890,4147767000,150,1712,SRX14129036,GSM5885085,OTHER,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP359210,PRJNA805180,36227586,"",SRS11955682,SAMN25842235,simple,9913,Bos taurus,GSM5885085,"Animal Sciences, Louisiana State University",SRA1369871,10,2022,Zhu,embryos,"2-cell_F8_B, bovine",embryos,embryos,2-cell
SRR17972847,16890446,5067133800,150,1993,SRX14129037,GSM5885086,OTHER,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP359210,PRJNA805180,36227586,"",SRS11955683,SAMN25842234,simple,9913,Bos taurus,GSM5885086,"Animal Sciences, Louisiana State University",SRA1369871,10,2022,Zhu,embryos,"2-cell_F9_A, bovine",embryos,embryos,2-cell
SRR17972846,15745707,4723712100,150,1908,SRX14129038,GSM5885087,OTHER,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP359210,PRJNA805180,36227586,"",SRS11955684,SAMN25842233,simple,9913,Bos taurus,GSM5885087,"Animal Sciences, Louisiana State University",SRA1369871,10,2022,Zhu,embryos,"2-cell_F9_B, bovine",embryos,embryos,2-cell
SRR17972845,16206725,4862017500,150,1881,SRX14129039,GSM5885088,OTHER,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP359210,PRJNA805180,36227586,"",SRS11955685,SAMN25842232,simple,9913,Bos taurus,GSM5885088,"Animal Sciences, Louisiana State University",SRA1369871,10,2022,Zhu,embryos,"2-cell_F10_A, bovine",embryos,embryos,2-cell
SRR17972844,13724867,4117460100,150,1638,SRX14129040,GSM5885089,OTHER,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP359210,PRJNA805180,36227586,"",SRS11955686,SAMN25842231,simple,9913,Bos taurus,GSM5885089,"Animal Sciences, Louisiana State University",SRA1369871,10,2022,Zhu,embryos,"2-cell_F10_B, bovine",embryos,embryos,2-cell
SRR17972843,12337973,3701391900,150,1391,SRX14129041,GSM5885090,OTHER,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP359210,PRJNA805180,36227586,"",SRS11955687,SAMN25842230,simple,9913,Bos taurus,GSM5885090,"Animal Sciences, Louisiana State University",SRA1369871,10,2022,Zhu,embryos,"8-cell_F1_A, bovine",embryos,embryos,8-cell
SRR17972842,14741822,4422546600,150,1781,SRX14129042,GSM5885091,OTHER,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP359210,PRJNA805180,36227586,"",SRS11955688,SAMN25842229,simple,9913,Bos taurus,GSM5885091,"Animal Sciences, Louisiana State University",SRA1369871,10,2022,Zhu,embryos,"8-cell_F1_B, bovine",embryos,embryos,8-cell
SRR17972841,14550278,4365083400,150,1628,SRX14129043,GSM5885092,OTHER,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP359210,PRJNA805180,36227586,"",SRS11955689,SAMN25842228,simple,9913,Bos taurus,GSM5885092,"Animal Sciences, Louisiana State University",SRA1369871,10,2022,Zhu,embryos,"8-cell_F2_A, bovine",embryos,embryos,8-cell
SRR17972840,13986830,4196049000,150,1714,SRX14129044,GSM5885093,OTHER,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP359210,PRJNA805180,36227586,"",SRS11955690,SAMN25842227,simple,9913,Bos taurus,GSM5885093,"Animal Sciences, Louisiana State University",SRA1369871,10,2022,Zhu,embryos,"8-cell_F2_B, bovine",embryos,embryos,8-cell
SRR17972839,25332960,7599888000,150,3000,SRX14129045,GSM5885094,OTHER,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP359210,PRJNA805180,36227586,"",SRS11955691,SAMN25842226,simple,9913,Bos taurus,GSM5885094,"Animal Sciences, Louisiana State University",SRA1369871,10,2022,Zhu,embryos,"8-cell_F3_A, bovine",embryos,embryos,8-cell
SRR17972838,14024493,4207347900,150,1793,SRX14129046,GSM5885095,OTHER,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP359210,PRJNA805180,36227586,"",SRS11955692,SAMN25842225,simple,9913,Bos taurus,GSM5885095,"Animal Sciences, Louisiana State University",SRA1369871,10,2022,Zhu,embryos,"8-cell_F3_B, bovine",embryos,embryos,8-cell
SRR17972837,13616193,4084857900,150,1539,SRX14129047,GSM5885096,OTHER,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP359210,PRJNA805180,36227586,"",SRS11955693,SAMN25842224,simple,9913,Bos taurus,GSM5885096,"Animal Sciences, Louisiana State University",SRA1369871,10,2022,Zhu,embryos,"8-cell_F4_A, bovine",embryos,embryos,8-cell
SRR17972836,15155450,4546635000,150,1920,SRX14129048,GSM5885097,OTHER,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP359210,PRJNA805180,36227586,"",SRS11955694,SAMN25842223,simple,9913,Bos taurus,GSM5885097,"Animal Sciences, Louisiana State University",SRA1369871,10,2022,Zhu,embryos,"8-cell_F4_B, bovine",embryos,embryos,8-cell
SRR17972835,13541094,4062328200,150,1531,SRX14129049,GSM5885098,OTHER,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP359210,PRJNA805180,36227586,"",SRS11955695,SAMN25842222,simple,9913,Bos taurus,GSM5885098,"Animal Sciences, Louisiana State University",SRA1369871,10,2022,Zhu,embryos,"8-cell_F5_A, bovine",embryos,embryos,8-cell
SRR17972834,16953791,5086137300,150,2099,SRX14129050,GSM5885099,OTHER,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP359210,PRJNA805180,36227586,"",SRS11955696,SAMN25842221,simple,9913,Bos taurus,GSM5885099,"Animal Sciences, Louisiana State University",SRA1369871,10,2022,Zhu,embryos,"8-cell_F5_B, bovine",embryos,embryos,8-cell
SRR17972833,13724095,4117228500,150,1546,SRX14129051,GSM5885100,OTHER,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP359210,PRJNA805180,36227586,"",SRS11955697,SAMN25842220,simple,9913,Bos taurus,GSM5885100,"Animal Sciences, Louisiana State University",SRA1369871,10,2022,Zhu,embryos,"8-cell_F6_A, bovine",embryos,embryos,8-cell
SRR17972832,15419885,4625965500,150,1909,SRX14129052,GSM5885101,OTHER,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP359210,PRJNA805180,36227586,"",SRS11955698,SAMN25842219,simple,9913,Bos taurus,GSM5885101,"Animal Sciences, Louisiana State University",SRA1369871,10,2022,Zhu,embryos,"8-cell_F6_B, bovine",embryos,embryos,8-cell
SRR17972831,16199096,4859728800,150,1954,SRX14129053,GSM5885150,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP359210,PRJNA805180,36227586,"",SRS11955699,SAMN25842170,simple,9913,Bos taurus,GSM5885150,"Animal Sciences, Louisiana State University",SRA1369871,10,2022,Zhu,oocytes,"GV_A, bovine",oocytes,oocytes,GV
SRR17972830,13933724,4180117200,150,1702,SRX14129054,GSM5885151,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP359210,PRJNA805180,36227586,"",SRS11955700,SAMN25842169,simple,9913,Bos taurus,GSM5885151,"Animal Sciences, Louisiana State University",SRA1369871,10,2022,Zhu,oocytes,"GV_B, bovine",oocytes,oocytes,GV
SRR17972829,13570224,4071067200,150,1594,SRX14129055,GSM5885152,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP359210,PRJNA805180,36227586,"",SRS11955701,SAMN25842168,simple,9913,Bos taurus,GSM5885152,"Animal Sciences, Louisiana State University",SRA1369871,10,2022,Zhu,oocytes,"GV_C, bovine",oocytes,oocytes,GV
SRR17972828,14972673,4491801900,150,1758,SRX14129056,GSM5885153,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP359210,PRJNA805180,36227586,"",SRS11955702,SAMN25842167,simple,9913,Bos taurus,GSM5885153,"Animal Sciences, Louisiana State University",SRA1369871,10,2022,Zhu,oocytes,"MII_A, bovine",oocytes,oocytes,MII
SRR17972827,15679489,4703846700,150,1861,SRX14129057,GSM5885154,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP359210,PRJNA805180,36227586,"",SRS11955703,SAMN25842166,simple,9913,Bos taurus,GSM5885154,"Animal Sciences, Louisiana State University",SRA1369871,10,2022,Zhu,oocytes,"MII_B, bovine",oocytes,oocytes,MII
SRR17972826,15367627,4610288100,150,1912,SRX14129058,GSM5885155,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP359210,PRJNA805180,36227586,"",SRS11955704,SAMN25842165,simple,9913,Bos taurus,GSM5885155,"Animal Sciences, Louisiana State University",SRA1369871,10,2022,Zhu,oocytes,"MII_C, bovine",oocytes,oocytes,MII
SRR17972825,16104286,4831285800,150,2028,SRX14129059,GSM5885156,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP359210,PRJNA805180,36227586,"",SRS11955705,SAMN25842164,simple,9913,Bos taurus,GSM5885156,"Animal Sciences, Louisiana State University",SRA1369871,10,2022,Zhu,embryos,"2-cell_A, bovine",embryos,embryos,2-cell
SRR17972824,15756522,4726956600,150,1913,SRX14129060,GSM5885157,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP359210,PRJNA805180,36227586,"",SRS11955706,SAMN25842163,simple,9913,Bos taurus,GSM5885157,"Animal Sciences, Louisiana State University",SRA1369871,10,2022,Zhu,embryos,"2-cell_B, bovine",embryos,embryos,2-cell
SRR17972823,16492406,4947721800,150,1942,SRX14129061,GSM5885158,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP359210,PRJNA805180,36227586,"",SRS11955707,SAMN25842162,simple,9913,Bos taurus,GSM5885158,"Animal Sciences, Louisiana State University",SRA1369871,10,2022,Zhu,embryos,"2-cell_C, bovine",embryos,embryos,2-cell
SRR17972822,15147300,4544190000,150,1872,SRX14129062,GSM5885159,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP359210,PRJNA805180,36227586,"",SRS11955708,SAMN25842161,simple,9913,Bos taurus,GSM5885159,"Animal Sciences, Louisiana State University",SRA1369871,10,2022,Zhu,embryos,"8-cell_A, bovine",embryos,embryos,8-cell
SRR17972821,16366634,4909990200,150,1920,SRX14129063,GSM5885160,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP359210,PRJNA805180,36227586,"",SRS11955709,SAMN25842160,simple,9913,Bos taurus,GSM5885160,"Animal Sciences, Louisiana State University",SRA1369871,10,2022,Zhu,embryos,"8-cell_B, bovine",embryos,embryos,8-cell
SRR17972820,17221891,5166567300,150,1957,SRX14129064,GSM5885161,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP359210,PRJNA805180,36227586,"",SRS11955710,SAMN25842159,simple,9913,Bos taurus,GSM5885161,"Animal Sciences, Louisiana State University",SRA1369871,10,2022,Zhu,embryos,"8-cell_C, bovine",embryos,embryos,8-cell
SRR17972819,16509027,4952708100,150,1878,SRX14129065,GSM5885162,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP359210,PRJNA805180,36227586,"",SRS11955711,SAMN25842158,simple,9913,Bos taurus,GSM5885162,"Animal Sciences, Louisiana State University",SRA1369871,10,2022,Zhu,embryos,"Morula_A, bovine",embryos,embryos,Morula
SRR17972818,16831823,5049546900,150,2026,SRX14129066,GSM5885163,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP359210,PRJNA805180,36227586,"",SRS11955712,SAMN25842157,simple,9913,Bos taurus,GSM5885163,"Animal Sciences, Louisiana State University",SRA1369871,10,2022,Zhu,embryos,"Morula_B, bovine",embryos,embryos,Morula
SRR17972817,14935799,4480739700,150,1741,SRX14129067,GSM5885164,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP359210,PRJNA805180,36227586,"",SRS11955713,SAMN25842156,simple,9913,Bos taurus,GSM5885164,"Animal Sciences, Louisiana State University",SRA1369871,10,2022,Zhu,embryos,"Morula_C, bovine",embryos,embryos,Morula
SRR17972816,14782792,4434837600,150,1614,SRX14129068,GSM5885165,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP359210,PRJNA805180,36227586,"",SRS11955714,SAMN25842155,simple,9913,Bos taurus,GSM5885165,"Animal Sciences, Louisiana State University",SRA1369871,10,2022,Zhu,embryos,"Blastocyst_A, bovine",embryos,embryos,Blastocyst
