Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,treatment,tissue,fraction,GEO Accession
SRR7074422,23401879,2357599210,0,1237,SRX4004219,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP143492,PRJNA453992,30048615,"",SRS3226083,SAMN08995524,simple,10090,Mus musculus,GSM3119473,GEO,SRA696907,07,2018,Engel,C57BL/6 cortex,Ribosome bound fragments of Control 3,C57BL/6 cortex,C57BL/6,basal,cortex,ribosome bound fraction,GSM3119473
SRR7074423,44798181,4515210346,0,2305,SRX4004220,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP143492,PRJNA453992,30048615,"",SRS3226085,SAMN08995523,simple,10090,Mus musculus,GSM3119474,GEO,SRA696907,07,2018,Engel,C57BL/6 cortex,Ribosome bound fragments of Control 4,C57BL/6 cortex,C57BL/6,basal,cortex,ribosome bound fraction,GSM3119474
SRR7074424,18903331,1905901999,0,981,SRX4004221,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP143492,PRJNA453992,30048615,"",SRS3226084,SAMN08995522,simple,10090,Mus musculus,GSM3119475,GEO,SRA696907,07,2018,Engel,C57BL/6 cortex,Ribosome bound fragments of Control 5,C57BL/6 cortex,C57BL/6,basal,cortex,ribosome bound fraction,GSM3119475
SRR7074425,23916331,2411290968,0,1226,SRX4004222,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP143492,PRJNA453992,30048615,"",SRS3226086,SAMN08995521,simple,10090,Mus musculus,GSM3119476,GEO,SRA696907,07,2018,Engel,C57BL/6 cortex,Ribosome bound fragments of Control 6,C57BL/6 cortex,C57BL/6,basal,cortex,ribosome bound fraction,GSM3119476
SRR7074426,71225215,7178512763,0,3704,SRX4004223,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP143492,PRJNA453992,30048615,"",SRS3226088,SAMN08995520,simple,10090,Mus musculus,GSM3119477,GEO,SRA696907,07,2018,Engel,C57BL/6 cortex,Ribosome bound fragments of Stress 1,C57BL/6 cortex,C57BL/6,acute stress,cortex,ribosome bound fraction,GSM3119477
SRR7074427,20276667,2044355361,0,1045,SRX4004224,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP143492,PRJNA453992,30048615,"",SRS3226087,SAMN08995519,simple,10090,Mus musculus,GSM3119478,GEO,SRA696907,07,2018,Engel,C57BL/6 cortex,Ribosome bound fragments of Stress 2,C57BL/6 cortex,C57BL/6,acute stress,cortex,ribosome bound fraction,GSM3119478
SRR7074428,19982941,2013773231,0,1050,SRX4004225,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP143492,PRJNA453992,30048615,"",SRS3226089,SAMN08995518,simple,10090,Mus musculus,GSM3119479,GEO,SRA696907,07,2018,Engel,C57BL/6 cortex,Ribosome bound fragments of Stress 3,C57BL/6 cortex,C57BL/6,acute stress,cortex,ribosome bound fraction,GSM3119479
SRR7074429,22727328,2290807252,0,1194,SRX4004226,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP143492,PRJNA453992,30048615,"",SRS3226091,SAMN08995517,simple,10090,Mus musculus,GSM3119480,GEO,SRA696907,07,2018,Engel,C57BL/6 cortex,Ribosome bound fragments of Stress 4,C57BL/6 cortex,C57BL/6,acute stress,cortex,ribosome bound fraction,GSM3119480
SRR7074430,20606248,2076512469,0,1085,SRX4004227,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP143492,PRJNA453992,30048615,"",SRS3226090,SAMN08995516,simple,10090,Mus musculus,GSM3119481,GEO,SRA696907,07,2018,Engel,C57BL/6 cortex,Ribosome bound fragments of Stress 5,C57BL/6 cortex,C57BL/6,acute stress,cortex,ribosome bound fraction,GSM3119481
SRR7074431,44526083,4488138860,0,2255,SRX4004228,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP143492,PRJNA453992,30048615,"",SRS3226092,SAMN08995515,simple,10090,Mus musculus,GSM3119482,GEO,SRA696907,07,2018,Engel,C57BL/6 cortex,Ribosome bound fragments of Stress 6,C57BL/6 cortex,C57BL/6,acute stress,cortex,ribosome bound fraction,GSM3119482
