Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain background,note,growth,GEO Accession
SRR10759508,32590521,1662116571,51,589,SRX7433743,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP238588,PRJNA597326,33691096,"",SRS5878956,SAMN13672666,simple,4932,Saccharomyces cerevisiae,GSM4231356,GEO,SRA1015819,03,2021,Liu,yeast,172_2_RNA,yeast,CEN.PK,WT strain #172,without methionine for two hours,GSM4231356
SRR10759509,26783015,1365933765,51,487,SRX7433744,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP238588,PRJNA597326,33691096,"",SRS5878957,SAMN13672665,simple,4932,Saccharomyces cerevisiae,GSM4231357,GEO,SRA1015819,03,2021,Liu,yeast,600_0_RNA,yeast,CEN.PK,WT strain #600,with methionine,GSM4231357
SRR10759510,35741000,1822791000,51,643,SRX7433745,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP238588,PRJNA597326,33691096,"",SRS5878958,SAMN13672664,simple,4932,Saccharomyces cerevisiae,GSM4231358,GEO,SRA1015819,03,2021,Liu,yeast,600_2_RNA,yeast,CEN.PK,WT strain #600,without methionine for two hours,GSM4231358
SRR10759511,34095884,1738890084,51,612,SRX7433746,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP238588,PRJNA597326,33691096,"",SRS5878959,SAMN13672663,simple,4932,Saccharomyces cerevisiae,GSM4231359,GEO,SRA1015819,03,2021,Liu,yeast,623_0_RNA,yeast,CEN.PK,E85Q strain #623,with methionine,GSM4231359
SRR10759512,33126068,1689429468,51,595,SRX7433747,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP238588,PRJNA597326,33691096,"",SRS5878960,SAMN13672662,simple,4932,Saccharomyces cerevisiae,GSM4231360,GEO,SRA1015819,03,2021,Liu,yeast,623_2_RNA,yeast,CEN.PK,E85Q strain #623,without methionine for two hours,GSM4231360
SRR10759513,30316943,1546164093,51,545,SRX7433748,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP238588,PRJNA597326,33691096,"",SRS5878961,SAMN13672661,simple,4932,Saccharomyces cerevisiae,GSM4231361,GEO,SRA1015819,03,2021,Liu,yeast,625_0_RNA,yeast,CEN.PK,E85Q strain #625,with methionine,GSM4231361
SRR10759514,34037699,1735922649,51,614,SRX7433749,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP238588,PRJNA597326,33691096,"",SRS5878962,SAMN13672684,simple,4932,Saccharomyces cerevisiae,GSM4231362,GEO,SRA1015819,03,2021,Liu,yeast,625_2_RNA,yeast,CEN.PK,E85Q strain #625,without methionine for two hours,GSM4231362
SRR10759515,33461041,1706513091,51,600,SRX7433750,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP238588,PRJNA597326,33691096,"",SRS5878963,SAMN13672683,simple,4932,Saccharomyces cerevisiae,GSM4231363,GEO,SRA1015819,03,2021,Liu,yeast,887_0_RNA,yeast,CEN.PK,D87E strain #887,with methionine,GSM4231363
SRR10759516,30539463,1557512613,51,554,SRX7433751,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP238588,PRJNA597326,33691096,"",SRS5878964,SAMN13672682,simple,4932,Saccharomyces cerevisiae,GSM4231364,GEO,SRA1015819,03,2021,Liu,yeast,887_2_RNA,yeast,CEN.PK,D87E strain #887,without methionine for two hours,GSM4231364
SRR10759517,33011840,1683603840,51,601,SRX7433752,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP238588,PRJNA597326,33691096,"",SRS5878965,SAMN13672681,simple,4932,Saccharomyces cerevisiae,GSM4231365,GEO,SRA1015819,03,2021,Liu,yeast,888_0_RNA,yeast,CEN.PK,D87E strain #888,with methionine,GSM4231365
SRR10759518,31681480,1615755480,51,578,SRX7433753,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP238588,PRJNA597326,33691096,"",SRS5878966,SAMN13672680,simple,4932,Saccharomyces cerevisiae,GSM4231366,GEO,SRA1015819,03,2021,Liu,yeast,888_2_RNA,yeast,CEN.PK,D87E strain #888,without methionine for two hours,GSM4231366
