Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,cell_line,disease,label
SRR948506,53316226,5018597003,49,2571,SRX332173,P1_poly40,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP028530,PRJNA214026,1,"",SRS467294,SAMN02299539,simple,9606,Homo sapiens,PEO1,Fred Hutchinson Cancer Research Center,SRA096542,01,2014,Makar,"",General Sample for Homo sapiens,PEO1,ovarian cancer,PEO1
SRR948566,60337435,5694384423,49,2849,SRX332195,P1_poly80,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP028530,PRJNA214026,1,"",SRS467294,SAMN02299539,simple,9606,Homo sapiens,PEO1,Fred Hutchinson Cancer Research Center,SRA096542,01,2014,Makar,"",General Sample for Homo sapiens,PEO1,ovarian cancer,PEO1
SRR948567,67730403,6390262137,49,3125,SRX332196,P2_poly2,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP028530,PRJNA214026,1,"",SRS467294,SAMN02299539,simple,9606,Homo sapiens,PEO1,Fred Hutchinson Cancer Research Center,SRA096542,01,2014,Makar,"",General Sample for Homo sapiens,PEO1,ovarian cancer,PEO1
SRR948766,60255310,5680971898,49,2767,SRX332310,P2_poly4,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP028530,PRJNA214026,1,"",SRS467294,SAMN02299539,simple,9606,Homo sapiens,PEO1,Fred Hutchinson Cancer Research Center,SRA096542,01,2014,Makar,"",General Sample for Homo sapiens,PEO1,ovarian cancer,PEO1
SRR948795,63984994,6044159800,49,3005,SRX332340,P2_poly80,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP028530,PRJNA214026,1,"",SRS467294,SAMN02299539,simple,9606,Homo sapiens,PEO1,Fred Hutchinson Cancer Research Center,SRA096542,01,2014,Makar,"",General Sample for Homo sapiens,PEO1,ovarian cancer,PEO1
SRR948831,45757823,4319553203,49,2171,SRX332341,P2_poly40,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP028530,PRJNA214026,1,"",SRS467294,SAMN02299539,simple,9606,Homo sapiens,PEO1,Fred Hutchinson Cancer Research Center,SRA096542,01,2014,Makar,"",General Sample for Homo sapiens,PEO1,ovarian cancer,PEO1
SRR948837,63358154,5984603436,49,2885,SRX332366,p3_poly2,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP028530,PRJNA214026,1,"",SRS467294,SAMN02299539,simple,9606,Homo sapiens,PEO1,Fred Hutchinson Cancer Research Center,SRA096542,01,2014,Makar,"",General Sample for Homo sapiens,PEO1,ovarian cancer,PEO1
SRR948838,59820039,5658596489,49,2693,SRX332369,p3_poly4,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP028530,PRJNA214026,1,"",SRS467294,SAMN02299539,simple,9606,Homo sapiens,PEO1,Fred Hutchinson Cancer Research Center,SRA096542,01,2014,Makar,"",General Sample for Homo sapiens,PEO1,ovarian cancer,PEO1
SRR948839,49497796,4674459811,49,2329,SRX332370,p3_poly40,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP028530,PRJNA214026,1,"",SRS467294,SAMN02299539,simple,9606,Homo sapiens,PEO1,Fred Hutchinson Cancer Research Center,SRA096542,01,2014,Makar,"",General Sample for Homo sapiens,PEO1,ovarian cancer,PEO1
SRR948840,59776001,5656804363,49,2770,SRX332372,p3_poly80,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP028530,PRJNA214026,1,"",SRS467294,SAMN02299539,simple,9606,Homo sapiens,PEO1,Fred Hutchinson Cancer Research Center,SRA096542,01,2014,Makar,"",General Sample for Homo sapiens,PEO1,ovarian cancer,PEO1
SRR948858,64220405,6054858754,49,2932,SRX332375,p4_poly2,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP028530,PRJNA214026,1,"",SRS467294,SAMN02299539,simple,9606,Homo sapiens,PEO1,Fred Hutchinson Cancer Research Center,SRA096542,01,2014,Makar,"",General Sample for Homo sapiens,PEO1,ovarian cancer,PEO1
SRR948859,62957433,5955613419,49,2830,SRX332391,P4_poly4,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP028530,PRJNA214026,1,"",SRS467294,SAMN02299539,simple,9606,Homo sapiens,PEO1,Fred Hutchinson Cancer Research Center,SRA096542,01,2014,Makar,"",General Sample for Homo sapiens,PEO1,ovarian cancer,PEO1
SRR948860,53399152,5040061747,49,2533,SRX332395,p4_poly40,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP028530,PRJNA214026,1,"",SRS467294,SAMN02299539,simple,9606,Homo sapiens,PEO1,Fred Hutchinson Cancer Research Center,SRA096542,01,2014,Makar,"",General Sample for Homo sapiens,PEO1,ovarian cancer,PEO1
SRR948861,52493807,4962781593,49,2439,SRX332397,p4_poly80,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP028530,PRJNA214026,1,"",SRS467294,SAMN02299539,simple,9606,Homo sapiens,PEO1,Fred Hutchinson Cancer Research Center,SRA096542,01,2014,Makar,"",General Sample for Homo sapiens,PEO1,ovarian cancer,PEO1
SRR949011,67672126,6368775588,49,3158,SRX332545,C1_poly2,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP028530,PRJNA214026,1,"",SRS467588,SAMN02299548,simple,9606,Homo sapiens,C4-4,Fred Hutchinson Cancer Research Center,SRA096542,01,2014,Makar,"",ovarian cancer cell line C4-4,C4-4,ovarian cancer,C4-4
SRR949012,62929587,5917285178,49,2895,SRX332547,C1_poly4,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP028530,PRJNA214026,1,"",SRS467588,SAMN02299548,simple,9606,Homo sapiens,C4-4,Fred Hutchinson Cancer Research Center,SRA096542,01,2014,Makar,"",ovarian cancer cell line C4-4,C4-4,ovarian cancer,C4-4
SRR949013,51270365,4820211291,49,2479,SRX332555,C1_poly40,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP028530,PRJNA214026,1,"",SRS467588,SAMN02299548,simple,9606,Homo sapiens,C4-4,Fred Hutchinson Cancer Research Center,SRA096542,01,2014,Makar,"",ovarian cancer cell line C4-4,C4-4,ovarian cancer,C4-4
SRR949014,61641076,5807182276,49,2919,SRX332556,C1_poly80,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP028530,PRJNA214026,1,"",SRS467588,SAMN02299548,simple,9606,Homo sapiens,C4-4,Fred Hutchinson Cancer Research Center,SRA096542,01,2014,Makar,"",ovarian cancer cell line C4-4,C4-4,ovarian cancer,C4-4
SRR949028,62290664,5873340459,49,2858,SRX332557,C2_poly2,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP028530,PRJNA214026,1,"",SRS467588,SAMN02299548,simple,9606,Homo sapiens,C4-4,Fred Hutchinson Cancer Research Center,SRA096542,01,2014,Makar,"",ovarian cancer cell line C4-4,C4-4,ovarian cancer,C4-4
SRR949029,64798369,6107086874,49,2958,SRX332558,C2_poly4,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP028530,PRJNA214026,1,"",SRS467588,SAMN02299548,simple,9606,Homo sapiens,C4-4,Fred Hutchinson Cancer Research Center,SRA096542,01,2014,Makar,"",ovarian cancer cell line C4-4,C4-4,ovarian cancer,C4-4
SRR949030,47825076,4503013515,49,2257,SRX332559,C2_poly40,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP028530,PRJNA214026,1,"",SRS467588,SAMN02299548,simple,9606,Homo sapiens,C4-4,Fred Hutchinson Cancer Research Center,SRA096542,01,2014,Makar,"",ovarian cancer cell line C4-4,C4-4,ovarian cancer,C4-4
SRR949031,58910629,5556564279,49,2753,SRX332560,C2_poly80,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP028530,PRJNA214026,1,"",SRS467588,SAMN02299548,simple,9606,Homo sapiens,C4-4,Fred Hutchinson Cancer Research Center,SRA096542,01,2014,Makar,"",ovarian cancer cell line C4-4,C4-4,ovarian cancer,C4-4
SRR949032,65937129,6208460965,49,3038,SRX332561,C3_poly2,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP028530,PRJNA214026,1,"",SRS467588,SAMN02299548,simple,9606,Homo sapiens,C4-4,Fred Hutchinson Cancer Research Center,SRA096542,01,2014,Makar,"",ovarian cancer cell line C4-4,C4-4,ovarian cancer,C4-4
SRR949033,59384234,5599219416,49,2697,SRX332562,C3_poly4,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP028530,PRJNA214026,1,"",SRS467588,SAMN02299548,simple,9606,Homo sapiens,C4-4,Fred Hutchinson Cancer Research Center,SRA096542,01,2014,Makar,"",ovarian cancer cell line C4-4,C4-4,ovarian cancer,C4-4
SRR949034,48528043,4558943928,49,2318,SRX332563,C3_poly40,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP028530,PRJNA214026,1,"",SRS467588,SAMN02299548,simple,9606,Homo sapiens,C4-4,Fred Hutchinson Cancer Research Center,SRA096542,01,2014,Makar,"",ovarian cancer cell line C4-4,C4-4,ovarian cancer,C4-4
SRR949035,64653515,6090323974,49,3025,SRX332576,C3_poly80,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP028530,PRJNA214026,1,"",SRS467588,SAMN02299548,simple,9606,Homo sapiens,C4-4,Fred Hutchinson Cancer Research Center,SRA096542,01,2014,Makar,"",ovarian cancer cell line C4-4,C4-4,ovarian cancer,C4-4
SRR949036,66987874,6299598613,49,3078,SRX332577,C4_poly2,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP028530,PRJNA214026,1,"",SRS467588,SAMN02299548,simple,9606,Homo sapiens,C4-4,Fred Hutchinson Cancer Research Center,SRA096542,01,2014,Makar,"",ovarian cancer cell line C4-4,C4-4,ovarian cancer,C4-4
SRR949037,62558508,5904908905,49,2823,SRX332578,C4_poly4,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP028530,PRJNA214026,1,"",SRS467588,SAMN02299548,simple,9606,Homo sapiens,C4-4,Fred Hutchinson Cancer Research Center,SRA096542,01,2014,Makar,"",ovarian cancer cell line C4-4,C4-4,ovarian cancer,C4-4
SRR949038,50686801,4772718776,49,2404,SRX332579,C4_poly40,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP028530,PRJNA214026,1,"",SRS467588,SAMN02299548,simple,9606,Homo sapiens,C4-4,Fred Hutchinson Cancer Research Center,SRA096542,01,2014,Makar,"",ovarian cancer cell line C4-4,C4-4,ovarian cancer,C4-4
SRR949039,52763686,4971728748,49,2450,SRX332580,C4_poly80,RNA-Seq,RANDOM,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP028530,PRJNA214026,1,"",SRS467588,SAMN02299548,simple,9606,Homo sapiens,C4-4,Fred Hutchinson Cancer Research Center,SRA096542,01,2014,Makar,"",ovarian cancer cell line C4-4,C4-4,ovarian cancer,C4-4
