Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,strain,host,isolation_source,collection_date,geo_loc_name,sample_type,sample info,type-material,BioSampleModel
SRR6286690,95785654,2709048603,28,1226,SRX3388073,Ribo_CO_rep2,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP124901,PRJNA418190,1,"",SRS2683407,SAMN08022093,simple,1538,Clostridium ljungdahlii,Ribo_CO_rep2,UCSD,SRA630323,10,2018,Makar,"",Ribo_CO_rep2,ATCC 55383,not applicable,not applicable,not applicable,not applicable,Ribo-seq library,Ribo-seq from CO culture biological replicate 2,type strain of Clostridium ljungdahlii,"Microbe, viral or environmental"
SRR6286689,53607508,10721501600,100,4116,SRX3388074,RNA_H2CO2_rep1,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP124901,PRJNA418190,1,"",SRS2683408,SAMN08022098,simple,1538,Clostridium ljungdahlii,RNA_H2CO2_rep1,UCSD,SRA630323,10,2018,Makar,"",RNA_H2CO2_rep1,ATCC 55383,not applicable,not applicable,not applicable,not applicable,RNA-seq library,RNA-seq from H2/CO2 culture biological replicate 1,type strain of Clostridium ljungdahlii,"Microbe, viral or environmental"
SRR6286688,54000038,10800007600,100,4174,SRX3388075,RNA_H2CO2_rep2,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP124901,PRJNA418190,1,"",SRS2683406,SAMN08022099,simple,1538,Clostridium ljungdahlii,RNA_H2CO2_rep2,UCSD,SRA630323,10,2018,Makar,"",RNA_H2CO2_rep2,ATCC 55383,not applicable,not applicable,not applicable,not applicable,RNA-seq library,RNA-seq from H2/CO2 culture biological replicate 2,type strain of Clostridium ljungdahlii,"Microbe, viral or environmental"
SRR6286687,31226831,3122683100,100,1385,SRX3388076,Ribo_HF_rep1,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP124901,PRJNA418190,1,"",SRS2683410,SAMN08022096,simple,1538,Clostridium ljungdahlii,Ribo_HF_rep1,UCSD,SRA630323,10,2018,Makar,"",Ribo_HF_rep1,ATCC 55383,not applicable,not applicable,not applicable,not applicable,Ribo-seq library,Ribo-seq from fructose culture biological replicate 1,type strain of Clostridium ljungdahlii,"Microbe, viral or environmental"
SRR6286686,31815773,3181577300,100,1418,SRX3388077,Ribo_HF_rep2,OTHER,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP124901,PRJNA418190,1,"",SRS2683409,SAMN08022097,simple,1538,Clostridium ljungdahlii,Ribo_HF_rep2,UCSD,SRA630323,10,2018,Makar,"",Ribo_HF_rep2,ATCC 55383,not applicable,not applicable,not applicable,not applicable,Ribo-seq library,Ribo-seq from fructose culture biological replicate 2,type strain of Clostridium ljungdahlii,"Microbe, viral or environmental"
SRR6286685,87307491,17461498200,100,6970,SRX3388078,RNA_HF_rep1,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP124901,PRJNA418190,1,"",SRS2683411,SAMN08022100,simple,1538,Clostridium ljungdahlii,RNA_HF_rep1,UCSD,SRA630323,10,2018,Makar,"",RNA_HF_rep1,ATCC 55383,not applicable,not applicable,not applicable,not applicable,RNA-seq library,RNA-seq from fructose culture biological replicate 1,type strain of Clostridium ljungdahlii,"Microbe, viral or environmental"
SRR6286684,88054842,17610968400,100,7041,SRX3388079,RNA_HF_rep2,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP124901,PRJNA418190,1,"",SRS2683412,SAMN08022101,simple,1538,Clostridium ljungdahlii,RNA_HF_rep2,UCSD,SRA630323,10,2018,Makar,"",RNA_HF_rep2,ATCC 55383,not applicable,not applicable,not applicable,not applicable,RNA-seq library,RNA-seq from fructose culture biological replicate 2,type strain of Clostridium ljungdahlii,"Microbe, viral or environmental"
SRR6286683,1700546,101721627,59,52,SRX3388080,TSS_HF_X_2,RNA-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP124901,PRJNA418190,1,"",SRS2683413,SAMN08022113,simple,1538,Clostridium ljungdahlii,TSS_HF_X_2,UCSD,SRA630323,10,2018,Makar,"",TSS_HF_X_2,ATCC 55383,not applicable,not applicable,not applicable,not applicable,5''RNA-seq library,TSS-seq of 5'' triphosphatase-untreated from high fructose culture biological replicate 2,type strain of Clostridium ljungdahlii,"Microbe, viral or environmental"
SRR6286682,1846454,110469515,59,56,SRX3388081,TSS_HF_X_1,RNA-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP124901,PRJNA418190,1,"",SRS2683414,SAMN08022112,simple,1538,Clostridium ljungdahlii,TSS_HF_X_1,UCSD,SRA630323,10,2018,Makar,"",TSS_HF_X_1,ATCC 55383,not applicable,not applicable,not applicable,not applicable,5''RNA-seq library,TSS-seq of 5'' triphosphatase-untreated from high fructose culture biological replicate 1,type strain of Clostridium ljungdahlii,"Microbe, viral or environmental"
SRR6286681,1672726,100108119,59,50,SRX3388082,TSS_LF_P_2,RNA-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP124901,PRJNA418190,1,"",SRS2683415,SAMN08022115,simple,1538,Clostridium ljungdahlii,TSS_LF_P_2,UCSD,SRA630323,10,2018,Makar,"",TSS_LF_P_2,ATCC 55383,not applicable,not applicable,not applicable,not applicable,5''RNA-seq library,TSS-seq of 5'' triphosphatase-treated from low fructose culture biological replicate 2,type strain of Clostridium ljungdahlii,"Microbe, viral or environmental"
SRR6286680,1541724,92265374,59,47,SRX3388083,TSS_LF_P_1,RNA-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP124901,PRJNA418190,1,"",SRS2683416,SAMN08022114,simple,1538,Clostridium ljungdahlii,TSS_LF_P_1,UCSD,SRA630323,10,2018,Makar,"",TSS_LF_P_1,ATCC 55383,not applicable,not applicable,not applicable,not applicable,5''RNA-seq library,TSS-seq of 5'' triphosphatase-treated from low fructose culture biological replicate 1,type strain of Clostridium ljungdahlii,"Microbe, viral or environmental"
SRR6286679,2046187,122362131,59,62,SRX3388084,TSS_LF_X_2,RNA-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP124901,PRJNA418190,1,"",SRS2683417,SAMN08022117,simple,1538,Clostridium ljungdahlii,TSS_LF_X_2,UCSD,SRA630323,10,2018,Makar,"",TSS_LF_X_2,ATCC 55383,not applicable,not applicable,not applicable,not applicable,5''RNA-seq library,TSS-seq of 5'' triphosphatase-untreated from low fructose culture biological replicate 2,type strain of Clostridium ljungdahlii,"Microbe, viral or environmental"
SRR6286678,1790396,107060292,59,54,SRX3388085,TSS_LF_X_1,RNA-Seq,other,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP124901,PRJNA418190,1,"",SRS2683418,SAMN08022116,simple,1538,Clostridium ljungdahlii,TSS_LF_X_1,UCSD,SRA630323,10,2018,Makar,"",TSS_LF_X_1,ATCC 55383,not applicable,not applicable,not applicable,not applicable,5''RNA-seq library,TSS-seq of 5'' triphosphatase-untreated from low fructose culture biological replicate 1,type strain of Clostridium ljungdahlii,"Microbe, viral or environmental"
