Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,time in development,strain,GEO Accession
SRR3356487,49229897,2510724747,51,1517,SRX1690279,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP073115,PRJNA318047,28111013,"",SRS1384298,SAMN04632572,simple,6239,Caenorhabditis elegans,GSM2113358,GEO,SRA409071,07,2017,Aeschimann,Whole-worm,Footprint_let-7(n2853)_34hr,Whole-worm,18 hours,N2,GSM2113360
SRR3356488,50000000,2.55e+09,51,1553,SRX1690280,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP073115,PRJNA318047,28111013,"",SRS1384297,SAMN04632573,simple,6239,Caenorhabditis elegans,GSM2113359,GEO,SRA409071,07,2017,Aeschimann,Whole-worm,Footprint_let-7(n2853)_36hr,Whole-worm,20 hours,N2,GSM2113361
SRR3356489,1800300,91815300,51,60,SRX1690280,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP073115,PRJNA318047,28111013,"",SRS1384297,SAMN04632573,simple,6239,Caenorhabditis elegans,GSM2113359,GEO,SRA409071,07,2017,Aeschimann,Whole-worm,Footprint_let-7(n2853)_36hr,Whole-worm,22 hours,N2,GSM2113362
SRR3356490,62492227,3124611350,50,1575,SRX1690281,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP073115,PRJNA318047,28111013,"",SRS1384296,SAMN04632574,simple,6239,Caenorhabditis elegans,GSM2113360,GEO,SRA409071,07,2017,Aeschimann,Whole-worm,Footprint_N2_18hr,Whole-worm,24 hours,N2,GSM2113363
SRR3356491,56962070,2848103500,50,1418,SRX1690282,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP073115,PRJNA318047,28111013,"",SRS1384295,SAMN04632575,simple,6239,Caenorhabditis elegans,GSM2113361,GEO,SRA409071,07,2017,Aeschimann,Whole-worm,Footprint_N2_20hr,Whole-worm,26 hours,N2,GSM2113364
SRR3356492,62890589,3144529450,50,1572,SRX1690283,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP073115,PRJNA318047,28111013,"",SRS1384294,SAMN04632576,simple,6239,Caenorhabditis elegans,GSM2113362,GEO,SRA409071,07,2017,Aeschimann,Whole-worm,Footprint_N2_22hr,Whole-worm,28 hours,N2,GSM2113365
SRR3356493,65028207,3251410350,50,1608,SRX1690284,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP073115,PRJNA318047,28111013,"",SRS1384293,SAMN04632577,simple,6239,Caenorhabditis elegans,GSM2113363,GEO,SRA409071,07,2017,Aeschimann,Whole-worm,Footprint_N2_24hr,Whole-worm,30 hours,N2,GSM2113366
SRR3356494,65505290,3275264500,50,1657,SRX1690285,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP073115,PRJNA318047,28111013,"",SRS1384292,SAMN04632578,simple,6239,Caenorhabditis elegans,GSM2113364,GEO,SRA409071,07,2017,Aeschimann,Whole-worm,Footprint_N2_26hr,Whole-worm,32 hours,N2,GSM2113367
SRR3356495,56796840,2839842000,50,1390,SRX1690286,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP073115,PRJNA318047,28111013,"",SRS1384291,SAMN04632579,simple,6239,Caenorhabditis elegans,GSM2113365,GEO,SRA409071,07,2017,Aeschimann,Whole-worm,Footprint_N2_28hr,Whole-worm,34 hours,N2,GSM2113368
SRR3356496,67270468,3363523400,50,1681,SRX1690287,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP073115,PRJNA318047,28111013,"",SRS1384290,SAMN04632580,simple,6239,Caenorhabditis elegans,GSM2113366,GEO,SRA409071,07,2017,Aeschimann,Whole-worm,Footprint_N2_30hr,Whole-worm,36 hours,N2,GSM2113369
SRR3356497,61937282,3096864100,50,1523,SRX1690288,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP073115,PRJNA318047,28111013,"",SRS1384289,SAMN04632581,simple,6239,Caenorhabditis elegans,GSM2113367,GEO,SRA409071,07,2017,Aeschimann,Whole-worm,Footprint_N2_32hr,Whole-worm,38 hours,N2,GSM2113370
SRR3356498,68765583,3438279150,50,1744,SRX1690289,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP073115,PRJNA318047,28111013,"",SRS1384288,SAMN04632583,simple,6239,Caenorhabditis elegans,GSM2113368,GEO,SRA409071,07,2017,Aeschimann,Whole-worm,Footprint_N2_34hr,Whole-worm,18 hours,lin-41(xe11),GSM2113371
SRR3356499,58961796,2948089800,50,1464,SRX1690290,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP073115,PRJNA318047,28111013,"",SRS1384287,SAMN04632584,simple,6239,Caenorhabditis elegans,GSM2113369,GEO,SRA409071,07,2017,Aeschimann,Whole-worm,Footprint_N2_36hr,Whole-worm,20 hours,lin-41(xe11),GSM2113372
SRR3356500,64866334,3243316700,50,1680,SRX1690291,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP073115,PRJNA318047,28111013,"",SRS1384286,SAMN04632585,simple,6239,Caenorhabditis elegans,GSM2113370,GEO,SRA409071,07,2017,Aeschimann,Whole-worm,Footprint_N2_38hr,Whole-worm,22 hours,lin-41(xe11),GSM2113373
SRR3356501,63891469,3194573450,50,1628,SRX1690292,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP073115,PRJNA318047,28111013,"",SRS1384285,SAMN04632586,simple,6239,Caenorhabditis elegans,GSM2113371,GEO,SRA409071,07,2017,Aeschimann,Whole-worm,Footprint_lin-41(xe11)_18hr,Whole-worm,24 hours,lin-41(xe11),GSM2113374
SRR3356502,65557663,3277883150,50,1632,SRX1690293,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP073115,PRJNA318047,28111013,"",SRS1384284,SAMN04632587,simple,6239,Caenorhabditis elegans,GSM2113372,GEO,SRA409071,07,2017,Aeschimann,Whole-worm,Footprint_lin-41(xe11)_20hr,Whole-worm,26 hours,lin-41(xe11),GSM2113375
SRR3356503,59706751,2985337550,50,1496,SRX1690294,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP073115,PRJNA318047,28111013,"",SRS1384283,SAMN04632588,simple,6239,Caenorhabditis elegans,GSM2113373,GEO,SRA409071,07,2017,Aeschimann,Whole-worm,Footprint_lin-41(xe11)_22hr,Whole-worm,28 hours,lin-41(xe11),GSM2113376
SRR3356504,59701987,2985099350,50,1463,SRX1690295,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP073115,PRJNA318047,28111013,"",SRS1384282,SAMN04632589,simple,6239,Caenorhabditis elegans,GSM2113374,GEO,SRA409071,07,2017,Aeschimann,Whole-worm,Footprint_lin-41(xe11)_24hr,Whole-worm,30 hours,lin-41(xe11),GSM2113377
SRR3356505,64854758,3242737900,50,1615,SRX1690296,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP073115,PRJNA318047,28111013,"",SRS1384281,SAMN04632590,simple,6239,Caenorhabditis elegans,GSM2113375,GEO,SRA409071,07,2017,Aeschimann,Whole-worm,Footprint_lin-41(xe11)_26hr,Whole-worm,32 hours,lin-41(xe11),GSM2113378
SRR3356506,66043580,3302179000,50,1622,SRX1690297,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP073115,PRJNA318047,28111013,"",SRS1384330,SAMN04632591,simple,6239,Caenorhabditis elegans,GSM2113376,GEO,SRA409071,07,2017,Aeschimann,Whole-worm,Footprint_lin-41(xe11)_28hr,Whole-worm,34 hours,lin-41(xe11),GSM2113379
SRR3356507,65527707,3276385350,50,1651,SRX1690298,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP073115,PRJNA318047,28111013,"",SRS1384329,SAMN04632592,simple,6239,Caenorhabditis elegans,GSM2113377,GEO,SRA409071,07,2017,Aeschimann,Whole-worm,Footprint_lin-41(xe11)_30hr,Whole-worm,36 hours,lin-41(xe11),GSM2113380
SRR3356508,60273154,3013657700,50,1480,SRX1690299,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP073115,PRJNA318047,28111013,"",SRS1384328,SAMN04632593,simple,6239,Caenorhabditis elegans,GSM2113378,GEO,SRA409071,07,2017,Aeschimann,Whole-worm,Footprint_lin-41(xe11)_32hr,Whole-worm,38 hours,lin-41(xe11),GSM2113381
SRR3356509,67919114,3395955700,50,1692,SRX1690300,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP073115,PRJNA318047,28111013,"",SRS1384327,SAMN04632594,simple,6239,Caenorhabditis elegans,GSM2113379,GEO,SRA409071,07,2017,Aeschimann,Whole-worm,Footprint_lin-41(xe11)_34hr,Whole-worm,18 hours,lin-41(xe11); let-7(n2853),GSM2113382
SRR3356510,61554530,3077726500,50,1508,SRX1690301,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP073115,PRJNA318047,28111013,"",SRS1384326,SAMN04632595,simple,6239,Caenorhabditis elegans,GSM2113380,GEO,SRA409071,07,2017,Aeschimann,Whole-worm,Footprint_lin-41(xe11)_36hr,Whole-worm,20 hours,lin-41(xe11); let-7(n2853),GSM2113383
SRR3356511,63238809,3161940450,50,1613,SRX1690302,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP073115,PRJNA318047,28111013,"",SRS1384325,SAMN04632596,simple,6239,Caenorhabditis elegans,GSM2113381,GEO,SRA409071,07,2017,Aeschimann,Whole-worm,Footprint_lin-41(xe11)_38hr,Whole-worm,22 hours,lin-41(xe11); let-7(n2853),GSM2113384
SRR3356512,66159200,3307960000,50,1668,SRX1690303,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP073115,PRJNA318047,28111013,"",SRS1384324,SAMN04632597,simple,6239,Caenorhabditis elegans,GSM2113382,GEO,SRA409071,07,2017,Aeschimann,Whole-worm,Footprint_lin-41(xe11);let-7(n2853)_18hr,Whole-worm,24 hours,lin-41(xe11); let-7(n2853),GSM2113385
SRR3356513,56783773,2839188650,50,1398,SRX1690304,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP073115,PRJNA318047,28111013,"",SRS1384323,SAMN04632598,simple,6239,Caenorhabditis elegans,GSM2113383,GEO,SRA409071,07,2017,Aeschimann,Whole-worm,Footprint_lin-41(xe11);let-7(n2853)_20hr,Whole-worm,26 hours,lin-41(xe11); let-7(n2853),GSM2113386
SRR3356514,60601357,3030067850,50,1537,SRX1690305,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP073115,PRJNA318047,28111013,"",SRS1384322,SAMN04632599,simple,6239,Caenorhabditis elegans,GSM2113384,GEO,SRA409071,07,2017,Aeschimann,Whole-worm,Footprint_lin-41(xe11);let-7(n2853)_22hr,Whole-worm,28 hours,lin-41(xe11); let-7(n2853),GSM2113387
SRR3356515,62944837,3147241850,50,1551,SRX1690306,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP073115,PRJNA318047,28111013,"",SRS1384321,SAMN04632600,simple,6239,Caenorhabditis elegans,GSM2113385,GEO,SRA409071,07,2017,Aeschimann,Whole-worm,Footprint_lin-41(xe11);let-7(n2853)_24hr,Whole-worm,30 hours,lin-41(xe11); let-7(n2853),GSM2113388
SRR3356516,62166041,3108302050,50,1574,SRX1690307,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP073115,PRJNA318047,28111013,"",SRS1384320,SAMN04632601,simple,6239,Caenorhabditis elegans,GSM2113386,GEO,SRA409071,07,2017,Aeschimann,Whole-worm,Footprint_lin-41(xe11);let-7(n2853)_26hr,Whole-worm,32 hours,lin-41(xe11); let-7(n2853),GSM2113389
SRR3356517,59546535,2977326750,50,1462,SRX1690308,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP073115,PRJNA318047,28111013,"",SRS1384319,SAMN04632602,simple,6239,Caenorhabditis elegans,GSM2113387,GEO,SRA409071,07,2017,Aeschimann,Whole-worm,Footprint_lin-41(xe11);let-7(n2853)_28hr,Whole-worm,34 hours,lin-41(xe11); let-7(n2853),GSM2113390
SRR3356518,64330398,3216519900,50,1616,SRX1690309,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP073115,PRJNA318047,28111013,"",SRS1384318,SAMN04632603,simple,6239,Caenorhabditis elegans,GSM2113388,GEO,SRA409071,07,2017,Aeschimann,Whole-worm,Footprint_lin-41(xe11);let-7(n2853)_30hr,Whole-worm,36 hours,lin-41(xe11); let-7(n2853),GSM2113391
SRR3356519,61513419,3075670950,50,1515,SRX1690310,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP073115,PRJNA318047,28111013,"",SRS1384317,SAMN04632604,simple,6239,Caenorhabditis elegans,GSM2113389,GEO,SRA409071,07,2017,Aeschimann,Whole-worm,Footprint_lin-41(xe11);let-7(n2853)_32hr,Whole-worm,38 hours,lin-41(xe11); let-7(n2853),GSM2113392
SRR3356520,60981970,3049098500,50,1566,SRX1690311,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP073115,PRJNA318047,28111013,"",SRS1384309,SAMN04632605,simple,6239,Caenorhabditis elegans,GSM2113390,GEO,SRA409071,07,2017,Aeschimann,Whole-worm,Footprint_lin-41(xe11);let-7(n2853)_34hr,Whole-worm,18 hours,let-7(n2853),GSM2113350
SRR3356521,54044343,2702217150,50,1367,SRX1690312,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP073115,PRJNA318047,28111013,"",SRS1384308,SAMN04632606,simple,6239,Caenorhabditis elegans,GSM2113391,GEO,SRA409071,07,2017,Aeschimann,Whole-worm,Footprint_lin-41(xe11);let-7(n2853)_36hr,Whole-worm,20 hours,let-7(n2853),GSM2113351
SRR3356522,66308950,3315447500,50,1682,SRX1690313,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP073115,PRJNA318047,28111013,"",SRS1384307,SAMN04632607,simple,6239,Caenorhabditis elegans,GSM2113392,GEO,SRA409071,07,2017,Aeschimann,Whole-worm,Footprint_lin-41(xe11);let-7(n2853)_38hr,Whole-worm,22 hours,let-7(n2853),GSM2113352
