Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,transfection,GEO Accession
SRR2876939,6549380,278439129,42,160,SRX1403546,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065547,PRJNA300669,26721685,"",SRS1142120,SAMN04226955,simple,10090,Mus musculus,GSM1922377,GEO,SRA308314,01,2016,Sharma,Mouse Embryonic Stem Cells,tRFGG_RNAseq3,Mouse Embryonic Stem Cells,E14,LNA-containing oligos antisense to tRF-GG,GSM1922377
SRR2876940,5876909,227503830,38,141,SRX1403547,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065547,PRJNA300669,26721685,"",SRS1142121,SAMN04226956,simple,10090,Mus musculus,GSM1922378,GEO,SRA308314,01,2016,Sharma,Mouse Embryonic Stem Cells,tRFGG_RNAseq4,Mouse Embryonic Stem Cells,E14,LNA-containing oligos antisense to tRF-GG,GSM1922378
SRR2876941,5736813,240946146,42,236,SRX1403548,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065547,PRJNA300669,26721685,"",SRS1142119,SAMN04226957,simple,10090,Mus musculus,GSM1922379,GEO,SRA308314,01,2016,Sharma,Mouse Embryonic Stem Cells,GFP_RNAseq1,Mouse Embryonic Stem Cells,E14,GFP-esiRNA,GSM1922379
SRR2876942,4730812,202040441,42,121,SRX1403549,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065547,PRJNA300669,26721685,"",SRS1142117,SAMN04226958,simple,10090,Mus musculus,GSM1922380,GEO,SRA308314,01,2016,Sharma,Mouse Embryonic Stem Cells,GFP_RNAseq2,Mouse Embryonic Stem Cells,E14,GFP-esiRNA,GSM1922380
SRR2876943,5688434,240362906,42,139,SRX1403550,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065547,PRJNA300669,26721685,"",SRS1142118,SAMN04226959,simple,10090,Mus musculus,GSM1922381,GEO,SRA308314,01,2016,Sharma,Mouse Embryonic Stem Cells,GFP_RNAseq3,Mouse Embryonic Stem Cells,E14,GFP-esiRNA,GSM1922381
SRR2876944,7073961,301159631,42,175,SRX1403551,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065547,PRJNA300669,26721685,"",SRS1142116,SAMN04226931,simple,10090,Mus musculus,GSM1922382,GEO,SRA308314,01,2016,Sharma,Mouse Embryonic Stem Cells,GFP_RNAseq4,Mouse Embryonic Stem Cells,E14,GFP-esiRNA,GSM1922382
SRR2876945,16900171,709807182,42,691,SRX1403552,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065547,PRJNA300669,26721685,"",SRS1142115,SAMN04226932,simple,10090,Mus musculus,GSM1922383,GEO,SRA308314,01,2016,Sharma,Mouse Embryonic Stem Cells,Mock_RNAseq1,Mouse Embryonic Stem Cells,E14,mock,GSM1922383
SRR2876946,10099060,432182028,42,242,SRX1403553,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065547,PRJNA300669,26721685,"",SRS1142113,SAMN04226933,simple,10090,Mus musculus,GSM1922384,GEO,SRA308314,01,2016,Sharma,Mouse Embryonic Stem Cells,Mock_RNAseq2,Mouse Embryonic Stem Cells,E14,mock,GSM1922384
SRR2876947,1186878,49817643,41,29,SRX1403554,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065547,PRJNA300669,26721685,"",SRS1142114,SAMN04226934,simple,10090,Mus musculus,GSM1922385,GEO,SRA308314,01,2016,Sharma,Mouse Embryonic Stem Cells,Mock_RNAseq3,Mouse Embryonic Stem Cells,E14,mock,GSM1922385
SRR2876948,15800930,610734743,38,375,SRX1403555,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP065547,PRJNA300669,26721685,"",SRS1142112,SAMN04226935,simple,10090,Mus musculus,GSM1922386,GEO,SRA308314,01,2016,Sharma,Mouse Embryonic Stem Cells,Mock_RNAseq4,Mouse Embryonic Stem Cells,E14,mock,GSM1922386
