Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell type,genotype,treatment,molecule subtype
SRR17658113,105048702,3181351222,30,4638,SRX13826130,GSM5823989,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP355694,PRJNA798445,35758650,"",SRS11705355,SAMN25078322,simple,10090,Mus musculus,GSM5823989,Rockefeller University,SRA1358699,07,2022,Hurwitz,HRasG12V:TgfbrIIfl/fl_S51_keratynocytes,Sample_12_Ribo-Seq Ctrl_Bort_4,HRasG12V:TgfbrIIfl/fl_S51_keratynocytes,Squamous cell carcinoma,HRasG12V:TgfbrIIfl/fl_S51_Myctag,"Bortezomib (100nM, 4.5h)",Ribosome_protected_fragments
SRR17658112,70861797,2150477383,30,3119,SRX13826131,GSM5823990,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP355694,PRJNA798445,35758650,"",SRS11705356,SAMN25078321,simple,10090,Mus musculus,GSM5823990,Rockefeller University,SRA1358699,07,2022,Hurwitz,HRasG12V:TgfbrIIfl/fl_S51A_keratynocytes,Sample_13_Ribo-Seq S51A_Bort_1,HRasG12V:TgfbrIIfl/fl_S51A_keratynocytes,Squamous cell carcinoma,HRasG12V:TgfbrIIfl/fl_S51A_Myctag,"Bortezomib (100nM, 4.5h)",Ribosome_protected_fragments
SRR17658111,58399370,1782859437,30,2574,SRX13826132,GSM5823991,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP355694,PRJNA798445,35758650,"",SRS11705357,SAMN25078320,simple,10090,Mus musculus,GSM5823991,Rockefeller University,SRA1358699,07,2022,Hurwitz,HRasG12V:TgfbrIIfl/fl_S51A_keratynocytes,Sample_14_Ribo-Seq S51A_Bort_2,HRasG12V:TgfbrIIfl/fl_S51A_keratynocytes,Squamous cell carcinoma,HRasG12V:TgfbrIIfl/fl_S51A_Myctag,"Bortezomib (100nM, 4.5h)",Ribosome_protected_fragments
SRR17658110,52987522,1584194503,29,2321,SRX13826133,GSM5823992,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP355694,PRJNA798445,35758650,"",SRS11705358,SAMN25078319,simple,10090,Mus musculus,GSM5823992,Rockefeller University,SRA1358699,07,2022,Hurwitz,HRasG12V:TgfbrIIfl/fl_S51A_keratynocytes,Sample_15_Ribo-Seq S51A_Bort_3,HRasG12V:TgfbrIIfl/fl_S51A_keratynocytes,Squamous cell carcinoma,HRasG12V:TgfbrIIfl/fl_S51A_Myctag,"Bortezomib (100nM, 4.5h)",Ribosome_protected_fragments
SRR17658109,85097905,2521176869,29,3729,SRX13826134,GSM5823993,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP355694,PRJNA798445,35758650,"",SRS11705359,SAMN25078318,simple,10090,Mus musculus,GSM5823993,Rockefeller University,SRA1358699,07,2022,Hurwitz,HRasG12V:TgfbrIIfl/fl_S51A_keratynocytes,Sample_16_Ribo-Seq S51A_Bort_4,HRasG12V:TgfbrIIfl/fl_S51A_keratynocytes,Squamous cell carcinoma,HRasG12V:TgfbrIIfl/fl_S51A_Myctag,"Bortezomib (100nM, 4.5h)",Ribosome_protected_fragments
SRR17658108,30049904,2326520729,77,885,SRX13826135,GSM5823994,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP355694,PRJNA798445,35758650,"",SRS11705360,SAMN25078317,simple,10090,Mus musculus,GSM5823994,Rockefeller University,SRA1358699,07,2022,Hurwitz,HRasG12V:TgfbrIIfl/fl_S51_keratynocytes,tot_1_RNA-seq_Ctrl_veh_1,HRasG12V:TgfbrIIfl/fl_S51_keratynocytes,Squamous cell carcinoma,HRasG12V:TgfbrIIfl/fl_S51_Myctag,Vehicle,
SRR17658107,32130631,2477920406,77,941,SRX13826136,GSM5823995,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP355694,PRJNA798445,35758650,"",SRS11705361,SAMN25078316,simple,10090,Mus musculus,GSM5823995,Rockefeller University,SRA1358699,07,2022,Hurwitz,HRasG12V:TgfbrIIfl/fl_S51_keratynocytes,tot_2_RNA-seq_Ctrl_veh_2,HRasG12V:TgfbrIIfl/fl_S51_keratynocytes,Squamous cell carcinoma,HRasG12V:TgfbrIIfl/fl_S51_Myctag,Vehicle,
SRR17658106,31858535,2483021360,77,933,SRX13826137,GSM5823996,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP355694,PRJNA798445,35758650,"",SRS11705362,SAMN25078315,simple,10090,Mus musculus,GSM5823996,Rockefeller University,SRA1358699,07,2022,Hurwitz,HRasG12V:TgfbrIIfl/fl_S51_keratynocytes,tot_3_RNA-seq_Ctrl_veh_3,HRasG12V:TgfbrIIfl/fl_S51_keratynocytes,Squamous cell carcinoma,HRasG12V:TgfbrIIfl/fl_S51_Myctag,Vehicle,
SRR17658105,34636758,2698455208,77,1014,SRX13826138,GSM5823997,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP355694,PRJNA798445,35758650,"",SRS11705363,SAMN25078314,simple,10090,Mus musculus,GSM5823997,Rockefeller University,SRA1358699,07,2022,Hurwitz,HRasG12V:TgfbrIIfl/fl_S51_keratynocytes,tot_4_RNA-seq_Ctrl_veh_4,HRasG12V:TgfbrIIfl/fl_S51_keratynocytes,Squamous cell carcinoma,HRasG12V:TgfbrIIfl/fl_S51_Myctag,Vehicle,
SRR17658104,32997271,2585259821,78,973,SRX13826139,GSM5823998,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP355694,PRJNA798445,35758650,"",SRS11705364,SAMN25078313,simple,10090,Mus musculus,GSM5823998,Rockefeller University,SRA1358699,07,2022,Hurwitz,HRasG12V:TgfbrIIfl/fl_S51A_keratynocytes,tot_5_RNA-seq_S51A_veh_1,HRasG12V:TgfbrIIfl/fl_S51A_keratynocytes,Squamous cell carcinoma,HRasG12V:TgfbrIIfl/fl_S51A_Myctag,Vehicle,
SRR17658103,34034370,2638893695,77,997,SRX13826140,GSM5823999,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP355694,PRJNA798445,35758650,"",SRS11705365,SAMN25078312,simple,10090,Mus musculus,GSM5823999,Rockefeller University,SRA1358699,07,2022,Hurwitz,HRasG12V:TgfbrIIfl/fl_S51A_keratynocytes,tot_6_RNA-seq_S51A_veh_2,HRasG12V:TgfbrIIfl/fl_S51A_keratynocytes,Squamous cell carcinoma,HRasG12V:TgfbrIIfl/fl_S51A_Myctag,Vehicle,
SRR17658102,32910979,2570043179,78,965,SRX13826141,GSM5824000,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP355694,PRJNA798445,35758650,"",SRS11705366,SAMN25078311,simple,10090,Mus musculus,GSM5824000,Rockefeller University,SRA1358699,07,2022,Hurwitz,HRasG12V:TgfbrIIfl/fl_S51A_keratynocytes,tot_7_RNA-seq_S51A_veh_3,HRasG12V:TgfbrIIfl/fl_S51A_keratynocytes,Squamous cell carcinoma,HRasG12V:TgfbrIIfl/fl_S51A_Myctag,Vehicle,
SRR17658101,32008630,2468674405,77,940,SRX13826142,GSM5824001,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP355694,PRJNA798445,35758650,"",SRS11705367,SAMN25078310,simple,10090,Mus musculus,GSM5824001,Rockefeller University,SRA1358699,07,2022,Hurwitz,HRasG12V:TgfbrIIfl/fl_S51A_keratynocytes,tot_8_RNA-seq_S51A_veh_4,HRasG12V:TgfbrIIfl/fl_S51A_keratynocytes,Squamous cell carcinoma,HRasG12V:TgfbrIIfl/fl_S51A_Myctag,Vehicle,
SRR17658100,35155505,2709798730,77,1024,SRX13826143,GSM5824002,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP355694,PRJNA798445,35758650,"",SRS11705368,SAMN25078309,simple,10090,Mus musculus,GSM5824002,Rockefeller University,SRA1358699,07,2022,Hurwitz,HRasG12V:TgfbrIIfl/fl_S51_keratynocytes,tot_9_RNA-seq_Ctrl_Bort_1,HRasG12V:TgfbrIIfl/fl_S51_keratynocytes,Squamous cell carcinoma,HRasG12V:TgfbrIIfl/fl_S51_Myctag,"Bortezomib (100nM, 4.5h)",
SRR17658099,34100790,2642312465,77,1002,SRX13826144,GSM5824003,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP355694,PRJNA798445,35758650,"",SRS11705369,SAMN25078308,simple,10090,Mus musculus,GSM5824003,Rockefeller University,SRA1358699,07,2022,Hurwitz,HRasG12V:TgfbrIIfl/fl_S51_keratynocytes,tot_10_RNA-seq_Ctrl_Bort_2,HRasG12V:TgfbrIIfl/fl_S51_keratynocytes,Squamous cell carcinoma,HRasG12V:TgfbrIIfl/fl_S51_Myctag,"Bortezomib (100nM, 4.5h)",
SRR17658098,31456376,2415274826,76,920,SRX13826145,GSM5824004,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP355694,PRJNA798445,35758650,"",SRS11705370,SAMN25078307,simple,10090,Mus musculus,GSM5824004,Rockefeller University,SRA1358699,07,2022,Hurwitz,HRasG12V:TgfbrIIfl/fl_S51_keratynocytes,tot_11_RNA-seq_Ctrl_Bort_3,HRasG12V:TgfbrIIfl/fl_S51_keratynocytes,Squamous cell carcinoma,HRasG12V:TgfbrIIfl/fl_S51_Myctag,"Bortezomib (100nM, 4.5h)",
SRR17658097,35411050,2750779850,77,1030,SRX13826146,GSM5824005,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP355694,PRJNA798445,35758650,"",SRS11705371,SAMN25078306,simple,10090,Mus musculus,GSM5824005,Rockefeller University,SRA1358699,07,2022,Hurwitz,HRasG12V:TgfbrIIfl/fl_S51_keratynocytes,tot_12_RNA-seq_Ctrl_Bort_4,HRasG12V:TgfbrIIfl/fl_S51_keratynocytes,Squamous cell carcinoma,HRasG12V:TgfbrIIfl/fl_S51_Myctag,"Bortezomib (100nM, 4.5h)",
SRR17658096,34637659,2694072784,77,1011,SRX13826147,GSM5824006,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP355694,PRJNA798445,35758650,"",SRS11705372,SAMN25078305,simple,10090,Mus musculus,GSM5824006,Rockefeller University,SRA1358699,07,2022,Hurwitz,HRasG12V:TgfbrIIfl/fl_S51A_keratynocytes,tot_13_RNA-seq_S51A_Bort_1,HRasG12V:TgfbrIIfl/fl_S51A_keratynocytes,Squamous cell carcinoma,HRasG12V:TgfbrIIfl/fl_S51A_Myctag,"Bortezomib (100nM, 4.5h)",
SRR17658095,36594876,2854219626,78,1074,SRX13826148,GSM5824007,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP355694,PRJNA798445,35758650,"",SRS11705373,SAMN25078304,simple,10090,Mus musculus,GSM5824007,Rockefeller University,SRA1358699,07,2022,Hurwitz,HRasG12V:TgfbrIIfl/fl_S51A_keratynocytes,tot_14_RNA-seq_S51A_Bort_2,HRasG12V:TgfbrIIfl/fl_S51A_keratynocytes,Squamous cell carcinoma,HRasG12V:TgfbrIIfl/fl_S51A_Myctag,"Bortezomib (100nM, 4.5h)",
SRR17658094,31737847,2471993847,77,933,SRX13826149,GSM5824008,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP355694,PRJNA798445,35758650,"",SRS11705374,SAMN25078303,simple,10090,Mus musculus,GSM5824008,Rockefeller University,SRA1358699,07,2022,Hurwitz,HRasG12V:TgfbrIIfl/fl_S51A_keratynocytes,tot_15_RNA-seq_S51A_Bort_3,HRasG12V:TgfbrIIfl/fl_S51A_keratynocytes,Squamous cell carcinoma,HRasG12V:TgfbrIIfl/fl_S51A_Myctag,"Bortezomib (100nM, 4.5h)",
SRR17658093,35228761,2730003386,77,1031,SRX13826150,GSM5824009,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP355694,PRJNA798445,35758650,"",SRS11705375,SAMN25078302,simple,10090,Mus musculus,GSM5824009,Rockefeller University,SRA1358699,07,2022,Hurwitz,HRasG12V:TgfbrIIfl/fl_S51A_keratynocytes,tot_16_RNA-seq_S51A_Bort_4,HRasG12V:TgfbrIIfl/fl_S51A_keratynocytes,Squamous cell carcinoma,HRasG12V:TgfbrIIfl/fl_S51A_Myctag,"Bortezomib (100nM, 4.5h)",
