Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,brain region,age,genotype,GEO Accession
SRR13794642,57843907,2892195350,50,1724,SRX10179667,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP308389,PRJNA705181,34759048,"",SRS8328805,SAMN18075486,simple,10090,Mus musculus,GSM5111958,GEO,SRA1200634,02,2021,Kim,wild-type control,STR_wild-type_control_2_Ribo-seq,wild-type control,C57BL/6,striatum,3 months old,wild-type,GSM5111958
SRR13794643,3431346,94448806,27,41,SRX10179668,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP308389,PRJNA705181,34759048,"",SRS8328807,SAMN18075485,simple,10090,Mus musculus,GSM5111959,GEO,SRA1200634,02,2021,Kim,LRRK2 knockout,STR_LRRK2_knockout_1_Ribo-seq,LRRK2 knockout,C57BL/6,striatum,3 months old,LRRK2 knockout,GSM5111959
SRR13794644,54343423,2717171150,50,1598,SRX10179669,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP308389,PRJNA705181,34759048,"",SRS8328809,SAMN18075484,simple,10090,Mus musculus,GSM5111960,GEO,SRA1200634,02,2021,Kim,LRRK2 knockout,STR_LRRK2_knockout_2_Ribo-seq,LRRK2 knockout,C57BL/6,striatum,3 months old,LRRK2 knockout,GSM5111960
SRR13794645,106840211,5342010550,50,3371,SRX10179670,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP308389,PRJNA705181,34759048,"",SRS8328808,SAMN18075483,simple,10090,Mus musculus,GSM5111961,GEO,SRA1200634,02,2021,Kim,wild-type control,STR_wild-type_control_1_mRNA-seq,wild-type control,C57BL/6,striatum,3 months old,wild-type,GSM5111961
SRR13794646,26652367,1332618350,50,788,SRX10179671,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP308389,PRJNA705181,34759048,"",SRS8328810,SAMN18075482,simple,10090,Mus musculus,GSM5111962,GEO,SRA1200634,02,2021,Kim,wild-type control,STR_wild-type_control_2_mRNA-seq,wild-type control,C57BL/6,striatum,3 months old,wild-type,GSM5111962
SRR13794647,93865389,4693269450,50,2926,SRX10179672,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP308389,PRJNA705181,34759048,"",SRS8328812,SAMN18075481,simple,10090,Mus musculus,GSM5111963,GEO,SRA1200634,02,2021,Kim,LRRK2 knockout,STR_LRRK2_knockout_1_mRNA-seq,LRRK2 knockout,C57BL/6,striatum,3 months old,LRRK2 knockout,GSM5111963
SRR13794648,30477623,1523881150,50,892,SRX10179673,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP308389,PRJNA705181,34759048,"",SRS8328813,SAMN18075480,simple,10090,Mus musculus,GSM5111964,GEO,SRA1200634,02,2021,Kim,LRRK2 knockout,STR_LRRK2_knockout_2_mRNA-seq,LRRK2 knockout,C57BL/6,striatum,3 months old,LRRK2 knockout,GSM5111964
SRR13794649,141141028,7057051400,50,4452,SRX10179674,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP308389,PRJNA705181,34759048,"",SRS8328811,SAMN18075479,simple,10090,Mus musculus,GSM5111965,GEO,SRA1200634,02,2021,Kim,LRRK2 knockout,STR_LRRK2_knockout_3_Ribo-seq,LRRK2 knockout,C57BL/6,striatum,3 months old,LRRK2 knockout,GSM5111965
SRR13794650,91755024,4587751200,50,2855,SRX10179675,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP308389,PRJNA705181,34759048,"",SRS8328815,SAMN18075478,simple,10090,Mus musculus,GSM5111966,GEO,SRA1200634,02,2021,Kim,wild-type control,STR_wild-type_control_3_Ribo-seq,wild-type control,C57BL/6,striatum,3 months old,wild-type,GSM5111966
SRR13794651,64288547,3214427350,50,1905,SRX10179676,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP308389,PRJNA705181,34759048,"",SRS8328814,SAMN18075477,simple,10090,Mus musculus,GSM5111967,GEO,SRA1200634,02,2021,Kim,LRRK2 knockout,VMB_LRRK2_knockout_3_Ribo-seq,LRRK2 knockout,C57BL/6,ventral midbrain,3 months old,LRRK2 knockout,GSM5111967
SRR13794652,77793939,3889696950,50,2274,SRX10179677,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP308389,PRJNA705181,34759048,"",SRS8328816,SAMN18075476,simple,10090,Mus musculus,GSM5111968,GEO,SRA1200634,02,2021,Kim,wild-type control,VMB_wild-type_control_3_Ribo-seq,wild-type control,C57BL/6,ventral midbrain,3 months old,wild-type,GSM5111968
