Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,treatment,cellular fraction,molecule,GEO Accession
SRR10859265,59887419,5988741900,50,2669,SRX7529362,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP240955,PRJNA600267,35953468,"",SRS5968647,SAMN13810479,simple,9606,Homo sapiens,GSM4258228,GEO,SRA1023076,06,2022,Jungfleisch,whole cell,"Cytosol non-infected mRNA, replicate 1",whole cell,HEK 293T,12 h mock infection,cytosol,total RNA,GSM4258228
SRR10859266,58933234,5893323400,50,2676,SRX7529363,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP240955,PRJNA600267,35953468,"",SRS5968648,SAMN13810478,simple,9606,Homo sapiens,GSM4258229,GEO,SRA1023076,06,2022,Jungfleisch,whole cell,"Cytosol non-infected mRNA, replicate 2",whole cell,HEK 293T,12 h mock infection,cytosol,total RNA,GSM4258229
SRR10859267,64822130,6482213000,50,2803,SRX7529364,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP240955,PRJNA600267,35953468,"",SRS5968649,SAMN13810477,simple,9606,Homo sapiens,GSM4258230,GEO,SRA1023076,06,2022,Jungfleisch,whole cell,"Cytosol non-infected mRNA, replicate 3",whole cell,HEK 293T,12 h mock infection,cytosol,total RNA,GSM4258230
SRR10859268,69414664,3470733200,50,1675,SRX7529365,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP240955,PRJNA600267,35953468,"",SRS5968650,SAMN13810476,simple,9606,Homo sapiens,GSM4258231,GEO,SRA1023076,06,2022,Jungfleisch,whole cell,"ER CHIKV-infected RPF, replicate 1",whole cell,HEK 293T,12 h CHIKV infection,ER,Ribosome footprints,GSM4258231
SRR10859269,50805567,2540278350,50,1188,SRX7529366,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP240955,PRJNA600267,35953468,"",SRS5968651,SAMN13810475,simple,9606,Homo sapiens,GSM4258232,GEO,SRA1023076,06,2022,Jungfleisch,whole cell,"ER CHIKV-infected RPF, replicate 2",whole cell,HEK 293T,12 h CHIKV infection,ER,Ribosome footprints,GSM4258232
SRR10859270,53271857,2663592850,50,1166,SRX7529367,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP240955,PRJNA600267,35953468,"",SRS5968652,SAMN13810474,simple,9606,Homo sapiens,GSM4258233,GEO,SRA1023076,06,2022,Jungfleisch,whole cell,"ER CHIKV-infected RPF, replicate 3",whole cell,HEK 293T,12 h CHIKV infection,ER,Ribosome footprints,GSM4258233
SRR10859271,53174056,2658702800,50,1159,SRX7529368,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP240955,PRJNA600267,35953468,"",SRS5968653,SAMN13810473,simple,9606,Homo sapiens,GSM4258234,GEO,SRA1023076,06,2022,Jungfleisch,whole cell,"ER CHIKV-infected RPF, replicate 4",whole cell,HEK 293T,13 h CHIKV infection,ER,Ribosome footprints,GSM4258234
SRR10859272,101623059,5081152950,50,2355,SRX7529369,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP240955,PRJNA600267,35953468,"",SRS5968654,SAMN13810472,simple,9606,Homo sapiens,GSM4258235,GEO,SRA1023076,06,2022,Jungfleisch,whole cell,"ER non-infected RPF, replicate 1",whole cell,HEK 293T,12 h mock infection,ER,Ribosome footprints,GSM4258235
SRR10859273,50309690,2515484500,50,1256,SRX7529370,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP240955,PRJNA600267,35953468,"",SRS5968655,SAMN13810471,simple,9606,Homo sapiens,GSM4258236,GEO,SRA1023076,06,2022,Jungfleisch,whole cell,"ER non-infected RPF, replicate 2",whole cell,HEK 293T,12 h mock infection,ER,Ribosome footprints,GSM4258236
SRR10859274,58190476,2909523800,50,1420,SRX7529371,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP240955,PRJNA600267,35953468,"",SRS5968656,SAMN13810470,simple,9606,Homo sapiens,GSM4258237,GEO,SRA1023076,06,2022,Jungfleisch,whole cell,"ER non-infected RPF, replicate 3",whole cell,HEK 293T,12 h mock infection,ER,Ribosome footprints,GSM4258237
SRR10859275,63518948,3175947400,50,1596,SRX7529372,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP240955,PRJNA600267,35953468,"",SRS5968657,SAMN13810469,simple,9606,Homo sapiens,GSM4258238,GEO,SRA1023076,06,2022,Jungfleisch,whole cell,"Cytosol CHIKV-infected RPF, replicate 1",whole cell,HEK 293T,12 h CHIKV infection,cytosol,Ribosome footprints,GSM4258238
SRR10859276,91493981,4574699050,50,2258,SRX7529373,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP240955,PRJNA600267,35953468,"",SRS5968658,SAMN13810468,simple,9606,Homo sapiens,GSM4258239,GEO,SRA1023076,06,2022,Jungfleisch,whole cell,"Cytosol CHIKV-infected RPF, replicate 2",whole cell,HEK 293T,12 h CHIKV infection,cytosol,Ribosome footprints,GSM4258239
SRR10859277,63858881,3192944050,50,1589,SRX7529374,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP240955,PRJNA600267,35953468,"",SRS5968659,SAMN13810467,simple,9606,Homo sapiens,GSM4258240,GEO,SRA1023076,06,2022,Jungfleisch,whole cell,"Cytosol CHIKV-infected RPF, replicate 3",whole cell,HEK 293T,12 h CHIKV infection,cytosol,Ribosome footprints,GSM4258240
SRR10859278,46816577,2340828850,50,1062,SRX7529375,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP240955,PRJNA600267,35953468,"",SRS5968660,SAMN13810466,simple,9606,Homo sapiens,GSM4258241,GEO,SRA1023076,06,2022,Jungfleisch,whole cell,"Cytosol CHIKV-infected RPF, replicate 4",whole cell,HEK 293T,12 h CHIKV infection,cytosol,Ribosome footprints,GSM4258241
SRR10859279,52106994,2605349700,50,1277,SRX7529376,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP240955,PRJNA600267,35953468,"",SRS5968661,SAMN13810465,simple,9606,Homo sapiens,GSM4258242,GEO,SRA1023076,06,2022,Jungfleisch,whole cell,"Cytosol non-infected RPF, replicate 1",whole cell,HEK 293T,12 h mock infection,cytosol,Ribosome footprints,GSM4258242
SRR10859280,67374649,3368732450,50,1685,SRX7529377,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP240955,PRJNA600267,35953468,"",SRS5968662,SAMN13810464,simple,9606,Homo sapiens,GSM4258243,GEO,SRA1023076,06,2022,Jungfleisch,whole cell,"Cytosol non-infected RPF, replicate 2",whole cell,HEK 293T,12 h mock infection,cytosol,Ribosome footprints,GSM4258243
SRR10859281,58251925,2912596250,50,1304,SRX7529378,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP240955,PRJNA600267,35953468,"",SRS5968663,SAMN13810463,simple,9606,Homo sapiens,GSM4258244,GEO,SRA1023076,06,2022,Jungfleisch,whole cell,"Cytosol non-infected RPF, replicate 3",whole cell,HEK 293T,12 h mock infection,cytosol,Ribosome footprints,GSM4258244
