Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,age,GEO Accession
SRR3665657,16000000,8.16e+08,51,533,SRX1844154,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP076538,PRJNA325618,28077873,"",SRS1503012,SAMN05244361,simple,10090,Mus musculus,GSM2199582,GEO,SRA433808,01,2017,Sendoel,Mouse back skins,Rib.prof. WT P4 in vivo rep 1,Primary keratinocytes from P0 back skin,R26-Sox2-IRES-eGFP fl/+,Passage 10-15,GSM2199591
SRR3665658,12168753,620606403,51,228,SRX1844154,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP076538,PRJNA325618,28077873,"",SRS1503012,SAMN05244361,simple,10090,Mus musculus,GSM2199582,GEO,SRA433808,01,2017,Sendoel,Mouse back skins,Rib.prof. WT P4 in vivo rep 1,Primary keratinocytes from P0 back skin,R26-Sox2-IRES-eGFP fl/+,Passage 10-15,GSM2199592
SRR3665659,853098,43507998,51,30,SRX1844154,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP076538,PRJNA325618,28077873,"",SRS1503012,SAMN05244361,simple,10090,Mus musculus,GSM2199582,GEO,SRA433808,01,2017,Sendoel,Mouse back skins,Rib.prof. WT P4 in vivo rep 1,Primary keratinocytes from P0 back skin,R26-Sox2-IRES-eGFP fl/+,Passage 10-15,GSM2199593
SRR3665660,16000000,8.16e+08,51,289,SRX1844155,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP076538,PRJNA325618,28077873,"",SRS1503014,SAMN05244362,simple,10090,Mus musculus,GSM2199583,GEO,SRA433808,01,2017,Sendoel,Mouse back skins,Rib.prof. WT P4 in vivo rep 2,Primary keratinocytes from P0 back skin,R26-Sox2-IRES-eGFP fl/+,Passage 10-15,GSM2199594
SRR3665661,11542567,588670917,51,216,SRX1844155,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP076538,PRJNA325618,28077873,"",SRS1503014,SAMN05244362,simple,10090,Mus musculus,GSM2199583,GEO,SRA433808,01,2017,Sendoel,Mouse back skins,Rib.prof. WT P4 in vivo rep 2,Primary keratinocytes from P0 back skin,K14-Cre; R26-Sox2-IRES-eGFP fl/+,Passage 10-15,GSM2199595
SRR3665662,6878627,350809977,51,230,SRX1844155,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP076538,PRJNA325618,28077873,"",SRS1503014,SAMN05244362,simple,10090,Mus musculus,GSM2199583,GEO,SRA433808,01,2017,Sendoel,Mouse back skins,Rib.prof. WT P4 in vivo rep 2,Primary keratinocytes from P0 back skin,K14-Cre; R26-Sox2-IRES-eGFP fl/+,Passage 10-15,GSM2199596
SRR3665663,16000000,8.16e+08,51,283,SRX1844156,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP076538,PRJNA325618,28077873,"",SRS1503015,SAMN05244363,simple,10090,Mus musculus,GSM2199584,GEO,SRA433808,01,2017,Sendoel,Mouse back skins,Rib.prof. SOX2 P4 in vivo rep 0,Primary keratinocytes from P0 back skin,K14-Cre; R26-Sox2-IRES-eGFP fl/+,Passage 10-15,GSM2199597
SRR3665664,16000000,8.16e+08,51,295,SRX1844156,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP076538,PRJNA325618,28077873,"",SRS1503015,SAMN05244363,simple,10090,Mus musculus,GSM2199584,GEO,SRA433808,01,2017,Sendoel,Mouse back skins,Rib.prof. SOX2 P4 in vivo rep 0,Primary keratinocytes from P0 back skin,K14-Cre; R26-Sox2-IRES-eGFP fl/+,Passage 10-15,GSM2199598
SRR3665665,16000000,8.16e+08,51,289,SRX1844156,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP076538,PRJNA325618,28077873,"",SRS1503015,SAMN05244363,simple,10090,Mus musculus,GSM2199584,GEO,SRA433808,01,2017,Sendoel,Mouse back skins,Rib.prof. SOX2 P4 in vivo rep 0,Primary keratinocytes from P0 back skin,R26-Sox2-IRES-eGFP fl/+,Passage 10-15,GSM2199599
SRR3665666,351148,17908548,51,6,SRX1844156,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP076538,PRJNA325618,28077873,"",SRS1503015,SAMN05244363,simple,10090,Mus musculus,GSM2199584,GEO,SRA433808,01,2017,Sendoel,Mouse back skins,Rib.prof. SOX2 P4 in vivo rep 0,Primary keratinocytes from P0 back skin,K14-Cre; R26-Sox2-IRES-eGFP fl/+,Passage 10-15,GSM2199600
SRR3665667,16000000,8.16e+08,51,543,SRX1844156,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP076538,PRJNA325618,28077873,"",SRS1503015,SAMN05244363,simple,10090,Mus musculus,GSM2199584,GEO,SRA433808,01,2017,Sendoel,Mouse back skins,Rib.prof. SOX2 P4 in vivo rep 0,Primary keratinocytes from P0 back skin,HrasG12V; Tgfbr2 fl/fl KO,Passage 10-15,GSM2199601
SRR3665668,10416938,531263838,51,354,SRX1844156,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP076538,PRJNA325618,28077873,"",SRS1503015,SAMN05244363,simple,10090,Mus musculus,GSM2199584,GEO,SRA433808,01,2017,Sendoel,Mouse back skins,Rib.prof. SOX2 P4 in vivo rep 0,Primary keratinocytes from P0 back skin,HrasG12V; Tgfbr2 fl/fl KO,Passage 10-15,GSM2199602
SRR3665669,16000000,8.16e+08,51,531,SRX1844157,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP076538,PRJNA325618,28077873,"",SRS1503016,SAMN05244364,simple,10090,Mus musculus,GSM2199585,GEO,SRA433808,01,2017,Sendoel,Mouse back skins,Rib.prof. SOX2 P4 in vivo rep 1,Primary keratinocytes from P0 back skin,HrasG12V; Tgfbr2 fl/fl KO; non-targeting sgRNA,Passage 10-15,GSM2199603
SRR3665670,16000000,8.16e+08,51,286,SRX1844157,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP076538,PRJNA325618,28077873,"",SRS1503016,SAMN05244364,simple,10090,Mus musculus,GSM2199585,GEO,SRA433808,01,2017,Sendoel,Mouse back skins,Rib.prof. SOX2 P4 in vivo rep 1,Primary keratinocytes from P0 back skin,HrasG12V; Tgfbr2 fl/fl KO; non-targeting sgRNA,Passage 10-15,GSM2199604
SRR3665671,16000000,8.16e+08,51,534,SRX1844157,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP076538,PRJNA325618,28077873,"",SRS1503016,SAMN05244364,simple,10090,Mus musculus,GSM2199585,GEO,SRA433808,01,2017,Sendoel,Mouse back skins,Rib.prof. SOX2 P4 in vivo rep 1,Primary keratinocytes from P0 back skin,"HrasG12V; Tgfbr2 fl/fl KO, eIF2A KO",Passage 10-15,GSM2199605
SRR3665672,16000000,8.16e+08,51,298,SRX1844157,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP076538,PRJNA325618,28077873,"",SRS1503016,SAMN05244364,simple,10090,Mus musculus,GSM2199585,GEO,SRA433808,01,2017,Sendoel,Mouse back skins,Rib.prof. SOX2 P4 in vivo rep 1,Primary keratinocytes from P0 back skin,"HrasG12V; Tgfbr2 fl/fl KO, eIF2A KO",Passage 10-15,GSM2199606
SRR3665673,12586062,641889162,51,426,SRX1844157,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP076538,PRJNA325618,28077873,"",SRS1503016,SAMN05244364,simple,10090,Mus musculus,GSM2199585,GEO,SRA433808,01,2017,Sendoel,Mouse back skins,Rib.prof. SOX2 P4 in vivo rep 1,Primary keratinocytes from P0 back skin,R26-Sox2-IRES-eGFP fl/+,Passage 10-15,GSM2199607
SRR3665674,8624575,439853325,51,158,SRX1844157,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP076538,PRJNA325618,28077873,"",SRS1503016,SAMN05244364,simple,10090,Mus musculus,GSM2199585,GEO,SRA433808,01,2017,Sendoel,Mouse back skins,Rib.prof. SOX2 P4 in vivo rep 1,Primary keratinocytes from P0 back skin,R26-Sox2-IRES-eGFP fl/+,Passage 10-15,GSM2199608
SRR3665675,16000000,8.16e+08,51,527,SRX1844158,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP076538,PRJNA325618,28077873,"",SRS1503018,SAMN05244365,simple,10090,Mus musculus,GSM2199586,GEO,SRA433808,01,2017,Sendoel,Mouse back skins,Rib.prof. SOX2 P4 in vivo rep 2,Primary keratinocytes from P0 back skin,K14-Cre; R26-Sox2-IRES-eGFP fl/+,Passage 10-15,GSM2199609
SRR3665676,16000000,8.16e+08,51,286,SRX1844158,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP076538,PRJNA325618,28077873,"",SRS1503018,SAMN05244365,simple,10090,Mus musculus,GSM2199586,GEO,SRA433808,01,2017,Sendoel,Mouse back skins,Rib.prof. SOX2 P4 in vivo rep 2,Primary keratinocytes from P0 back skin,K14-Cre; R26-Sox2-IRES-eGFP fl/+,Passage 10-15,GSM2199610
SRR3665677,16000000,8.16e+08,51,530,SRX1844158,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP076538,PRJNA325618,28077873,"",SRS1503018,SAMN05244365,simple,10090,Mus musculus,GSM2199586,GEO,SRA433808,01,2017,Sendoel,Mouse back skins,Rib.prof. SOX2 P4 in vivo rep 2,Mouse back skins,R26-Sox2-IRES-eGFP fl/+,P4,GSM2199581
SRR3665678,16000000,8.16e+08,51,299,SRX1844158,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP076538,PRJNA325618,28077873,"",SRS1503018,SAMN05244365,simple,10090,Mus musculus,GSM2199586,GEO,SRA433808,01,2017,Sendoel,Mouse back skins,Rib.prof. SOX2 P4 in vivo rep 2,Mouse back skins,R26-Sox2-IRES-eGFP fl/+,P4,GSM2199582
SRR3665679,12220586,623249886,51,412,SRX1844158,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP076538,PRJNA325618,28077873,"",SRS1503018,SAMN05244365,simple,10090,Mus musculus,GSM2199586,GEO,SRA433808,01,2017,Sendoel,Mouse back skins,Rib.prof. SOX2 P4 in vivo rep 2,Mouse back skins,R26-Sox2-IRES-eGFP fl/+,P4,GSM2199583
SRR3665680,9881315,503947065,51,181,SRX1844158,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP076538,PRJNA325618,28077873,"",SRS1503018,SAMN05244365,simple,10090,Mus musculus,GSM2199586,GEO,SRA433808,01,2017,Sendoel,Mouse back skins,Rib.prof. SOX2 P4 in vivo rep 2,Mouse back skins,K14-Cre; R26-Sox2-IRES-eGFP fl/+,P4,GSM2199584
SRR3665681,16000000,8.16e+08,51,483,SRX1844159,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP076538,PRJNA325618,28077873,"",SRS1503017,SAMN05244366,simple,10090,Mus musculus,GSM2199587,GEO,SRA433808,01,2017,Sendoel,Mouse back skins,RNAseq WT P4 in vivo rep 0,Mouse back skins,K14-Cre; R26-Sox2-IRES-eGFP fl/+,P4,GSM2199585
SRR3665682,16000000,8.16e+08,51,484,SRX1844159,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP076538,PRJNA325618,28077873,"",SRS1503017,SAMN05244366,simple,10090,Mus musculus,GSM2199587,GEO,SRA433808,01,2017,Sendoel,Mouse back skins,RNAseq WT P4 in vivo rep 0,Mouse back skins,K14-Cre; R26-Sox2-IRES-eGFP fl/+,P4,GSM2199586
SRR3665683,7915004,403665204,51,241,SRX1844159,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP076538,PRJNA325618,28077873,"",SRS1503017,SAMN05244366,simple,10090,Mus musculus,GSM2199587,GEO,SRA433808,01,2017,Sendoel,Mouse back skins,RNAseq WT P4 in vivo rep 0,Mouse back skins,R26-Sox2-IRES-eGFP fl/+,Passage 10-15,GSM2199587
SRR3665684,16000000,8.16e+08,51,483,SRX1844160,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP076538,PRJNA325618,28077873,"",SRS1503019,SAMN05244367,simple,10090,Mus musculus,GSM2199588,GEO,SRA433808,01,2017,Sendoel,Mouse back skins,RNAseq WT P4 in vivo rep 1,Mouse back skins,R26-Sox2-IRES-eGFP fl/+,Passage 10-15,GSM2199588
SRR3665685,16000000,8.16e+08,51,484,SRX1844160,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP076538,PRJNA325618,28077873,"",SRS1503019,SAMN05244367,simple,10090,Mus musculus,GSM2199588,GEO,SRA433808,01,2017,Sendoel,Mouse back skins,RNAseq WT P4 in vivo rep 1,Mouse back skins,K14-Cre; R26-Sox2-IRES-eGFP fl/+,Passage 10-15,GSM2199589
SRR3665686,9113646,464795946,51,278,SRX1844160,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP076538,PRJNA325618,28077873,"",SRS1503019,SAMN05244367,simple,10090,Mus musculus,GSM2199588,GEO,SRA433808,01,2017,Sendoel,Mouse back skins,RNAseq WT P4 in vivo rep 1,Mouse back skins,K14-Cre; R26-Sox2-IRES-eGFP fl/+,Passage 10-15,GSM2199590
SRR3665687,16000000,8.16e+08,51,482,SRX1844161,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP076538,PRJNA325618,28077873,"",SRS1503020,SAMN05244368,simple,10090,Mus musculus,GSM2199589,GEO,SRA433808,01,2017,Sendoel,Mouse back skins,RNAseq SOX2 P4 in vivo rep 0,Primary keratinocytes from P0 back skin,R26-Sox2-IRES-eGFP fl/+,Passage 10-15,GSM2199591
SRR3665688,16000000,8.16e+08,51,484,SRX1844161,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP076538,PRJNA325618,28077873,"",SRS1503020,SAMN05244368,simple,10090,Mus musculus,GSM2199589,GEO,SRA433808,01,2017,Sendoel,Mouse back skins,RNAseq SOX2 P4 in vivo rep 0,Primary keratinocytes from P0 back skin,R26-Sox2-IRES-eGFP fl/+,Passage 10-15,GSM2199592
SRR3665690,7608804,388049004,51,231,SRX1844161,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP076538,PRJNA325618,28077873,"",SRS1503020,SAMN05244368,simple,10090,Mus musculus,GSM2199589,GEO,SRA433808,01,2017,Sendoel,Mouse back skins,RNAseq SOX2 P4 in vivo rep 0,Primary keratinocytes from P0 back skin,R26-Sox2-IRES-eGFP fl/+,Passage 10-15,GSM2199593
SRR3665691,16000000,8.16e+08,51,484,SRX1844162,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP076538,PRJNA325618,28077873,"",SRS1503023,SAMN05244369,simple,10090,Mus musculus,GSM2199590,GEO,SRA433808,01,2017,Sendoel,Mouse back skins,RNAseq SOX2 P4 in vivo rep 1,Primary keratinocytes from P0 back skin,R26-Sox2-IRES-eGFP fl/+,Passage 10-15,GSM2199594
SRR3665692,16000000,8.16e+08,51,486,SRX1844162,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP076538,PRJNA325618,28077873,"",SRS1503023,SAMN05244369,simple,10090,Mus musculus,GSM2199590,GEO,SRA433808,01,2017,Sendoel,Mouse back skins,RNAseq SOX2 P4 in vivo rep 1,Primary keratinocytes from P0 back skin,K14-Cre; R26-Sox2-IRES-eGFP fl/+,Passage 10-15,GSM2199595
SRR3665693,5985371,305253921,51,182,SRX1844162,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP076538,PRJNA325618,28077873,"",SRS1503023,SAMN05244369,simple,10090,Mus musculus,GSM2199590,GEO,SRA433808,01,2017,Sendoel,Mouse back skins,RNAseq SOX2 P4 in vivo rep 1,Primary keratinocytes from P0 back skin,K14-Cre; R26-Sox2-IRES-eGFP fl/+,Passage 10-15,GSM2199596
SRR3665694,16000000,8.16e+08,51,540,SRX1844163,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP076538,PRJNA325618,28077873,"",SRS1503021,SAMN05244370,simple,10090,Mus musculus,GSM2199591,GEO,SRA433808,01,2017,Sendoel,Primary keratinocytes from P0 back skin,Rib.prof. WT_invitro_nd_1,Primary keratinocytes from P0 back skin,K14-Cre; R26-Sox2-IRES-eGFP fl/+,Passage 10-15,GSM2199597
SRR3665695,16000000,8.16e+08,51,537,SRX1844163,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP076538,PRJNA325618,28077873,"",SRS1503021,SAMN05244370,simple,10090,Mus musculus,GSM2199591,GEO,SRA433808,01,2017,Sendoel,Primary keratinocytes from P0 back skin,Rib.prof. WT_invitro_nd_1,Primary keratinocytes from P0 back skin,K14-Cre; R26-Sox2-IRES-eGFP fl/+,Passage 10-15,GSM2199598
SRR3665696,9736024,496537224,51,332,SRX1844163,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP076538,PRJNA325618,28077873,"",SRS1503021,SAMN05244370,simple,10090,Mus musculus,GSM2199591,GEO,SRA433808,01,2017,Sendoel,Primary keratinocytes from P0 back skin,Rib.prof. WT_invitro_nd_1,Primary keratinocytes from P0 back skin,R26-Sox2-IRES-eGFP fl/+,Passage 10-15,GSM2199599
SRR3665697,16000000,8.16e+08,51,542,SRX1844164,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP076538,PRJNA325618,28077873,"",SRS1503022,SAMN05244371,simple,10090,Mus musculus,GSM2199592,GEO,SRA433808,01,2017,Sendoel,Primary keratinocytes from P0 back skin,Rib.prof. WT_invitro_CHX_1,Primary keratinocytes from P0 back skin,K14-Cre; R26-Sox2-IRES-eGFP fl/+,Passage 10-15,GSM2199600
SRR3665698,16000000,8.16e+08,51,542,SRX1844164,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP076538,PRJNA325618,28077873,"",SRS1503022,SAMN05244371,simple,10090,Mus musculus,GSM2199592,GEO,SRA433808,01,2017,Sendoel,Primary keratinocytes from P0 back skin,Rib.prof. WT_invitro_CHX_1,Primary keratinocytes from P0 back skin,HrasG12V; Tgfbr2 fl/fl KO,Passage 10-15,GSM2199601
SRR3665699,4076746,207914046,51,141,SRX1844164,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP076538,PRJNA325618,28077873,"",SRS1503022,SAMN05244371,simple,10090,Mus musculus,GSM2199592,GEO,SRA433808,01,2017,Sendoel,Primary keratinocytes from P0 back skin,Rib.prof. WT_invitro_CHX_1,Primary keratinocytes from P0 back skin,HrasG12V; Tgfbr2 fl/fl KO,Passage 10-15,GSM2199602
SRR3665700,16000000,8.16e+08,51,514,SRX1844165,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP076538,PRJNA325618,28077873,"",SRS1503024,SAMN05244372,simple,10090,Mus musculus,GSM2199593,GEO,SRA433808,01,2017,Sendoel,Primary keratinocytes from P0 back skin,Rib.prof. WT_invitro_nd_2,Primary keratinocytes from P0 back skin,HrasG12V; Tgfbr2 fl/fl KO; non-targeting sgRNA,Passage 10-15,GSM2199603
SRR3665701,16000000,8.16e+08,51,518,SRX1844165,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP076538,PRJNA325618,28077873,"",SRS1503024,SAMN05244372,simple,10090,Mus musculus,GSM2199593,GEO,SRA433808,01,2017,Sendoel,Primary keratinocytes from P0 back skin,Rib.prof. WT_invitro_nd_2,Primary keratinocytes from P0 back skin,HrasG12V; Tgfbr2 fl/fl KO; non-targeting sgRNA,Passage 10-15,GSM2199604
SRR3665702,5637423,287508573,51,183,SRX1844165,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP076538,PRJNA325618,28077873,"",SRS1503024,SAMN05244372,simple,10090,Mus musculus,GSM2199593,GEO,SRA433808,01,2017,Sendoel,Primary keratinocytes from P0 back skin,Rib.prof. WT_invitro_nd_2,Primary keratinocytes from P0 back skin,"HrasG12V; Tgfbr2 fl/fl KO, eIF2A KO",Passage 10-15,GSM2199605
SRR3665703,10576115,539381865,51,347,SRX1844166,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP076538,PRJNA325618,28077873,"",SRS1503025,SAMN05244373,simple,10090,Mus musculus,GSM2199594,GEO,SRA433808,01,2017,Sendoel,Primary keratinocytes from P0 back skin,Rib.prof. WT_invitro_CHX_2,Primary keratinocytes from P0 back skin,"HrasG12V; Tgfbr2 fl/fl KO, eIF2A KO",Passage 10-15,GSM2199606
