Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain background,genotype,treatment,molecule type,GEO Accession
SRR11866772,115505358,15095043300,65,4787,SRX8417137,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP265101,PRJNA635625,1,"",SRS6728500,SAMN15047589,simple,4932,Saccharomyces cerevisiae,GSM4576294,GEO,SRA1080749,09,2021,Makar,zuo1Δ_heat-shock stress,mrna_zuo1KO_heat_shock(+)_rep1,zuo1Δ_heat-shock stress,BY4741,zuo1{delta},heat-shock stress,,GSM4576294
SRR11866773,84330264,10998574448,65,3705,SRX8417138,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP265101,PRJNA635625,1,"",SRS6728501,SAMN15047588,simple,4932,Saccharomyces cerevisiae,GSM4576295,GEO,SRA1080749,09,2021,Makar,zuo1Δ_heat-shock stress,mrna_zuo1KO_heat_shock(+)_rep2,zuo1Δ_heat-shock stress,BY4741,zuo1{delta},heat-shock stress,,GSM4576295
SRR11866774,4708118,133926170,28,53,SRX8417139,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP265101,PRJNA635625,1,"",SRS6728502,SAMN15047587,simple,4932,Saccharomyces cerevisiae,GSM4576296,GEO,SRA1080749,09,2021,Makar,wild type_unstressed (control),rpf_wt_control_rep1,wild type_unstressed (control),BY4741,wild type,unstressed (control),Ribosome protected footprints (RPFs),GSM4576296
SRR11866775,3860243,109883461,28,42,SRX8417140,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP265101,PRJNA635625,1,"",SRS6728503,SAMN15047586,simple,4932,Saccharomyces cerevisiae,GSM4576297,GEO,SRA1080749,09,2021,Makar,wild type_unstressed (control),rpf_wt_control_rep2,wild type_unstressed (control),BY4741,wild type,unstressed (control),Ribosome protected footprints (RPFs),GSM4576297
SRR11866776,5776962,162698390,28,63,SRX8417141,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP265101,PRJNA635625,1,"",SRS6728504,SAMN15047585,simple,4932,Saccharomyces cerevisiae,GSM4576298,GEO,SRA1080749,09,2021,Makar,wild type_oxidative-stress,rpf_wt_h2o2(+)_rep1,wild type_oxidative-stress,BY4741,wild type,oxidative-stress,Ribosome protected footprints (RPFs),GSM4576298
SRR11866777,22656625,601006414,26,234,SRX8417142,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP265101,PRJNA635625,1,"",SRS6728505,SAMN15047584,simple,4932,Saccharomyces cerevisiae,GSM4576299,GEO,SRA1080749,09,2021,Makar,wild type_oxidative-stress,rpf_wt_h2o2(+)_rep2,wild type_oxidative-stress,BY4741,wild type,oxidative-stress,Ribosome protected footprints (RPFs),GSM4576299
SRR11866778,5262633,143595637,27,56,SRX8417143,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP265101,PRJNA635625,1,"",SRS6728506,SAMN15047583,simple,4932,Saccharomyces cerevisiae,GSM4576300,GEO,SRA1080749,09,2021,Makar,wild type_heat-shock stress,rpf_wt_heat_shock(+)_rep1,wild type_heat-shock stress,BY4741,wild type,heat-shock stress,Ribosome protected footprints (RPFs),GSM4576300
SRR11866779,11506406,299415081,26,117,SRX8417144,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP265101,PRJNA635625,1,"",SRS6728507,SAMN15047582,simple,4932,Saccharomyces cerevisiae,GSM4576301,GEO,SRA1080749,09,2021,Makar,wild type_heat-shock stress,rpf_wt_heat_shock(+)_rep2,wild type_heat-shock stress,BY4741,wild type,heat-shock stress,Ribosome protected footprints (RPFs),GSM4576301
SRR11866780,27031621,684031642,25,274,SRX8417145,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP265101,PRJNA635625,1,"",SRS6728508,SAMN15047581,simple,4932,Saccharomyces cerevisiae,GSM4576302,GEO,SRA1080749,09,2021,Makar,zuo1Δ_unstressed (control),rpf_zuo1KO_control_rep1,zuo1Δ_unstressed (control),BY4741,zuo1{delta},unstressed (control),Ribosome protected footprints (RPFs),GSM4576302
SRR11866781,26989348,754002697,27,299,SRX8417146,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP265101,PRJNA635625,1,"",SRS6728509,SAMN15047580,simple,4932,Saccharomyces cerevisiae,GSM4576303,GEO,SRA1080749,09,2021,Makar,zuo1Δ_unstressed (control),rpf_zuo1KO_control_rep2,zuo1Δ_unstressed (control),BY4741,zuo1{delta},unstressed (control),Ribosome protected footprints (RPFs),GSM4576303
SRR11866782,11326006,290488164,25,115,SRX8417147,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP265101,PRJNA635625,1,"",SRS6728510,SAMN15047617,simple,4932,Saccharomyces cerevisiae,GSM4576304,GEO,SRA1080749,09,2021,Makar,zuo1Δ_oxidative-stress,rpf_zuo1KO_h2o2(+)_rep1,zuo1Δ_oxidative-stress,BY4741,zuo1{delta},oxidative-stress,Ribosome protected footprints (RPFs),GSM4576304
SRR11866783,4365892,121851476,27,48,SRX8417148,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP265101,PRJNA635625,1,"",SRS6728511,SAMN15047616,simple,4932,Saccharomyces cerevisiae,GSM4576305,GEO,SRA1080749,09,2021,Makar,zuo1Δ_oxidative-stress,rpf_zuo1KO_h2o2(+)_rep2,zuo1Δ_oxidative-stress,BY4741,zuo1{delta},oxidative-stress,Ribosome protected footprints (RPFs),GSM4576305
SRR11866784,5331802,138264552,25,54,SRX8417149,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP265101,PRJNA635625,1,"",SRS6728512,SAMN15047615,simple,4932,Saccharomyces cerevisiae,GSM4576306,GEO,SRA1080749,09,2021,Makar,zuo1Δ_heat-shock stress,rpf_zuo1KO_heat_shock(+)_rep1,zuo1Δ_heat-shock stress,BY4741,zuo1{delta},heat-shock stress,Ribosome protected footprints (RPFs),GSM4576306
SRR11866785,2875472,78743566,27,31,SRX8417150,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 4000,SRP265101,PRJNA635625,1,"",SRS6728513,SAMN15047614,simple,4932,Saccharomyces cerevisiae,GSM4576307,GEO,SRA1080749,09,2021,Makar,zuo1Δ_heat-shock stress,rpf_zuo1KO_heat_shock(+)_rep2,zuo1Δ_heat-shock stress,BY4741,zuo1{delta},heat-shock stress,Ribosome protected footprints (RPFs),GSM4576307
