Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,genotype/variation,treatment,substrain,GEO Accession
SRR16249176,67307723,3365386150,50,1096,SRX12528944,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP340530,PRJNA769692,35697696,"",SRS10489207,SAMN22161990,simple,316407,Escherichia coli str. K-12 substr. W3110,GSM5618601,GEO,SRA1307962,05,2022,Zhu,∆tig total translatome,"∆tig total translatome, rep1",∆tig total translatome,K-12,deltatig::Kan SecA-Thrombin-Avi,untreated,W3110,GSM5618601
SRR16249177,71008301,3550415050,50,1040,SRX12528945,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP340530,PRJNA769692,35697696,"",SRS10489209,SAMN22161991,simple,316407,Escherichia coli str. K-12 substr. W3110,GSM5618602,GEO,SRA1307962,05,2022,Zhu,∆tig total translatome,"∆tig total translatome, rep2",∆tig total translatome,K-12,deltatig::Kan SecA-Thrombin-Avi,untreated,W3110,GSM5618602
SRR16249178,162645032,8132251600,50,2588,SRX12528946,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP340530,PRJNA769692,35697696,"",SRS10489208,SAMN22161992,simple,316407,Escherichia coli str. K-12 substr. W3110,GSM5618603,GEO,SRA1307962,05,2022,Zhu,secA∆ZnBD SecA interactome,"secA∆ZnBD SecA interactome, rep1",secA∆ZnBD SecA interactome,K-12,SecAdeltaZnBD-Thrombin-Avi,untreated,W3110,GSM5618603
SRR16249179,162995336,8149766800,50,2601,SRX12528947,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP340530,PRJNA769692,35697696,"",SRS10489211,SAMN22161993,simple,316407,Escherichia coli str. K-12 substr. W3110,GSM5618604,GEO,SRA1307962,05,2022,Zhu,secA∆ZnBD SecA interactome,"secA∆ZnBD SecA interactome, rep2",secA∆ZnBD SecA interactome,K-12,SecAdeltaZnBD-Thrombin-Avi,untreated,W3110,GSM5618604
SRR16249180,96224590,4811229500,50,2504,SRX12528948,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP340530,PRJNA769692,35697696,"",SRS10489210,SAMN22161995,simple,316407,Escherichia coli str. K-12 substr. W3110,GSM5618605,GEO,SRA1307962,05,2022,Zhu,secA∆ZnBD total translatome,"secA∆ZnBD total translatome, rep1",secA∆ZnBD total translatome,K-12,SecAdeltaZnBD-Thrombin-Avi,untreated,W3110,GSM5618605
SRR16249181,72669411,3633470550,50,1924,SRX12528949,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP340530,PRJNA769692,35697696,"",SRS10489212,SAMN22161996,simple,316407,Escherichia coli str. K-12 substr. W3110,GSM5618606,GEO,SRA1307962,05,2022,Zhu,secA∆ZnBD total translatome,"secA∆ZnBD total translatome, rep2",secA∆ZnBD total translatome,K-12,SecAdeltaZnBD-Thrombin-Avi,untreated,W3110,GSM5618606
SRR16249182,66981986,3349099300,50,997,SRX12528950,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP340530,PRJNA769692,35697696,"",SRS10489213,SAMN22161997,simple,316407,Escherichia coli str. K-12 substr. W3110,GSM5618607,GEO,SRA1307962,05,2022,Zhu,∆secB SecA interactome,"∆secB SecA interactome, rep1",∆secB SecA interactome,K-12,deltasecB::Kan SecA-Thrombin-Avi,untreated,W3110,GSM5618607
SRR16249183,46476937,2323846850,50,693,SRX12528951,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP340530,PRJNA769692,35697696,"",SRS10489214,SAMN22161998,simple,316407,Escherichia coli str. K-12 substr. W3110,GSM5618608,GEO,SRA1307962,05,2022,Zhu,∆secB SecA interactome,"∆secB SecA interactome, rep2",∆secB SecA interactome,K-12,deltasecB::Kan SecA-Thrombin-Avi,untreated,W3110,GSM5618608
SRR16249184,64471307,3223565350,50,960,SRX12528952,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP340530,PRJNA769692,35697696,"",SRS10489215,SAMN22162000,simple,316407,Escherichia coli str. K-12 substr. W3110,GSM5618609,GEO,SRA1307962,05,2022,Zhu,∆secB total translatome,"∆secB total translatome, rep1",∆secB total translatome,K-12,deltasecB::Kan SecA-Thrombin-Avi,untreated,W3110,GSM5618609
SRR16249185,50744643,2537232150,50,757,SRX12528953,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP340530,PRJNA769692,35697696,"",SRS10489216,SAMN22162001,simple,316407,Escherichia coli str. K-12 substr. W3110,GSM5618610,GEO,SRA1307962,05,2022,Zhu,∆secB total translatome,"∆secB total translatome, rep2",∆secB total translatome,K-12,deltasecB::Kan SecA-Thrombin-Avi,untreated,W3110,GSM5618610
SRR16249186,46765318,2338265900,50,1234,SRX12528954,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP340530,PRJNA769692,35697696,"",SRS10489217,SAMN22162002,simple,316407,Escherichia coli str. K-12 substr. W3110,GSM5618611,GEO,SRA1307962,05,2022,Zhu,"WT SecA interactome, CCCP","WT SecA interactome, rep1, CCCP","WT SecA interactome, CCCP",K-12,SecA-Thrombin-Avi,50uM CCCP in medium during filtration,W3110,GSM5618611
SRR16249187,86789419,4339470950,50,2259,SRX12528955,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP340530,PRJNA769692,35697696,"",SRS10489218,SAMN22162003,simple,316407,Escherichia coli str. K-12 substr. W3110,GSM5618612,GEO,SRA1307962,05,2022,Zhu,"WT SecA interactome, CCCP","WT SecA interactome, rep2, CCCP","WT SecA interactome, CCCP",K-12,SecA-Thrombin-Avi,50uM CCCP in medium during filtration,W3110,GSM5618612
SRR16249188,80312239,4015611950,50,2108,SRX12528956,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP340530,PRJNA769692,35697696,"",SRS10489219,SAMN22162004,simple,316407,Escherichia coli str. K-12 substr. W3110,GSM5618613,GEO,SRA1307962,05,2022,Zhu,"WT total translatome, CCCP","WT total translatome, rep1, CCCP","WT total translatome, CCCP",K-12,SecA-Thrombin-Avi,50uM CCCP in medium during filtration,W3110,GSM5618613
SRR16249189,49669299,2483464950,50,1334,SRX12528957,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP340530,PRJNA769692,35697696,"",SRS10489220,SAMN22162005,simple,316407,Escherichia coli str. K-12 substr. W3110,GSM5618614,GEO,SRA1307962,05,2022,Zhu,"WT total translatome, CCCP","WT total translatome, rep2, CCCP","WT total translatome, CCCP",K-12,SecA-Thrombin-Avi,50uM CCCP in medium during filtration,W3110,GSM5618614
SRR16249190,71303397,3565169850,50,1041,SRX12528958,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP340530,PRJNA769692,35697696,"",SRS10489221,SAMN22162006,simple,316407,Escherichia coli str. K-12 substr. W3110,GSM5618615,GEO,SRA1307962,05,2022,Zhu,WT cytosolic monosomes,"WT cytosolic monosomes, rep1",WT cytosolic monosomes,K-12,SecA-Thrombin-Avi,untreated,W3110,GSM5618615
SRR16249191,35779017,1788950850,50,529,SRX12528959,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP340530,PRJNA769692,35697696,"",SRS10489222,SAMN22162007,simple,316407,Escherichia coli str. K-12 substr. W3110,GSM5618616,GEO,SRA1307962,05,2022,Zhu,WT cytosolic monosomes,"WT cytosolic monosomes, rep2",WT cytosolic monosomes,K-12,SecA-Thrombin-Avi,untreated,W3110,GSM5618616
SRR16249192,37551736,1877586800,50,552,SRX12528960,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP340530,PRJNA769692,35697696,"",SRS10489223,SAMN22161965,simple,316407,Escherichia coli str. K-12 substr. W3110,GSM5618617,GEO,SRA1307962,05,2022,Zhu,WT membrane monosomes,"WT membrane monosomes, rep1",WT membrane monosomes,K-12,SecA-Thrombin-Avi,untreated,W3110,GSM5618617
SRR16249193,23248956,1162447800,50,348,SRX12528961,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP340530,PRJNA769692,35697696,"",SRS10489225,SAMN22161966,simple,316407,Escherichia coli str. K-12 substr. W3110,GSM5618618,GEO,SRA1307962,05,2022,Zhu,WT membrane monosomes,"WT membrane monosomes, rep2",WT membrane monosomes,K-12,SecA-Thrombin-Avi,untreated,W3110,GSM5618618
SRR16249194,67810719,3390535950,50,1809,SRX12528962,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP340530,PRJNA769692,35697696,"",SRS10489224,SAMN22161967,simple,316407,Escherichia coli str. K-12 substr. W3110,GSM5618619,GEO,SRA1307962,05,2022,Zhu,"WT cytosolic monosomes, CCCP","WT cytosolic monosomes, rep1, CCCP","WT cytosolic monosomes, CCCP",K-12,SecA-Thrombin-Avi,50uM CCCP in medium during filtration,W3110,GSM5618619
SRR16249195,68124678,3406233900,50,1833,SRX12528963,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP340530,PRJNA769692,35697696,"",SRS10489226,SAMN22161968,simple,316407,Escherichia coli str. K-12 substr. W3110,GSM5618620,GEO,SRA1307962,05,2022,Zhu,"WT cytosolic monosomes, CCCP","WT cytosolic monosomes, rep2, CCCP","WT cytosolic monosomes, CCCP",K-12,SecA-Thrombin-Avi,50uM CCCP in medium during filtration,W3110,GSM5618620
SRR16249196,57773589,2888679450,50,1546,SRX12528964,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP340530,PRJNA769692,35697696,"",SRS10489227,SAMN22161970,simple,316407,Escherichia coli str. K-12 substr. W3110,GSM5618621,GEO,SRA1307962,05,2022,Zhu,"WT membrane monosomes, CCCP","WT membrane monosomes, rep1, CCCP","WT membrane monosomes, CCCP",K-12,SecA-Thrombin-Avi,50uM CCCP in medium during filtration,W3110,GSM5618621
SRR16249197,59099352,2954967600,50,1602,SRX12528965,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP340530,PRJNA769692,35697696,"",SRS10489228,SAMN22161971,simple,316407,Escherichia coli str. K-12 substr. W3110,GSM5618622,GEO,SRA1307962,05,2022,Zhu,"WT membrane monosomes, CCCP","WT membrane monosomes, rep2, CCCP","WT membrane monosomes, CCCP",K-12,SecA-Thrombin-Avi,50uM CCCP in medium during filtration,W3110,GSM5618622
