Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,strain,growth medium,GEO Accession
SRR13142698,26335038,1316751900,50,520,SRX9583149,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP294161,PRJNA680784,33900014,"",SRS7787049,SAMN16913781,simple,1423,Bacillus subtilis,GSM4944083,GEO,SRA1163809,11,2020,Lalanne,Bacteria,ribo_CRISPRi_RF2,Bacteria,"CRISPRi targeting RF2, CAG74815, lacA::Pxyl-dcas9(ErmR), amyE::Pveg-sgRNA_prfB(CmR)",LB with 0.05% w/v xylose,GSM4944083
SRR13142747,9609398,480469900,50,227,SRX9583150,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP294161,PRJNA680784,33900014,"",SRS7787050,SAMN16913693,simple,1423,Bacillus subtilis,GSM4944132,GEO,SRA1163809,11,2020,Lalanne,Bacteria,RNAseq_E3_C7_GLB430,Bacteria,"GLB430, see Data S1 in paper for strain details","Conditioned MCC medium with 1% glycerol (Parker et al, Cell Syt. 2020) with inducers. See Data S3 from paper for details.",GSM4944132
SRR13142748,10316220,515811000,50,243,SRX9583151,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP294161,PRJNA680784,33900014,"",SRS7787051,SAMN16913751,simple,1423,Bacillus subtilis,GSM4944133,GEO,SRA1163809,11,2020,Lalanne,Bacteria,RNAseq_E3_D1_GLB426,Bacteria,"GLB426, see Data S1 in paper for strain details","Conditioned MCC medium with 1% glycerol (Parker et al, Cell Syt. 2020) with inducers. See Data S3 from paper for details.",GSM4944133
SRR13142749,9033928,451696400,50,213,SRX9583152,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP294161,PRJNA680784,33900014,"",SRS7787052,SAMN16913750,simple,1423,Bacillus subtilis,GSM4944134,GEO,SRA1163809,11,2020,Lalanne,Bacteria,RNAseq_E3_D1_GLB430,Bacteria,"GLB430, see Data S1 in paper for strain details","Conditioned MCC medium with 1% glycerol (Parker et al, Cell Syt. 2020) with inducers. See Data S3 from paper for details.",GSM4944134
SRR13142750,8409669,420483450,50,198,SRX9583153,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP294161,PRJNA680784,33900014,"",SRS7787053,SAMN16913749,simple,1423,Bacillus subtilis,GSM4944135,GEO,SRA1163809,11,2020,Lalanne,Bacteria,RNAseq_E3_D2_GLB426,Bacteria,"GLB426, see Data S1 in paper for strain details","Conditioned MCC medium with 1% glycerol (Parker et al, Cell Syt. 2020) with inducers. See Data S3 from paper for details.",GSM4944135
SRR13142751,8026751,401337550,50,189,SRX9583154,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP294161,PRJNA680784,33900014,"",SRS7787054,SAMN16913748,simple,1423,Bacillus subtilis,GSM4944136,GEO,SRA1163809,11,2020,Lalanne,Bacteria,RNAseq_E3_D3_GLB426,Bacteria,"GLB426, see Data S1 in paper for strain details","Conditioned MCC medium with 1% glycerol (Parker et al, Cell Syt. 2020) with inducers. See Data S3 from paper for details.",GSM4944136
SRR13142752,5083513,254175650,50,121,SRX9583155,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP294161,PRJNA680784,33900014,"",SRS7787055,SAMN16913747,simple,1423,Bacillus subtilis,GSM4944137,GEO,SRA1163809,11,2020,Lalanne,Bacteria,RNAseq_E3_D4_GLB426,Bacteria,"GLB426, see Data S1 in paper for strain details","Conditioned MCC medium with 1% glycerol (Parker et al, Cell Syt. 2020) with inducers. See Data S3 from paper for details.",GSM4944137
SRR13142753,8550646,427532300,50,202,SRX9583156,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP294161,PRJNA680784,33900014,"",SRS7787056,SAMN16913746,simple,1423,Bacillus subtilis,GSM4944138,GEO,SRA1163809,11,2020,Lalanne,Bacteria,RNAseq_E3_D4_GLB430,Bacteria,"GLB430, see Data S1 in paper for strain details","Conditioned MCC medium with 1% glycerol (Parker et al, Cell Syt. 2020) with inducers. See Data S3 from paper for details.",GSM4944138
SRR13142754,7759588,387979400,50,183,SRX9583157,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP294161,PRJNA680784,33900014,"",SRS7787058,SAMN16913745,simple,1423,Bacillus subtilis,GSM4944139,GEO,SRA1163809,11,2020,Lalanne,Bacteria,RNAseq_E3_D5_GLB426,Bacteria,"GLB426, see Data S1 in paper for strain details","Conditioned MCC medium with 1% glycerol (Parker et al, Cell Syt. 2020) with inducers. See Data S3 from paper for details.",GSM4944139
SRR13142755,6912639,345631950,50,163,SRX9583158,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP294161,PRJNA680784,33900014,"",SRS7787057,SAMN16913744,simple,1423,Bacillus subtilis,GSM4944140,GEO,SRA1163809,11,2020,Lalanne,Bacteria,RNAseq_E3_D6_GLB426,Bacteria,"GLB426, see Data S1 in paper for strain details","Conditioned MCC medium with 1% glycerol (Parker et al, Cell Syt. 2020) with inducers. See Data S3 from paper for details.",GSM4944140
SRR13142756,7881931,394096550,50,185,SRX9583159,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP294161,PRJNA680784,33900014,"",SRS7787059,SAMN16913743,simple,1423,Bacillus subtilis,GSM4944141,GEO,SRA1163809,11,2020,Lalanne,Bacteria,RNAseq_E3_D7_GLB426,Bacteria,"GLB426, see Data S1 in paper for strain details","Conditioned MCC medium with 1% glycerol (Parker et al, Cell Syt. 2020) with inducers. See Data S3 from paper for details.",GSM4944141
SRR13142757,10433704,521685200,50,246,SRX9583160,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP294161,PRJNA680784,33900014,"",SRS7787061,SAMN16913742,simple,1423,Bacillus subtilis,GSM4944142,GEO,SRA1163809,11,2020,Lalanne,Bacteria,RNAseq_E3_D7_GLB430,Bacteria,"GLB430, see Data S1 in paper for strain details","Conditioned MCC medium with 1% glycerol (Parker et al, Cell Syt. 2020) with inducers. See Data S3 from paper for details.",GSM4944142
SRR13142651,6120086,306004300,50,120,SRX9583161,,OTHER,other,GENOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP294161,PRJNA680784,33900014,"",SRS7787060,SAMN16913722,simple,1423,Bacillus subtilis,GSM4944036,GEO,SRA1163809,11,2020,Lalanne,Bacteria,competition_amplicons_E1_T0,Bacteria,"Pool of strains, see Data S1 in paper for strains included in pool","Conditioned MCC medium with 1% glycerol (Parker et al, Cell Syt. 2020). Amplicon pool corresponding to multiple samples grown in different inducer concentrations. Refer to Data S3 in paper for details of each competition pool.",GSM4944036
SRR13142652,7067211,353360550,50,138,SRX9583162,,OTHER,other,GENOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP294161,PRJNA680784,33900014,"",SRS7787062,SAMN16913721,simple,1423,Bacillus subtilis,GSM4944037,GEO,SRA1163809,11,2020,Lalanne,Bacteria,competition_amplicons_E1_T1,Bacteria,"Pool of strains, see Data S1 in paper for strains included in pool","Conditioned MCC medium with 1% glycerol (Parker et al, Cell Syt. 2020). Amplicon pool corresponding to multiple samples grown in different inducer concentrations. Refer to Data S3 in paper for details of each competition pool.",GSM4944037
SRR13142653,6768715,338435750,50,132,SRX9583163,,OTHER,other,GENOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP294161,PRJNA680784,33900014,"",SRS7787064,SAMN16913720,simple,1423,Bacillus subtilis,GSM4944038,GEO,SRA1163809,11,2020,Lalanne,Bacteria,competition_amplicons_E1_T2,Bacteria,"Pool of strains, see Data S1 in paper for strains included in pool","Conditioned MCC medium with 1% glycerol (Parker et al, Cell Syt. 2020). Amplicon pool corresponding to multiple samples grown in different inducer concentrations. Refer to Data S3 in paper for details of each competition pool.",GSM4944038
SRR13142654,5028657,251432850,50,98,SRX9583164,,OTHER,other,GENOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP294161,PRJNA680784,33900014,"",SRS7787063,SAMN16913719,simple,1423,Bacillus subtilis,GSM4944039,GEO,SRA1163809,11,2020,Lalanne,Bacteria,competition_amplicons_E1_T3,Bacteria,"Pool of strains, see Data S1 in paper for strains included in pool","Conditioned MCC medium with 1% glycerol (Parker et al, Cell Syt. 2020). Amplicon pool corresponding to multiple samples grown in different inducer concentrations. Refer to Data S3 in paper for details of each competition pool.",GSM4944039
SRR13142655,8870833,443541650,50,174,SRX9583165,,OTHER,other,GENOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP294161,PRJNA680784,33900014,"",SRS7787066,SAMN16913718,simple,1423,Bacillus subtilis,GSM4944040,GEO,SRA1163809,11,2020,Lalanne,Bacteria,competition_amplicons_E1_T4,Bacteria,"Pool of strains, see Data S1 in paper for strains included in pool","Conditioned MCC medium with 1% glycerol (Parker et al, Cell Syt. 2020). Amplicon pool corresponding to multiple samples grown in different inducer concentrations. Refer to Data S3 in paper for details of each competition pool.",GSM4944040
SRR13142656,4965789,248289450,50,96,SRX9583166,,OTHER,other,GENOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP294161,PRJNA680784,33900014,"",SRS7787065,SAMN16913717,simple,1423,Bacillus subtilis,GSM4944041,GEO,SRA1163809,11,2020,Lalanne,Bacteria,competition_amplicons_E2_T0,Bacteria,"Pool of strains, see Data S1 in paper for strains included in pool","Conditioned MCC medium with 1% glycerol (Parker et al, Cell Syt. 2020). Amplicon pool corresponding to multiple samples grown in different inducer concentrations. Refer to Data S3 in paper for details of each competition pool.",GSM4944041
SRR13142657,30650903,1532545150,50,640,SRX9583167,,OTHER,other,GENOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP294161,PRJNA680784,33900014,"",SRS7787068,SAMN16913716,simple,1423,Bacillus subtilis,GSM4944042,GEO,SRA1163809,11,2020,Lalanne,Bacteria,competition_amplicons_E2_T1,Bacteria,"Pool of strains, see Data S1 in paper for strains included in pool","Conditioned MCC medium with 1% glycerol (Parker et al, Cell Syt. 2020). Amplicon pool corresponding to multiple samples grown in different inducer concentrations. Refer to Data S3 in paper for details of each competition pool.",GSM4944042
SRR13142658,4155003,207750150,50,81,SRX9583168,,OTHER,other,GENOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP294161,PRJNA680784,33900014,"",SRS7787067,SAMN16913715,simple,1423,Bacillus subtilis,GSM4944043,GEO,SRA1163809,11,2020,Lalanne,Bacteria,competition_amplicons_E2_T2,Bacteria,"Pool of strains, see Data S1 in paper for strains included in pool","Conditioned MCC medium with 1% glycerol (Parker et al, Cell Syt. 2020). Amplicon pool corresponding to multiple samples grown in different inducer concentrations. Refer to Data S3 in paper for details of each competition pool.",GSM4944043
SRR13142659,4484260,224213000,50,87,SRX9583169,,OTHER,other,GENOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP294161,PRJNA680784,33900014,"",SRS7787070,SAMN16913714,simple,1423,Bacillus subtilis,GSM4944044,GEO,SRA1163809,11,2020,Lalanne,Bacteria,competition_amplicons_E2_T3,Bacteria,"Pool of strains, see Data S1 in paper for strains included in pool","Conditioned MCC medium with 1% glycerol (Parker et al, Cell Syt. 2020). Amplicon pool corresponding to multiple samples grown in different inducer concentrations. Refer to Data S3 in paper for details of each competition pool.",GSM4944044
SRR13142660,4779787,238989350,50,93,SRX9583170,,OTHER,other,GENOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP294161,PRJNA680784,33900014,"",SRS7787069,SAMN16913713,simple,1423,Bacillus subtilis,GSM4944045,GEO,SRA1163809,11,2020,Lalanne,Bacteria,competition_amplicons_E2_T4,Bacteria,"Pool of strains, see Data S1 in paper for strains included in pool","Conditioned MCC medium with 1% glycerol (Parker et al, Cell Syt. 2020). Amplicon pool corresponding to multiple samples grown in different inducer concentrations. Refer to Data S3 in paper for details of each competition pool.",GSM4944045
SRR13142661,6045851,302292550,50,145,SRX9583171,,OTHER,other,GENOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP294161,PRJNA680784,33900014,"",SRS7787071,SAMN16913712,simple,1423,Bacillus subtilis,GSM4944046,GEO,SRA1163809,11,2020,Lalanne,Bacteria,competition_amplicons_E3_ACAGTG,Bacteria,"Pool of strains, see Data S1 in paper for strains included in pool","Conditioned MCC medium with 1% glycerol (Parker et al, Cell Syt. 2020). Amplicon pool corresponding to multiple samples grown in different inducer concentrations. Refer to Data S3 in paper for details of each competition pool.",GSM4944046
SRR13142662,9159244,457962200,50,218,SRX9583172,,OTHER,other,GENOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP294161,PRJNA680784,33900014,"",SRS7787072,SAMN16913711,simple,1423,Bacillus subtilis,GSM4944047,GEO,SRA1163809,11,2020,Lalanne,Bacteria,competition_amplicons_E3_ACTTGA,Bacteria,"Pool of strains, see Data S1 in paper for strains included in pool","Conditioned MCC medium with 1% glycerol (Parker et al, Cell Syt. 2020). Amplicon pool corresponding to multiple samples grown in different inducer concentrations. Refer to Data S3 in paper for details of each competition pool.",GSM4944047
SRR13142663,4609253,230462650,50,110,SRX9583173,,OTHER,other,GENOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP294161,PRJNA680784,33900014,"",SRS7787073,SAMN16913710,simple,1423,Bacillus subtilis,GSM4944048,GEO,SRA1163809,11,2020,Lalanne,Bacteria,competition_amplicons_E3_CAGATC,Bacteria,"Pool of strains, see Data S1 in paper for strains included in pool","Conditioned MCC medium with 1% glycerol (Parker et al, Cell Syt. 2020). Amplicon pool corresponding to multiple samples grown in different inducer concentrations. Refer to Data S3 in paper for details of each competition pool.",GSM4944048
SRR13142664,7194174,359708700,50,171,SRX9583174,,OTHER,other,GENOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP294161,PRJNA680784,33900014,"",SRS7787074,SAMN16913709,simple,1423,Bacillus subtilis,GSM4944049,GEO,SRA1163809,11,2020,Lalanne,Bacteria,competition_amplicons_E3_CGATGT,Bacteria,"Pool of strains, see Data S1 in paper for strains included in pool","Conditioned MCC medium with 1% glycerol (Parker et al, Cell Syt. 2020). Amplicon pool corresponding to multiple samples grown in different inducer concentrations. Refer to Data S3 in paper for details of each competition pool.",GSM4944049
SRR13142665,9552402,477620100,50,227,SRX9583175,,OTHER,other,GENOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP294161,PRJNA680784,33900014,"",SRS7787075,SAMN16913708,simple,1423,Bacillus subtilis,GSM4944050,GEO,SRA1163809,11,2020,Lalanne,Bacteria,competition_amplicons_E3_GATCAG,Bacteria,"Pool of strains, see Data S1 in paper for strains included in pool","Conditioned MCC medium with 1% glycerol (Parker et al, Cell Syt. 2020). Amplicon pool corresponding to multiple samples grown in different inducer concentrations. Refer to Data S3 in paper for details of each competition pool.",GSM4944050
SRR13142666,4720353,236017650,50,113,SRX9583176,,OTHER,other,GENOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP294161,PRJNA680784,33900014,"",SRS7787077,SAMN16913707,simple,1423,Bacillus subtilis,GSM4944051,GEO,SRA1163809,11,2020,Lalanne,Bacteria,competition_amplicons_E3_GGCTAC,Bacteria,"Pool of strains, see Data S1 in paper for strains included in pool","Conditioned MCC medium with 1% glycerol (Parker et al, Cell Syt. 2020). Amplicon pool corresponding to multiple samples grown in different inducer concentrations. Refer to Data S3 in paper for details of each competition pool.",GSM4944051
SRR13142699,57786912,2889345600,50,1684,SRX9583177,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP294161,PRJNA680784,33900014,"",SRS7787076,SAMN16913780,simple,1423,Bacillus subtilis,GSM4944084,GEO,SRA1163809,11,2020,Lalanne,Bacteria,ribo_GLB372,Bacteria,"GLB372, see Data S1 in paper for strain details",LB,GSM4944084
SRR13142700,4684637,234231850,50,88,SRX9583178,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP294161,PRJNA680784,33900014,"",SRS7787078,SAMN16913779,simple,1423,Bacillus subtilis,GSM4944085,GEO,SRA1163809,11,2020,Lalanne,Bacteria,ribo_MCC1_GLB115,Bacteria,"GLB115, see Data S1 in paper for strain details","Conditioned MCC medium (Parker et al, Cell Syst. 2020) with 1% glycerol",GSM4944085
SRR13142701,106005236,5300261800,50,1931,SRX9583179,,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP294161,PRJNA680784,33900014,"",SRS7787079,SAMN16913778,simple,1423,Bacillus subtilis,GSM4944086,GEO,SRA1163809,11,2020,Lalanne,Bacteria,ribo_MCC2_GLB115,Bacteria,"GLB115, see Data S1 in paper for strain details","Conditioned MCC medium (Parker et al, Cell Syst. 2020) with 1% glycerol, 500 uM IPTG, 0.5% w/v xylose",GSM4944086
SRR13142702,2943920,147196000,50,60,SRX9583180,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP294161,PRJNA680784,33900014,"",SRS7787080,SAMN16913777,simple,1423,Bacillus subtilis,GSM4944087,GEO,SRA1163809,11,2020,Lalanne,Bacteria,RNAseq_E1_C1_GLB115,Bacteria,"GLB115, see Data S1 in paper for strain details","Conditioned MCC medium with 1% glycerol (Parker et al, Cell Syt. 2020)",GSM4944087
SRR13142703,5873312,293665600,50,120,SRX9583181,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP294161,PRJNA680784,33900014,"",SRS7787081,SAMN16913776,simple,1423,Bacillus subtilis,GSM4944088,GEO,SRA1163809,11,2020,Lalanne,Bacteria,RNAseq_E1_C1_GLB426,Bacteria,"GLB426, see Data S1 in paper for strain details","Conditioned MCC medium with 1% glycerol (Parker et al, Cell Syt. 2020) with inducers. See Data S3 from paper for details.",GSM4944088
SRR13142704,4474059,223702950,50,91,SRX9583182,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP294161,PRJNA680784,33900014,"",SRS7787082,SAMN16913775,simple,1423,Bacillus subtilis,GSM4944089,GEO,SRA1163809,11,2020,Lalanne,Bacteria,RNAseq_E1_C1_GLB430,Bacteria,"GLB430, see Data S1 in paper for strain details","Conditioned MCC medium with 1% glycerol (Parker et al, Cell Syt. 2020) with inducers. See Data S3 from paper for details.",GSM4944089
SRR13142705,3702862,185143100,50,76,SRX9583183,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP294161,PRJNA680784,33900014,"",SRS7787083,SAMN16913774,simple,1423,Bacillus subtilis,GSM4944090,GEO,SRA1163809,11,2020,Lalanne,Bacteria,RNAseq_E1_C1_GLB434,Bacteria,"GLB434, see Data S1 in paper for strain details","Conditioned MCC medium with 1% glycerol (Parker et al, Cell Syt. 2020) with inducers. See Data S3 from paper for details.",GSM4944090
