Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,tissue,cell line,ip antibody,genotype,treatment,geo_loc_name,collection_date,cell type
SRR21743122,144353351,5172296307,35,2369,SRX17738669,GSM6605210,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP400097,PRJNA885130,37339632,"",SRS15267539,SAMN31076951,simple,6239,Caenorhabditis elegans,GSM6605210,"Hartl, MPI of Biochemistry",SRA1509250,05,2023,Müller,whole organism,"Wild-type(N2)_D0_A, Ribo-seq",whole organism,whole organism,NA,NA,N2,NA,missing,missing,
SRR21743121,59119979,2126279341,35,977,SRX17738670,GSM6605211,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP400097,PRJNA885130,37339632,"",SRS15267540,SAMN31076950,simple,6239,Caenorhabditis elegans,GSM6605211,"Hartl, MPI of Biochemistry",SRA1509250,05,2023,Müller,whole organism,"Wild-type(N2)_D0_B, Ribo-seq",whole organism,whole organism,NA,NA,N2,NA,missing,missing,
SRR21743119,87029785,3334241750,38,1418,SRX17738671,GSM6605212,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP400097,PRJNA885130,37339632,"",SRS15267541,SAMN31076949,simple,6239,Caenorhabditis elegans,GSM6605212,"Hartl, MPI of Biochemistry",SRA1509250,05,2023,Müller,whole organism,"GCN-1(nc40)_D6_A, Ribo-seq",whole organism,whole organism,NA,NA,YFP-STOP,NA,missing,missing,
SRR21743120,82309142,3156069721,38,1329,SRX17738671,GSM6605212,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP400097,PRJNA885130,37339632,"",SRS15267541,SAMN31076949,simple,6239,Caenorhabditis elegans,GSM6605212,"Hartl, MPI of Biochemistry",SRA1509250,05,2023,Müller,whole organism,"GCN-1(nc40)_D6_A, Ribo-seq",whole organism,whole organism,NA,NA,YFP-STOP,NA,missing,missing,
SRR21743117,112849994,4306932064,38,1846,SRX17738672,GSM6605213,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP400097,PRJNA885130,37339632,"",SRS15267542,SAMN31076948,simple,6239,Caenorhabditis elegans,GSM6605213,"Hartl, MPI of Biochemistry",SRA1509250,05,2023,Müller,whole organism,"GCN-1(nc40)_D6_B, Ribo-seq",whole organism,whole organism,NA,NA,YFP-UTR,NA,missing,missing,
SRR21743118,107358539,4101241512,38,1740,SRX17738672,GSM6605213,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP400097,PRJNA885130,37339632,"",SRS15267542,SAMN31076948,simple,6239,Caenorhabditis elegans,GSM6605213,"Hartl, MPI of Biochemistry",SRA1509250,05,2023,Müller,whole organism,"GCN-1(nc40)_D6_B, Ribo-seq",whole organism,whole organism,NA,NA,YFP-UTR,NA,missing,missing,
SRR21743115,88196965,3297593100,37,1427,SRX17738673,GSM6605214,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP400097,PRJNA885130,37339632,"",SRS15267543,SAMN31076947,simple,6239,Caenorhabditis elegans,GSM6605214,"Hartl, MPI of Biochemistry",SRA1509250,05,2023,Müller,whole organism,"Wild-type(N2)_D6_A, Ribo-seq",whole organism,whole organism,NA,NA,3x-FLAG-GCN-1,NA,missing,missing,
SRR21743116,83435685,3122918005,37,1338,SRX17738673,GSM6605214,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP400097,PRJNA885130,37339632,"",SRS15267543,SAMN31076947,simple,6239,Caenorhabditis elegans,GSM6605214,"Hartl, MPI of Biochemistry",SRA1509250,05,2023,Müller,whole organism,"Wild-type(N2)_D6_A, Ribo-seq",whole organism,whole organism,NA,NA,3x-FLAG-GCN-1,NA,missing,missing,
SRR21743113,88567860,3316572807,37,1442,SRX17738674,GSM6605215,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP400097,PRJNA885130,37339632,"",SRS15267544,SAMN31076946,simple,6239,Caenorhabditis elegans,GSM6605215,"Hartl, MPI of Biochemistry",SRA1509250,05,2023,Müller,whole organism,"Wild-type(N2)_D6_B, Ribo-seq",whole organism,whole organism,NA,NA,YFP-STOP,NA,missing,missing,
SRR21743114,83432235,3126799939,37,1346,SRX17738674,GSM6605215,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP400097,PRJNA885130,37339632,"",SRS15267544,SAMN31076946,simple,6239,Caenorhabditis elegans,GSM6605215,"Hartl, MPI of Biochemistry",SRA1509250,05,2023,Müller,whole organism,"Wild-type(N2)_D6_B, Ribo-seq",whole organism,whole organism,NA,NA,YFP-STOP,NA,missing,missing,
SRR21743112,8787960,249861881,28,117,SRX17738675,GSM6605216,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP400097,PRJNA885130,37339632,"",SRS15267545,SAMN31076945,simple,6239,Caenorhabditis elegans,GSM6605216,"Hartl, MPI of Biochemistry",SRA1509250,05,2023,Müller,whole organism,"YFP-STOP_A, Ribo-seq",whole organism,whole organism,NA,NA,YFP-UTR,NA,missing,missing,
SRR21743111,3296539,99840916,30,46,SRX17738676,GSM6605217,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP400097,PRJNA885130,37339632,"",SRS15267546,SAMN31076944,simple,6239,Caenorhabditis elegans,GSM6605217,"Hartl, MPI of Biochemistry",SRA1509250,05,2023,Müller,whole organism,"YFP-STOP_B, Ribo-seq",whole organism,whole organism,NA,NA,YFP-UTR,NA,missing,missing,
SRR21743110,4520034,137465311,30,64,SRX17738677,GSM6605218,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP400097,PRJNA885130,37339632,"",SRS15267547,SAMN31076943,simple,6239,Caenorhabditis elegans,GSM6605218,"Hartl, MPI of Biochemistry",SRA1509250,05,2023,Müller,whole organism,"YFP-UTR_A, Ribo-seq",whole organism,whole organism,NA,NA,GCN-1(nc40),NA,missing,missing,
SRR21743109,2400309,83015271,34,37,SRX17738678,GSM6605219,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP400097,PRJNA885130,37339632,"",SRS15267548,SAMN31076942,simple,6239,Caenorhabditis elegans,GSM6605219,"Hartl, MPI of Biochemistry",SRA1509250,05,2023,Müller,whole organism,"YFP-UTR_B, Ribo-seq",whole organism,whole organism,NA,NA,GCN-1(nc40),NA,missing,missing,
SRR21743108,9720426,1458063900,75,502,SRX17738679,GSM6605220,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP400097,PRJNA885130,37339632,"",SRS15267549,SAMN31076941,simple,6239,Caenorhabditis elegans,GSM6605220,"Hartl, MPI of Biochemistry",SRA1509250,05,2023,Müller,whole organism,"Input_mRNA_A(Cele), RNA-seq",whole organism,whole organism,NA,NA,N2,NA,missing,missing,
SRR21743107,11022946,1653441900,75,571,SRX17738680,GSM6605221,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP400097,PRJNA885130,37339632,"",SRS15267550,SAMN31076940,simple,6239,Caenorhabditis elegans,GSM6605221,"Hartl, MPI of Biochemistry",SRA1509250,05,2023,Müller,whole organism,"Input_mRNA_B(Cele), RNA-seq",whole organism,whole organism,NA,NA,N2,NA,missing,missing,
SRR21743106,12532322,1879848300,75,647,SRX17738681,GSM6605222,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP400097,PRJNA885130,37339632,"",SRS15267551,SAMN31076939,simple,6239,Caenorhabditis elegans,GSM6605222,"Hartl, MPI of Biochemistry",SRA1509250,05,2023,Müller,whole organism,"YFP-STOP_mRNA_A, RNA-seq",whole organism,whole organism,NA,NA,GCN-1(nc40),NA,missing,missing,
SRR21743105,11226665,1683999750,75,579,SRX17738682,GSM6605223,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP400097,PRJNA885130,37339632,"",SRS15267552,SAMN31076938,simple,6239,Caenorhabditis elegans,GSM6605223,"Hartl, MPI of Biochemistry",SRA1509250,05,2023,Müller,whole organism,"YFP-STOP_mRNA_B, RNA-seq",whole organism,whole organism,NA,NA,GCN-1(nc40),NA,missing,missing,
SRR21743104,10966835,1645025250,75,567,SRX17738683,GSM6605224,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP400097,PRJNA885130,37339632,"",SRS15267553,SAMN31076937,simple,6239,Caenorhabditis elegans,GSM6605224,"Hartl, MPI of Biochemistry",SRA1509250,05,2023,Müller,whole organism,"YFP-UTR_mRNA_A, RNA-seq",whole organism,whole organism,NA,NA,N2,NA,missing,missing,
SRR21743103,10791727,1618759050,75,557,SRX17738684,GSM6605225,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP400097,PRJNA885130,37339632,"",SRS15267554,SAMN31076936,simple,6239,Caenorhabditis elegans,GSM6605225,"Hartl, MPI of Biochemistry",SRA1509250,05,2023,Müller,whole organism,"YFP-UTR_mRNA_B, RNA-seq",whole organism,whole organism,NA,NA,N2,NA,missing,missing,
SRR21743102,11348608,1702291200,75,585,SRX17738685,GSM6605226,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP400097,PRJNA885130,37339632,"",SRS15267555,SAMN31076935,simple,6239,Caenorhabditis elegans,GSM6605226,"Hartl, MPI of Biochemistry",SRA1509250,05,2023,Müller,whole organism,"GCN-1(nc40)_D0_A, RNA-seq",embryonic kidney,embryonic kidney,HEK293T,GCN1 antibody CAT#A301-843A,WT,Untreated,missing,missing,
SRR21743101,10086946,1513041900,75,518,SRX17738686,GSM6605227,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP400097,PRJNA885130,37339632,"",SRS15267556,SAMN31076934,simple,6239,Caenorhabditis elegans,GSM6605227,"Hartl, MPI of Biochemistry",SRA1509250,05,2023,Müller,whole organism,"GCN-1(nc40)_D0_B, RNA-seq",embryonic kidney,embryonic kidney,HEK293T,GCN1 antibody CAT#A301-843A,WT,Untreated,missing,missing,
SRR21743100,11777885,1766682750,75,607,SRX17738687,GSM6605228,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP400097,PRJNA885130,37339632,"",SRS15267557,SAMN31076933,simple,6239,Caenorhabditis elegans,GSM6605228,"Hartl, MPI of Biochemistry",SRA1509250,05,2023,Müller,whole organism,"Wild-type(N2)_D0_A, RNA-seq",embryonic kidney,embryonic kidney,HEK293T,GCN1 antibody CAT#A301-843A,WT,G418 + CC-885,missing,missing,
SRR21743099,11985362,1797804300,75,619,SRX17738688,GSM6605229,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP400097,PRJNA885130,37339632,"",SRS15267558,SAMN31076932,simple,6239,Caenorhabditis elegans,GSM6605229,"Hartl, MPI of Biochemistry",SRA1509250,05,2023,Müller,whole organism,"Wild-type(N2)_D0_B, RNA-seq",embryonic kidney,embryonic kidney,HEK293T,GCN1 antibody CAT#A301-843A,WT,G418 + CC-885,missing,missing,
SRR21743098,40945058,6141758700,75,2232,SRX17738689,GSM6605230,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP400097,PRJNA885130,37339632,"",SRS15267559,SAMN31076931,simple,6239,Caenorhabditis elegans,GSM6605230,"Hartl, MPI of Biochemistry",SRA1509250,05,2023,Müller,whole organism,"GCN-1(nc40)_D6_A, RNA-seq",embryonic kidney,embryonic kidney,HEK293T,Input (Hsapiens),WT,Untreated,missing,missing,
SRR21743097,46358521,6953778150,75,2522,SRX17738690,GSM6605231,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP400097,PRJNA885130,37339632,"",SRS15267560,SAMN31076930,simple,6239,Caenorhabditis elegans,GSM6605231,"Hartl, MPI of Biochemistry",SRA1509250,05,2023,Müller,whole organism,"GCN-1(nc40)_D6_B, RNA-seq",embryonic kidney,embryonic kidney,HEK293T,Input (Hsapiens),WT,Untreated,missing,missing,
SRR21743096,47022339,7053350850,75,2556,SRX17738691,GSM6605232,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP400097,PRJNA885130,37339632,"",SRS15267561,SAMN31076929,simple,6239,Caenorhabditis elegans,GSM6605232,"Hartl, MPI of Biochemistry",SRA1509250,05,2023,Müller,whole organism,"Wild-type(N2)_D6_A, RNA-seq",embryonic kidney,embryonic kidney,HEK293T,Input (Hsapiens),WT,G418 + CC-885,missing,missing,
SRR21743095,48063397,7209509550,75,2614,SRX17738692,GSM6605233,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP400097,PRJNA885130,37339632,"",SRS15267562,SAMN31076928,simple,6239,Caenorhabditis elegans,GSM6605233,"Hartl, MPI of Biochemistry",SRA1509250,05,2023,Müller,whole organism,"Wild-type(N2)_D6_B, RNA-seq",embryonic kidney,embryonic kidney,HEK293T,Input (Hsapiens),WT,G418 + CC-885,missing,missing,
SRR21743094,44362128,1690443440,38,753,SRX17738693,GSM6605234,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP400097,PRJNA885130,37339632,"",SRS15267563,SAMN31076927,simple,9606,Homo sapiens,GSM6605234,"Hartl, MPI of Biochemistry",SRA1509250,05,2023,Müller,embryonic kidney,"GCN1-IP_Untreated(Hsap)_A, Ribo-seq",NA,,NA,FLAG M2,3x-FLAG-GCN-1,NA,missing,missing,NA
SRR21743093,33576977,1284144132,38,574,SRX17738694,GSM6605235,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP400097,PRJNA885130,37339632,"",SRS15267564,SAMN31076926,simple,9606,Homo sapiens,GSM6605235,"Hartl, MPI of Biochemistry",SRA1509250,05,2023,Müller,embryonic kidney,"GCN1-IP_Untreated(Hsap)_B, Ribo-seq",HEK293T,,HEK293T,,WT,"100uM 4sU fed for 24h, then washed out for chase over 8h",missing,missing,embryonic kidney
SRR21743092,30254090,1063480825,35,485,SRX17738695,GSM6605236,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP400097,PRJNA885130,37339632,"",SRS15267565,SAMN31076925,simple,9606,Homo sapiens,GSM6605236,"Hartl, MPI of Biochemistry",SRA1509250,05,2023,Müller,embryonic kidney,"GCN1-IP_CC885(Hsap)_A, Ribo-seq",HEK293T,,HEK293T,,WT,"100uM 4sU fed for 24h, then washed out for chase over 8h",missing,missing,embryonic kidney
SRR21743091,29756413,1051245108,35,479,SRX17738696,GSM6605237,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP400097,PRJNA885130,37339632,"",SRS15267566,SAMN31076924,simple,9606,Homo sapiens,GSM6605237,"Hartl, MPI of Biochemistry",SRA1509250,05,2023,Müller,embryonic kidney,"GCN1-IP_CC885(Hsap)_B, Ribo-seq",HEK293T,,HEK293T,,WT,"100uM 4sU fed for 24h, then washed out for chase over 8h",missing,missing,embryonic kidney
SRR21743090,36565185,1349430415,36,600,SRX17738697,GSM6605238,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP400097,PRJNA885130,37339632,"",SRS15267567,SAMN31076923,simple,9606,Homo sapiens,GSM6605238,"Hartl, MPI of Biochemistry",SRA1509250,05,2023,Müller,embryonic kidney,"Input_Untreated(Hsap)_A, Ribo-seq",HEK293T,,HEK293T,,WT,"100uM 4sU fed for 24h, then washed out for chase over 8h",missing,missing,embryonic kidney
SRR21743089,28503836,1065993787,37,473,SRX17738698,GSM6605239,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP400097,PRJNA885130,37339632,"",SRS15267568,SAMN31076922,simple,9606,Homo sapiens,GSM6605239,"Hartl, MPI of Biochemistry",SRA1509250,05,2023,Müller,embryonic kidney,"Input_Untreated(Hsap)_B, Ribo-seq",HEK293T,,HEK293T,,WT,"100uM 4sU fed for 24h, then washed out for chase over 8h",missing,missing,embryonic kidney
SRR21743088,53127959,2028393551,38,882,SRX17738699,GSM6605240,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP400097,PRJNA885130,37339632,"",SRS15267569,SAMN31076921,simple,9606,Homo sapiens,GSM6605240,"Hartl, MPI of Biochemistry",SRA1509250,05,2023,Müller,embryonic kidney,"Input_CC885(Hsap)_A, Ribo-seq",HEK293T,,HEK293T,,WT,"100uM 4sU fed for 24h, then washed out for chase over 8h",missing,missing,embryonic kidney
SRR21743087,72590445,2776157388,38,1214,SRX17738700,GSM6605241,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP400097,PRJNA885130,37339632,"",SRS15267570,SAMN31076920,simple,9606,Homo sapiens,GSM6605241,"Hartl, MPI of Biochemistry",SRA1509250,05,2023,Müller,embryonic kidney,"Input_CC885(Hsap)_B, Ribo-seq",HEK293T,,HEK293T,,WT,"100uM 4sU fed for 24h, then washed out for chase over 8h",missing,missing,embryonic kidney
SRR23242378,379734395,22265432439,58,7684,SRX19188689,GSM6995331,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP400097,PRJNA885130,37339632,"",SRS16599429,SAMN32928192,simple,6239,Caenorhabditis elegans,GSM6995331,"Hartl, MPI of Biochemistry",SRA1580492,05,2023,Müller,NA,GCN-1-IP(Cele)_A_disome,HEK293T,,HEK293T,,GCN1,"100uM 4sU fed for 24h, then washed out for chase over 8h",missing,missing,embryonic kidney
SRR23242377,46990812,6202787184,132,2108,SRX19188690,GSM6995340,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP400097,PRJNA885130,37339632,"",SRS16599430,SAMN32928183,simple,9606,Homo sapiens,GSM6995340,"Hartl, MPI of Biochemistry",SRA1580492,05,2023,Müller,HEK293T,WT_2h_C,NA,,NA,FLAG M2,3x-FLAG-GCN-1,NA,missing,missing,NA
SRR23242376,48783006,6439356792,132,2177,SRX19188691,GSM6995341,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP400097,PRJNA885130,37339632,"",SRS16599432,SAMN32928182,simple,9606,Homo sapiens,GSM6995341,"Hartl, MPI of Biochemistry",SRA1580492,05,2023,Müller,HEK293T,WT_4h_A,NA,,NA,Input (Cele),3x-FLAG-GCN-1,NA,missing,missing,NA
SRR23242375,45119774,5955810168,132,2056,SRX19188692,GSM6995342,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP400097,PRJNA885130,37339632,"",SRS16599431,SAMN32928181,simple,9606,Homo sapiens,GSM6995342,"Hartl, MPI of Biochemistry",SRA1580492,05,2023,Müller,HEK293T,WT_4h_B,NA,,NA,Input (Cele),3x-FLAG-GCN-1,NA,missing,missing,NA
SRR23242374,44957307,5934364524,132,2006,SRX19188693,GSM6995343,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP400097,PRJNA885130,37339632,"",SRS16599434,SAMN32928180,simple,9606,Homo sapiens,GSM6995343,"Hartl, MPI of Biochemistry",SRA1580492,05,2023,Müller,HEK293T,WT_4h_C,HEK293T,,HEK293T,,WT,"100uM 4sU fed for 24h, then washed out for chase over 8h",missing,missing,embryonic kidney
SRR23242373,41840882,5522996424,132,1863,SRX19188694,GSM6995344,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP400097,PRJNA885130,37339632,"",SRS16599433,SAMN32928179,simple,9606,Homo sapiens,GSM6995344,"Hartl, MPI of Biochemistry",SRA1580492,05,2023,Müller,HEK293T,WT_8h_A,HEK293T,,HEK293T,,WT,"100uM 4sU fed for 24h, then washed out for chase over 8h",missing,missing,embryonic kidney
SRR23242372,41859264,5525422848,132,1862,SRX19188695,GSM6995345,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP400097,PRJNA885130,37339632,"",SRS16599435,SAMN32928178,simple,9606,Homo sapiens,GSM6995345,"Hartl, MPI of Biochemistry",SRA1580492,05,2023,Müller,HEK293T,WT_8h_B,HEK293T,,HEK293T,,WT,"100uM 4sU fed for 24h, then washed out for chase over 8h",missing,missing,embryonic kidney
SRR23242371,39679196,5237653872,132,1782,SRX19188696,GSM6995346,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP400097,PRJNA885130,37339632,"",SRS16599436,SAMN32928177,simple,9606,Homo sapiens,GSM6995346,"Hartl, MPI of Biochemistry",SRA1580492,05,2023,Müller,HEK293T,WT_8h_C,HEK293T,,HEK293T,,WT,"100uM 4sU fed for 24h, then washed out for chase over 8h",missing,missing,embryonic kidney
