Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,isolate,age,biomaterial_provider,sex,tissue,cell_line,BioSampleModel
SRR7632994,42626464,2173949664,51,954,SRX4496734,A172_EV1_Ribo-Seq,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP113468,PRJNA395570,1,"",SRS3617799,SAMN09754473,simple,9606,Homo sapiens,A172_EV1_RBSeq,IDIBELL,SRA749312,08,2019,Makar,"","",A172 EV rep 1,not applicable,"Centre de Recerca Biomèdica CELLEX, IDIBAPS",not determined,Glioblastoma Multiforme,A-172,Human
SRR7632993,48913098,2494567998,51,1087,SRX4496735,A172_EV2_Ribo-Seq,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP113468,PRJNA395570,1,"",SRS3617805,SAMN09754474,simple,9606,Homo sapiens,A172_EV2_RBSeq,IDIBELL,SRA749312,08,2019,Makar,"","",A172 EV rep 2,not applicable,"Centre de Recerca Biomèdica CELLEX, IDIBAPS",not determined,Glioblastoma Multiforme,A-172,Human
SRR7632992,45093655,2299776405,51,1012,SRX4496736,A172_OE2_Ribo-Seq,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP113468,PRJNA395570,1,"",SRS3617806,SAMN09754479,simple,9606,Homo sapiens,A172_OE2_RBSeq,IDIBELL,SRA749312,08,2019,Makar,"","",A172 OE rep 2,not applicable,"Centre de Recerca Biomèdica CELLEX, IDIBAPS",not determined,Glioblastoma Multiforme,A-172,Human
SRR7632991,45435039,2317186989,51,1022,SRX4496737,A172_OE3_Ribo-Seq,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP113468,PRJNA395570,1,"",SRS3617801,SAMN09754480,simple,9606,Homo sapiens,A172_OE3_RBSeq,IDIBELL,SRA749312,08,2019,Makar,"","",A172 OE rep 3,not applicable,"Centre de Recerca Biomèdica CELLEX, IDIBAPS",not determined,Glioblastoma Multiforme,A-172,Human
SRR7632990,45425707,2316711057,51,1012,SRX4496738,A172_EV5_Ribo-Seq,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP113468,PRJNA395570,1,"",SRS3617802,SAMN09754477,simple,9606,Homo sapiens,A172_EV5_RBSeq,IDIBELL,SRA749312,08,2019,Makar,"","",A172 EV rep 5,not applicable,"Centre de Recerca Biomèdica CELLEX, IDIBAPS",not determined,Glioblastoma Multiforme,A-172,Human
SRR7632989,48651581,2481230631,51,1111,SRX4496739,A172_OE1_Ribo-Seq,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP113468,PRJNA395570,1,"",SRS3617803,SAMN09754478,simple,9606,Homo sapiens,A172_OE1_RBSeq,IDIBELL,SRA749312,08,2019,Makar,"","",A172 OE rep 1,not applicable,"Centre de Recerca Biomèdica CELLEX, IDIBAPS",not determined,Glioblastoma Multiforme,A-172,Human
SRR8302269,45354552,2313082152,51,1034,SRX5116762,DBTRG_SH_2_1_Ribo-Seq,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP113468,PRJNA395570,1,"",SRS4125439,SAMN10584395,simple,9606,Homo sapiens,DBTRG_SH_2_1_RBSeq,IDIBELL,SRA821589,08,2019,Makar,"","",DBTRG SH rep 2,not applicable,"Centre de Recerca Biomèdica CELLEX, IDIBAPS",not determined,Glioblastoma Multiforme,DBTRG,Human
SRR8302268,58472592,2982102192,51,1305,SRX5116763,DBTRG_SH_3_1_Ribo-Seq,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP113468,PRJNA395570,1,"",SRS4125440,SAMN10584396,simple,9606,Homo sapiens,DBTRG_SH_3_1_RBSeq,IDIBELL,SRA821589,08,2019,Makar,"","",DBTRG SH rep 3,not applicable,"Centre de Recerca Biomèdica CELLEX, IDIBAPS",not determined,Glioblastoma Multiforme,DBTRG,Human
SRR8302267,49972480,2548596480,51,1120,SRX5116764,DBTRG_SCR_5_1_Ribo-Seq,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP113468,PRJNA395570,1,"",SRS4125441,SAMN10584393,simple,9606,Homo sapiens,DBTRG_SCR_5_1_RBSeq,IDIBELL,SRA821589,08,2019,Makar,"","",DBTRG SCR rep 5,not applicable,"Centre de Recerca Biomèdica CELLEX, IDIBAPS",not determined,Glioblastoma Multiforme,DBTRG,Human
SRR8302266,44765454,2283038154,51,1013,SRX5116765,DBTRG_SH_1_1_Ribo-Seq,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP113468,PRJNA395570,1,"",SRS4125442,SAMN10584394,simple,9606,Homo sapiens,DBTRG_SH_1_1_RBSeq,IDIBELL,SRA821589,08,2019,Makar,"","",DBTRG SH rep 1,not applicable,"Centre de Recerca Biomèdica CELLEX, IDIBAPS",not determined,Glioblastoma Multiforme,DBTRG,Human
SRR8302265,50454871,2573198421,51,1136,SRX5116766,DBTRG_SCR_3_1_Ribo-Seq,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP113468,PRJNA395570,1,"",SRS4125443,SAMN10584391,simple,9606,Homo sapiens,DBTRG_SCR_3_1_RBSeq,IDIBELL,SRA821589,08,2019,Makar,"","",DBTRG SCR rep 3,not applicable,"Centre de Recerca Biomèdica CELLEX, IDIBAPS",not determined,Glioblastoma Multiforme,DBTRG,Human
SRR8302264,46422241,2367534291,51,1056,SRX5116767,DBTRG_SCR_4_1_Ribo-Seq,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP113468,PRJNA395570,1,"",SRS4125444,SAMN10584392,simple,9606,Homo sapiens,DBTRG_SCR_4_1_RBSeq,IDIBELL,SRA821589,08,2019,Makar,"","",DBTRG SCR rep 4,not applicable,"Centre de Recerca Biomèdica CELLEX, IDIBAPS",not determined,Glioblastoma Multiforme,DBTRG,Human
SRR8302263,49364568,2517592968,51,1110,SRX5116768,DBTRG_SCR_1_1_Ribo-Seq,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP113468,PRJNA395570,1,"",SRS4125445,SAMN10584389,simple,9606,Homo sapiens,DBTRG_SCR_1_1_RBSeq,IDIBELL,SRA821589,08,2019,Makar,"","",DBTRG SCR rep 1,not applicable,"Centre de Recerca Biomèdica CELLEX, IDIBAPS",not determined,Glioblastoma Multiforme,DBTRG,Human
SRR8302262,49824030,2541025530,51,1128,SRX5116769,DBTRG_SCR_2_1_Ribo-Seq,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP113468,PRJNA395570,1,"",SRS4125446,SAMN10584390,simple,9606,Homo sapiens,DBTRG_SCR_2_1_RBSeq,IDIBELL,SRA821589,08,2019,Makar,"","",DBTRG SCR rep 2,not applicable,"Centre de Recerca Biomèdica CELLEX, IDIBAPS",not determined,Glioblastoma Multiforme,DBTRG,Human
SRR8302261,47763302,2435928402,51,1074,SRX5116770,DBTRG_SH_4_1_Ribo-Seq,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP113468,PRJNA395570,1,"",SRS4125447,SAMN10584397,simple,9606,Homo sapiens,DBTRG_SH_4_1_RBSeq,IDIBELL,SRA821589,08,2019,Makar,"","",DBTRG SH rep 4,not applicable,"Centre de Recerca Biomèdica CELLEX, IDIBAPS",not determined,Glioblastoma Multiforme,DBTRG,Human
SRR8302260,48518526,2474444826,51,1095,SRX5116771,DBTRG_SH_5_1_Ribo-Seq,OTHER,other,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP113468,PRJNA395570,1,"",SRS4125448,SAMN10584398,simple,9606,Homo sapiens,DBTRG_SH_5_1_RBSeq,IDIBELL,SRA821589,08,2019,Makar,"","",DBTRG SH rep 5,not applicable,"Centre de Recerca Biomèdica CELLEX, IDIBAPS",not determined,Glioblastoma Multiforme,DBTRG,Human
