Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell type,time point,genotype,treatment,GEO Accession
SRR8397275,17706643,1333549305,75,507,SRX5206619,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP175343,PRJNA513069,1,"",SRS4211268,SAMN10695511,simple,10090,Mus musculus,GSM3543480,GEO,SRA830623,03,2019,Makar,AgRP+ ARH neurons,AGRP RiboTag Fasted ZT2 Collection 1,AgRP+ ARH neurons,AgRP+ ARH neurons,ZT2,AGRP-Cre;RiboTag,Effective 24-hr Fast,GSM3543480
SRR8397276,13314993,1001018706,75,375,SRX5206620,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP175343,PRJNA513069,1,"",SRS4211269,SAMN10695551,simple,10090,Mus musculus,GSM3543481,GEO,SRA830623,03,2019,Makar,AgRP+ ARH neurons,AGRP RiboTag Fasted ZT2 Collection 2,AgRP+ ARH neurons,AgRP+ ARH neurons,ZT2,AGRP-Cre;RiboTag,Effective 24-hr Fast,GSM3543481
SRR8397277,20255559,1523970777,75,715,SRX5206621,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP175343,PRJNA513069,1,"",SRS4211270,SAMN10695550,simple,10090,Mus musculus,GSM3543482,GEO,SRA830623,03,2019,Makar,AgRP+ ARH neurons,AGRP RiboTag Fasted ZT2 Collection 3,AgRP+ ARH neurons,AgRP+ ARH neurons,ZT2,AGRP-Cre;RiboTag,Effective 24-hr Fast,GSM3543482
SRR8397278,27894213,2095816243,75,971,SRX5206622,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP175343,PRJNA513069,1,"",SRS4211271,SAMN10695549,simple,10090,Mus musculus,GSM3543483,GEO,SRA830623,03,2019,Makar,AgRP+ ARH neurons,AGRP RiboTag Fasted ZT2 Collection 4,AgRP+ ARH neurons,AgRP+ ARH neurons,ZT2,AGRP-Cre;RiboTag,Effective 24-hr Fast,GSM3543483
SRR8397279,22677116,1703749060,75,790,SRX5206623,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP175343,PRJNA513069,1,"",SRS4211272,SAMN10695548,simple,10090,Mus musculus,GSM3543484,GEO,SRA830623,03,2019,Makar,AgRP+ ARH neurons,AGRP RiboTag Fasted ZT2 Collection 5,AgRP+ ARH neurons,AgRP+ ARH neurons,ZT2,AGRP-Cre;RiboTag,Effective 24-hr Fast,GSM3543484
SRR8397280,24436831,1835457967,75,872,SRX5206624,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP175343,PRJNA513069,1,"",SRS4211273,SAMN10695547,simple,10090,Mus musculus,GSM3543485,GEO,SRA830623,03,2019,Makar,AgRP+ ARH neurons,NPY-GFP Ad Lib Fed ZT14 Collection 1,AgRP+ ARH neurons,AgRP+ ARH neurons,ZT14,NPY::hrGFP,Ad Lib Diet,GSM3543485
SRR8397281,15197904,1140560783,75,548,SRX5206625,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP175343,PRJNA513069,1,"",SRS4211275,SAMN10695546,simple,10090,Mus musculus,GSM3543486,GEO,SRA830623,03,2019,Makar,AgRP+ ARH neurons,NPY-GFP Ad Lib Fed ZT14 Collection 2,AgRP+ ARH neurons,AgRP+ ARH neurons,ZT14,NPY::hrGFP,Ad Lib Diet,GSM3543486
SRR8397282,24379247,1831658201,75,850,SRX5206626,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP175343,PRJNA513069,1,"",SRS4211274,SAMN10695545,simple,10090,Mus musculus,GSM3543487,GEO,SRA830623,03,2019,Makar,AgRP+ ARH neurons,NPY-GFP Ad Lib Fed ZT14 Collection 3,AgRP+ ARH neurons,AgRP+ ARH neurons,ZT14,NPY::hrGFP,Ad Lib Diet,GSM3543487
SRR8397283,16409874,1228278966,74,591,SRX5206627,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP175343,PRJNA513069,1,"",SRS4211276,SAMN10695544,simple,10090,Mus musculus,GSM3543488,GEO,SRA830623,03,2019,Makar,AgRP+ ARH neurons,NPY-GFP Ad Lib Fed ZT2 Collection 1,AgRP+ ARH neurons,AgRP+ ARH neurons,ZT2,NPY::hrGFP,Ad Lib Diet,GSM3543488
SRR8397284,23551520,1764937922,74,861,SRX5206628,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP175343,PRJNA513069,1,"",SRS4211277,SAMN10695543,simple,10090,Mus musculus,GSM3543489,GEO,SRA830623,03,2019,Makar,AgRP+ ARH neurons,NPY-GFP Ad Lib Fed ZT2 Collection 2,AgRP+ ARH neurons,AgRP+ ARH neurons,ZT2,NPY::hrGFP,Ad Lib Diet,GSM3543489
SRR8397285,25845379,1940753520,75,917,SRX5206629,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP175343,PRJNA513069,1,"",SRS4211278,SAMN10695542,simple,10090,Mus musculus,GSM3543490,GEO,SRA830623,03,2019,Makar,AgRP+ ARH neurons,NPY-GFP Ad Lib Fed ZT2 Collection 3,AgRP+ ARH neurons,AgRP+ ARH neurons,ZT2,NPY::hrGFP,Ad Lib Diet,GSM3543490
SRR8397286,17388315,1302987626,74,590,SRX5206630,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP175343,PRJNA513069,1,"",SRS4211279,SAMN10695476,simple,10090,Mus musculus,GSM3543491,GEO,SRA830623,03,2019,Makar,AgRP+ ARH neurons,NPY-GFP Ad Lib Fed ZT2 Collection 4,AgRP+ ARH neurons,AgRP+ ARH neurons,ZT2,NPY::hrGFP,Ad Lib Diet,GSM3543491
SRR8397287,21835008,1641878661,75,725,SRX5206631,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP175343,PRJNA513069,1,"",SRS4211280,SAMN10695475,simple,10090,Mus musculus,GSM3543492,GEO,SRA830623,03,2019,Makar,AgRP+ ARH neurons,NPY-GFP Ad Lib Fed ZT2 Collection 5,AgRP+ ARH neurons,AgRP+ ARH neurons,ZT2,NPY::hrGFP,Ad Lib Diet,GSM3543492
SRR8397288,16299448,1224331873,75,558,SRX5206632,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP175343,PRJNA513069,1,"",SRS4211282,SAMN10695474,simple,10090,Mus musculus,GSM3543493,GEO,SRA830623,03,2019,Makar,AgRP+ ARH neurons,NPY-GFP Ad Lib Fed ZT2 Collection 6,AgRP+ ARH neurons,AgRP+ ARH neurons,ZT2,NPY::hrGFP,Ad Lib Diet,GSM3543493
SRR8397289,36751184,2764872288,75,1072,SRX5206633,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP175343,PRJNA513069,1,"",SRS4211281,SAMN10695473,simple,10090,Mus musculus,GSM3543494,GEO,SRA830623,03,2019,Makar,AgRP+ ARH neurons,NPY-GFP Fasted ZT14 Collection 1,AgRP+ ARH neurons,AgRP+ ARH neurons,ZT14,NPY::hrGFP,Effective 24-hr Fast,GSM3543494
SRR8397290,23760288,1787760945,75,690,SRX5206634,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP175343,PRJNA513069,1,"",SRS4211283,SAMN10695472,simple,10090,Mus musculus,GSM3543495,GEO,SRA830623,03,2019,Makar,AgRP+ ARH neurons,NPY-GFP Fasted ZT14 Collection 2,AgRP+ ARH neurons,AgRP+ ARH neurons,ZT14,NPY::hrGFP,Effective 24-hr Fast,GSM3543495
SRR8397291,17126730,1289328898,75,508,SRX5206635,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP175343,PRJNA513069,1,"",SRS4211284,SAMN10695471,simple,10090,Mus musculus,GSM3543496,GEO,SRA830623,03,2019,Makar,AgRP+ ARH neurons,NPY-GFP Fasted ZT14 Collection 3,AgRP+ ARH neurons,AgRP+ ARH neurons,ZT14,NPY::hrGFP,Effective 24-hr Fast,GSM3543496
SRR8397292,17935692,1349934971,75,529,SRX5206636,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP175343,PRJNA513069,1,"",SRS4211285,SAMN10695470,simple,10090,Mus musculus,GSM3543497,GEO,SRA830623,03,2019,Makar,AgRP+ ARH neurons,NPY-GFP Fasted ZT14 Collection 4,AgRP+ ARH neurons,AgRP+ ARH neurons,ZT14,NPY::hrGFP,Effective 24-hr Fast,GSM3543497
SRR8397293,18565236,1398014891,75,659,SRX5206637,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP175343,PRJNA513069,1,"",SRS4211286,SAMN10695469,simple,10090,Mus musculus,GSM3543498,GEO,SRA830623,03,2019,Makar,AgRP+ ARH neurons,NPY-GFP Fasted ZT14 Collection 5,AgRP+ ARH neurons,AgRP+ ARH neurons,ZT14,NPY::hrGFP,Effective 24-hr Fast,GSM3543498
SRR8397294,12036931,905901233,75,429,SRX5206638,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP175343,PRJNA513069,1,"",SRS4211287,SAMN10695468,simple,10090,Mus musculus,GSM3543499,GEO,SRA830623,03,2019,Makar,AgRP+ ARH neurons,NPY-GFP Fasted ZT14 Collection 6,AgRP+ ARH neurons,AgRP+ ARH neurons,ZT14,NPY::hrGFP,Effective 24-hr Fast,GSM3543499
SRR8397295,30895172,2324147237,75,1079,SRX5206639,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP175343,PRJNA513069,1,"",SRS4211288,SAMN10695467,simple,10090,Mus musculus,GSM3543500,GEO,SRA830623,03,2019,Makar,AgRP+ ARH neurons,NPY-GFP Fasted ZT14 Collection 7,AgRP+ ARH neurons,AgRP+ ARH neurons,ZT14,NPY::hrGFP,Effective 24-hr Fast,GSM3543500
SRR8397296,16795797,1265230894,75,591,SRX5206640,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP175343,PRJNA513069,1,"",SRS4211289,SAMN10695466,simple,10090,Mus musculus,GSM3543501,GEO,SRA830623,03,2019,Makar,AgRP+ ARH neurons,NPY-GFP Fasted ZT14 Collection 8,AgRP+ ARH neurons,AgRP+ ARH neurons,ZT14,NPY::hrGFP,Effective 24-hr Fast,GSM3543501
SRR8397297,19263330,1450440926,75,562,SRX5206641,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP175343,PRJNA513069,1,"",SRS4211290,SAMN10695465,simple,10090,Mus musculus,GSM3543502,GEO,SRA830623,03,2019,Makar,AgRP+ ARH neurons,NPY-GFP Fasted ZT2 Collection 1,AgRP+ ARH neurons,AgRP+ ARH neurons,ZT2,NPY::hrGFP,Effective 24-hr Fast,GSM3543502
SRR8397298,17926872,1347777306,75,528,SRX5206642,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP175343,PRJNA513069,1,"",SRS4211291,SAMN10695464,simple,10090,Mus musculus,GSM3543503,GEO,SRA830623,03,2019,Makar,AgRP+ ARH neurons,NPY-GFP Fasted ZT2 Collection 2,AgRP+ ARH neurons,AgRP+ ARH neurons,ZT2,NPY::hrGFP,Effective 24-hr Fast,GSM3543503
SRR8397299,18511491,1390255537,75,523,SRX5206643,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP175343,PRJNA513069,1,"",SRS4211292,SAMN10695463,simple,10090,Mus musculus,GSM3543504,GEO,SRA830623,03,2019,Makar,AgRP+ ARH neurons,NPY-GFP Fasted ZT2 Collection 3,AgRP+ ARH neurons,AgRP+ ARH neurons,ZT2,NPY::hrGFP,Effective 24-hr Fast,GSM3543504
SRR8397300,28249059,2123472950,75,993,SRX5206644,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP175343,PRJNA513069,1,"",SRS4211293,SAMN10695462,simple,10090,Mus musculus,GSM3543505,GEO,SRA830623,03,2019,Makar,AgRP+ ARH neurons,NPY-GFP Fasted ZT2 Collection 4,AgRP+ ARH neurons,AgRP+ ARH neurons,ZT2,NPY::hrGFP,Effective 24-hr Fast,GSM3543505
SRR8397301,16341481,1230066435,75,577,SRX5206645,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP175343,PRJNA513069,1,"",SRS4211294,SAMN10695461,simple,10090,Mus musculus,GSM3543506,GEO,SRA830623,03,2019,Makar,AgRP+ ARH neurons,NPY-GFP Fasted ZT2 Collection 5,AgRP+ ARH neurons,AgRP+ ARH neurons,ZT2,NPY::hrGFP,Effective 24-hr Fast,GSM3543506
SRR8397302,16548839,1245669650,75,587,SRX5206646,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP175343,PRJNA513069,1,"",SRS4211295,SAMN10695460,simple,10090,Mus musculus,GSM3543507,GEO,SRA830623,03,2019,Makar,AgRP+ ARH neurons,NPY-GFP Fasted ZT2 Collection 6,AgRP+ ARH neurons,AgRP+ ARH neurons,ZT2,NPY::hrGFP,Effective 24-hr Fast,GSM3543507
SRR8397303,11819250,889293717,75,420,SRX5206647,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP175343,PRJNA513069,1,"",SRS4211296,SAMN10695459,simple,10090,Mus musculus,GSM3543508,GEO,SRA830623,03,2019,Makar,AgRP+ ARH neurons,NPY-GFP Fasted ZT2 Collection 7,AgRP+ ARH neurons,AgRP+ ARH neurons,ZT2,NPY::hrGFP,Effective 24-hr Fast,GSM3543508
SRR8397304,24983080,1868031842,74,903,SRX5206648,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP175343,PRJNA513069,1,"",SRS4211297,SAMN10695458,simple,10090,Mus musculus,GSM3543509,GEO,SRA830623,03,2019,Makar,AgRP+ ARH neurons,AgRP-BMAL1-KO w/Leptin Admin ZT14 Collection 1,AgRP+ ARH neurons,AgRP+ ARH neurons,ZT14,AGRP-Cre;BMAL1fx,Leptin Administration,GSM3543509
SRR8397305,14908332,1119000085,75,512,SRX5206649,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP175343,PRJNA513069,1,"",SRS4211298,SAMN10695510,simple,10090,Mus musculus,GSM3543510,GEO,SRA830623,03,2019,Makar,AgRP+ ARH neurons,AgRP-BMAL1-KO w/Leptin Admin ZT14 Collection 2,AgRP+ ARH neurons,AgRP+ ARH neurons,ZT14,AGRP-Cre;BMAL1fx,Leptin Administration,GSM3543510
SRR8397306,17127214,1286077820,75,589,SRX5206650,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP175343,PRJNA513069,1,"",SRS4211299,SAMN10695509,simple,10090,Mus musculus,GSM3543511,GEO,SRA830623,03,2019,Makar,AgRP+ ARH neurons,AgRP-BMAL1-KO w/Leptin Admin ZT14 Collection 3,AgRP+ ARH neurons,AgRP+ ARH neurons,ZT14,AGRP-Cre;BMAL1fx,Leptin Administration,GSM3543511
SRR8397307,26619970,1997041607,75,974,SRX5206651,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP175343,PRJNA513069,1,"",SRS4211300,SAMN10695508,simple,10090,Mus musculus,GSM3543512,GEO,SRA830623,03,2019,Makar,AgRP+ ARH neurons,AgRP-BMAL1-KO no Leptin Admin ZT14 Collection 1,AgRP+ ARH neurons,AgRP+ ARH neurons,ZT14,AGRP-Cre;BMAL1fx,PBS Administration (Ctrl),GSM3543512
SRR8397308,18532480,1383966950,74,616,SRX5206652,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP175343,PRJNA513069,1,"",SRS4211301,SAMN10695507,simple,10090,Mus musculus,GSM3543513,GEO,SRA830623,03,2019,Makar,AgRP+ ARH neurons,AgRP-BMAL1-KO no Leptin Admin ZT14 Collection 2,AgRP+ ARH neurons,AgRP+ ARH neurons,ZT14,AGRP-Cre;BMAL1fx,PBS Administration (Ctrl),GSM3543513
SRR8397309,20001331,1503783112,75,667,SRX5206653,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP175343,PRJNA513069,1,"",SRS4211302,SAMN10695506,simple,10090,Mus musculus,GSM3543514,GEO,SRA830623,03,2019,Makar,AgRP+ ARH neurons,AgRP-BMAL1-KO no Leptin Admin ZT14 Collection 3,AgRP+ ARH neurons,AgRP+ ARH neurons,ZT14,AGRP-Cre;BMAL1fx,PBS Administration (Ctrl),GSM3543514
SRR8397310,17063769,1280833649,75,614,SRX5206654,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,NextSeq 500,SRP175343,PRJNA513069,1,"",SRS4211303,SAMN10695505,simple,10090,Mus musculus,GSM3543515,GEO,SRA830623,03,2019,Makar,AgRP+ ARH neurons,AgRP-BMAL1-KO w/Leptin Admin ZT2 Collection 1,AgRP+ ARH neurons,AgRP+ ARH neurons,ZT2,AGRP-Cre;BMAL1fx,Leptin Administration,GSM3543515
